date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2023-03-31,14,23,9,315496.74,16088.15,0.0,16088.15,331584.89,1.61,14
2023-04-28,24,20,2,17415.31,21655.97,-2812.53,18843.44,39071.28,1.88,27
2023-05-31,26,17,3,17002.17,34852.52,-3247.78,31604.74,51854.69,3.16,33
2023-06-30,24,20,2,12225.67,57611.51,-3247.78,54363.73,69837.18,5.44,37
2023-07-31,22,18,6,12511.69,33246.11,742.62,33988.73,45757.8,3.4,37
2023-08-31,13,26,7,28602.06,29225.58,-28.93,29196.65,57827.64,2.92,33
2023-09-29,6,30,10,47792.5,31695.16,1975.77,33670.93,79487.66,3.37,28
2023-10-31,5,16,25,78906.08,22517.26,2382.3,24899.56,101423.34,2.49,17
2023-11-30,32,13,1,818.46,33701.66,2382.3,36083.96,34520.12,3.61,31
2023-12-29,29,17,0,818.46,55074.21,2382.3,57456.51,55892.67,5.75,31
2024-01-31,25,12,9,13356.85,50489.2,1166.71,51655.91,63846.05,5.17,27
2024-02-29,12,25,9,18883.46,50046.49,1367.48,51413.97,68929.95,5.14,25
2024-03-28,23,12,11,14386.16,52584.14,2629.08,55213.22,66970.3,5.52,27
2024-04-30,19,19,8,24713.9,22632.91,25967.45,48600.36,47346.81,4.86,26
2024-05-31,12,19,15,29306.76,23543.07,25649.49,49192.56,52849.83,4.92,24
2024-06-28,22,22,2,11598.15,35873.79,25873.69,61747.48,47471.94,6.17,28
2024-07-31,23,22,1,9233.8,39780.71,25873.69,65654.4,49014.51,6.57,30
2024-08-30,29,17,0,8254.77,37986.9,25873.69,63860.59,46241.67,6.39,30
2024-09-30,24,19,3,6989.72,43606.27,26148.11,69754.38,50595.99,6.98,29
2024-10-31,4,8,34,41198.57,25009.46,34900.87,59910.33,66208.03,5.99,10
2024-11-29,13,26,7,25665.16,26527.9,34900.87,61428.77,52193.06,6.14,15
2024-12-31,5,15,26,31165.52,27229.88,35300.85,62530.73,58395.4,6.25,11
2025-01-31,11,23,12,34564.46,25140.86,36580.33,61721.19,59705.32,6.17,10
2025-02-28,3,8,35,89131.95,574.73,52095.37,52670.1,89706.68,5.27,6
2025-03-28,28,14,4,1636.81,3766.18,52095.37,55861.55,5402.99,5.59,25
2025-04-30,25,20,1,1636.81,6978.74,52095.37,59074.11,8615.55,5.91,25
2025-05-30,11,22,13,21894.38,3995.83,52482.2,56478.03,25890.21,5.65,19
2025-06-30,27,18,1,14249.93,3683.23,52482.2,56165.43,17933.16,5.62,22
2025-07-31,9,13,24,35340.31,765.31,52961.83,53727.14,36105.62,5.37,12
2025-08-29,9,24,13,43614.3,262.67,52863.21,53125.88,43876.97,5.31,6
2025-09-30,8,11,27,39117.92,531.05,52615.46,53146.51,39648.97,5.31,7
2025-10-31,19,18,9,19339.63,1041.7,52615.46,53657.16,20381.33,5.37,14
2025-11-28,17,22,7,20659.35,1330.44,52432.6,53763.04,21989.79,5.38,15
2025-12-31,17,26,3,16297.53,1495.91,52432.6,53928.51,17793.44,5.39,18
2026-01-12,17,18,11,16465.69,1267.78,51976.9,53244.68,17733.47,5.32,13
