ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
BPCL.NS,2019-03-15,124.0,2019-03-22,122.02,403,49972.0,49174.06,-797.9400000000023,STOP_LOSS,134.81,122.2
EICHERMOT.NS,2019-03-15,2056.13,2019-03-22,2013.89,24,49347.12,48333.36,-1013.760000000002,STOP_LOSS,2257.75,2022.53
BAJAJ-AUTO.NS,2019-03-15,2424.13,2019-04-05,2342.47,20,48482.600000000006,46849.399999999994,-1633.2000000000116,STOP_LOSS,2577.37,2398.59
BPCL.NS,2019-03-22,118.0,2019-04-05,115.31,45,5310.0,5188.95,-121.05000000000018,STOP_LOSS,130.06,115.99
ASIANPAINT.NS,2019-03-15,1329.31,2019-04-12,1358.37,37,49184.47,50259.689999999995,1075.219999999994,STOP_LOSS,1482.27,1390.68
TITAN.NS,2019-03-22,1052.88,2019-04-12,1071.19,5,5264.400000000001,5355.950000000001,91.55000000000018,STOP_LOSS,1153.59,1073.05
INFY.NS,2019-03-22,610.86,2019-04-18,600.0,8,4886.88,4800.0,-86.88000000000011,STOP_LOSS,659.72,617.08
VBL.NS,2019-04-05,49.2,2019-04-18,48.2,100,4920.0,4820.0,-100.0,STOP_LOSS,54.16,48.38
MARUTI.NS,2019-04-12,6750.91,2019-04-26,6410.56,1,6750.91,6410.56,-340.34999999999945,STOP_LOSS,7224.45,6791.35
EICHERMOT.NS,2019-04-12,1950.43,2019-04-26,1909.08,3,5851.29,5727.24,-124.05000000000018,STOP_LOSS,2116.68,1922.72
M&M.NS,2019-04-12,622.8,2019-04-26,617.81,11,6850.799999999999,6795.91,-54.88999999999942,STOP_LOSS,665.87,623.08
HEROMOTOCO.NS,2019-04-18,2154.68,2019-04-26,2084.89,2,4309.36,4169.78,-139.57999999999993,STOP_LOSS,2275.69,2134.51
TCS.NS,2019-03-15,1693.58,2019-05-03,1808.84,29,49113.82,52456.36,3342.540000000001,STOP_LOSS,1975.56,1842.0
GAIL.NS,2019-03-15,88.34,2019-05-03,87.03,565,49912.1,49171.95,-740.1500000000015,STOP_LOSS,94.91,87.24
SUNPHARMA.NS,2019-03-22,431.15,2019-05-03,423.79,12,5173.799999999999,5085.4800000000005,-88.3199999999988,STOP_LOSS,467.21,427.55
NESTLEIND.NS,2019-03-28,493.39,2019-05-03,481.24,5,2466.95,2406.2,-60.75,STOP_LOSS,534.33,486.56
TATACONSUM.NS,2019-04-05,193.89,2019-05-03,192.75,25,4847.25,4818.75,-28.5,STOP_LOSS,213.76,195.43
HINDUNILVR.NS,2019-04-18,1533.03,2019-05-03,1511.51,3,4599.09,4534.53,-64.5600000000004,STOP_LOSS,1597.93,1530.73
RELIANCE.NS,2019-03-15,575.11,2019-05-10,556.37,86,49459.46,47847.82,-1611.6399999999994,STOP_LOSS,651.92,607.42
