ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl
HINDUNILVR.NS,2023-03-31,2376.81,2023-04-28,2325.8,21,49913.01,48841.8,-1071.2099999999991
ZEEL.NS,2023-03-31,198.07,2023-04-28,191.16,252,49913.64,48172.32,-1741.3199999999997
HDFCBANK.NS,2023-04-28,801.39,2023-05-31,783.98,25,20034.75,19599.5,-435.25
BRITANNIA.NS,2023-04-28,4359.25,2023-07-31,4671.14,4,17437.0,18684.56,1247.5600000000013
HCLTECH.NS,2023-05-31,1026.0,2023-07-31,1028.76,1,1026.0,1028.76,2.759999999999991
KOTAKBANK.NS,2023-04-28,1894.64,2023-07-31,1850.86,10,18946.4,18508.6,-437.8000000000029
LTIM.NS,2023-03-31,4459.93,2023-07-31,4751.66,11,49059.23,52268.259999999995,3209.0299999999916
VBL.NS,2023-05-31,326.06,2023-07-31,319.83,5,1630.3,1599.1499999999999,-31.15000000000009
RELIANCE.NS,2023-05-31,1111.42,2023-08-31,1194.66,1,1111.42,1194.66,83.24000000000001
SBIN.NS,2023-07-31,587.51,2023-08-31,541.22,8,4700.08,4329.76,-370.3199999999997
BPCL.NS,2023-04-28,152.4,2023-08-31,149.1,135,20574.0,20128.5,-445.5
DIVISLAB.NS,2023-07-31,3541.14,2023-08-31,3554.0,1,3541.14,3554.0,12.860000000000127
HDFCBANK.NS,2023-06-30,816.63,2023-08-31,764.8,1,816.63,764.8,-51.83000000000004
ICICIBANK.NS,2023-07-31,958.79,2023-09-29,936.55,5,4793.95,4682.75,-111.19999999999982
ASIANPAINT.NS,2023-04-28,2773.74,2023-09-29,3086.62,7,19416.18,21606.34,2190.16
CIPLA.NS,2023-08-31,1210.71,2023-09-29,1163.75,1,1210.71,1163.75,-46.960000000000036
DRREDDY.NS,2023-07-31,1092.69,2023-09-29,1103.82,4,4370.76,4415.28,44.51999999999953
JSWSTEEL.NS,2023-07-31,789.34,2023-09-29,771.46,6,4736.04,4628.76,-107.27999999999975
WIPRO.NS,2023-05-31,190.87,2023-09-29,194.81,9,1717.83,1753.29,35.460000000000036
ITC.NS,2023-05-31,393.42,2023-10-31,385.65,4,1573.68,1542.6,-31.080000000000155
ADANIPORTS.NS,2023-07-31,755.88,2023-10-31,777.61,6,4535.28,4665.66,130.3800000000001
EICHERMOT.NS,2023-04-28,3123.7,2023-10-31,3217.71,6,18742.199999999997,19306.260000000002,564.060000000005
GAIL.NS,2023-08-31,104.54,2023-10-31,111.02,20,2090.8,2220.4,129.5999999999999
INFY.NS,2023-08-31,1317.31,2023-10-31,1288.33,1,1317.31,1288.33,-28.980000000000018
M&M.NS,2023-08-31,1524.77,2023-10-31,1436.46,1,1524.77,1436.46,-88.30999999999995
POLICYBZR.NS,2023-08-31,751.89,2023-10-31,700.7,2,1503.78,1401.4,-102.37999999999988
SUNPHARMA.NS,2023-07-31,1104.61,2023-10-31,1069.03,4,4418.44,4276.12,-142.3199999999997
TECHM.NS,2023-05-31,994.55,2023-10-31,1060.2,1,994.55,1060.2,65.65000000000009
TATASTEEL.NS,2023-08-31,115.8,2023-10-31,113.75,18,2084.4,2047.5,-36.90000000000009
VBL.NS,2023-09-29,367.79,2023-10-31,361.88,9,3310.11,3256.92,-53.190000000000055
DIVISLAB.NS,2023-11-30,3680.64,2024-01-31,3631.67,1,3680.64,3631.67,-48.9699999999998
HDFCBANK.NS,2023-11-30,750.26,2024-01-31,711.8,5,3751.3,3559.0,-192.30000000000018
HINDUNILVR.NS,2023-11-30,2418.48,2024-01-31,2385.31,1,2418.48,2385.31,-33.17000000000007
JSWSTEEL.NS,2023-11-30,780.31,2024-01-31,810.11,5,3901.5499999999997,4050.55,149.00000000000045
NESTLEIND.NS,2023-10-31,1157.68,2024-01-31,1230.99,3,3473.04,3692.9700000000003,219.9300000000003
ZEEL.NS,2023-07-31,225.14,2024-01-31,168.18,23,5178.219999999999,3868.1400000000003,-1310.079999999999
EICHERMOT.NS,2023-11-30,3719.08,2024-02-29,3702.83,1,3719.08,3702.83,-16.25
TECHM.NS,2023-11-30,1132.35,2024-02-29,1204.69,3,3397.0499999999997,3614.07,217.02000000000044
HCLTECH.NS,2023-11-30,1228.53,2024-03-28,1446.67,3,3685.59,4340.01,654.4200000000001
TATACONSUM.NS,2023-05-31,777.09,2024-03-28,1080.68,2,1554.18,2161.36,607.1800000000001
SBILIFE.NS,2023-11-30,1400.06,2024-04-30,1433.82,2,2800.12,2867.64,67.51999999999998
SUNPHARMA.NS,2023-11-30,1187.35,2024-04-30,1483.5,3,3562.0499999999997,4450.5,888.4500000000003
TITAN.NS,2023-03-31,2447.69,2024-04-30,3566.81,20,48953.8,71336.2,22382.399999999994
ITC.NS,2024-04-30,391.71,2024-05-31,389.76,11,4308.8099999999995,4287.36,-21.449999999999818
BAJAJFINSV.NS,2023-11-30,1640.24,2024-05-31,1526.89,2,3280.48,3053.78,-226.69999999999982
GRASIM.NS,2024-04-30,2340.6,2024-05-31,2299.02,1,2340.6,2299.02,-41.57999999999993
ONGC.NS,2024-03-28,238.74,2024-05-31,243.75,5,1193.7,1218.75,25.049999999999955
VBL.NS,2024-04-30,575.28,2024-05-31,568.62,8,4602.24,4548.96,-53.279999999999745
BPCL.NS,2024-01-31,222.68,2024-06-28,278.73,4,890.72,1114.92,224.20000000000005
POLICYBZR.NS,2024-06-28,1345.53,2024-09-30,1619.95,1,1345.53,1619.95,274.4200000000001
BHARTIARTL.NS,2024-06-28,1385.82,2024-10-31,1599.23,1,1385.82,1599.23,213.41000000000008
ADANIPORTS.NS,2024-06-28,1438.22,2024-10-31,1369.29,1,1438.22,1369.29,-68.93000000000006
BAJAJ-AUTO.NS,2023-07-31,4683.75,2024-10-31,9593.17,1,4683.75,9593.17,4909.42
BPCL.NS,2024-09-30,340.48,2024-10-31,294.09,1,340.48,294.09,-46.39000000000004
COALINDIA.NS,2024-07-31,450.53,2024-10-31,406.73,1,450.53,406.73,-43.799999999999955
COLPAL.NS,2024-04-30,2639.46,2024-10-31,2973.72,1,2639.46,2973.72,334.25999999999976
DRREDDY.NS,2024-06-28,1242.27,2024-10-31,1266.17,1,1242.27,1266.17,23.90000000000009
GAIL.NS,2024-09-30,224.3,2024-10-31,191.6,2,448.6,383.2,-65.40000000000003
