ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
BPCL.NS,2019-03-15,124.0,2019-03-22,122.02,403,49972.0,49174.06,-797.9400000000023,STOP_LOSS,134.81,122.2
EICHERMOT.NS,2019-03-15,2056.13,2019-03-22,2013.89,24,49347.12,48333.36,-1013.760000000002,STOP_LOSS,2257.75,2022.53
SBIN.NS,2019-03-15,269.89,2019-03-28,294.35,185,49929.649999999994,54454.75000000001,4525.100000000013,TARGET,286.98,266.04
ADANIPORTS.NS,2019-03-15,341.45,2019-03-28,365.9,146,49851.7,53421.399999999994,3569.699999999997,TARGET,364.56,332.39
HCLTECH.NS,2019-03-22,402.29,2019-03-28,435.58,13,5229.77,5662.54,432.7699999999995,TARGET,432.12,397.32
BHARTIARTL.NS,2019-03-15,285.61,2019-04-05,313.03,175,49981.75,54780.24999999999,4798.499999999993,TARGET,308.03,271.17
BAJAJFINSV.NS,2019-03-15,676.47,2019-04-05,737.46,73,49382.310000000005,53834.58,4452.269999999997,TARGET,711.12,675.04
BPCL.NS,2019-03-22,118.0,2019-04-05,115.31,45,5310.0,5188.95,-121.05000000000018,STOP_LOSS,129.99,118.5
INFY.NS,2019-03-22,610.86,2019-04-05,635.36,8,4886.88,5082.88,196.0,TARGET,634.21,600.52
TATASTEEL.NS,2019-03-22,41.43,2019-04-05,44.92,129,5344.47,5794.68,450.21000000000004,TARGET,42.79,40.02
ITC.NS,2019-03-15,208.62,2019-04-12,222.89,239,49860.18,53270.71,3410.529999999999,TARGET,220.22,209.23
ASIANPAINT.NS,2019-03-15,1329.31,2019-04-12,1358.37,37,49184.47,50259.689999999995,1075.219999999994,STOP_LOSS,1482.27,1390.68
BAJAJ-AUTO.NS,2019-03-15,2424.13,2019-04-12,2462.4,20,48482.600000000006,49248.0,765.3999999999942,TARGET,2410.85,2274.1
TCS.NS,2019-03-15,1693.58,2019-04-18,1824.15,29,49113.82,52900.350000000006,3786.530000000006,TARGET,1763.73,1654.57
COALINDIA.NS,2019-03-15,128.88,2019-04-18,140.35,387,49876.56,54315.45,4438.889999999999,TARGET,139.81,130.35
JSWSTEEL.NS,2019-03-15,258.67,2019-04-18,275.91,193,49923.310000000005,53250.630000000005,3327.3199999999997,TARGET,274.8,254.33
INFY.NS,2019-04-05,623.17,2019-04-18,600.0,20,12463.4,12000.0,-463.39999999999964,STOP_LOSS,642.3,609.08
GRASIM.NS,2019-03-15,774.26,2019-04-26,873.58,64,49552.64,55909.12,6356.480000000003,TARGET,869.41,799.38
ONGC.NS,2019-03-22,99.69,2019-04-26,114.74,53,5283.57,6081.219999999999,797.6499999999996,TARGET,114.23,105.82
MARUTI.NS,2019-04-05,6511.18,2019-04-26,6410.56,1,6511.18,6410.56,-100.61999999999989,STOP_LOSS,7224.45,6791.35
