ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl
ASIANPAINT.NS,2023-03-17,2719.35,2023-03-31,2678.78,18,48948.299999999996,48218.04,-730.2599999999948
BPCL.NS,2023-03-24,146.25,2023-04-06,143.75,173,25301.25,24868.75,-432.5
HINDUNILVR.NS,2023-04-06,2379.34,2023-04-21,2364.28,3,7138.02,7092.84,-45.18000000000029
LTIM.NS,2023-04-06,4479.37,2023-04-21,4019.8,1,4479.37,4019.8,-459.5699999999997
NTPC.NS,2023-03-17,161.22,2023-04-21,157.67,310,49978.2,48877.7,-1100.5
TECHM.NS,2023-03-17,999.25,2023-04-21,910.59,50,49962.5,45529.5,-4433.0
TATACONSUM.NS,2023-04-13,691.9,2023-04-21,683.06,1,691.9,683.06,-8.840000000000032
ZEEL.NS,2023-03-31,198.07,2023-04-21,190.39,97,19212.79,18467.829999999998,-744.9600000000028
SUNPHARMA.NS,2023-04-06,974.42,2023-05-05,949.64,7,6820.94,6647.48,-173.46000000000004
DRREDDY.NS,2023-04-28,948.79,2023-05-12,875.52,1,948.79,875.52,-73.26999999999998
LT.NS,2023-04-06,2163.49,2023-05-19,2128.67,3,6490.469999999999,6386.01,-104.45999999999913
GAIL.NS,2023-04-21,98.72,2023-05-19,97.41,67,6614.24,6526.469999999999,-87.77000000000044
JSWSTEEL.NS,2023-05-05,708.36,2023-05-19,683.73,1,708.36,683.73,-24.629999999999995
TATASTEEL.NS,2023-05-05,99.04,2023-05-19,97.08,9,891.36,873.72,-17.639999999999986
HDFCBANK.NS,2023-05-19,787.12,2023-06-02,781.86,1,787.12,781.86,-5.259999999999991
ONGC.NS,2023-05-12,142.98,2023-06-02,136.12,3,428.93999999999994,408.36,-20.579999999999927
POLICYBZR.NS,2023-05-19,611.11,2023-06-02,594.05,1,611.11,594.05,-17.06000000000006
COALINDIA.NS,2023-05-26,196.63,2023-06-09,188.4,3,589.89,565.2,-24.68999999999994
KOTAKBANK.NS,2023-04-21,1854.3,2023-06-09,1866.26,3,5562.9,5598.78,35.88000000000011
WIPRO.NS,2023-06-02,191.43,2023-06-16,182.94,3,574.29,548.8199999999999,-25.470000000000027
ICICIBANK.NS,2023-05-19,918.7,2023-06-23,901.19,1,918.7,901.19,-17.50999999999999
SBIN.NS,2023-06-02,557.57,2023-06-23,534.72,1,557.57,534.72,-22.850000000000023
VBL.NS,2023-06-02,326.3,2023-06-23,304.6,2,652.6,609.2,-43.39999999999998
EICHERMOT.NS,2023-04-21,3020.89,2023-07-07,3075.63,2,6041.78,6151.26,109.48000000000047
POWERGRID.NS,2023-07-07,167.44,2023-07-14,161.24,4,669.76,644.96,-24.799999999999955
VBL.NS,2023-07-14,321.5,2023-07-21,318.16,1,321.5,318.16,-3.339999999999975
HCLTECH.NS,2023-05-19,983.85,2023-07-28,1016.65,1,983.85,1016.65,32.799999999999955
SBIN.NS,2023-07-07,564.73,2023-08-04,552.75,1,564.73,552.75,-11.980000000000018
ITC.NS,2023-07-07,414.95,2023-08-04,409.55,1,414.95,409.55,-5.399999999999977
BPCL.NS,2023-07-21,165.74,2023-08-04,156.05,1,165.74,156.05,-9.689999999999998
NESTLEIND.NS,2023-04-28,1042.7,2023-08-04,1096.63,1,1042.7,1096.63,53.930000000000064
TITAN.NS,2023-04-06,2485.36,2023-08-04,2886.24,3,7456.08,8658.72,1202.6399999999994
TATACONSUM.NS,2023-05-05,743.38,2023-08-04,822.98,1,743.38,822.98,79.60000000000002
ASIANPAINT.NS,2023-04-21,2752.35,2023-08-11,3110.34,2,5504.7,6220.68,715.9800000000005
BAJAJ-AUTO.NS,2023-04-21,3967.16,2023-08-11,4449.21,1,3967.16,4449.21,482.0500000000002
ULTRACEMCO.NS,2023-04-06,7449.0,2023-08-11,8034.08,1,7449.0,8034.08,585.0799999999999
BHARTIARTL.NS,2023-06-09,799.69,2023-08-18,844.45,1,799.69,844.45,44.75999999999999
HEROMOTOCO.NS,2023-04-21,2230.67,2023-08-25,2717.42,2,4461.34,5434.84,973.5
JSWSTEEL.NS,2023-08-04,779.84,2023-08-25,765.08,1,779.84,765.08,-14.759999999999991
RELIANCE.NS,2023-04-28,1089.45,2023-09-01,1197.46,1,1089.45,1197.46,108.00999999999999
DIVISLAB.NS,2023-04-21,3086.88,2023-09-01,3551.23,2,6173.76,7102.46,928.6999999999998
ICICIBANK.NS,2023-09-01,939.75,2023-09-22,934.97,1,939.75,934.97,-4.779999999999973
DRREDDY.NS,2023-08-11,1129.13,2023-09-22,1090.0,1,1129.13,1090.0,-39.13000000000011
JSWSTEEL.NS,2023-09-01,783.28,2023-09-22,765.97,1,783.28,765.97,-17.309999999999945
CIPLA.NS,2023-08-11,1186.44,2023-09-29,1163.75,1,1186.44,1163.75,-22.690000000000055
WIPRO.NS,2023-09-15,207.69,2023-09-29,194.81,2,415.38,389.62,-25.75999999999999
SBILIFE.NS,2023-08-11,1275.73,2023-10-06,1278.22,1,1275.73,1278.22,2.490000000000009
POLICYBZR.NS,2023-09-01,748.57,2023-10-13,738.6,1,748.57,738.6,-9.970000000000027
TECHM.NS,2023-08-11,1112.8,2023-10-13,1117.22,1,1112.8,1117.22,4.420000000000073
ZEEL.NS,2023-09-15,257.38,2023-10-13,251.06,1,257.38,251.06,-6.319999999999993
INFY.NS,2023-08-11,1257.69,2023-10-20,1326.56,1,1257.69,1326.56,68.86999999999989
ADANIPORTS.NS,2023-08-11,771.82,2023-10-27,775.29,1,771.82,775.29,3.4699999999999136
GAIL.NS,2023-10-20,113.2,2023-10-27,109.86,4,452.8,439.44,-13.360000000000014
GRASIM.NS,2023-04-06,1609.3,2023-10-27,1834.9,4,6437.2,7339.6,902.4000000000005
TATASTEEL.NS,2023-09-08,121.37,2023-10-27,114.85,5,606.85,574.25,-32.60000000000002
ZEEL.NS,2023-11-03,258.21,2023-11-17,239.11,3,774.6299999999999,717.33,-57.29999999999984
ZEEL.NS,2023-12-01,250.24,2024-01-12,242.85,1,250.24,242.85,-7.390000000000015
COALINDIA.NS,2023-12-01,297.46,2024-03-15,369.92,1,297.46,369.92,72.46000000000004
NTPC.NS,2023-12-01,250.47,2024-03-15,303.81,1,250.47,303.81,53.34
HCLTECH.NS,2023-08-11,1059.48,2024-03-22,1460.07,1,1059.48,1460.07,400.5899999999999
WIPRO.NS,2023-12-08,199.15,2024-03-22,234.2,1,199.15,234.2,35.04999999999998
BPCL.NS,2023-12-08,200.61,2024-04-19,268.59,1,200.61,268.59,67.97999999999996
VBL.NS,2023-11-17,405.29,2024-04-19,556.38,1,405.29,556.38,151.08999999999997
ONGC.NS,2024-03-28,238.74,2024-05-10,249.19,1,238.74,249.19,10.449999999999989
COLPAL.NS,2023-04-06,1419.15,2024-05-17,2569.67,5,7095.75,12848.35,5752.6
ONGC.NS,2024-05-24,253.6,2024-05-31,243.75,2,507.2,487.5,-19.69999999999999
VBL.NS,2024-05-24,579.11,2024-05-31,568.62,1,579.11,568.62,-10.490000000000009
BPCL.NS,2024-05-24,289.29,2024-06-07,275.01,2,578.58,550.02,-28.56000000000006
ITC.NS,2024-06-07,400.14,2024-06-21,390.56,1,400.14,390.56,-9.579999999999984
TATASTEEL.NS,2024-06-21,169.73,2024-07-12,164.85,1,169.73,164.85,-4.8799999999999955
NTPC.NS,2024-05-24,350.88,2024-07-19,350.25,1,350.88,350.25,-0.6299999999999955
ZEEL.NS,2024-07-12,145.89,2024-07-19,133.61,1,145.89,133.61,-12.279999999999973
SBIN.NS,2024-05-17,768.89,2024-08-09,808.07,1,768.89,808.07,39.180000000000064
WIPRO.NS,2024-07-05,251.22,2024-08-09,236.22,1,251.22,236.22,-15.0
COALINDIA.NS,2024-05-31,425.19,2024-09-06,439.57,1,425.19,439.57,14.379999999999995
GAIL.NS,2024-08-02,219.1,2024-09-06,213.47,1,219.1,213.47,-5.6299999999999955
ONGC.NS,2024-07-05,260.2,2024-09-06,286.95,1,260.2,286.95,26.75
POWERGRID.NS,2024-06-21,293.47,2024-09-06,314.7,1,293.47,314.7,21.22999999999996
GAIL.NS,2024-09-27,221.82,2024-10-18,212.14,1,221.82,212.14,-9.680000000000007
TATASTEEL.NS,2024-10-04,159.03,2024-10-25,142.54,1,159.03,142.54,-16.49000000000001
ZEEL.NS,2024-12-13,125.46,2024-12-20,122.56,1,125.46,122.56,-2.8999999999999915
WIPRO.NS,2024-11-14,265.85,2025-01-17,271.12,1,265.85,271.12,5.269999999999982
ONGC.NS,2025-01-17,245.13,2025-02-14,223.81,1,245.13,223.81,-21.319999999999993
TATASTEEL.NS,2025-03-28,147.65,2025-04-04,137.19,1,147.65,137.19,-10.460000000000008
GAIL.NS,2025-04-17,178.47,2025-06-20,180.81,1,178.47,180.81,2.3400000000000034
ZEEL.NS,2025-06-20,125.18,2025-07-25,121.16,1,125.18,121.16,-4.02000000000001
TATASTEEL.NS,2025-05-16,150.02,2025-08-01,153.01,1,150.02,153.01,2.9899999999999807
