ticker,entry_date,entry_price,exit_date,exit_price,qty,cost,proceeds,pnl,reason,target,stop_loss
ASIANPAINT.NS,2023-03-17,2719.35,2023-03-31,2678.78,18,48948.299999999996,48218.04,-730.2599999999948,STOP_LOSS,2891.55,2690.65
BPCL.NS,2023-03-17,148.97,2023-04-06,143.75,335,49904.95,48156.25,-1748.699999999997,STOP_LOSS,158.51,147.38
POLICYBZR.NS,2023-03-24,554.27,2023-04-06,593.5,45,24942.149999999998,26707.5,1765.3500000000022,STOP_LOSS,689.73,600.78
NTPC.NS,2023-03-17,161.22,2023-04-21,157.67,310,49978.2,48877.7,-1100.5,STOP_LOSS,170.78,159.63
TECHM.NS,2023-03-17,999.25,2023-04-21,910.59,50,49962.5,45529.5,-4433.0,STOP_LOSS,1084.45,985.05
ULTRACEMCO.NS,2023-03-17,7050.99,2023-04-21,7235.97,7,49356.93,50651.79,1294.8600000000006,STOP_LOSS,7822.81,7386.7
LTIM.NS,2023-03-31,4459.93,2023-04-21,4019.8,5,22299.65,20099.0,-2200.6500000000015,STOP_LOSS,4842.41,4418.87
ZEEL.NS,2023-03-31,198.07,2023-04-21,190.39,121,23966.469999999998,23037.19,-929.2799999999988,STOP_LOSS,222.53,193.99
TATACONSUM.NS,2023-04-06,701.75,2023-04-21,683.06,26,18245.5,17759.559999999998,-485.9400000000023,STOP_LOSS,733.75,696.42
HINDUNILVR.NS,2023-03-31,2376.81,2023-04-28,2325.8,10,23768.1,23258.0,-510.09999999999854,STOP_LOSS,2525.26,2355.02
HDFCBANK.NS,2023-04-06,789.49,2023-05-05,782.21,23,18158.27,17990.83,-167.4399999999987,STOP_LOSS,836.17,797.99
SUNPHARMA.NS,2023-04-06,974.42,2023-05-05,949.64,18,17539.559999999998,17093.52,-446.03999999999724,STOP_LOSS,1022.35,966.43
LT.NS,2023-03-17,2086.24,2023-05-12,2158.85,23,47983.52,49653.549999999996,1670.0299999999988,STOP_LOSS,2398.11,2245.44
DRREDDY.NS,2023-03-24,861.87,2023-05-12,875.52,29,24994.23,25390.079999999998,395.84999999999854,STOP_LOSS,1001.72,939.96
