date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2019-03-15,30,10,5,9413.26,23911.34,0.0,23911.34,33324.6,2.39,20
2019-03-22,24,18,3,49439.33,17346.95,-1811.7,15535.25,66786.28,1.55,29
2019-03-28,17,21,7,46972.38,30507.58,-1811.7,28695.88,77479.96,2.87,30
2019-04-05,20,19,6,85288.82,40221.46,-3565.95,36655.51,125510.28,3.67,31
2019-04-12,12,29,4,102986.51,37308.97,-2399.18,34909.79,140295.48,3.49,35
2019-04-18,26,14,5,92753.7,50875.57,-2586.06,48289.51,143629.27,4.83,37
2019-04-26,29,12,4,100240.73,59622.97,-3244.93,56378.04,159863.7,5.64,36
2019-05-03,16,20,9,207799.88,57697.87,-884.67,56813.2,265497.75,5.68,31
2019-05-10,4,24,17,640626.27,13172.28,14808.9,27981.18,653798.55,2.8,16
2019-05-17,9,18,18,606037.38,22152.44,13608.97,35761.41,628189.82,3.58,14
2019-05-24,25,15,5,259583.58,57159.39,13740.41,70899.8,316742.97,7.09,25
2019-05-31,16,21,8,276094.43,58677.21,10092.36,68769.57,334771.64,6.88,26
2019-06-07,15,19,11,286241.75,60013.91,7798.58,67812.49,346255.66,6.78,26
2019-06-14,11,25,9,337415.02,55094.4,8847.4,63941.8,392509.42,6.39,25
2019-06-21,8,21,16,405983.97,55937.63,8308.54,64246.17,461921.6,6.42,21
2019-06-28,17,20,8,361706.21,66926.91,8768.3,75695.21,428633.12,7.57,23
2019-07-05,14,17,14,423564.09,69161.6,9105.95,78267.55,492725.69,7.83,18
2019-07-12,3,21,21,629374.9,46980.14,17333.13,64313.27,676355.04,6.43,12
2019-07-19,6,17,22,659627.75,24300.98,34071.94,58372.92,683928.73,5.84,11
2019-07-26,11,7,27,545537.52,39539.02,33788.61,73327.63,585076.54,7.33,14
2019-08-02,7,15,23,656044.62,27419.89,29365.36,56785.25,683464.51,5.68,11
2019-08-09,10,18,17,543357.06,37400.86,30497.86,67898.72,580757.92,6.79,14
2019-08-16,12,19,14,559374.94,35824.12,31343.68,67167.8,595199.06,6.72,14
2019-08-23,10,12,23,591813.94,30528.81,39715.73,70244.54,622342.75,7.02,14
2019-08-30,17,14,14,379580.84,45050.34,38823.74,83874.08,424631.18,8.39,21
2019-09-06,14,25,6,438020.32,39645.7,41895.49,81541.19,477666.02,8.15,20
2019-09-13,8,31,6,535119.9,37775.76,42172.38,79948.14,572895.66,7.99,17
2019-09-20,26,9,10,131899.84,64548.72,43868.71,108417.43,196448.56,10.84,31
2019-09-27,24,10,11,179868.96,94350.2,43309.61,137659.81,274219.16,13.77,29
2019-10-04,10,20,15,345562.73,64976.44,50357.51,115333.95,410539.17,11.53,25
2019-10-11,9,23,13,376531.05,78591.1,48774.32,127365.42,455122.15,12.74,24
2019-10-18,33,11,1,164145.69,121182.02,48235.21,169417.23,285327.71,16.94,35
2019-10-25,28,13,4,172486.96,120807.26,52342.21,173149.47,293294.22,17.31,38
2019-11-01,25,17,3,130055.56,140177.61,52342.21,192519.82,270233.17,19.25,43
2019-11-08,19,22,4,282850.88,115478.44,64129.97,179608.41,398329.32,17.96,37
2019-11-15,9,28,8,423804.15,102362.97,75121.15,177484.12,526167.12,17.75,31
2019-11-22,15,14,16,554186.08,97460.91,82179.51,179640.42,651646.99,17.96,25
2019-11-29,20,13,12,469297.04,109289.18,81858.6,191147.78,578586.22,19.11,27
2019-12-06,6,24,15,596119.05,83881.95,92991.6,176873.55,680001.0,17.69,21
2019-12-13,11,23,11,573912.15,88178.21,94191.56,182369.77,662090.36,18.24,21
2019-12-20,21,21,3,402936.09,97859.04,97685.9,195544.94,500795.13,19.55,26
2019-12-27,19,18,8,388232.4,92198.45,105839.91,198038.36,480430.85,19.8,27
2020-01-03,13,24,8,351080.36,87701.71,108266.58,195968.29,438782.07,19.6,29
2020-01-10,16,21,8,333733.22,94072.95,108266.58,202339.53,427806.17,20.23,30
2020-01-17,34,10,1,243744.41,98588.73,122586.78,221175.51,342333.14,22.12,36
2020-01-24,21,15,9,372996.4,98385.73,123160.2,221545.93,471382.13,22.15,31
2020-01-31,10,16,19,676520.09,55550.41,142979.51,198529.92,732070.5,19.85,18
2020-02-07,12,19,14,523680.16,66904.41,142414.6,209319.01,590584.57,20.93,22
2020-02-14,16,22,7,538300.51,58664.47,156362.91,215027.38,596964.98,21.5,21
2020-02-20,12,14,19,516854.91,56097.06,155689.51,211786.57,572951.97,21.18,22
2020-02-28,0,8,37,1069360.39,10558.73,151928.6,162487.33,1079919.12,16.25,3
2020-03-06,2,13,30,1016766.49,13005.33,151928.6,164933.93,1029771.82,16.49,4
2020-03-13,0,4,41,1122743.28,-117.12,155966.32,155849.2,1122626.16,15.58,1
2020-03-20,0,0,45,1148480.4,0.0,148480.4,148480.4,1148480.4,14.85,0
