date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2023-03-17,10,20,16,507176.52,10859.96,0.0,10859.96,518036.48,1.09,10
2023-03-24,7,24,15,432052.15,7011.8,0.0,7011.8,439063.95,0.7,13
2023-03-31,14,23,9,270536.2,17341.85,4364.53,21706.38,287878.05,2.17,20
2023-04-06,19,26,1,261633.77,22424.42,5707.48,28131.9,284058.19,2.81,24
2023-04-13,28,18,0,147903.54,27265.84,10518.81,37784.65,175169.38,3.78,33
2023-04-21,18,19,9,296238.63,20903.22,6031.79,26935.01,317141.85,2.69,31
2023-04-28,24,20,2,253088.41,37180.38,11272.37,48452.75,290268.79,4.85,34
2023-05-05,31,13,2,282342.36,37806.11,18201.7,56007.81,320148.47,5.6,35
2023-05-12,29,14,3,240583.27,35193.08,28944.16,64137.24,275776.35,6.41,37
2023-05-19,15,23,8,356003.91,25512.32,32726.11,58238.43,381516.23,5.82,32
2023-05-26,18,26,2,329956.81,31310.63,42907.15,74217.78,361267.44,7.42,33
2023-06-02,25,17,4,295251.42,30826.83,49133.28,79960.11,326078.25,8.0,34
2023-06-09,19,20,7,321584.33,26882.29,50912.47,77794.76,348466.62,7.78,32
2023-06-16,24,18,4,258610.46,33120.13,66537.87,99658.0,291730.59,9.97,33
2023-06-23,20,19,7,395681.77,20556.04,68844.49,89400.53,416237.81,8.94,27
2023-06-30,24,20,2,232759.42,35377.16,77739.34,113116.5,268136.58,11.31,34
2023-07-07,39,6,1,86162.69,35869.91,94024.04,129893.95,122032.6,12.99,40
2023-07-14,27,17,2,209566.66,38835.78,104707.02,143542.8,248402.44,14.35,38
2023-07-21,26,17,3,256501.73,42665.55,109241.86,151907.41,299167.28,15.19,37
2023-07-28,20,19,7,389975.77,26262.67,144283.15,170545.82,416238.44,17.05,30
2023-08-04,20,15,11,419557.03,26396.93,139999.37,166396.3,445953.96,16.64,28
2023-08-11,13,19,14,473966.82,32394.11,145949.97,178344.08,506360.93,17.83,26
2023-08-18,12,25,9,522755.32,29213.09,149364.05,178577.14,551968.41,17.86,24
2023-08-25,6,35,5,531784.89,25048.48,148892.95,173941.43,556833.37,17.39,23
2023-09-01,18,23,5,404493.87,33414.33,157560.13,190974.46,437908.2,19.1,27
2023-09-08,29,16,1,288082.52,41219.04,178691.33,219910.37,329301.56,21.99,31
2023-09-15,31,13,2,173914.18,44897.84,191031.18,235929.02,218812.02,23.59,38
2023-09-22,14,23,9,474815.72,28754.2,189296.58,218050.78,503569.92,21.81,27
2023-09-29,6,30,10,606583.53,28505.19,191165.2,219670.39,635088.72,21.97,22
2023-10-06,9,29,8,606927.08,20814.05,194907.87,215721.92,627741.13,21.57,21
2023-10-13,17,22,7,513835.68,30364.77,194398.14,224762.91,544200.45,22.48,24
2023-10-20,20,19,7,419751.64,29667.86,198750.37,228418.23,449419.5,22.84,26
