date,buy_signals,hold_signals,sell_signals,capital,unrealized_pnl,realized_pnl,total_pnl,total_value,return_percent,positions_count
2019-03-15,30,10,5,9413.26,23911.34,0.0,23911.34,33324.6,2.39,20
2019-03-22,24,18,3,49439.33,17346.95,-1811.7,15535.25,66786.28,1.55,29
2019-03-28,17,21,7,131165.79,22779.79,6715.87,29495.66,153945.58,2.95,30
2019-04-05,20,19,6,161821.1,22622.08,16491.8,39113.88,184443.18,3.91,33
2019-04-12,12,29,4,222207.69,20261.49,21742.95,42004.44,242469.18,4.2,36
2019-04-18,26,14,5,278331.02,24151.64,32832.29,56983.93,302482.66,5.7,38
2019-04-26,29,12,4,281068.08,24142.75,40648.66,64791.41,305210.83,6.48,38
2019-05-03,16,20,9,379301.49,22522.87,44293.77,66816.64,401824.36,6.68,33
2019-05-10,4,24,17,597491.17,5212.58,39776.88,44989.46,602703.75,4.5,19
2019-05-17,9,18,18,527746.34,11843.46,39690.81,51534.27,539589.8,5.15,18
2019-05-24,25,15,5,124944.36,37061.59,53629.57,90691.16,162005.95,9.07,27
2019-05-31,16,21,8,196330.12,38246.47,48287.47,86533.94,234576.59,8.65,27
2019-06-07,15,19,11,201637.29,39208.62,48023.4,87232.02,240845.91,8.72,27
2019-06-14,11,25,9,251150.61,31822.5,50042.75,81865.25,282973.11,8.19,27
2019-06-21,8,21,16,375519.8,33361.52,47229.0,80590.52,408881.32,8.06,22
2019-06-28,17,20,8,354292.48,40310.06,51862.05,92172.11,394602.54,9.22,23
2019-07-05,14,17,14,468588.14,34012.64,55634.46,89647.1,502600.78,8.96,19
2019-07-12,3,21,21,703268.94,22534.9,51733.27,74268.17,725803.84,7.43,12
2019-07-19,6,17,22,703684.62,20648.08,47574.11,68222.19,724332.7,6.82,10
2019-07-26,11,7,27,575368.16,30070.85,58775.61,88846.46,605439.01,8.88,13
2019-08-02,7,15,23,661027.58,22716.3,52389.08,75105.38,683743.88,7.51,11
2019-08-09,10,18,17,519498.67,31223.19,54268.27,85491.46,550721.86,8.55,14
2019-08-16,12,19,14,507667.31,31707.61,56188.68,87896.29,539374.92,8.79,15
2019-08-23,10,12,23,475440.14,34234.78,58080.09,92314.87,509674.92,9.23,17
2019-08-30,17,14,14,371603.64,29733.61,81484.24,111217.85,401337.25,11.12,22
2019-09-06,14,25,6,461614.3,27133.53,81372.43,108505.96,488747.83,10.85,20
2019-09-13,8,31,6,531984.84,22556.9,85327.9,107884.8,554541.74,10.79,18
2019-09-20,26,9,10,8632.31,40276.68,97890.86,138167.54,48908.99,13.82,31
2019-09-27,24,10,11,218572.32,43598.9,132492.58,176091.48,262171.22,17.61,30
2019-10-04,10,20,15,349963.37,26182.47,129655.78,155838.25,376145.84,15.58,26
2019-10-11,9,23,13,409745.49,32800.39,137409.18,170209.57,442545.88,17.02,25
2019-10-18,33,11,1,13859.48,51893.56,175009.49,226903.05,65753.04,22.69,35
2019-10-25,28,13,4,53721.03,52419.54,179136.82,231556.36,106140.57,23.16,39
2019-11-01,25,17,3,144399.62,60869.4,201584.89,262454.29,205269.02,26.25,42
2019-11-08,19,22,4,329118.33,44808.46,201851.98,246660.44,373926.79,24.67,36
2019-11-15,9,28,8,407331.26,43785.48,199875.61,243661.09,451116.74,24.37,33
2019-11-22,15,14,16,575765.68,29154.65,226640.27,255794.92,604920.33,25.58,24
2019-11-29,20,13,12,508842.6,39620.51,223161.1,262781.61,548463.11,26.28,25
2019-12-06,6,24,15,613693.62,24646.23,221132.34,245778.57,638339.85,24.58,21
2019-12-13,11,23,11,556991.51,26669.22,224727.18,251396.4,583660.73,25.14,22
2019-12-20,21,21,3,364483.82,31588.79,239088.51,270677.3,396072.61,27.07,26
2019-12-27,19,18,8,365383.5,32458.81,239842.11,272300.92,397842.31,27.23,27
2020-01-03,13,24,8,352888.86,34085.63,239479.92,273565.55,386974.49,27.36,29
2020-01-10,16,21,8,343924.09,39052.63,244592.87,283645.5,382976.72,28.36,30
2020-01-17,34,10,1,172195.75,48133.95,264815.09,312949.04,220329.7,31.29,36
2020-01-24,21,15,9,330008.63,48414.96,266333.87,314748.83,378423.59,31.47,31
2020-01-31,10,16,19,657486.93,30577.11,257951.96,288529.07,688064.04,28.85,19
2020-02-07,12,19,14,488002.43,31423.05,276737.95,308161.0,519425.48,30.82,21
2020-02-14,16,22,7,476694.57,31394.48,287615.09,319009.57,508089.05,31.9,22
2020-02-20,12,14,19,429169.44,25946.89,287615.09,313561.98,455116.33,31.36,24
2020-02-28,0,8,37,1047970.72,2613.38,250331.63,252945.01,1050584.1,25.29,5
2020-03-06,2,13,30,1027539.24,2743.76,256643.23,259386.99,1030283.0,25.94,5
2020-03-13,0,4,41,1208320.01,-127.68,244538.57,244410.89,1208192.33,24.44,1
2020-03-20,0,0,45,1236377.69,0.0,236377.69,236377.69,1236377.69,23.64,0
