NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-01-12 18:40:45

BUY SIGNALS (16):
  ICICIBANK.NS    | Price: 1413.10 | Entry: 1384.84 | Target: 1510.24 | Risk: LOW       
  SBIN.NS         | Price: 1015.15 | Entry:  994.85 | Target: 1083.20 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2896.40 | Entry: 2838.47 | Target: 3139.61 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9491.00 | Entry: 9301.18 | Target: 10453.68 | Risk: LOW       
  COALINDIA.NS    | Price:  432.30 | Entry:  423.65 | Target:  482.05 | Risk: LOW       
  EICHERMOT.NS    | Price: 7436.00 | Entry: 7287.28 | Target: 8017.96 | Risk: LOW       
  HCLTECH.NS      | Price: 1667.60 | Entry: 1634.25 | Target: 1802.89 | Risk: LOW       
  HINDUNILVR.NS   | Price: 2406.20 | Entry: 2358.08 | Target: 2572.34 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1182.70 | Entry: 1159.05 | Target: 1298.66 | Risk: LOW       
  NESTLEIND.NS    | Price: 1312.40 | Entry: 1286.15 | Target: 1418.61 | Risk: LOW       
  NTPC.NS         | Price:  337.45 | Entry:   330.7 | Target:  368.56 | Risk: LOW       
  SBILIFE.NS      | Price: 2098.00 | Entry: 2056.04 | Target: 2252.86 | Risk: LOW       
  TITAN.NS        | Price: 4231.60 | Entry: 4146.97 | Target: 4583.85 | Risk: LOW       
  TATASTEEL.NS    | Price:  183.24 | Entry:  179.58 | Target:  201.96 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 12098.00 | Entry: 11856.04 | Target: 12870.86 | Risk: LOW       
  VBL.NS          | Price:  493.80 | Entry:  483.92 | Target:  545.78 | Risk: LOW       

HOLD SIGNALS (21):
  TCS.NS          | Price: 3239.60 | Trend:   1.83% | Mom:  -0.37% | Risk: LOW       
  LT.NS           | Price: 4019.00 | Trend:  -0.30% | Mom:  -0.49% | Risk: LOW       
  MARUTI.NS       | Price: 16582.00 | Trend:   2.28% | Mom:   0.24% | Risk: LOW       
  ADANIPORTS.NS   | Price: 1443.50 | Trend:  -2.91% | Mom:  -0.75% | Risk: LOW       
  BAJAJFINSV.NS   | Price: 1998.90 | Trend:  -2.57% | Mom:  -0.66% | Risk: LOW       
  BRITANNIA.NS    | Price: 5943.50 | Trend:  -0.08% | Mom:  -1.62% | Risk: LOW       
  COLPAL.NS       | Price: 2096.50 | Trend:  -1.83% | Mom:   1.28% | Risk: LOW       
  DIVISLAB.NS     | Price: 6485.50 | Trend:   0.08% | Mom:   1.49% | Risk: LOW       
  GRASIM.NS       | Price: 2806.70 | Trend:   0.76% | Mom:  -1.26% | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5726.50 | Trend:  -1.94% | Mom:   2.88% | Risk: LOW       
  INFY.NS         | Price: 1595.90 | Trend:   0.94% | Mom:  -2.97% | Risk: LOW       
  KOTAKBANK.NS    | Price: 2133.30 | Trend:  -0.04% | Mom:  -1.17% | Risk: LOW       
  LTIM.NS         | Price: 6000.50 | Trend:  -0.48% | Mom:  -0.55% | Risk: LOW       
  M&M.NS          | Price: 3682.00 | Trend:   0.04% | Mom:   2.50% | Risk: LOW       
  ONGC.NS         | Price:  235.71 | Trend:  -2.04% | Mom:   0.38% | Risk: LOW       
  POWERGRID.NS    | Price:  258.55 | Trend:  -3.40% | Mom:  -0.79% | Risk: LOW       
  SUNPHARMA.NS    | Price: 1736.00 | Trend:  -1.30% | Mom:   1.09% | Risk: LOW       
  TECHM.NS        | Price: 1586.10 | Trend:   3.22% | Mom:  -1.63% | Risk: LOW       
  TATACONSUM.NS   | Price: 1192.30 | Trend:   1.75% | Mom:  -0.24% | Risk: LOW       
  WIPRO.NS        | Price:  263.10 | Trend:   2.99% | Mom:  -0.43% | Risk: LOW       
  ZEEL.NS         | Price:   89.93 | Trend:  -5.71% | Mom:  -0.89% | Risk: LOW       

SELL SIGNALS (9):
  RELIANCE.NS     | Price: 1483.20 | Target: 1353.41 | Risk: LOW        | Conf: 100%
  BHARTIARTL.NS   | Price: 2044.00 | Target: 1896.75 | Risk: LOW        | Conf: 80%
  ITC.NS          | Price:  338.40 | Target:  296.79 | Risk: LOW        | Conf: 100%
  BPCL.NS         | Price:  358.75 | Target:  313.45 | Risk: LOW        | Conf: 100%
  CIPLA.NS        | Price: 1465.20 | Target: 1359.49 | Risk: LOW        | Conf: 80%
  DRREDDY.NS      | Price: 1215.50 | Target: 1120.61 | Risk: LOW        | Conf: 100%
  GAIL.NS         | Price:  166.55 | Target:  152.70 | Risk: LOW        | Conf: 100%
  HDFCBANK.NS     | Price:  936.95 | Target:  872.50 | Risk: LOW        | Conf: 100%
  POLICYBZR.NS    | Price: 1675.50 | Target: 1470.96 | Risk: LOW        | Conf: 100%
