NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-01-12 18:54:56

BUY SIGNALS (101):
  IFCI.NS         | Price:   56.43 | Entry:    55.3 | Target:   67.56 | Risk: LOW       
  FORCEMOT.NS     | Price: 19900.00 | Entry: 19502.0 | Target: 24244.64 | Risk: LOW       
  HINDCOPPER.NS   | Price:  545.70 | Entry:  534.79 | Target:  697.09 | Risk: LOW       
  BSE.NS          | Price: 2790.60 | Entry: 2734.79 | Target: 3130.35 | Risk: LOW       
  HINDZINC.NS     | Price:  628.25 | Entry:  615.68 | Target:  736.11 | Risk: LOW       
  PFC.NS          | Price:  371.80 | Entry:  364.36 | Target:  414.80 | Risk: LOW       
  SJVN.NS         | Price:   80.53 | Entry:   78.92 | Target:   96.18 | Risk: LOW       
  COALINDIA.NS    | Price:  432.30 | Entry:  423.65 | Target:  482.05 | Risk: LOW       
  LINDEINDIA.NS   | Price: 6105.00 | Entry:  5982.9 | Target: 6770.36 | Risk: LOW       
  VEDL.NS         | Price:  627.35 | Entry:   614.8 | Target:  698.47 | Risk: LOW       
  INDUSINDBK.NS   | Price:  905.45 | Entry:  887.34 | Target: 1013.40 | Risk: LOW       
  TATASTEEL.NS    | Price:  183.24 | Entry:  179.58 | Target:  201.96 | Risk: LOW       
  SAIL.NS         | Price:  149.22 | Entry:  146.24 | Target:  173.71 | Risk: LOW       
  IEX.NS          | Price:  142.02 | Entry:  139.18 | Target:  174.80 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2896.40 | Entry: 2838.47 | Target: 3139.61 | Risk: LOW       
  MAHABANK.NS     | Price:   63.77 | Entry:   62.49 | Target:   71.83 | Risk: LOW       
  MUTHOOTFIN.NS   | Price: 3909.00 | Entry: 3830.82 | Target: 4351.68 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1182.70 | Entry: 1159.05 | Target: 1298.66 | Risk: LOW       
  BALKRISIND.NS   | Price: 2413.40 | Entry: 2365.13 | Target: 2607.47 | Risk: LOW       
  HINDALCO.NS     | Price:  920.15 | Entry:  901.75 | Target: 1024.20 | Risk: LOW       
  MCX.NS          | Price: 2235.00 | Entry:  2190.3 | Target: 2540.50 | Risk: LOW       
  TORNTPOWER.NS   | Price: 1351.10 | Entry: 1324.08 | Target: 1525.31 | Risk: LOW       
  RECLTD.NS       | Price:  370.50 | Entry:  363.09 | Target:  416.71 | Risk: LOW       
  NMDC.NS         | Price:   81.76 | Entry:   80.12 | Target:   93.78 | Risk: LOW       
  AIIL.NS         | Price: 3098.60 | Entry: 3036.63 | Target: 3548.89 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 12098.00 | Entry: 11856.04 | Target: 12870.86 | Risk: LOW       
  HINDUNILVR.NS   | Price: 2406.20 | Entry: 2358.08 | Target: 2572.34 | Risk: LOW       
  ALKEM.NS        | Price: 5867.00 | Entry: 5749.66 | Target: 6403.43 | Risk: LOW       
  SBIN.NS         | Price: 1015.15 | Entry:  994.85 | Target: 1083.20 | Risk: LOW       
  NETWEB.NS       | Price: 3346.40 | Entry: 3279.47 | Target: 3959.08 | Risk: LOW       
  UNIONBANK.NS    | Price:  163.98 | Entry:   160.7 | Target:  182.03 | Risk: LOW       
  OIL.NS          | Price:  425.60 | Entry:  417.09 | Target:  476.33 | Risk: LOW       
  PIDILITIND.NS   | Price: 1500.80 | Entry: 1470.78 | Target: 1610.76 | Risk: LOW       
  JSWENERGY.NS    | Price:  498.80 | Entry:  488.82 | Target:  558.19 | Risk: LOW       
  ICICIBANK.NS    | Price: 1413.10 | Entry: 1384.84 | Target: 1510.24 | Risk: LOW       
  NESTLEIND.NS    | Price: 1312.40 | Entry: 1286.15 | Target: 1418.61 | Risk: LOW       
  SBILIFE.NS      | Price: 2098.00 | Entry: 2056.04 | Target: 2252.86 | Risk: LOW       
  AUBANK.NS       | Price: 1007.80 | Entry:  987.64 | Target: 1092.48 | Risk: LOW       
  GODREJCP.NS     | Price: 1236.20 | Entry: 1211.48 | Target: 1346.16 | Risk: LOW       
  BDL.NS          | Price: 1533.00 | Entry: 1502.34 | Target: 1751.04 | Risk: LOW       
  AIAENG.NS       | Price: 3986.80 | Entry: 3907.06 | Target: 4711.80 | Risk: LOW       
  VBL.NS          | Price:  493.80 | Entry:  483.92 | Target:  545.78 | Risk: LOW       
  NATIONALUM.NS   | Price:  350.05 | Entry:  343.05 | Target:  413.75 | Risk: LOW       
  BANKBARODA.NS   | Price:  302.20 | Entry:  296.16 | Target:  332.20 | Risk: LOW       
  IDBI.NS         | Price:  104.21 | Entry:  102.13 | Target:  122.82 | Risk: LOW       
  PNBHOUSING.NS   | Price:  977.65 | Entry:   958.1 | Target: 1095.33 | Risk: LOW       
  SHREECEM.NS     | Price: 27165.00 | Entry: 26621.7 | Target: 29418.57 | Risk: LOW       
  TITAN.NS        | Price: 4231.60 | Entry: 4146.97 | Target: 4583.85 | Risk: LOW       
  INDIACEM.NS     | Price:  467.85 | Entry:  458.49 | Target:  542.85 | Risk: LOW       
  ABCAPITAL.NS    | Price:  355.25 | Entry:  348.14 | Target:  393.79 | Risk: LOW       
  NHPC.NS         | Price:   82.80 | Entry:   81.14 | Target:   91.71 | Risk: LOW       
  NTPC.NS         | Price:  337.45 | Entry:   330.7 | Target:  368.56 | Risk: LOW       
  YESBANK.NS      | Price:   22.96 | Entry:    22.5 | Target:   25.44 | Risk: LOW       
  THELEELA.NS     | Price:  432.80 | Entry:  424.14 | Target:  506.82 | Risk: LOW       
  PNB.NS          | Price:  123.16 | Entry:   120.7 | Target:  135.00 | Risk: LOW       
  DABUR.NS        | Price:  524.00 | Entry:  513.52 | Target:  577.02 | Risk: LOW       
  HCLTECH.NS      | Price: 1667.60 | Entry: 1634.25 | Target: 1802.89 | Risk: LOW       
  BANKINDIA.NS    | Price:  145.89 | Entry:  142.97 | Target:  163.28 | Risk: LOW       
  AXISBANK.NS     | Price: 1274.20 | Entry: 1248.72 | Target: 1355.52 | Risk: LOW       
  LUPIN.NS        | Price: 2188.40 | Entry: 2144.63 | Target: 2381.29 | Risk: LOW       
  VOLTAS.NS       | Price: 1468.20 | Entry: 1438.84 | Target: 1644.31 | Risk: LOW       
  CRISIL.NS       | Price: 4757.20 | Entry: 4662.06 | Target: 5344.13 | Risk: LOW       
  PGEL.NS         | Price:  595.55 | Entry:  583.64 | Target:  691.19 | Risk: LOW       
  KARURVYSYA.NS   | Price:  263.60 | Entry:  258.33 | Target:  311.17 | Risk: LOW       
  TVSMOTOR.NS     | Price: 3754.80 | Entry:  3679.7 | Target: 4125.80 | Risk: LOW       
  VENTIVE.NS      | Price:  745.75 | Entry:  730.84 | Target:  861.05 | Risk: LOW       
  TATAELXSI.NS    | Price: 5693.50 | Entry: 5579.63 | Target: 6479.57 | Risk: LOW       
  BEL.NS          | Price:  417.70 | Entry:  409.35 | Target:  457.68 | Risk: LOW       
  ICICIPRULI.NS   | Price:  680.75 | Entry:  667.13 | Target:  737.38 | Risk: LOW       
  INDUSTOWER.NS   | Price:  432.60 | Entry:  423.95 | Target:  494.96 | Risk: LOW       
  PETRONET.NS     | Price:  286.30 | Entry:  280.57 | Target:  319.53 | Risk: LOW       
  ASHOKLEY.NS     | Price:  187.01 | Entry:  183.27 | Target:  208.17 | Risk: LOW       
  BLUESTARCO.NS   | Price: 1793.30 | Entry: 1757.43 | Target: 2050.05 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1885.10 | Entry:  1847.4 | Target: 2092.39 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3131.70 | Entry: 3069.07 | Target: 3437.59 | Risk: LOW       
  AJANTPHARM.NS   | Price: 2729.50 | Entry: 2674.91 | Target: 3209.57 | Risk: LOW       
  TORNTPHARM.NS   | Price: 3949.80 | Entry:  3870.8 | Target: 4297.62 | Risk: LOW       
  SHRIRAMFIN.NS   | Price:  972.80 | Entry:  953.34 | Target: 1076.80 | Risk: LOW       
  IIFL.NS         | Price:  641.75 | Entry:  628.91 | Target:  732.61 | Risk: LOW       
  SOBHA.NS        | Price: 1549.40 | Entry: 1518.41 | Target: 1785.11 | Risk: LOW       
  POLYCAB.NS      | Price: 7629.00 | Entry: 7476.42 | Target: 8394.00 | Risk: LOW       
  CYIENT.NS       | Price: 1152.70 | Entry: 1129.65 | Target: 1304.56 | Risk: LOW       
  RAMCOCEM.NS     | Price: 1083.50 | Entry: 1061.83 | Target: 1207.82 | Risk: LOW       
  HONASA.NS       | Price:  287.00 | Entry:  281.26 | Target:  342.59 | Risk: LOW       
  EICHERMOT.NS    | Price: 7436.00 | Entry: 7287.28 | Target: 8017.96 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9491.00 | Entry: 9301.18 | Target: 10453.68 | Risk: LOW       
  BOSCHLTD.NS     | Price: 37660.00 | Entry: 36906.8 | Target: 42554.64 | Risk: LOW       
  KALYANKJIL.NS   | Price:  501.40 | Entry:  491.37 | Target:  568.33 | Risk: LOW       
  HAVELLS.NS      | Price: 1450.40 | Entry: 1421.39 | Target: 1581.58 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 1872.80 | Entry: 1835.34 | Target: 2040.94 | Risk: LOW       
  SOLARINDS.NS    | Price: 13042.00 | Entry: 12781.16 | Target: 14960.57 | Risk: LOW       
  PERSISTENT.NS   | Price: 6325.50 | Entry: 6198.99 | Target: 7063.89 | Risk: LOW       
  GUJGASLTD.NS    | Price:  416.85 | Entry:  408.51 | Target:  473.74 | Risk: LOW       
  GRAPHITE.NS     | Price:  618.90 | Entry:  606.52 | Target:  751.60 | Risk: LOW       
  RRKABEL.NS      | Price: 1488.20 | Entry: 1458.44 | Target: 1701.74 | Risk: LOW       
  NIVABUPA.NS     | Price:   78.01 | Entry:   76.45 | Target:   86.00 | Risk: LOW       
  NAVA.NS         | Price:  568.50 | Entry:  557.13 | Target:  671.61 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 7495.50 | Entry: 7345.59 | Target: 9069.79 | Risk: LOW       
  GSPL.NS         | Price:  306.40 | Entry:  300.27 | Target:  344.60 | Risk: LOW       
  IPCALAB.NS      | Price: 1527.80 | Entry: 1497.24 | Target: 1775.30 | Risk: LOW       
  EMCURE.NS       | Price: 1499.10 | Entry: 1469.12 | Target: 1796.78 | Risk: LOW       

HOLD SIGNALS (141):
  IREDA.NS        | Price:  141.50 | Trend:   0.07% | Mom:   2.01% | Risk: LOW       
  ANANTRAJ.NS     | Price:  568.45 | Trend:  -1.00% | Mom:   6.13% | Risk: LOW       
  CHENNPETRO.NS   | Price:  808.55 | Trend: -12.50% | Mom:  -0.42% | Risk: LOW       
  MANAPPURAM.NS   | Price:  294.20 | Trend:   2.12% | Mom:  -5.25% | Risk: LOW       
  GMDCLTD.NS      | Price:  563.75 | Trend:   2.60% | Mom:  -5.61% | Risk: LOW       
  COLPAL.NS       | Price: 2096.50 | Trend:  -1.83% | Mom:   1.28% | Risk: LOW       
  3MINDIA.NS      | Price: 34830.00 | Trend:  -0.99% | Mom:   1.50% | Risk: LOW       
  BRIGADE.NS      | Price:  872.25 | Trend:  -3.39% | Mom:  -0.75% | Risk: LOW       
  ATUL.NS         | Price: 6191.00 | Trend:   4.01% | Mom:   0.63% | Risk: LOW       
  NLCINDIA.NS     | Price:  255.90 | Trend:   2.14% | Mom:  -0.20% | Risk: LOW       
  JSWCEMENT.NS    | Price:  120.41 | Trend:   0.16% | Mom:   1.56% | Risk: LOW       
  PIIND.NS        | Price: 3256.40 | Trend:  -3.84% | Mom:   0.48% | Risk: LOW       
  MEDANTA.NS      | Price: 1193.80 | Trend:  -0.36% | Mom:   3.49% | Risk: LOW       
  M&MFIN.NS       | Price:  353.55 | Trend:  -0.33% | Mom:  -8.50% | Risk: LOW       
  GLAND.NS        | Price: 1703.00 | Trend:  -2.79% | Mom:   3.21% | Risk: LOW       
  MRF.NS          | Price: 148735.00 | Trend:  -3.07% | Mom:  -0.02% | Risk: LOW       
  IRFC.NS         | Price:  122.63 | Trend:   2.51% | Mom:  -2.94% | Risk: LOW       
  PTCIL.NS        | Price: 17948.00 | Trend:   0.33% | Mom:  -6.40% | Risk: LOW       
  HAL.NS          | Price: 4518.40 | Trend:   0.48% | Mom:   3.29% | Risk: LOW       
  GRSE.NS         | Price: 2480.40 | Trend:  -3.03% | Mom:  -0.12% | Risk: LOW       
  JINDALSTEL.NS   | Price: 1023.40 | Trend:  -1.31% | Mom:   3.32% | Risk: LOW       
  TATACONSUM.NS   | Price: 1192.30 | Trend:   1.75% | Mom:  -0.24% | Risk: LOW       
  GESHIP.NS       | Price: 1100.00 | Trend:  -0.11% | Mom:  -0.24% | Risk: LOW       
  NSLNISP.NS      | Price:   42.08 | Trend:  -0.52% | Mom:   0.69% | Risk: LOW       
  LODHA.NS        | Price: 1077.80 | Trend:  -4.51% | Mom:   1.23% | Risk: LOW       
  MMTC.NS         | Price:   63.52 | Trend:   2.92% | Mom: -10.12% | Risk: LOW       
  TCS.NS          | Price: 3239.60 | Trend:   1.83% | Mom:  -0.37% | Risk: LOW       
  SAGILITY.NS     | Price:   50.60 | Trend:  -0.47% | Mom:  -3.10% | Risk: LOW       
  IKS.NS          | Price: 1665.20 | Trend:   0.45% | Mom:   0.21% | Risk: LOW       
  CONCORDBIO.NS   | Price: 1336.30 | Trend:  -4.17% | Mom:   0.01% | Risk: LOW       
  GRASIM.NS       | Price: 2806.70 | Trend:   0.76% | Mom:  -1.26% | Risk: LOW       
  MAZDOCK.NS      | Price: 2521.20 | Trend:  -2.60% | Mom:  -0.63% | Risk: LOW       
  GICRE.NS        | Price:  369.20 | Trend:  -2.63% | Mom:  -0.07% | Risk: LOW       
  DALBHARAT.NS    | Price: 2073.60 | Trend:   1.16% | Mom:  -3.97% | Risk: LOW       
  COFORGE.NS      | Price: 1697.10 | Trend:  -5.58% | Mom:   0.82% | Risk: LOW       
  ADANIPOWER.NS   | Price:  142.54 | Trend:  -2.75% | Mom:   1.50% | Risk: LOW       
  CENTRALBK.NS    | Price:   37.23 | Trend:  -1.07% | Mom:   1.78% | Risk: LOW       
  APLAPOLLO.NS    | Price: 1904.80 | Trend:   5.71% | Mom:   0.86% | Risk: LOW       
  ZENSARTECH.NS   | Price:  712.25 | Trend:  -1.76% | Mom:  -0.12% | Risk: LOW       
  IOB.NS          | Price:   35.29 | Trend:  -5.28% | Mom:   4.28% | Risk: LOW       
  DMART.NS        | Price: 3832.50 | Trend:  -1.90% | Mom:   1.17% | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1612.70 | Trend:  -3.58% | Mom:   1.72% | Risk: LOW       
  ADANIPORTS.NS   | Price: 1443.50 | Trend:  -2.91% | Mom:  -0.75% | Risk: LOW       
  KEI.NS          | Price: 4368.10 | Trend:   3.85% | Mom:  -0.57% | Risk: LOW       
  MANKIND.NS      | Price: 2224.30 | Trend:   0.11% | Mom:   1.94% | Risk: LOW       
  MARUTI.NS       | Price: 16582.00 | Trend:   2.28% | Mom:   0.24% | Risk: LOW       
  HDFCLIFE.NS     | Price:  754.65 | Trend:  -0.90% | Mom:   1.10% | Risk: LOW       
  ONGC.NS         | Price:  235.71 | Trend:  -2.04% | Mom:   0.38% | Risk: LOW       
  AADHARHFC.NS    | Price:  478.30 | Trend:  -2.25% | Mom:   0.24% | Risk: LOW       
  BHARATFORG.NS   | Price: 1456.60 | Trend:   2.75% | Mom:   0.75% | Risk: LOW       
  UCOBANK.NS      | Price:   28.91 | Trend:  -3.84% | Mom:   1.40% | Risk: LOW       
  WIPRO.NS        | Price:  263.10 | Trend:   2.99% | Mom:  -0.43% | Risk: LOW       
  IRCON.NS        | Price:  163.77 | Trend:   0.12% | Mom:  -5.21% | Risk: LOW       
  RVNL.NS         | Price:  331.65 | Trend:   0.94% | Mom:  -9.78% | Risk: LOW       
  MARICO.NS       | Price:  756.20 | Trend:   2.64% | Mom:   0.41% | Risk: LOW       
  BAJAJFINSV.NS   | Price: 1998.90 | Trend:  -2.57% | Mom:  -0.66% | Risk: LOW       
  ECLERX.NS       | Price: 4596.40 | Trend:  -0.03% | Mom:   0.08% | Risk: LOW       
  POWERGRID.NS    | Price:  258.55 | Trend:  -3.40% | Mom:  -0.79% | Risk: LOW       
  SUNPHARMA.NS    | Price: 1736.00 | Trend:  -1.30% | Mom:   1.09% | Risk: LOW       
  GLENMARK.NS     | Price: 2017.50 | Trend:   3.52% | Mom:   0.39% | Risk: LOW       
  KOTAKBANK.NS    | Price: 2133.30 | Trend:  -0.04% | Mom:  -1.17% | Risk: LOW       
  UPL.NS          | Price:  773.85 | Trend:   1.56% | Mom:   0.38% | Risk: LOW       
  ETERNAL.NS      | Price:  285.25 | Trend:  -3.25% | Mom:   0.85% | Risk: LOW       
  SRF.NS          | Price: 3046.00 | Trend:   3.01% | Mom:  -0.97% | Risk: LOW       
  AKZOINDIA.NS    | Price: 3138.30 | Trend:  -5.29% | Mom:  -0.28% | Risk: LOW       
  M&M.NS          | Price: 3682.00 | Trend:   0.04% | Mom:   2.50% | Risk: LOW       
  TECHM.NS        | Price: 1586.10 | Trend:   3.22% | Mom:  -1.63% | Risk: LOW       
  MINDACORP.NS    | Price:  579.75 | Trend:  -1.76% | Mom:   2.29% | Risk: LOW       
  AKUMS.NS        | Price:  444.30 | Trend:   1.68% | Mom:  -0.64% | Risk: LOW       
  TIMKEN.NS       | Price: 2968.00 | Trend:  -3.05% | Mom:  -0.44% | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7268.50 | Trend:  -0.02% | Mom:   2.60% | Risk: LOW       
  SUPREMEIND.NS   | Price: 3498.70 | Trend:   0.28% | Mom:   6.80% | Risk: LOW       
  APOLLOTYRE.NS   | Price:  503.70 | Trend:  -2.11% | Mom:   1.44% | Risk: LOW       
  IDEA.NS         | Price:   11.25 | Trend:   3.76% | Mom:  -5.94% | Risk: LOW       
  CONCOR.NS       | Price:  513.05 | Trend:  -0.34% | Mom:  -1.33% | Risk: LOW       
