NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-01-16 15:07:10

BUY SIGNALS (86):
  IFCI.NS         | Price:   60.85 | Entry:   59.63 | Target:   74.89 | Risk: LOW       
  SBFC.NS         | Price:  107.36 | Entry:  105.21 | Target:  120.67 | Risk: LOW       
  HINDCOPPER.NS   | Price:  562.85 | Entry:  551.59 | Target:  712.12 | Risk: LOW       
  BSE.NS          | Price: 2814.70 | Entry: 2758.41 | Target: 3197.66 | Risk: LOW       
  HINDZINC.NS     | Price:  640.80 | Entry:  627.98 | Target:  759.46 | Risk: LOW       
  PFC.NS          | Price:  376.55 | Entry:  369.02 | Target:  423.17 | Risk: LOW       
  COALINDIA.NS    | Price:  430.75 | Entry:  422.13 | Target:  484.29 | Risk: LOW       
  LINDEINDIA.NS   | Price: 6105.00 | Entry:  5982.9 | Target: 6754.64 | Risk: LOW       
  VEDL.NS         | Price:  682.70 | Entry:  669.05 | Target:  773.36 | Risk: LOW       
  INDUSINDBK.NS   | Price:  953.80 | Entry:  934.72 | Target: 1078.10 | Risk: LOW       
  TATASTEEL.NS    | Price:  188.01 | Entry:  184.25 | Target:  210.92 | Risk: LOW       
  MAHABANK.NS     | Price:   66.73 | Entry:    65.4 | Target:   76.74 | Risk: LOW       
  MUTHOOTFIN.NS   | Price: 3944.10 | Entry: 3865.22 | Target: 4398.60 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1186.70 | Entry: 1162.97 | Target: 1318.81 | Risk: LOW       
  BALKRISIND.NS   | Price: 2449.00 | Entry: 2400.02 | Target: 2680.14 | Risk: LOW       
  HINDALCO.NS     | Price:  934.60 | Entry:  915.91 | Target: 1054.03 | Risk: LOW       
  MCX.NS          | Price: 2442.00 | Entry: 2393.16 | Target: 2827.57 | Risk: LOW       
  TORNTPOWER.NS   | Price: 1362.00 | Entry: 1334.76 | Target: 1551.14 | Risk: LOW       
  RECLTD.NS       | Price:  371.90 | Entry:  364.46 | Target:  423.29 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 6154.00 | Entry: 6030.92 | Target: 7165.61 | Risk: LOW       
  JSWCEMENT.NS    | Price:  121.69 | Entry:  119.26 | Target:  136.00 | Risk: LOW       
  ANGELONE.NS     | Price: 2747.50 | Entry: 2692.55 | Target: 3208.79 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 12361.00 | Entry: 12113.78 | Target: 13497.43 | Risk: LOW       
  ALKEM.NS        | Price: 5838.00 | Entry: 5721.24 | Target: 6437.64 | Risk: LOW       
  SBIN.NS         | Price: 1042.20 | Entry: 1021.36 | Target: 1120.00 | Risk: LOW       
  NETWEB.NS       | Price: 3320.00 | Entry:  3253.6 | Target: 4059.21 | Risk: LOW       
  UNIONBANK.NS    | Price:  176.00 | Entry:  172.48 | Target:  202.29 | Risk: LOW       
  OIL.NS          | Price:  449.95 | Entry:  440.95 | Target:  517.27 | Risk: LOW       
  HYUNDAI.NS      | Price: 2343.50 | Entry: 2296.63 | Target: 2576.93 | Risk: LOW       
