NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-02-28 18:57:33

BUY SIGNALS (152):
  FORCEMOT.NS     | Price: 24341.00 | Entry: 23854.18 | Target: 30645.64 | Risk: LOW       
  SARDAEN.NS      | Price:  551.60 | Entry:  540.57 | Target:  637.19 | Risk: LOW       
  PFC.NS          | Price:  413.80 | Entry:  405.52 | Target:  464.97 | Risk: LOW       
  COALINDIA.NS    | Price:  430.65 | Entry:  422.04 | Target:  476.75 | Risk: LOW       
  CHENNPETRO.NS   | Price:  961.95 | Entry:  942.71 | Target: 1111.18 | Risk: LOW       
  VTL.NS          | Price:  542.55 | Entry:   531.7 | Target:  655.71 | Risk: LOW       
  VEDL.NS         | Price:  718.40 | Entry:  704.03 | Target:  816.67 | Risk: LOW       
  INDUSINDBK.NS   | Price:  956.75 | Entry:  937.62 | Target: 1060.05 | Risk: LOW       
  TATASTEEL.NS    | Price:  212.33 | Entry:  208.08 | Target:  238.99 | Risk: LOW       
  SAIL.NS         | Price:  165.71 | Entry:   162.4 | Target:  190.28 | Risk: LOW       
  MAHABANK.NS     | Price:   74.76 | Entry:   73.26 | Target:   86.24 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1264.70 | Entry: 1239.41 | Target: 1375.63 | Risk: LOW       
  MCX.NS          | Price: 2443.30 | Entry: 2394.43 | Target: 2882.73 | Risk: LOW       
  COLPAL.NS       | Price: 2254.50 | Entry: 2209.41 | Target: 2476.64 | Risk: LOW       
  3MINDIA.NS      | Price: 37505.00 | Entry: 36754.9 | Target: 44042.50 | Risk: LOW       
  TORNTPOWER.NS   | Price: 1566.40 | Entry: 1535.07 | Target: 1810.25 | Risk: LOW       
  MRPL.NS         | Price:  196.65 | Entry:  192.72 | Target:  230.53 | Risk: LOW       
  NMDC.NS         | Price:   81.74 | Entry:   80.11 | Target:   92.41 | Risk: LOW       
  JSWCEMENT.NS    | Price:  125.08 | Entry:  122.58 | Target:  143.92 | Risk: LOW       
  GAIL.NS         | Price:  169.53 | Entry:  166.14 | Target:  185.10 | Risk: LOW       
  GLAND.NS        | Price: 1822.20 | Entry: 1785.76 | Target: 2067.63 | Risk: LOW       
  ALKEM.NS        | Price: 5639.50 | Entry: 5526.71 | Target: 6407.94 | Risk: LOW       
  BPCL.NS         | Price:  385.40 | Entry:  377.69 | Target:  427.29 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4357.20 | Entry: 4270.06 | Target: 5031.24 | Risk: LOW       
  NETWEB.NS       | Price: 3861.40 | Entry: 3784.17 | Target: 4817.40 | Risk: LOW       
  UNIONBANK.NS    | Price:  202.27 | Entry:  198.22 | Target:  230.41 | Risk: LOW       
  OIL.NS          | Price:  483.90 | Entry:  474.22 | Target:  557.32 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1244.20 | Entry: 1219.32 | Target: 1377.52 | Risk: LOW       
  GESHIP.NS       | Price: 1338.90 | Entry: 1312.12 | Target: 1533.40 | Risk: LOW       
  JSWENERGY.NS    | Price:  487.75 | Entry:   478.0 | Target:  549.55 | Risk: LOW       
  ENGINERSIN.NS   | Price:  221.75 | Entry:  217.31 | Target:  279.32 | Risk: LOW       
  GODREJCP.NS     | Price: 1217.50 | Entry: 1193.15 | Target: 1331.68 | Risk: LOW       
  MGL.NS          | Price: 1219.80 | Entry:  1195.4 | Target: 1374.31 | Risk: LOW       
  NATIONALUM.NS   | Price:  354.60 | Entry:  347.51 | Target:  404.81 | Risk: LOW       
  CENTRALBK.NS    | Price:   40.07 | Entry:   39.27 | Target:   45.01 | Risk: LOW       
  BANKBARODA.NS   | Price:  321.95 | Entry:  315.51 | Target:  354.79 | Risk: LOW       
  IOB.NS          | Price:   36.45 | Entry:   35.72 | Target:   40.74 | Risk: LOW       
  IDBI.NS         | Price:  116.01 | Entry:  113.69 | Target:  136.39 | Risk: LOW       
  KEI.NS          | Price: 5080.40 | Entry: 4978.79 | Target: 5726.65 | Risk: LOW       
  MANKIND.NS      | Price: 2247.60 | Entry: 2202.65 | Target: 2485.99 | Risk: LOW       
