NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-05 19:43:54

BUY SIGNALS (65):
  SARDAEN.NS      | Price:  542.65 | Entry:   531.8 | Target:  640.38 | Risk: LOW       
  COALINDIA.NS    | Price:  449.40 | Entry:  440.41 | Target:  504.33 | Risk: LOW       
  CHENNPETRO.NS   | Price:  991.50 | Entry:  971.67 | Target: 1195.20 | Risk: LOW       
  VTL.NS          | Price:  546.50 | Entry:  535.57 | Target:  665.61 | Risk: LOW       
  VEDL.NS         | Price:  711.25 | Entry:  697.02 | Target:  832.05 | Risk: LOW       
  MAHABANK.NS     | Price:   71.39 | Entry:   69.96 | Target:   85.26 | Risk: LOW       
  HINDALCO.NS     | Price:  954.95 | Entry:  935.85 | Target: 1113.49 | Risk: LOW       
  MCX.NS          | Price: 2553.50 | Entry: 2502.43 | Target: 2986.93 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 6504.50 | Entry: 6374.41 | Target: 7740.39 | Risk: LOW       
  MRPL.NS         | Price:  196.24 | Entry:  192.32 | Target:  234.66 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4288.90 | Entry: 4203.12 | Target: 5070.83 | Risk: LOW       
  OIL.NS          | Price:  479.10 | Entry:  469.52 | Target:  564.62 | Risk: LOW       
  GESHIP.NS       | Price: 1389.40 | Entry: 1361.61 | Target: 1612.76 | Risk: LOW       
  NATIONALUM.NS   | Price:  395.95 | Entry:  388.03 | Target:  464.86 | Risk: LOW       
  KEI.NS          | Price: 4920.50 | Entry: 4822.09 | Target: 5776.79 | Risk: LOW       
  MANKIND.NS      | Price: 2226.40 | Entry: 2181.87 | Target: 2505.29 | Risk: LOW       
  ONGC.NS         | Price:  276.35 | Entry:  270.82 | Target:  316.53 | Risk: LOW       
  BHARATFORG.NS   | Price: 1898.40 | Entry: 1860.43 | Target: 2157.41 | Risk: LOW       
  NTPC.NS         | Price:  378.05 | Entry:  370.49 | Target:  420.19 | Risk: LOW       
  DRREDDY.NS      | Price: 1313.50 | Entry: 1287.23 | Target: 1464.18 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1784.50 | Entry: 1748.81 | Target: 1933.43 | Risk: LOW       
  GLENMARK.NS     | Price: 2108.90 | Entry: 2066.72 | Target: 2364.76 | Risk: LOW       
  LUPIN.NS        | Price: 2332.90 | Entry: 2286.24 | Target: 2555.69 | Risk: LOW       
  TIMKEN.NS       | Price: 3352.90 | Entry: 3285.84 | Target: 3923.97 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7775.00 | Entry:  7619.5 | Target: 8413.70 | Risk: LOW       
  SUNTV.NS        | Price:  595.30 | Entry:  583.39 | Target:  706.73 | Risk: LOW       
  CCL.NS          | Price: 1029.10 | Entry: 1008.52 | Target: 1221.51 | Risk: LOW       
  BANDHANBNK.NS   | Price:  185.03 | Entry:  181.33 | Target:  214.78 | Risk: LOW       
  J&KBANK.NS      | Price:  120.95 | Entry:  118.53 | Target:  143.81 | Risk: LOW       
