NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-06 19:11:00

BUY SIGNALS (85):
  SARDAEN.NS      | Price:  553.50 | Entry:  542.43 | Target:  652.32 | Risk: LOW       
  COALINDIA.NS    | Price:  440.45 | Entry:  431.64 | Target:  496.13 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1007.50 | Entry:  987.35 | Target: 1220.73 | Risk: LOW       
  VTL.NS          | Price:  538.90 | Entry:  528.12 | Target:  645.79 | Risk: LOW       
  VEDL.NS         | Price:  721.00 | Entry:  706.58 | Target:  837.30 | Risk: LOW       
  MAHABANK.NS     | Price:   70.13 | Entry:   68.73 | Target:   84.24 | Risk: LOW       
  HINDALCO.NS     | Price:  958.90 | Entry:  939.72 | Target: 1104.97 | Risk: LOW       
  MCX.NS          | Price: 2533.90 | Entry: 2483.22 | Target: 2948.47 | Risk: LOW       
  COLPAL.NS       | Price: 2204.60 | Entry: 2160.51 | Target: 2426.06 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 6572.00 | Entry: 6440.56 | Target: 7759.68 | Risk: LOW       
  MRPL.NS         | Price:  206.55 | Entry:  202.42 | Target:  248.19 | Risk: LOW       
  TATAPOWER.NS    | Price:  375.50 | Entry:  367.99 | Target:  423.52 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4325.80 | Entry: 4239.28 | Target: 5141.26 | Risk: LOW       
  OIL.NS          | Price:  484.50 | Entry:  474.81 | Target:  567.21 | Risk: LOW       
  GRSE.NS         | Price: 2523.20 | Entry: 2472.74 | Target: 2989.34 | Risk: LOW       
  GESHIP.NS       | Price: 1415.30 | Entry: 1386.99 | Target: 1638.76 | Risk: LOW       
  JSWENERGY.NS    | Price:  488.20 | Entry:  478.44 | Target:  564.43 | Risk: LOW       
  MAZDOCK.NS      | Price: 2471.90 | Entry: 2422.46 | Target: 2913.15 | Risk: LOW       
  NATIONALUM.NS   | Price:  396.15 | Entry:  388.23 | Target:  462.88 | Risk: LOW       
  DMART.NS        | Price: 3875.80 | Entry: 3798.28 | Target: 4302.30 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1645.70 | Entry: 1612.79 | Target: 1940.88 | Risk: LOW       
  KEI.NS          | Price: 4921.00 | Entry: 4822.58 | Target: 5773.21 | Risk: LOW       
  MANKIND.NS      | Price: 2187.00 | Entry: 2143.26 | Target: 2472.46 | Risk: LOW       
  IGIL.NS         | Price:  335.40 | Entry:  328.69 | Target:  384.52 | Risk: LOW       
  TITAN.NS        | Price: 4244.60 | Entry: 4159.71 | Target: 4639.56 | Risk: LOW       
  ONGC.NS         | Price:  278.95 | Entry:  273.37 | Target:  319.02 | Risk: LOW       
  BHARATFORG.NS   | Price: 1923.90 | Entry: 1885.42 | Target: 2181.97 | Risk: LOW       
  NTPC.NS         | Price:  380.60 | Entry:  372.99 | Target:  424.55 | Risk: LOW       
  DRREDDY.NS      | Price: 1303.80 | Entry: 1277.72 | Target: 1458.01 | Risk: LOW       
  POWERGRID.NS    | Price:  299.15 | Entry:  293.17 | Target:  335.33 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1799.40 | Entry: 1763.41 | Target: 1951.69 | Risk: LOW       
  GLENMARK.NS     | Price: 2124.40 | Entry: 2081.91 | Target: 2375.86 | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  913.05 | Entry:  894.79 | Target:  996.85 | Risk: LOW       
  LUPIN.NS        | Price: 2343.80 | Entry: 2296.92 | Target: 2561.41 | Risk: LOW       
  TIMKEN.NS       | Price: 3385.40 | Entry: 3317.69 | Target: 3961.08 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7724.50 | Entry: 7570.01 | Target: 8362.89 | Risk: LOW       
  SUPREMEIND.NS   | Price: 3947.70 | Entry: 3868.75 | Target: 4453.81 | Risk: LOW       
  SUNTV.NS        | Price:  600.05 | Entry:  588.05 | Target:  709.60 | Risk: LOW       
  CCL.NS          | Price: 1015.80 | Entry:  995.48 | Target: 1207.28 | Risk: LOW       
  BANDHANBNK.NS   | Price:  183.03 | Entry:  179.37 | Target:  212.18 | Risk: LOW       
  J&KBANK.NS      | Price:  118.62 | Entry:  116.25 | Target:  142.43 | Risk: LOW       
  BEL.NS          | Price:  468.45 | Entry:  459.08 | Target:  528.72 | Risk: LOW       
  ABSLAMC.NS      | Price:  924.40 | Entry:  905.91 | Target: 1079.65 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 5356.00 | Entry: 5248.88 | Target: 6496.89 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3198.70 | Entry: 3134.73 | Target: 3520.24 | Risk: LOW       
  KSB.NS          | Price:  757.70 | Entry:  742.55 | Target:  915.20 | Risk: LOW       
  AJANTPHARM.NS   | Price: 2992.00 | Entry: 2932.16 | Target: 3349.61 | Risk: LOW       
  INDIANB.NS      | Price:  939.40 | Entry:  920.61 | Target: 1083.76 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4317.80 | Entry: 4231.44 | Target: 4851.70 | Risk: LOW       
  DATAPATTNS.NS   | Price: 3491.20 | Entry: 3421.38 | Target: 4353.74 | Risk: LOW       
  ASTRAL.NS       | Price: 1689.20 | Entry: 1655.42 | Target: 1892.41 | Risk: LOW       
  ABB.NS          | Price: 6062.00 | Entry: 5940.76 | Target: 7083.43 | Risk: LOW       
  POLYCAB.NS      | Price: 8552.00 | Entry: 8380.96 | Target: 9610.04 | Risk: LOW       
  INOXINDIA.NS    | Price: 1180.60 | Entry: 1156.99 | Target: 1371.99 | Risk: LOW       
  KIMS.NS         | Price:  720.60 | Entry:  706.19 | Target:  852.19 | Risk: LOW       
  ENRIN.NS        | Price: 2920.60 | Entry: 2862.19 | Target: 3459.28 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2052.90 | Entry: 2011.84 | Target: 2317.51 | Risk: LOW       
  SOLARINDS.NS    | Price: 15152.00 | Entry: 14848.96 | Target: 17383.43 | Risk: LOW       
  WELCORP.NS      | Price:  809.05 | Entry:  792.87 | Target:  934.18 | Risk: LOW       
  JSWINFRA.NS     | Price:  268.80 | Entry:  263.42 | Target:  308.89 | Risk: LOW       
  RRKABEL.NS      | Price: 1528.50 | Entry: 1497.93 | Target: 1792.43 | Risk: LOW       
  CGPOWER.NS      | Price:  715.45 | Entry:  701.14 | Target:  821.06 | Risk: LOW       
  ZENTEC.NS       | Price: 1426.80 | Entry: 1398.26 | Target: 1646.05 | Risk: LOW       
  FINCABLES.NS    | Price:  968.85 | Entry:  949.47 | Target: 1172.12 | Risk: LOW       
  UBL.NS          | Price: 1758.20 | Entry: 1723.04 | Target: 1977.77 | Risk: LOW       
  SIEMENS.NS      | Price: 3268.90 | Entry: 3203.52 | Target: 3871.83 | Risk: LOW       
  TIINDIA.NS      | Price: 2722.90 | Entry: 2668.44 | Target: 3201.26 | Risk: LOW       
  IPCALAB.NS      | Price: 1494.20 | Entry: 1464.32 | Target: 1729.24 | Risk: LOW       
  THERMAX.NS      | Price: 3161.90 | Entry: 3098.66 | Target: 3717.26 | Risk: LOW       
  BIOCON.NS       | Price:  390.70 | Entry:  382.89 | Target:  432.70 | Risk: LOW       
  ASTERDM.NS      | Price:  672.70 | Entry:  659.25 | Target:  776.84 | Risk: LOW       
  ONESOURCE.NS    | Price: 1480.50 | Entry: 1450.89 | Target: 1902.57 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1231.90 | Entry: 1207.26 | Target: 1423.08 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  555.45 | Entry:  544.34 | Target:  634.04 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1510.50 | Entry: 1480.29 | Target: 1798.52 | Risk: LOW       
  POWERINDIA.NS   | Price: 25860.00 | Entry: 25342.8 | Target: 29983.21 | Risk: LOW       
  TRIVENI.NS      | Price:  390.55 | Entry:  382.74 | Target:  457.68 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  480.95 | Entry:  471.33 | Target:  561.84 | Risk: LOW       
  NATCOPHARM.NS   | Price: 1019.70 | Entry:  999.31 | Target: 1239.82 | Risk: LOW       
  SAILIFE.NS      | Price: 1037.00 | Entry: 1016.26 | Target: 1213.55 | Risk: LOW       
  CUMMINSIND.NS   | Price: 4800.70 | Entry: 4704.69 | Target: 5545.56 | Risk: LOW       
  AMBER.NS        | Price: 7872.50 | Entry: 7715.05 | Target: 9004.82 | Risk: LOW       
  APARINDS.NS     | Price: 10394.00 | Entry: 10186.12 | Target: 13208.64 | Risk: LOW       
  GVT&D.NS        | Price: 3869.00 | Entry: 3791.62 | Target: 4683.82 | Risk: LOW       
  TEJASNET.NS     | Price:  465.05 | Entry:  455.75 | Target:  629.55 | Risk: LOW       

HOLD SIGNALS (105):
  HINDCOPPER.NS   | Price:  558.60 | Trend:  -1.32% | Mom:  -0.90% | Risk: LOW       
  BSE.NS          | Price: 2751.60 | Trend:  -0.91% | Mom:   0.37% | Risk: LOW       
  HINDZINC.NS     | Price:  586.85 | Trend:  -6.50% | Mom:   0.47% | Risk: LOW       
  PFC.NS          | Price:  407.85 | Trend:   5.91% | Mom:   0.57% | Risk: LOW       
  LINDEINDIA.NS   | Price: 6784.50 | Trend:   8.75% | Mom:  -0.07% | Risk: LOW       
  INDUSINDBK.NS   | Price:  917.85 | Trend:   0.57% | Mom:  -1.02% | Risk: LOW       
  TATASTEEL.NS    | Price:  198.46 | Trend:   2.38% | Mom:  -3.38% | Risk: LOW       
  SAIL.NS         | Price:  154.94 | Trend:   1.25% | Mom:  -0.55% | Risk: LOW       
  JSWSTEEL.NS     | Price: 1233.70 | Trend:   2.32% | Mom:   0.43% | Risk: LOW       
  BLUEJET.NS      | Price:  385.30 | Trend: -13.47% | Mom:   5.79% | Risk: LOW       
  TORNTPOWER.NS   | Price: 1481.30 | Trend:   6.17% | Mom:  -0.76% | Risk: LOW       
  ATUL.NS         | Price: 6415.00 | Trend:   2.36% | Mom:  -2.80% | Risk: LOW       
  NLCINDIA.NS     | Price:  255.25 | Trend:  -0.44% | Mom:  -2.32% | Risk: LOW       
  NMDC.NS         | Price:   79.79 | Trend:  -0.32% | Mom:   0.72% | Risk: LOW       
  JWL.NS          | Price:  298.60 | Trend:  -2.55% | Mom:   3.05% | Risk: LOW       
  JSWCEMENT.NS    | Price:  122.25 | Trend:   1.53% | Mom:  -0.71% | Risk: LOW       
  PIIND.NS        | Price: 3079.60 | Trend:  -2.82% | Mom:   2.26% | Risk: LOW       
  ALKEM.NS        | Price: 5530.00 | Trend:  -1.31% | Mom:   3.67% | Risk: LOW       
  SBIN.NS         | Price: 1143.00 | Trend:   5.02% | Mom:  -5.20% | Risk: LOW       
  PTCIL.NS        | Price: 17766.00 | Trend:  -1.44% | Mom:   0.51% | Risk: LOW       
  UNIONBANK.NS    | Price:  188.65 | Trend:   6.75% | Mom:  -0.46% | Risk: LOW       
  JINDALSTEL.NS   | Price: 1180.40 | Trend:   4.98% | Mom:  -2.53% | Risk: LOW       
  NSLNISP.NS      | Price:   38.55 | Trend:  -7.05% | Mom:  -0.98% | Risk: LOW       
  ENGINERSIN.NS   | Price:  204.87 | Trend:   5.58% | Mom:  -5.12% | Risk: LOW       
  SCI.NS          | Price:  241.40 | Trend:   3.54% | Mom:  -7.62% | Risk: LOW       
  CONCORDBIO.NS   | Price: 1207.20 | Trend:  -3.33% | Mom:   8.05% | Risk: LOW       
  ABBOTINDIA.NS   | Price: 27325.00 | Trend:  -0.57% | Mom:   3.52% | Risk: LOW       
  BDL.NS          | Price: 1356.70 | Trend:  -2.47% | Mom:   6.44% | Risk: LOW       
  APLAPOLLO.NS    | Price: 2152.80 | Trend:   4.09% | Mom:  -2.28% | Risk: LOW       
  IDBI.NS         | Price:  108.89 | Trend:   2.54% | Mom:  -1.76% | Risk: LOW       
  ADANIPORTS.NS   | Price: 1477.50 | Trend:  -0.05% | Mom:  -2.37% | Risk: LOW       
  GLAXO.NS        | Price: 2517.30 | Trend:   1.69% | Mom:  -2.35% | Risk: LOW       
  RKFORGE.NS      | Price:  565.20 | Trend:   6.21% | Mom:  -0.68% | Risk: LOW       
  RELIANCE.NS     | Price: 1404.80 | Trend:  -3.08% | Mom:  -0.33% | Risk: LOW       
  NHPC.NS         | Price:   74.18 | Trend:  -3.84% | Mom:  -0.24% | Risk: LOW       
  TATACHEM.NS     | Price:  707.10 | Trend:  -3.03% | Mom:   0.28% | Risk: LOW       
  IOC.NS          | Price:  168.68 | Trend:   0.24% | Mom:  -3.22% | Risk: LOW       
  THELEELA.NS     | Price:  433.85 | Trend:   0.32% | Mom:  -0.23% | Risk: LOW       
  MARICO.NS       | Price:  785.25 | Trend:   3.07% | Mom:   0.65% | Risk: LOW       
  JSL.NS          | Price:  752.25 | Trend:  -5.09% | Mom:   0.84% | Risk: LOW       
  BANKINDIA.NS    | Price:  159.58 | Trend:  -0.06% | Mom:  -5.66% | Risk: LOW       
  CLEAN.NS        | Price:  755.55 | Trend:  -7.14% | Mom:   2.53% | Risk: LOW       
  AXISBANK.NS     | Price: 1315.80 | Trend:  -0.28% | Mom:  -3.01% | Risk: LOW       
  KPIL.NS         | Price: 1133.90 | Trend:  -0.91% | Mom:   2.49% | Risk: LOW       
  VOLTAS.NS       | Price: 1478.40 | Trend:   2.52% | Mom:  -2.27% | Risk: LOW       
  AKUMS.NS        | Price:  474.35 | Trend:   4.26% | Mom:  -2.70% | Risk: LOW       
  PGEL.NS         | Price:  609.25 | Trend:   3.32% | Mom:   0.40% | Risk: LOW       
  KARURVYSYA.NS   | Price:  312.55 | Trend:   6.29% | Mom:  -2.18% | Risk: LOW       
  OFSS.NS         | Price: 6718.00 | Trend:  -8.93% | Mom:   0.99% | Risk: LOW       
  TVSMOTOR.NS     | Price: 3784.00 | Trend:   0.79% | Mom:  -1.20% | Risk: LOW       
  CIPLA.NS        | Price: 1321.20 | Trend:  -4.69% | Mom:  -0.58% | Risk: LOW       
  EIHOTEL.NS      | Price:  329.35 | Trend:  -2.30% | Mom:   0.98% | Risk: LOW       
  MAXHEALTH.NS    | Price: 1042.00 | Trend:   0.25% | Mom:  -3.65% | Risk: LOW       
  GODREJAGRO.NS   | Price:  595.20 | Trend:   3.10% | Mom:  -7.14% | Risk: LOW       
  UNITDSPR.NS     | Price: 1389.80 | Trend:   1.22% | Mom:  -0.52% | Risk: LOW       
  TECHNOE.NS      | Price: 1120.30 | Trend:   6.28% | Mom:  -1.46% | Risk: LOW       
  JYOTHYLAB.NS    | Price:  244.10 | Trend:  -4.60% | Mom:   1.74% | Risk: LOW       
  INDUSTOWER.NS   | Price:  452.05 | Trend:   2.05% | Mom:  -4.41% | Risk: LOW       
  LTFOODS.NS      | Price:  393.50 | Trend:   1.07% | Mom:  -4.73% | Risk: LOW       
  ASHOKLEY.NS     | Price:  194.67 | Trend:  -0.32% | Mom:  -4.33% | Risk: LOW       
  MOTHERSON.NS    | Price:  122.77 | Trend:   1.03% | Mom:  -5.47% | Risk: LOW       
  BLUESTARCO.NS   | Price: 1948.50 | Trend:   5.38% | Mom:  -1.05% | Risk: LOW       
  FINPIPE.NS      | Price:  187.47 | Trend:   4.84% | Mom:   0.05% | Risk: LOW       
  RAINBOW.NS      | Price: 1199.40 | Trend:  -2.29% | Mom:  -0.17% | Risk: LOW       
  ADANIENSOL.NS   | Price:  992.50 | Trend:   1.33% | Mom:  -1.46% | Risk: LOW       
  SONACOMS.NS     | Price:  514.95 | Trend:   3.61% | Mom:  -2.48% | Risk: LOW       
  SCHNEIDER.NS    | Price:  905.85 | Trend:  21.29% | Mom:  -0.19% | Risk: LOW       
  BRITANNIA.NS    | Price: 5983.00 | Trend:   0.07% | Mom:  -2.05% | Risk: LOW       
  PFIZER.NS       | Price: 4849.50 | Trend:  -0.36% | Mom:  -2.84% | Risk: LOW       
  CASTROLIND.NS   | Price:  186.82 | Trend:  -0.22% | Mom:  -0.44% | Risk: LOW       
  CESC.NS         | Price:  153.57 | Trend:  -1.82% | Mom:   1.25% | Risk: LOW       
  AARTIIND.NS     | Price:  419.35 | Trend:   4.17% | Mom:  -7.72% | Risk: LOW       
  ERIS.NS         | Price: 1360.70 | Trend:  -5.02% | Mom:   2.43% | Risk: LOW       
  IRB.NS          | Price:   40.78 | Trend:  -1.94% | Mom:  -0.61% | Risk: LOW       
  HONASA.NS       | Price:  290.80 | Trend:   0.76% | Mom:  -4.45% | Risk: LOW       
  EICHERMOT.NS    | Price: 7620.50 | Trend:   1.68% | Mom:  -3.50% | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5512.50 | Trend:  -1.42% | Mom:   1.81% | Risk: LOW       
  FEDERALBNK.NS   | Price:  286.50 | Trend:   3.01% | Mom:  -0.62% | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9816.00 | Trend:   2.18% | Mom:   0.89% | Risk: LOW       
  LLOYDSME.NS     | Price: 1184.00 | Trend:  -3.49% | Mom:   5.02% | Risk: LOW       
  BAYERCROP.NS    | Price: 4601.10 | Trend:   1.10% | Mom:  -3.64% | Risk: LOW       
  USHAMART.NS     | Price:  419.00 | Trend:  -1.62% | Mom:   3.44% | Risk: LOW       
  GODIGIT.NS      | Price:  335.15 | Trend:   1.01% | Mom:   0.46% | Risk: LOW       
  NEULANDLAB.NS   | Price: 13034.00 | Trend:  -5.21% | Mom:   0.11% | Risk: LOW       
  STARHEALTH.NS   | Price:  458.85 | Trend:   0.67% | Mom:  -0.11% | Risk: LOW       
  ELGIEQUIP.NS    | Price:  519.00 | Trend:   8.47% | Mom:  -1.06% | Risk: LOW       
  FORTIS.NS       | Price:  892.55 | Trend:  -0.35% | Mom:  -1.55% | Risk: LOW       
  ACMESOLAR.NS    | Price:  228.40 | Trend:   1.07% | Mom:  -0.14% | Risk: LOW       
  GRANULES.NS     | Price:  577.10 | Trend:  -1.28% | Mom:  -0.18% | Risk: LOW       
  GRAPHITE.NS     | Price:  665.80 | Trend:   2.54% | Mom:  -2.53% | Risk: LOW       
  POLYMED.NS      | Price: 1356.10 | Trend: -11.17% | Mom:   6.09% | Risk: LOW       
