NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-11 19:25:51

BUY SIGNALS (70):
  BSE.NS          | Price: 2837.40 | Entry: 2780.65 | Target: 3306.58 | Risk: LOW       
  PREMIERENE.NS   | Price:  788.10 | Entry:  772.34 | Target:  951.67 | Risk: LOW       
  SARDAEN.NS      | Price:  544.35 | Entry:  533.46 | Target:  651.99 | Risk: LOW       
  COALINDIA.NS    | Price:  446.75 | Entry:  437.81 | Target:  504.27 | Risk: LOW       
  VTL.NS          | Price:  546.00 | Entry:  535.08 | Target:  660.68 | Risk: LOW       
  LINDEINDIA.NS   | Price: 6776.00 | Entry: 6640.48 | Target: 7860.64 | Risk: LOW       
  VEDL.NS         | Price:  721.55 | Entry:  707.12 | Target:  847.07 | Risk: LOW       
  HINDALCO.NS     | Price:  959.10 | Entry:  939.92 | Target: 1113.14 | Risk: LOW       
  MCX.NS          | Price: 2531.60 | Entry: 2480.97 | Target: 2929.74 | Risk: LOW       
  TATAPOWER.NS    | Price:  385.75 | Entry:  378.03 | Target:  436.68 | Risk: LOW       
  OIL.NS          | Price:  482.70 | Entry:  473.05 | Target:  579.88 | Risk: LOW       
  GESHIP.NS       | Price: 1427.00 | Entry: 1398.46 | Target: 1673.25 | Risk: LOW       
  MAZDOCK.NS      | Price: 2436.10 | Entry: 2387.38 | Target: 2969.42 | Risk: LOW       
  NATIONALUM.NS   | Price:  397.75 | Entry:   389.8 | Target:  471.36 | Risk: LOW       
  DMART.NS        | Price: 3944.80 | Entry:  3865.9 | Target: 4427.12 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1592.60 | Entry: 1560.75 | Target: 1922.31 | Risk: LOW       
  MANKIND.NS      | Price: 2243.80 | Entry: 2198.92 | Target: 2567.41 | Risk: LOW       
  RKFORGE.NS      | Price:  554.90 | Entry:   543.8 | Target:  648.63 | Risk: LOW       
  AADHARHFC.NS    | Price:  482.35 | Entry:   472.7 | Target:  592.37 | Risk: LOW       
  DRREDDY.NS      | Price: 1325.50 | Entry: 1298.99 | Target: 1492.61 | Risk: LOW       
  ATGL.NS         | Price:  566.90 | Entry:  555.56 | Target:  658.70 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1825.90 | Entry: 1789.38 | Target: 1991.33 | Risk: LOW       
  GLENMARK.NS     | Price: 2272.70 | Entry: 2227.25 | Target: 2580.99 | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  921.75 | Entry:  903.31 | Target: 1015.98 | Risk: LOW       
  LUPIN.NS        | Price: 2344.60 | Entry: 2297.71 | Target: 2573.92 | Risk: LOW       
  JINDALSAW.NS    | Price:  198.04 | Entry:  194.08 | Target:  246.19 | Risk: LOW       
  AKUMS.NS        | Price:  507.25 | Entry:  497.11 | Target:  592.75 | Risk: LOW       
  TIMKEN.NS       | Price: 3410.30 | Entry: 3342.09 | Target: 4008.09 | Risk: LOW       
  SUPREMEIND.NS   | Price: 4038.00 | Entry: 3957.24 | Target: 4616.43 | Risk: LOW       
  BANDHANBNK.NS   | Price:  182.47 | Entry:  178.82 | Target:  215.83 | Risk: LOW       
  J&KBANK.NS      | Price:  125.41 | Entry:   122.9 | Target:  155.57 | Risk: LOW       
  BEL.NS          | Price:  454.10 | Entry:  445.02 | Target:  521.77 | Risk: LOW       
  ABSLAMC.NS      | Price: 1010.00 | Entry:   989.8 | Target: 1236.91 | Risk: LOW       
  FACT.NS         | Price:  884.90 | Entry:   867.2 | Target: 1110.40 | Risk: LOW       
  ANANDRATHI.NS   | Price: 3125.20 | Entry:  3062.7 | Target: 3486.38 | Risk: LOW       
  KSB.NS          | Price:  764.00 | Entry:  748.72 | Target:  931.55 | Risk: LOW       
  FINPIPE.NS      | Price:  185.41 | Entry:   181.7 | Target:  217.70 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3048.20 | Entry: 2987.24 | Target: 3468.81 | Risk: LOW       
  DATAPATTNS.NS   | Price: 3383.20 | Entry: 3315.54 | Target: 4312.74 | Risk: LOW       
  ASTRAL.NS       | Price: 1746.30 | Entry: 1711.37 | Target: 2001.87 | Risk: LOW       
  SCHNEIDER.NS    | Price:  908.50 | Entry:  890.33 | Target: 1134.71 | Risk: LOW       
  ABB.NS          | Price: 6280.00 | Entry:  6154.4 | Target: 7364.82 | Risk: LOW       
  INOXINDIA.NS    | Price: 1193.40 | Entry: 1169.53 | Target: 1399.15 | Risk: LOW       
  IRB.NS          | Price:   42.10 | Entry:   41.26 | Target:   48.29 | Risk: LOW       
  ENRIN.NS        | Price: 2942.80 | Entry: 2883.94 | Target: 3484.76 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2126.10 | Entry: 2083.58 | Target: 2379.60 | Risk: LOW       
  SOLARINDS.NS    | Price: 14515.00 | Entry: 14224.7 | Target: 17102.50 | Risk: LOW       
  WELCORP.NS      | Price:  832.50 | Entry:  815.85 | Target:  981.25 | Risk: LOW       
  HAPPSTMNDS.NS   | Price:  411.70 | Entry:  403.47 | Target:  514.47 | Risk: LOW       
  ZENTEC.NS       | Price: 1408.60 | Entry: 1380.43 | Target: 1658.99 | Risk: LOW       
  FINCABLES.NS    | Price:  887.85 | Entry:  870.09 | Target: 1137.08 | Risk: LOW       
  UBL.NS          | Price: 1653.30 | Entry: 1620.23 | Target: 1912.26 | Risk: LOW       
  PRAJIND.NS      | Price:  313.95 | Entry:  307.67 | Target:  391.52 | Risk: LOW       
  DIVISLAB.NS     | Price: 6352.50 | Entry: 6225.45 | Target: 6984.11 | Risk: LOW       
  IPCALAB.NS      | Price: 1533.90 | Entry: 1503.22 | Target: 1772.40 | Risk: LOW       
  THERMAX.NS      | Price: 3182.30 | Entry: 3118.65 | Target: 3759.48 | Risk: LOW       
  BIOCON.NS       | Price:  395.35 | Entry:  387.44 | Target:  440.12 | Risk: LOW       
  ASTERDM.NS      | Price:  685.90 | Entry:  672.18 | Target:  808.92 | Risk: LOW       
  ONESOURCE.NS    | Price: 1473.60 | Entry: 1444.13 | Target: 1870.81 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1304.80 | Entry:  1278.7 | Target: 1493.16 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  556.90 | Entry:  545.76 | Target:  647.42 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1450.40 | Entry: 1421.39 | Target: 1748.31 | Risk: LOW       
  HFCL.NS         | Price:   72.06 | Entry:   70.62 | Target:   86.39 | Risk: LOW       
  EMCURE.NS       | Price: 1560.10 | Entry:  1528.9 | Target: 1854.64 | Risk: LOW       
  BALRAMCHIN.NS   | Price:  519.05 | Entry:  508.67 | Target:  617.98 | Risk: LOW       
  NATCOPHARM.NS   | Price: 1016.15 | Entry:  995.83 | Target: 1221.20 | Risk: LOW       
  SAILIFE.NS      | Price: 1014.00 | Entry:  993.72 | Target: 1206.86 | Risk: LOW       
  RADICO.NS       | Price: 2894.00 | Entry: 2836.12 | Target: 3378.25 | Risk: LOW       
  GVT&D.NS        | Price: 3784.10 | Entry: 3708.42 | Target: 4629.35 | Risk: LOW       
  TEJASNET.NS     | Price:  470.40 | Entry:  460.99 | Target:  664.58 | Risk: LOW       

HOLD SIGNALS (108):
  FORCEMOT.NS     | Price: 21665.00 | Trend:  -0.09% | Mom: -13.47% | Risk: LOW       
  PFC.NS          | Price:  406.90 | Trend:   4.77% | Mom:  -2.98% | Risk: LOW       
  CHENNPETRO.NS   | Price:  906.70 | Trend:   3.41% | Mom:  -1.08% | Risk: LOW       
  TATASTEEL.NS    | Price:  194.74 | Trend:  -0.25% | Mom:  -6.88% | Risk: LOW       
  SAIL.NS         | Price:  153.88 | Trend:  -0.16% | Mom:  -3.93% | Risk: LOW       
  MAHABANK.NS     | Price:   67.04 | Trend:   1.39% | Mom:  -6.71% | Risk: LOW       
  TORNTPOWER.NS   | Price: 1439.00 | Trend:   2.42% | Mom:  -6.67% | Risk: LOW       
  NAVINFLUOR.NS   | Price: 6315.00 | Trend:   2.35% | Mom:  -0.21% | Risk: LOW       
  MRPL.NS         | Price:  186.92 | Trend:   8.00% | Mom:  -5.05% | Risk: LOW       
