NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-15 18:49:47

BUY SIGNALS (33):
  PREMIERENE.NS   | Price:  778.80 | Entry:  763.22 | Target:  944.69 | Risk: LOW       
  SARDAEN.NS      | Price:  531.95 | Entry:  521.31 | Target:  648.43 | Risk: LOW       
  COALINDIA.NS    | Price:  466.50 | Entry:  457.17 | Target:  533.66 | Risk: LOW       
  MCX.NS          | Price: 2498.90 | Entry: 2448.92 | Target: 2895.44 | Risk: LOW       
  TATAPOWER.NS    | Price:  394.50 | Entry:  386.61 | Target:  450.11 | Risk: LOW       
  GESHIP.NS       | Price: 1450.00 | Entry:  1421.0 | Target: 1724.46 | Risk: LOW       
  JSWENERGY.NS    | Price:  512.00 | Entry:  501.76 | Target:  603.18 | Risk: LOW       
  NATIONALUM.NS   | Price:  386.45 | Entry:  378.72 | Target:  473.38 | Risk: LOW       
  ADANIPOWER.NS   | Price:  147.52 | Entry:  144.57 | Target:  172.55 | Risk: LOW       
  RKFORGE.NS      | Price:  556.00 | Entry:  544.88 | Target:  646.55 | Risk: LOW       
  ATGL.NS         | Price:  572.50 | Entry:  561.05 | Target:  719.41 | Risk: LOW       
  GLENMARK.NS     | Price: 2172.00 | Entry: 2128.56 | Target: 2500.82 | Risk: LOW       
  JINDALSAW.NS    | Price:  190.25 | Entry:  186.44 | Target:  243.17 | Risk: LOW       
  TIMKEN.NS       | Price: 3464.70 | Entry: 3395.41 | Target: 4103.24 | Risk: LOW       
  ABSLAMC.NS      | Price:  929.00 | Entry:  910.42 | Target: 1183.70 | Risk: LOW       
  FACT.NS         | Price:  849.95 | Entry:  832.95 | Target: 1113.49 | Risk: LOW       
  NTPCGREEN.NS    | Price:   98.99 | Entry:   97.01 | Target:  118.87 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3030.00 | Entry:  2969.4 | Target: 3540.04 | Risk: LOW       
  ABB.NS          | Price: 6389.00 | Entry: 6261.22 | Target: 7387.57 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2125.00 | Entry:  2082.5 | Target: 2378.21 | Risk: LOW       
  SOLARINDS.NS    | Price: 14257.00 | Entry: 13971.86 | Target: 16912.36 | Risk: LOW       
  ACMESOLAR.NS    | Price:  255.07 | Entry:  249.97 | Target:  307.77 | Risk: LOW       
