NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-24 18:50:55

BUY SIGNALS (22):
  PREMIERENE.NS   | Price:  889.35 | Entry:  871.56 | Target: 1056.21 | Risk: LOW       
  CHENNPETRO.NS   | Price:  997.95 | Entry:  977.99 | Target: 1391.38 | Risk: LOW       
  LINDEINDIA.NS   | Price: 7393.50 | Entry: 7245.63 | Target: 8995.46 | Risk: LOW       
  GMDCLTD.NS      | Price:  574.00 | Entry:  562.52 | Target:  705.30 | Risk: LOW       
  NLCINDIA.NS     | Price:  259.35 | Entry:  254.16 | Target:  325.28 | Risk: LOW       
  WAAREEENER.NS   | Price: 3086.70 | Entry: 3024.97 | Target: 3728.77 | Risk: LOW       
  OIL.NS          | Price:  477.95 | Entry:  468.39 | Target:  573.34 | Risk: LOW       
  ATHERENERG.NS   | Price:  757.00 | Entry:  741.86 | Target:  929.29 | Risk: LOW       
  ADANIPOWER.NS   | Price:  150.11 | Entry:  147.11 | Target:  180.67 | Risk: LOW       
  SUNTV.NS        | Price:  616.30 | Entry:  603.97 | Target:  752.13 | Risk: LOW       
  CCL.NS          | Price: 1080.80 | Entry: 1059.18 | Target: 1269.37 | Risk: LOW       
  VGUARD.NS       | Price:  324.80 | Entry:   318.3 | Target:  381.92 | Risk: LOW       
  NTPCGREEN.NS    | Price:   95.70 | Entry:   93.79 | Target:  122.06 | Risk: LOW       
  KSB.NS          | Price:  799.20 | Entry:  783.22 | Target:  953.20 | Risk: LOW       
  LLOYDSME.NS     | Price: 1258.80 | Entry: 1233.62 | Target: 1553.41 | Risk: LOW       
  OLECTRA.NS      | Price: 1070.35 | Entry: 1048.94 | Target: 1380.92 | Risk: LOW       
  ACMESOLAR.NS    | Price:  249.10 | Entry:  244.12 | Target:  320.69 | Risk: LOW       
  GRANULES.NS     | Price:  606.35 | Entry:  594.22 | Target:  714.49 | Risk: LOW       
  GPIL.NS         | Price:  263.40 | Entry:  258.13 | Target:  320.90 | Risk: LOW       
  IPCALAB.NS      | Price: 1530.80 | Entry: 1500.18 | Target: 1791.12 | Risk: LOW       
  SYRMA.NS        | Price:  790.90 | Entry:  775.08 | Target:  983.20 | Risk: LOW       
  JBMA.NS         | Price:  572.20 | Entry:  560.76 | Target:  742.04 | Risk: LOW       

HOLD SIGNALS (115):
  SARDAEN.NS      | Price:  512.70 | Trend:   0.72% | Mom:  -5.90% | Risk: LOW       
  PFC.NS          | Price:  398.75 | Trend:   1.18% | Mom:  -2.48% | Risk: LOW       
  COALINDIA.NS    | Price:  442.10 | Trend:   2.25% | Mom:  -0.33% | Risk: LOW       
  VTL.NS          | Price:  534.60 | Trend:   8.50% | Mom:  -1.24% | Risk: LOW       
  ATUL.NS         | Price: 6118.00 | Trend:  -2.75% | Mom:   0.98% | Risk: LOW       
  MRPL.NS         | Price:  181.72 | Trend:   0.53% | Mom:  -6.14% | Risk: LOW       
  AIIL.NS         | Price:  493.40 | Trend:  -3.32% | Mom:   1.45% | Risk: LOW       
