Ticker,Signal,Current_Price,Trend_Percent,Momentum_Percent,Volatility_Percent,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence
IFCI.NS,SELL,52.83,-8.4,-1.45,3.29,,,57.8,40.42,2.5,LOW,80
FORCEMOT.NS,HOLD,21475.0,-1.61,-0.88,4.13,,,19545.89,24047.14,1.33,LOW,80
SBFC.NS,SELL,84.47,-10.32,-8.52,1.61,,,90.97,68.23,2.5,LOW,100
HINDCOPPER.NS,SELL,480.55,-14.22,-11.48,3.64,,,529.89,357.19,2.5,LOW,100
BSE.NS,BUY,2890.2,2.37,1.86,2.64,2832.4,2948.0,2686.39,3399.74,2.5,LOW,80
PREMIERENE.NS,BUY,916.9,19.53,16.34,2.84,898.56,935.24,848.71,1087.38,2.5,LOW,100
IREDA.NS,HOLD,119.2,-4.44,3.83,2.53,,,112.23,128.5,1.33,LOW,100
HINDZINC.NS,SELL,517.7,-14.64,-11.9,3.06,,,560.61,410.43,2.5,LOW,100
SARDAEN.NS,HOLD,517.95,1.66,-4.85,3.34,,,484.07,563.13,1.33,LOW,100
ANANTRAJ.NS,SELL,455.75,-11.52,-3.56,2.92,,,497.13,352.3,2.5,LOW,100
PFC.NS,HOLD,403.45,2.18,-0.06,2.67,,,376.85,438.92,1.33,LOW,80
SJVN.NS,SELL,67.88,-5.98,-3.76,2.76,,,73.37,54.15,2.5,LOW,100
HOMEFIRST.NS,SELL,948.0,-13.82,-9.99,3.05,,,1023.57,759.07,2.5,LOW,100
COALINDIA.NS,HOLD,443.7,2.54,-0.68,2.12,,,422.04,472.59,1.33,LOW,80
CHENNPETRO.NS,BUY,1003.35,9.7,10.66,4.26,983.28,1023.42,851.55,1382.85,2.5,LOW,100
VTL.NS,HOLD,523.65,5.84,-4.09,1.66,,,494.81,562.1,1.33,LOW,100
LINDEINDIA.NS,BUY,7356.5,12.71,8.57,3.25,7209.37,7503.63,6709.5,8974.0,2.5,LOW,100
VEDL.NS,SELL,669.65,-2.89,-7.19,2.4,,,721.54,539.94,2.5,LOW,100
ABLBL.NS,SELL,93.08,-12.2,-9.41,2.75,,,101.25,72.64,2.5,LOW,100
