NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-03-25 18:50:10

BUY SIGNALS (42):
  BSE.NS          | Price: 2890.20 | Entry:  2832.4 | Target: 3399.74 | Risk: LOW       
  PREMIERENE.NS   | Price:  916.90 | Entry:  898.56 | Target: 1087.38 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1003.35 | Entry:  983.28 | Target: 1382.85 | Risk: LOW       
  LINDEINDIA.NS   | Price: 7356.50 | Entry: 7209.37 | Target: 8974.00 | Risk: LOW       
  GMDCLTD.NS      | Price:  578.65 | Entry:  567.08 | Target:  706.63 | Risk: LOW       
  NLCINDIA.NS     | Price:  267.45 | Entry:   262.1 | Target:  332.09 | Risk: LOW       
  WAAREEENER.NS   | Price: 3177.90 | Entry: 3114.34 | Target: 3832.47 | Risk: LOW       
  AIIL.NS         | Price:  526.70 | Entry:  516.17 | Target:  691.36 | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1119.70 | Entry: 1097.31 | Target: 1359.31 | Risk: LOW       
  TATAPOWER.NS    | Price:  390.70 | Entry:  382.89 | Target:  461.20 | Risk: LOW       
  JSWENERGY.NS    | Price:  494.30 | Entry:  484.41 | Target:  590.84 | Risk: LOW       
  ATHERENERG.NS   | Price:  776.65 | Entry:  761.12 | Target:  951.70 | Risk: LOW       
  ADANIPOWER.NS   | Price:  153.65 | Entry:  150.58 | Target:  186.13 | Risk: LOW       
  IGIL.NS         | Price:  332.55 | Entry:   325.9 | Target:  410.64 | Risk: LOW       
  NHPC.NS         | Price:   77.20 | Entry:   75.66 | Target:   87.17 | Risk: LOW       
  SUNTV.NS        | Price:  609.30 | Entry:  597.11 | Target:  755.08 | Risk: LOW       
  CCL.NS          | Price: 1077.60 | Entry: 1056.05 | Target: 1270.81 | Risk: LOW       
  VGUARD.NS       | Price:  327.75 | Entry:  321.19 | Target:  385.04 | Risk: LOW       
  NTPCGREEN.NS    | Price:   96.68 | Entry:   94.75 | Target:  122.97 | Risk: LOW       
  KSB.NS          | Price:  812.00 | Entry:  795.76 | Target:  965.52 | Risk: LOW       
  INOXINDIA.NS    | Price: 1238.80 | Entry: 1214.02 | Target: 1483.91 | Risk: LOW       
  HONASA.NS       | Price:  293.85 | Entry:  287.97 | Target:  354.58 | Risk: LOW       
  LLOYDSME.NS     | Price: 1307.70 | Entry: 1281.55 | Target: 1609.34 | Risk: LOW       
  OLECTRA.NS      | Price: 1063.50 | Entry: 1042.23 | Target: 1381.02 | Risk: LOW       
  ACMESOLAR.NS    | Price:  254.12 | Entry:  249.04 | Target:  325.87 | Risk: LOW       
  GRANULES.NS     | Price:  629.05 | Entry:  616.47 | Target:  741.14 | Risk: LOW       
  GPIL.NS         | Price:  277.30 | Entry:  271.75 | Target:  336.85 | Risk: LOW       
  JPPOWER.NS      | Price:   15.27 | Entry:   14.96 | Target:   20.56 | Risk: LOW       
  PRAJIND.NS      | Price:  325.75 | Entry:  319.24 | Target:  395.68 | Risk: LOW       
  TIINDIA.NS      | Price: 2682.40 | Entry: 2628.75 | Target: 3207.54 | Risk: LOW       
  IPCALAB.NS      | Price: 1570.00 | Entry:  1538.6 | Target: 1840.86 | Risk: LOW       
  SYRMA.NS        | Price:  817.75 | Entry:  801.39 | Target: 1011.09 | Risk: LOW       
  JBMA.NS         | Price:  572.65 | Entry:   561.2 | Target:  744.78 | Risk: LOW       
  DELHIVERY.NS    | Price:  430.35 | Entry:  421.74 | Target:  503.33 | Risk: LOW       
  THERMAX.NS      | Price: 3249.20 | Entry: 3184.22 | Target: 3890.77 | Risk: LOW       
  MAHSEAMLES.NS   | Price:  579.75 | Entry:  568.15 | Target:  680.20 | Risk: LOW       
  BHEL.NS         | Price:  262.05 | Entry:  256.81 | Target:  314.66 | Risk: LOW       
  POWERINDIA.NS   | Price: 25670.00 | Entry: 25156.6 | Target: 30509.29 | Risk: LOW       
  TRIVENI.NS      | Price:  407.40 | Entry:  399.25 | Target:  506.56 | Risk: LOW       
  EMCURE.NS       | Price: 1593.40 | Entry: 1561.53 | Target: 1938.44 | Risk: LOW       
  CUMMINSIND.NS   | Price: 4738.60 | Entry: 4643.83 | Target: 5661.49 | Risk: LOW       
  APARINDS.NS     | Price: 10014.00 | Entry: 9813.72 | Target: 12346.50 | Risk: LOW       

HOLD SIGNALS (177):
  FORCEMOT.NS     | Price: 21475.00 | Trend:  -1.61% | Mom:  -0.88% | Risk: LOW       
  IREDA.NS        | Price:  119.20 | Trend:  -4.44% | Mom:   3.83% | Risk: LOW       
  SARDAEN.NS      | Price:  517.95 | Trend:   1.66% | Mom:  -4.85% | Risk: LOW       
  PFC.NS          | Price:  403.45 | Trend:   2.18% | Mom:  -0.06% | Risk: LOW       
  COALINDIA.NS    | Price:  443.70 | Trend:   2.54% | Mom:  -0.68% | Risk: LOW       
  VTL.NS          | Price:  523.65 | Trend:   5.84% | Mom:  -4.09% | Risk: LOW       
