NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-03 19:01:34

BUY SIGNALS (315):
  ONGC.NS         | Price:  287.20 | Entry:  281.46 | Target:  324.57 | Risk: LOW       
  DMART.NS        | Price: 4362.40 | Entry: 4275.15 | Target: 5110.04 | Risk: LOW       
  ADANIPOWER.NS   | Price:  159.97 | Entry:  156.77 | Target:  197.11 | Risk: LOW       
  CUMMINSIND.NS   | Price: 4646.50 | Entry: 4553.57 | Target: 5542.75 | Risk: LOW       
  WAAREEENER.NS   | Price: 3070.70 | Entry: 3009.29 | Target: 3804.84 | Risk: LOW       
  POWERINDIA.NS   | Price: 25325.00 | Entry: 24818.5 | Target: 30182.14 | Risk: LOW       
  NTPCGREEN.NS    | Price:   97.22 | Entry:   95.28 | Target:  126.96 | Risk: LOW       
  GVT&D.NS        | Price: 3822.20 | Entry: 3745.76 | Target: 4965.63 | Risk: LOW       
  LLOYDSME.NS     | Price: 1388.30 | Entry: 1360.53 | Target: 1728.41 | Risk: LOW       
  OIL.NS          | Price:  480.15 | Entry:  470.55 | Target:  567.35 | Risk: LOW       
  GICRE.NS        | Price:  378.55 | Entry:  370.98 | Target:  445.57 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1333.70 | Entry: 1307.03 | Target: 1530.41 | Risk: LOW       
  TIINDIA.NS      | Price: 2567.30 | Entry: 2515.95 | Target: 3097.44 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1042.90 | Entry: 1022.04 | Target: 1248.06 | Risk: LOW       
  PAGEIND.NS      | Price: 33945.00 | Entry: 33266.1 | Target: 39012.86 | Risk: LOW       
  PREMIERENE.NS   | Price:  917.35 | Entry:   899.0 | Target: 1101.10 | Risk: LOW       
  ANTHEM.NS       | Price:  660.75 | Entry:  647.53 | Target:  769.84 | Risk: LOW       
  NATIONALUM.NS   | Price:  401.80 | Entry:  393.76 | Target:  498.75 | Risk: LOW       
  THERMAX.NS      | Price: 3295.70 | Entry: 3229.79 | Target: 3939.52 | Risk: LOW       
  APARINDS.NS     | Price: 9832.00 | Entry: 9635.36 | Target: 12507.71 | Risk: LOW       
  NLCINDIA.NS     | Price:  278.60 | Entry:  273.03 | Target:  343.21 | Risk: LOW       
  DELHIVERY.NS    | Price:  426.25 | Entry:  417.72 | Target:  503.30 | Risk: LOW       
  LICHSGFIN.NS    | Price:  517.40 | Entry:  507.05 | Target:  603.81 | Risk: LOW       
  STARHEALTH.NS   | Price:  469.90 | Entry:   460.5 | Target:  549.58 | Risk: LOW       
  IRB.NS          | Price:   21.80 | Entry:   21.36 | Target:   26.22 | Risk: LOW       
  EMCURE.NS       | Price: 1547.60 | Entry: 1516.65 | Target: 1913.39 | Risk: LOW       
