NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-06 19:00:20

BUY SIGNALS (76):
  EMCURE.NS       | Price: 1552.20 | Entry: 1521.16 | Target: 1916.81 | Risk: LOW       
  JAINREC.NS      | Price:  450.35 | Entry:  441.34 | Target:  547.44 | Risk: LOW       
  ALIVUS.NS       | Price: 1005.60 | Entry:  985.49 | Target: 1197.03 | Risk: LOW       
  SANOFICONR.NS   | Price: 4641.10 | Entry: 4548.28 | Target: 5642.46 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  434.50 | Entry:  425.81 | Target:  529.18 | Risk: LOW       
  PNGJL.NS        | Price:  578.75 | Entry:  567.17 | Target:  703.27 | Risk: LOW       
  AKUMS.NS        | Price:  493.35 | Entry:  483.48 | Target:  598.28 | Risk: LOW       
  HNDFDS.NS       | Price:  494.35 | Entry:  484.46 | Target:  593.94 | Risk: LOW       
  UTLSOLAR.NS     | Price:  217.08 | Entry:  212.74 | Target:  264.52 | Risk: LOW       
  SAATVIKGL.NS    | Price:  422.90 | Entry:  414.44 | Target:  518.81 | Risk: LOW       
  TRUALT.NS       | Price:  421.45 | Entry:  413.02 | Target:  529.38 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  860.85 | Entry:  843.63 | Target: 1095.08 | Risk: LOW       
  ROSSTECH.NS     | Price:  749.50 | Entry:  734.51 | Target:  940.07 | Risk: LOW       
  SGFIN.NS        | Price:  447.75 | Entry:   438.8 | Target:  575.64 | Risk: LOW       
  WAAREEINDO.NS   | Price:  401.90 | Entry:  393.86 | Target:  511.81 | Risk: LOW       
  SOLEX.NS        | Price: 1024.40 | Entry: 1003.91 | Target: 1364.15 | Risk: LOW       
  AIMTRON.NS      | Price:  861.25 | Entry:  844.02 | Target: 1059.71 | Risk: LOW       
  BOROSCI.NS      | Price:  112.25 | Entry:   110.0 | Target:  139.51 | Risk: LOW       
  RACLGEAR.NS     | Price: 1249.10 | Entry: 1224.12 | Target: 1636.53 | Risk: LOW       
  BLUSPRING.NS    | Price:   62.23 | Entry:   60.99 | Target:   82.90 | Risk: LOW       
  ANTELOPUS.NS    | Price:  636.40 | Entry:  623.67 | Target:  819.53 | Risk: LOW       
  MVKAGRO.NS      | Price:  595.10 | Entry:   583.2 | Target:  796.37 | Risk: LOW       
  CELLECOR.NS     | Price:   27.05 | Entry:   26.51 | Target:   34.34 | Risk: LOW       
  ACCENTMIC.NS    | Price:  380.60 | Entry:  372.99 | Target:  462.80 | Risk: LOW       
  GIRIRAJ.NS      | Price:  185.00 | Entry:   181.3 | Target:  219.64 | Risk: LOW       
  ANNAPURNA.NS    | Price:  195.10 | Entry:   191.2 | Target:  271.62 | Risk: LOW       
