NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-07 19:02:46

BUY SIGNALS (102):
  EMCURE.NS       | Price: 1554.90 | Entry:  1523.8 | Target: 1896.22 | Risk: LOW       
  JAINREC.NS      | Price:  443.20 | Entry:  434.34 | Target:  540.45 | Risk: LOW       
  ALIVUS.NS       | Price: 1039.80 | Entry:  1019.0 | Target: 1237.69 | Risk: LOW       
  SANOFICONR.NS   | Price: 4530.50 | Entry: 4439.89 | Target: 5529.39 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  433.15 | Entry:  424.49 | Target:  526.20 | Risk: LOW       
  PNGJL.NS        | Price:  599.10 | Entry:  587.12 | Target:  723.96 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  343.95 | Entry:  337.07 | Target:  443.16 | Risk: LOW       
  AKUMS.NS        | Price:  489.55 | Entry:  479.76 | Target:  587.17 | Risk: LOW       
  EPIGRAL.NS      | Price:  950.90 | Entry:  931.88 | Target: 1158.83 | Risk: LOW       
  HNDFDS.NS       | Price:  487.65 | Entry:   477.9 | Target:  584.72 | Risk: LOW       
  UTLSOLAR.NS     | Price:  222.97 | Entry:  218.51 | Target:  272.08 | Risk: LOW       
  SAATVIKGL.NS    | Price:  409.90 | Entry:   401.7 | Target:  506.81 | Risk: LOW       
  TRUALT.NS       | Price:  418.65 | Entry:  410.28 | Target:  522.58 | Risk: LOW       
  PRABHA.NS       | Price:  165.69 | Entry:  162.38 | Target:  209.24 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  875.50 | Entry:  857.99 | Target: 1096.18 | Risk: LOW       
  KMEW.NS         | Price: 1660.80 | Entry: 1627.58 | Target: 2102.23 | Risk: LOW       
  ROSSTECH.NS     | Price:  766.10 | Entry:  750.78 | Target:  954.65 | Risk: LOW       
  SGFIN.NS        | Price:  451.50 | Entry:  442.47 | Target:  577.48 | Risk: LOW       
  YASHO.NS        | Price: 1451.50 | Entry: 1422.47 | Target: 1907.86 | Risk: LOW       
  WAAREEINDO.NS   | Price:  413.90 | Entry:  405.62 | Target:  525.88 | Risk: LOW       
  SOLEX.NS        | Price: 1055.25 | Entry: 1034.14 | Target: 1400.71 | Risk: LOW       
  AIMTRON.NS      | Price:  874.15 | Entry:  856.67 | Target: 1077.49 | Risk: LOW       
  TAC.NS          | Price:  530.55 | Entry:  519.94 | Target:  690.39 | Risk: LOW       
  BOROSCI.NS      | Price:  113.31 | Entry:  111.04 | Target:  140.18 | Risk: LOW       
  BLUSPRING.NS    | Price:   59.27 | Entry:   58.08 | Target:   81.31 | Risk: LOW       
  ANTELOPUS.NS    | Price:  700.00 | Entry:   686.0 | Target:  896.59 | Risk: LOW       
  TREL.NS         | Price:   24.65 | Entry:   24.16 | Target:   30.81 | Risk: LOW       
  MVKAGRO.NS      | Price:  585.90 | Entry:  574.18 | Target:  788.69 | Risk: LOW       
  CELLECOR.NS     | Price:   28.85 | Entry:   28.27 | Target:   37.26 | Risk: LOW       
