NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-08 19:06:48

BUY SIGNALS (173):
  ADANIENSOL.NS   | Price: 1073.30 | Entry: 1051.83 | Target: 1307.00 | Risk: LOW       
  PWL.NS          | Price:   99.05 | Entry:   97.07 | Target:  126.48 | Risk: LOW       
  EMCURE.NS       | Price: 1565.40 | Entry: 1534.09 | Target: 1905.08 | Risk: LOW       
  NUVAMA.NS       | Price: 1281.00 | Entry: 1255.38 | Target: 1523.75 | Risk: LOW       
  HBLENGINE.NS    | Price:  718.35 | Entry:  703.98 | Target:  881.24 | Risk: LOW       
  KPIL.NS         | Price: 1132.80 | Entry: 1110.14 | Target: 1382.87 | Risk: LOW       
  LTFOODS.NS      | Price:  408.60 | Entry:  400.43 | Target:  485.37 | Risk: LOW       
  CEMPRO.NS       | Price:  605.05 | Entry:  592.95 | Target:  759.09 | Risk: LOW       
  ALIVUS.NS       | Price: 1044.25 | Entry: 1023.37 | Target: 1244.14 | Risk: LOW       
  SANOFICONR.NS   | Price: 4479.60 | Entry: 4390.01 | Target: 5471.49 | Risk: LOW       
  WAAREERTL.NS    | Price:  893.10 | Entry:  875.24 | Target: 1084.60 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  440.50 | Entry:  431.69 | Target:  534.34 | Risk: LOW       
  PNGJL.NS        | Price:  615.95 | Entry:  603.63 | Target:  742.13 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  364.00 | Entry:  356.72 | Target:  467.13 | Risk: LOW       
  AKUMS.NS        | Price:  504.90 | Entry:   494.8 | Target:  604.56 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   49.26 | Entry:   48.27 | Target:   64.17 | Risk: LOW       
  REDTAPE.NS      | Price:  121.23 | Entry:  118.81 | Target:  150.18 | Risk: LOW       
  EPIGRAL.NS      | Price: 1011.80 | Entry:  991.56 | Target: 1233.07 | Risk: LOW       
  HNDFDS.NS       | Price:  503.85 | Entry:  493.77 | Target:  604.67 | Risk: LOW       
  UTLSOLAR.NS     | Price:  223.01 | Entry:  218.55 | Target:  272.02 | Risk: LOW       
  SAATVIKGL.NS    | Price:  417.55 | Entry:   409.2 | Target:  514.43 | Risk: LOW       
  BANSALWIRE.NS   | Price:  267.42 | Entry:  262.07 | Target:  341.18 | Risk: LOW       
  ZAGGLE.NS       | Price:  250.94 | Entry:  245.92 | Target:  332.25 | Risk: LOW       
  ORIANA.NS       | Price: 1880.35 | Entry: 1842.74 | Target: 2413.10 | Risk: LOW       
  SMLMAH.NS       | Price: 4319.10 | Entry: 4232.72 | Target: 5408.06 | Risk: LOW       
  CEIGALL.NS      | Price:  288.20 | Entry:  282.44 | Target:  344.34 | Risk: LOW       
  AVANTEL.NS      | Price:  143.57 | Entry:   140.7 | Target:  181.21 | Risk: LOW       
  RAYMONDREL.NS   | Price:  436.90 | Entry:  428.16 | Target:  599.08 | Risk: LOW       
  TRUALT.NS       | Price:  416.10 | Entry:  407.78 | Target:  517.85 | Risk: LOW       
  KPEL.NS         | Price:  300.58 | Entry:  294.57 | Target:  378.18 | Risk: LOW       
  ALPEXSOLAR.NS   | Price:  883.65 | Entry:  865.98 | Target: 1118.97 | Risk: LOW       
  SERVOTECH.NS    | Price:   77.16 | Entry:   75.62 | Target:   98.79 | Risk: LOW       
  KMEW.NS         | Price: 1729.50 | Entry: 1694.91 | Target: 2176.00 | Risk: LOW       
  ROSSTECH.NS     | Price:  798.20 | Entry:  782.24 | Target:  989.68 | Risk: LOW       
  GVPIL.NS        | Price:  444.60 | Entry:  435.71 | Target:  542.33 | Risk: LOW       
  SGFIN.NS        | Price:  451.30 | Entry:  442.27 | Target:  579.34 | Risk: LOW       
  YASHO.NS        | Price: 1469.00 | Entry: 1439.62 | Target: 1929.54 | Risk: LOW       
  WAAREEINDO.NS   | Price:  416.95 | Entry:  408.61 | Target:  529.40 | Risk: LOW       
  SOLEX.NS        | Price: 1105.15 | Entry: 1083.05 | Target: 1448.03 | Risk: LOW       
  AIMTRON.NS      | Price:  844.90 | Entry:   828.0 | Target: 1046.35 | Risk: LOW       
  ALLDIGI.NS      | Price:  810.85 | Entry:  794.63 | Target: 1026.15 | Risk: LOW       
  VMARCIND.NS     | Price:  676.65 | Entry:  663.12 | Target:  897.79 | Risk: LOW       
  TAC.NS          | Price:  581.80 | Entry:  570.16 | Target:  756.10 | Risk: LOW       
  BOROSCI.NS      | Price:  114.97 | Entry:  112.67 | Target:  141.34 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  263.77 | Entry:  258.49 | Target:  342.32 | Risk: LOW       
  ARISINFRA.NS    | Price:  108.18 | Entry:  106.02 | Target:  135.51 | Risk: LOW       
  RACLGEAR.NS     | Price: 1313.80 | Entry: 1287.52 | Target: 1688.76 | Risk: LOW       
  BLUSPRING.NS    | Price:   63.41 | Entry:   62.14 | Target:   86.92 | Risk: LOW       
  ANTELOPUS.NS    | Price:  665.00 | Entry:   651.7 | Target:  864.48 | Risk: LOW       
  AEROENTER.NS    | Price:   78.27 | Entry:    76.7 | Target:  107.96 | Risk: LOW       
  BHARATSE.NS     | Price:  176.72 | Entry:  173.19 | Target:  234.51 | Risk: LOW       
  KODYTECH.NS     | Price:  777.60 | Entry:  762.05 | Target:  891.22 | Risk: LOW       
  KARNIKA.NS      | Price:  123.00 | Entry:  120.54 | Target:  145.95 | Risk: LOW       
  APS.NS          | Price:  344.50 | Entry:  337.61 | Target:  441.45 | Risk: LOW       
  UFBL.NS         | Price:  255.80 | Entry:  250.68 | Target:  357.74 | Risk: LOW       
  VIVIANA.NS      | Price:  721.65 | Entry:  707.22 | Target:  926.17 | Risk: LOW       
  ARFIN.NS        | Price:   86.51 | Entry:   84.78 | Target:  105.19 | Risk: LOW       
  ZTECH.NS        | Price:  538.00 | Entry:  527.24 | Target:  657.75 | Risk: LOW       
  ATL.NS          | Price:   25.56 | Entry:   25.05 | Target:   34.01 | Risk: LOW       
  MVKAGRO.NS      | Price:  559.75 | Entry:  548.55 | Target:  772.04 | Risk: LOW       
  CELLECOR.NS     | Price:   31.45 | Entry:   30.82 | Target:   40.58 | Risk: LOW       
  ACCENTMIC.NS    | Price:  403.75 | Entry:  395.68 | Target:  498.05 | Risk: LOW       
  GIRIRAJ.NS      | Price:  185.00 | Entry:   181.3 | Target:  215.32 | Risk: LOW       
  GPECO.NS        | Price:  359.30 | Entry:  352.11 | Target:  472.71 | Risk: LOW       
  OCCLLTD.NS      | Price:   91.83 | Entry:   89.99 | Target:  120.91 | Risk: LOW       
  ZODIAC.NS       | Price:  275.83 | Entry:  270.31 | Target:  371.88 | Risk: LOW       
  ALLETEC.NS      | Price:  190.30 | Entry:  186.49 | Target:  254.94 | Risk: LOW       
  ANNAPURNA.NS    | Price:  184.95 | Entry:  181.25 | Target:  264.06 | Risk: LOW       
  DPEL.NS         | Price:  444.50 | Entry:  435.61 | Target:  542.29 | Risk: LOW       
  EFFWA.NS        | Price:  215.85 | Entry:  211.53 | Target:  284.30 | Risk: LOW       
  MEGATHERM.NS    | Price:  216.60 | Entry:  212.27 | Target:  266.85 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  173.15 | Entry:  169.69 | Target:  236.92 | Risk: LOW       
  CGRAPHICS.NS    | Price:  177.00 | Entry:  173.46 | Target:  225.07 | Risk: LOW       
  ATMASTCO.NS     | Price:  139.50 | Entry:  136.71 | Target:  194.07 | Risk: LOW       
  ABSMARINE.NS    | Price:  199.85 | Entry:  195.85 | Target:  261.81 | Risk: LOW       
  ORIENTCER.NS    | Price:   40.77 | Entry:   39.95 | Target:   54.56 | Risk: LOW       
  LORDSCHLO.NS    | Price:  141.44 | Entry:  138.61 | Target:  181.49 | Risk: LOW       
  SRGHFL.NS       | Price:  266.00 | Entry:  260.68 | Target:  343.57 | Risk: LOW       
  PCCL.NS         | Price:  248.10 | Entry:  243.14 | Target:  320.51 | Risk: LOW       
  SWARAJ.NS       | Price:  296.25 | Entry:  290.32 | Target:  339.75 | Risk: LOW       
  AVPINFRA.NS     | Price:  103.90 | Entry:  101.82 | Target:  131.35 | Risk: LOW       
  SYSTANGO.NS     | Price:  272.80 | Entry:  267.34 | Target:  352.26 | Risk: LOW       
  VGL.NS          | Price:   66.49 | Entry:   65.16 | Target:   97.34 | Risk: LOW       
  BALAJEE.NS      | Price:   30.52 | Entry:   29.91 | Target:   40.18 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1299.10 | Entry: 1273.12 | Target: 1595.03 | Risk: LOW       
  FROG.NS         | Price:  162.45 | Entry:   159.2 | Target:  225.38 | Risk: LOW       
  DIAMINESQ.NS    | Price:  240.88 | Entry:  236.06 | Target:  307.19 | Risk: LOW       
  SAAKSHI.NS      | Price:  190.00 | Entry:   186.2 | Target:  241.79 | Risk: LOW       
  AFIL.NS         | Price:    8.97 | Entry:    8.79 | Target:   11.45 | Risk: LOW       
  GRETEX.NS       | Price:  300.00 | Entry:   294.0 | Target:  319.86 | Risk: LOW       
  PRIZOR.NS       | Price:  392.65 | Entry:   384.8 | Target:  509.17 | Risk: LOW       
  UNIHEALTH.NS    | Price:  394.00 | Entry:  386.12 | Target:  495.84 | Risk: LOW       
  UYFINCORP.NS    | Price:   13.70 | Entry:   13.43 | Target:   18.69 | Risk: LOW       
  YASHOPTICS.NS   | Price:  116.00 | Entry:  113.68 | Target:  143.68 | Risk: LOW       
  TRANSTEEL.NS    | Price:  146.30 | Entry:  143.37 | Target:  182.14 | Risk: LOW       
  NDLVENTURE.NS   | Price:  123.00 | Entry:  120.54 | Target:  152.70 | Risk: LOW       
  RVTH.NS         | Price:  630.10 | Entry:   617.5 | Target:  883.26 | Risk: LOW       
  PRATHAM.NS      | Price:  137.35 | Entry:   134.6 | Target:  177.21 | Risk: LOW       
  ANLON.NS        | Price:  394.00 | Entry:  386.12 | Target:  481.00 | Risk: LOW       
  RUDRA.NS        | Price:   18.45 | Entry:   18.08 | Target:   24.29 | Risk: LOW       
  ARIHANTACA.NS   | Price:  505.00 | Entry:   494.9 | Target:  606.02 | Risk: LOW       
  SHAH.NS         | Price:    4.96 | Entry:    4.86 | Target:    6.08 | Risk: LOW       
  DHARAN.NS       | Price:    0.16 | Entry:    0.16 | Target:    0.23 | Risk: LOW       
  IBULLSLTD.NS    | Price:   11.19 | Entry:   10.97 | Target:   15.15 | Risk: LOW       
  MADHUSUDAN.NS   | Price:  149.20 | Entry:  146.22 | Target:  179.02 | Risk: LOW       
  DENEERS.NS      | Price:  160.55 | Entry:  157.34 | Target:  211.62 | Risk: LOW       
  PRLIND.NS       | Price:   62.00 | Entry:   60.76 | Target:   81.18 | Risk: LOW       
  IEML.NS         | Price:   80.00 | Entry:    78.4 | Target:  110.88 | Risk: LOW       
  TUNWAL.NS       | Price:   33.70 | Entry:   33.03 | Target:   40.86 | Risk: LOW       
  EMKAYTOOLS.NS   | Price:   98.75 | Entry:   96.77 | Target:  126.00 | Risk: LOW       
  GAYAPROJ.NS     | Price:   14.86 | Entry:   14.56 | Target:   16.51 | Risk: LOW       
  ENSER.NS        | Price:   14.00 | Entry:   13.72 | Target:   20.52 | Risk: LOW       
  MODTHREAD.NS    | Price:   47.48 | Entry:   46.53 | Target:   66.29 | Risk: LOW       
  IBLFL.NS        | Price:   51.20 | Entry:   50.18 | Target:   57.38 | Risk: LOW       
  WOMANCART.NS    | Price:  176.00 | Entry:  172.48 | Target:  230.09 | Risk: LOW       
  SHREEOSFM.NS    | Price:   80.00 | Entry:    78.4 | Target:  108.50 | Risk: LOW       
  SHEETAL.NS      | Price:  246.00 | Entry:  241.08 | Target:  289.39 | Risk: LOW       
  SADHAV.NS       | Price:  111.15 | Entry:  108.93 | Target:  140.72 | Risk: LOW       
  ZEAL.NS         | Price:   77.05 | Entry:   75.51 | Target:  105.80 | Risk: LOW       
  VEEKAYEM.NS     | Price:  127.10 | Entry:  124.56 | Target:  135.47 | Risk: LOW       
  REXPIPES.NS     | Price:  202.00 | Entry:  197.96 | Target:  219.30 | Risk: LOW       
  URBAN.NS        | Price:  146.80 | Entry:  143.86 | Target:  191.75 | Risk: LOW       
  SURANI.NS       | Price:  114.15 | Entry:  111.87 | Target:  161.63 | Risk: LOW       
  DRSDILIP.NS     | Price:  119.50 | Entry:  117.11 | Target:  125.61 | Risk: LOW       
  SCML.NS         | Price:  146.00 | Entry:  143.08 | Target:  176.62 | Risk: LOW       
  NEWJAISA.NS     | Price:   20.65 | Entry:   20.24 | Target:   25.58 | Risk: LOW       
  DCG.NS          | Price:   61.30 | Entry:   60.07 | Target:   77.21 | Risk: LOW       
  MAXPOSURE.NS    | Price:   38.00 | Entry:   37.24 | Target:   45.25 | Risk: LOW       
  CRAYONS.NS      | Price:   38.55 | Entry:   37.78 | Target:   58.30 | Risk: LOW       
  MAHICKRA.NS     | Price:  215.05 | Entry:  210.75 | Target:  274.19 | Risk: LOW       
  OLIL.NS         | Price:  320.50 | Entry:  314.09 | Target:  380.71 | Risk: LOW       
  HOACFOODS.NS    | Price:  386.00 | Entry:  378.28 | Target:  444.13 | Risk: LOW       
  MAGSON.NS       | Price:  160.25 | Entry:  157.04 | Target:  190.71 | Risk: LOW       
  DIGJAMLMTD.NS   | Price:   45.23 | Entry:   44.33 | Target:   62.03 | Risk: LOW       
  SILKFLEX.NS     | Price:  125.55 | Entry:  123.04 | Target:  146.51 | Risk: LOW       
  SONAMAC.NS      | Price:   41.40 | Entry:   40.57 | Target:   55.10 | Risk: LOW       
  MHHL.NS         | Price:   38.90 | Entry:   38.12 | Target:   48.77 | Risk: LOW       
  MEGAFLEX.NS     | Price:  151.50 | Entry:  148.47 | Target:  161.63 | Risk: LOW       
  SRIVASAVI.NS    | Price:   48.35 | Entry:   47.38 | Target:   60.49 | Risk: LOW       
  ONDOOR.NS       | Price:  147.25 | Entry:  144.31 | Target:  183.14 | Risk: LOW       
  PULZ.NS         | Price:   26.35 | Entry:   25.82 | Target:   31.71 | Risk: LOW       
  ARABIAN.NS      | Price:   73.00 | Entry:   71.54 | Target:   83.54 | Risk: LOW       
  MARCO.NS        | Price:   35.50 | Entry:   34.79 | Target:   47.71 | Risk: LOW       
  VELS.NS         | Price:   57.40 | Entry:   56.25 | Target:   69.10 | Risk: LOW       
  TPHQ.NS         | Price:    0.56 | Entry:    0.55 | Target:    0.70 | Risk: LOW       
  SAIFL.NS        | Price:   10.90 | Entry:   10.68 | Target:   14.15 | Risk: LOW       
  LRRPL.NS        | Price:   72.00 | Entry:   70.56 | Target:   88.02 | Risk: LOW       
  GATECH.NS       | Price:    0.50 | Entry:    0.49 | Target:    0.64 | Risk: LOW       
  SERVICE.NS      | Price:   52.25 | Entry:    51.2 | Target:   61.84 | Risk: LOW       
  DHANLAXMI.NS    | Price:   27.25 | Entry:    26.7 | Target:   35.75 | Risk: LOW       
  BLUEPEBBLE.NS   | Price:  137.75 | Entry:   135.0 | Target:  171.77 | Risk: LOW       
  BMETRICS.NS     | Price:   42.00 | Entry:   41.16 | Target:   49.79 | Risk: LOW       
  SEL.NS          | Price:  186.00 | Entry:  182.28 | Target:  248.50 | Risk: LOW       
  MCON.NS         | Price:   50.25 | Entry:   49.24 | Target:   60.34 | Risk: LOW       
  PENTAGON.NS     | Price:   64.95 | Entry:   63.65 | Target:   77.70 | Risk: LOW       
  UCL.NS          | Price:   91.35 | Entry:   89.52 | Target:  106.42 | Risk: LOW       
  AGNI.NS         | Price:   18.15 | Entry:   17.79 | Target:   22.11 | Risk: LOW       
  MOXSH.NS        | Price:  133.85 | Entry:  131.17 | Target:  139.39 | Risk: LOW       
  MILTON.NS       | Price:   50.30 | Entry:   49.29 | Target:   51.12 | Risk: LOW       
  KONTOR.NS       | Price:   69.25 | Entry:   67.86 | Target:   93.91 | Risk: LOW       
  MEDIORG.NS      | Price:   25.60 | Entry:   25.09 | Target:   32.78 | Risk: LOW       
  NEUEON.NS       | Price:   16.86 | Entry:   16.52 | Target:   18.88 | Risk: LOW       
  VILINBIO.NS     | Price:   37.25 | Entry:   36.51 | Target:   41.73 | Risk: LOW       
  VSCL.NS         | Price:   25.35 | Entry:   24.84 | Target:   27.24 | Risk: LOW       
  KSHITIJPOL.NS   | Price:    2.48 | Entry:    2.43 | Target:    3.21 | Risk: LOW       
  ISHAN.NS        | Price:    0.70 | Entry:    0.69 | Target:    0.84 | Risk: LOW       
  JIWANRAM.NS     | Price:    5.30 | Entry:    5.19 | Target:    6.55 | Risk: LOW       
  GSTL.NS         | Price:   36.45 | Entry:   35.72 | Target:   39.70 | Risk: LOW       
  VIVO.NS         | Price:   76.00 | Entry:   74.48 | Target:   77.21 | Risk: LOW       
  CBAZAAR.NS      | Price:    5.00 | Entry:     4.9 | Target:    5.68 | Risk: LOW       
  ACCORD.NS       | Price:   28.65 | Entry:   28.08 | Target:   30.24 | Risk: LOW       
  AMJUMBO.NS      | Price:   11.45 | Entry:   11.22 | Target:   11.75 | Risk: LOW       
  SHAIVAL.NS      | Price:   33.00 | Entry:   32.34 | Target:   33.89 | Risk: LOW       

HOLD SIGNALS (2342):
  RELIANCE.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  HDFCBANK.NS     | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  BHARTIARTL.NS   | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  TCS.NS          | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
  ICICIBANK.NS    | Price:     nan | Trend:   0.00% | Mom:    nan% | Risk: LOW       
