NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-10 19:03:44

BUY SIGNALS (225):
  ENRIN.NS        | Price: 2813.50 | Entry: 2757.23 | Target: 3304.04 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1157.90 | Entry: 1134.74 | Target: 1403.54 | Risk: LOW       
  JSWINFRA.NS     | Price:  265.98 | Entry:  260.66 | Target:  318.64 | Risk: LOW       
  PWL.NS          | Price:  101.80 | Entry:   99.76 | Target:  127.73 | Risk: LOW       
  COHANCE.NS      | Price:  377.90 | Entry:  370.34 | Target:  460.67 | Risk: LOW       
  EMCURE.NS       | Price: 1600.50 | Entry: 1568.49 | Target: 1937.86 | Risk: LOW       
  NUVAMA.NS       | Price: 1306.50 | Entry: 1280.37 | Target: 1556.50 | Risk: LOW       
  HBLENGINE.NS    | Price:  730.65 | Entry:  716.04 | Target:  898.01 | Risk: LOW       
  KPIL.NS         | Price: 1183.30 | Entry: 1159.63 | Target: 1411.73 | Risk: LOW       
  IGIL.NS         | Price:  340.05 | Entry:  333.25 | Target:  405.66 | Risk: LOW       
  LTFOODS.NS      | Price:  410.40 | Entry:  402.19 | Target:  487.11 | Risk: LOW       
  CEMPRO.NS       | Price:  630.35 | Entry:  617.74 | Target:  788.44 | Risk: LOW       
  SBFC.NS         | Price:   92.68 | Entry:   90.83 | Target:  112.20 | Risk: LOW       
  ALIVUS.NS       | Price: 1046.25 | Entry: 1025.33 | Target: 1228.25 | Risk: LOW       
  SANOFICONR.NS   | Price: 4619.10 | Entry: 4526.72 | Target: 5606.78 | Risk: LOW       
  EUREKAFORB.NS   | Price:  493.75 | Entry:  483.88 | Target:  606.62 | Risk: LOW       
  WAAREERTL.NS    | Price:  918.80 | Entry:  900.42 | Target: 1102.41 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  440.15 | Entry:  431.35 | Target:  530.81 | Risk: LOW       
  PNGJL.NS        | Price:  635.10 | Entry:   622.4 | Target:  766.89 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  371.70 | Entry:  364.27 | Target:  472.29 | Risk: LOW       
  AKUMS.NS        | Price:  515.95 | Entry:  505.63 | Target:  622.45 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   49.88 | Entry:   48.88 | Target:   64.75 | Risk: LOW       
  REDTAPE.NS      | Price:  122.85 | Entry:  120.39 | Target:  150.87 | Risk: LOW       
  EPIGRAL.NS      | Price: 1098.30 | Entry: 1076.33 | Target: 1351.28 | Risk: LOW       
  HNDFDS.NS       | Price:  508.75 | Entry:  498.57 | Target:  611.09 | Risk: LOW       
  UTLSOLAR.NS     | Price:  221.44 | Entry:  217.01 | Target:  267.92 | Risk: LOW       
  SAATVIKGL.NS    | Price:  461.60 | Entry:  452.37 | Target:  569.76 | Risk: LOW       
  TVSSCS.NS       | Price:  111.06 | Entry:  108.84 | Target:  135.04 | Risk: LOW       
  BANSALWIRE.NS   | Price:  272.52 | Entry:  267.07 | Target:  344.09 | Risk: LOW       
