NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-11 19:03:33

BUY SIGNALS (1352):
  LT.NS           | Price: 3959.90 | Entry:  3880.7 | Target: 4689.76 | Risk: LOW       
  AXISBANK.NS     | Price: 1350.80 | Entry: 1323.78 | Target: 1569.05 | Risk: LOW       
  TITAN.NS        | Price: 4505.00 | Entry:  4414.9 | Target: 5229.57 | Risk: LOW       
  NTPC.NS         | Price:  380.15 | Entry:  372.55 | Target:  428.76 | Risk: LOW       
  HAL.NS          | Price: 4112.20 | Entry: 4029.96 | Target: 4785.95 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1475.30 | Entry: 1445.79 | Target: 1746.59 | Risk: LOW       
  ONGC.NS         | Price:  286.50 | Entry:  280.77 | Target:  327.54 | Risk: LOW       
  BEL.NS          | Price:  442.45 | Entry:   433.6 | Target:  512.74 | Risk: LOW       
  ADANIENT.NS     | Price: 2086.80 | Entry: 2045.06 | Target: 2523.16 | Risk: LOW       
  DMART.NS        | Price: 4400.60 | Entry: 4312.59 | Target: 5164.24 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1214.80 | Entry:  1190.5 | Target: 1409.73 | Risk: LOW       
  ADANIPOWER.NS   | Price:  175.81 | Entry:  172.29 | Target:  209.89 | Risk: LOW       
  POWERGRID.NS    | Price:  302.75 | Entry:  296.69 | Target:  345.86 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2360.70 | Entry: 2313.49 | Target: 2741.34 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 9813.50 | Entry: 9617.23 | Target: 11311.71 | Risk: LOW       
  TATASTEEL.NS    | Price:  206.61 | Entry:  202.48 | Target:  238.80 | Risk: LOW       
  VEDL.NS         | Price:  745.15 | Entry:  730.25 | Target:  871.75 | Risk: LOW       
  EICHERMOT.NS    | Price: 7424.00 | Entry: 7275.52 | Target: 8687.04 | Risk: LOW       
  TRENT.NS        | Price: 3916.50 | Entry: 3838.17 | Target: 4731.14 | Risk: LOW       
  HINDALCO.NS     | Price:  992.10 | Entry:  972.26 | Target: 1149.72 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1085.35 | Entry: 1063.64 | Target: 1317.01 | Risk: LOW       
  TVSMOTOR.NS     | Price: 3839.90 | Entry:  3763.1 | Target: 4431.48 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1027.55 | Entry:  1007.0 | Target: 1287.53 | Risk: LOW       
  ICICIAMC.NS     | Price: 3385.50 | Entry: 3317.79 | Target: 4124.68 | Risk: LOW       
  PFC.NS          | Price:  434.90 | Entry:   426.2 | Target:  519.91 | Risk: LOW       
  SOLARINDS.NS    | Price: 14073.00 | Entry: 13791.54 | Target: 16946.93 | Risk: LOW       
  MUTHOOTFIN.NS   | Price: 3573.90 | Entry: 3502.42 | Target: 4290.22 | Risk: LOW       
  TATAPOWER.NS    | Price:  399.35 | Entry:  391.36 | Target:  461.44 | Risk: LOW       
  HDFCAMC.NS      | Price: 2619.30 | Entry: 2566.91 | Target: 3144.30 | Risk: LOW       
  ENRIN.NS        | Price: 2813.50 | Entry: 2757.23 | Target: 3304.04 | Risk: LOW       
  SIEMENS.NS      | Price: 3388.50 | Entry: 3320.73 | Target: 4029.86 | Risk: LOW       
  MAZDOCK.NS      | Price: 2470.20 | Entry:  2420.8 | Target: 3035.63 | Risk: LOW       
  BOSCHLTD.NS     | Price: 37330.00 | Entry: 36583.4 | Target: 44387.14 | Risk: LOW       
  ABB.NS          | Price: 6859.50 | Entry: 6722.31 | Target: 7934.86 | Risk: LOW       
  MOTHERSON.NS    | Price:  122.16 | Entry:  119.72 | Target:  148.33 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5138.70 | Entry: 5035.93 | Target: 6027.84 | Risk: LOW       
  POLYCAB.NS      | Price: 7728.00 | Entry: 7573.44 | Target: 9108.36 | Risk: LOW       
  CGPOWER.NS      | Price:  731.10 | Entry:  716.48 | Target:  861.55 | Risk: LOW       
  UNIONBANK.NS    | Price:  189.03 | Entry:  185.25 | Target:  231.56 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1157.90 | Entry: 1134.74 | Target: 1403.54 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 7511.50 | Entry: 7361.27 | Target: 8544.00 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1219.20 | Entry: 1194.82 | Target: 1446.06 | Risk: LOW       
  BSE.NS          | Price: 3281.20 | Entry: 3215.58 | Target: 3951.88 | Risk: LOW       
  INDIANB.NS      | Price:  967.75 | Entry:  948.39 | Target: 1167.43 | Risk: LOW       
  GMRAIRPORT.NS   | Price:   95.25 | Entry:   93.34 | Target:  115.26 | Risk: LOW       
  RECLTD.NS       | Price:  349.80 | Entry:   342.8 | Target:  413.24 | Risk: LOW       
  ZYDUSLIFE.NS    | Price:  915.40 | Entry:  897.09 | Target: 1044.67 | Risk: LOW       
  GROWW.NS        | Price:  193.70 | Entry:  189.83 | Target:  235.31 | Risk: LOW       
  WAAREEENER.NS   | Price: 3281.40 | Entry: 3215.77 | Target: 3852.22 | Risk: LOW       
  BAJAJHFL.NS     | Price:   85.94 | Entry:   84.22 | Target:  101.13 | Risk: LOW       
  JSWENERGY.NS    | Price:  488.85 | Entry:  479.07 | Target:  578.40 | Risk: LOW       
  PERSISTENT.NS   | Price: 5427.10 | Entry: 5318.56 | Target: 6305.74 | Risk: LOW       
  BHEL.NS         | Price:  284.71 | Entry:  279.02 | Target:  341.52 | Risk: LOW       
  POWERINDIA.NS   | Price: 28425.00 | Entry: 27856.5 | Target: 33769.64 | Risk: LOW       
  MEESHO.NS       | Price:  163.59 | Entry:  160.32 | Target:  202.47 | Risk: LOW       
  NTPCGREEN.NS    | Price:   97.17 | Entry:   95.23 | Target:  115.77 | Risk: LOW       
  POLICYBZR.NS    | Price: 1509.80 | Entry:  1479.6 | Target: 1784.26 | Risk: LOW       
  SUZLON.NS       | Price:   45.32 | Entry:   44.41 | Target:   53.67 | Risk: LOW       
  ABCAPITAL.NS    | Price:  341.90 | Entry:  335.06 | Target:  415.44 | Risk: LOW       
  PAYTM.NS        | Price: 1123.85 | Entry: 1101.37 | Target: 1377.24 | Risk: LOW       
  IOB.NS          | Price:   34.70 | Entry:   34.01 | Target:   41.26 | Risk: LOW       
  OFSS.NS         | Price: 7253.50 | Entry: 7108.43 | Target: 8459.39 | Risk: LOW       
  LENSKART.NS     | Price:  547.55 | Entry:   536.6 | Target:  665.32 | Risk: LOW       
  GVT&D.NS        | Price: 4067.00 | Entry: 3985.66 | Target: 5247.86 | Risk: LOW       
  LLOYDSME.NS     | Price: 1506.20 | Entry: 1476.08 | Target: 1820.20 | Risk: LOW       
  NYKAA.NS        | Price:  259.49 | Entry:   254.3 | Target:  301.20 | Risk: LOW       
  ATGL.NS         | Price:  581.05 | Entry:  569.43 | Target:  741.10 | Risk: LOW       
  COROMANDEL.NS   | Price: 2154.80 | Entry:  2111.7 | Target: 2618.34 | Risk: LOW       
  GICRE.NS        | Price:  397.60 | Entry:  389.65 | Target:  469.96 | Risk: LOW       
  TORNTPOWER.NS   | Price: 1471.80 | Entry: 1442.36 | Target: 1730.87 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1349.40 | Entry: 1322.41 | Target: 1552.19 | Risk: LOW       
  NMDC.NS         | Price:   85.07 | Entry:   83.37 | Target:   98.74 | Risk: LOW       
  BERGEPAINT.NS   | Price:  454.00 | Entry:  444.92 | Target:  526.27 | Risk: LOW       
  GODREJPROP.NS   | Price: 1716.50 | Entry: 1682.17 | Target: 2075.11 | Risk: LOW       
  LTF.NS          | Price:  278.43 | Entry:  272.86 | Target:  337.01 | Risk: LOW       
  JSWINFRA.NS     | Price:  265.98 | Entry:  260.66 | Target:  318.64 | Risk: LOW       
  JSL.NS          | Price:  780.85 | Entry:  765.23 | Target:  927.64 | Risk: LOW       
  AUBANK.NS       | Price:  981.80 | Entry:  962.16 | Target: 1176.64 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1671.70 | Entry: 1638.27 | Target: 1979.20 | Risk: LOW       
  BHARATFORG.NS   | Price: 1798.80 | Entry: 1762.82 | Target: 2146.16 | Risk: LOW       
  FACT.NS         | Price:  857.60 | Entry:  840.45 | Target: 1059.35 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1763.50 | Entry: 1728.23 | Target: 2104.82 | Risk: LOW       
