NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-16 19:10:20

BUY SIGNALS (297):
  TMPV.NS         | Price:  356.30 | Entry:  349.17 | Target:  416.94 | Risk: LOW       
  ENRIN.NS        | Price: 2901.30 | Entry: 2843.27 | Target: 3393.16 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1222.60 | Entry: 1198.15 | Target: 1476.24 | Risk: LOW       
  JSWINFRA.NS     | Price:  272.59 | Entry:  267.14 | Target:  326.80 | Risk: LOW       
  PWL.NS          | Price:  105.45 | Entry:  103.34 | Target:  129.72 | Risk: LOW       
  COHANCE.NS      | Price:  362.95 | Entry:  355.69 | Target:  454.61 | Risk: LOW       
  TATATECH.NS     | Price:  586.70 | Entry:  574.97 | Target:  678.38 | Risk: LOW       
  AEGISLOG.NS     | Price:  659.55 | Entry:  646.36 | Target:  802.62 | Risk: LOW       
  EMCURE.NS       | Price: 1639.00 | Entry: 1606.22 | Target: 1990.11 | Risk: LOW       
  NUVAMA.NS       | Price: 1366.40 | Entry: 1339.07 | Target: 1623.40 | Risk: LOW       
  HBLENGINE.NS    | Price:  783.25 | Entry:  767.59 | Target:  957.93 | Risk: LOW       
  KPIL.NS         | Price: 1203.90 | Entry: 1179.82 | Target: 1430.22 | Risk: LOW       
  ABLBL.NS        | Price:  105.58 | Entry:  103.47 | Target:  126.31 | Risk: LOW       
  AKZOINDIA.NS    | Price: 2999.00 | Entry: 2939.02 | Target: 3513.04 | Risk: LOW       
  IGIL.NS         | Price:  368.95 | Entry:  361.57 | Target:  436.75 | Risk: LOW       
  LTFOODS.NS      | Price:  419.15 | Entry:  410.77 | Target:  495.26 | Risk: LOW       
  RRKABEL.NS      | Price: 1455.00 | Entry:  1425.9 | Target: 1705.64 | Risk: LOW       
  CEMPRO.NS       | Price:  648.30 | Entry:  635.33 | Target:  805.07 | Risk: LOW       
  TARIL.NS        | Price:  319.75 | Entry:  313.36 | Target:  396.89 | Risk: LOW       
  SKFINDUS.NS     | Price: 2370.80 | Entry: 2323.38 | Target: 2930.19 | Risk: LOW       
  SBFC.NS         | Price:   97.94 | Entry:   95.98 | Target:  118.49 | Risk: LOW       
  CANHLIFE.NS     | Price:  151.05 | Entry:  148.03 | Target:  176.40 | Risk: LOW       
  ALIVUS.NS       | Price: 1071.20 | Entry: 1049.78 | Target: 1273.25 | Risk: LOW       
  SANOFICONR.NS   | Price: 4728.80 | Entry: 4634.22 | Target: 5731.80 | Risk: LOW       
  EUREKAFORB.NS   | Price:  495.10 | Entry:   485.2 | Target:  599.06 | Risk: LOW       
  WAAREERTL.NS    | Price: 1060.30 | Entry: 1039.09 | Target: 1285.66 | Risk: LOW       
  BLACKBUCK.NS    | Price:  601.95 | Entry:  589.91 | Target:  718.45 | Risk: LOW       
  PNGJL.NS        | Price:  662.20 | Entry:  648.96 | Target:  794.24 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  408.55 | Entry:  400.38 | Target:  512.59 | Risk: LOW       
  MAXESTATES.NS   | Price:  387.05 | Entry:  379.31 | Target:  480.57 | Risk: LOW       
  AKUMS.NS        | Price:  550.70 | Entry:  539.69 | Target:  665.47 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   53.26 | Entry:   52.19 | Target:   68.43 | Risk: LOW       
  REDTAPE.NS      | Price:  122.18 | Entry:  119.74 | Target:  147.90 | Risk: LOW       
  EPIGRAL.NS      | Price: 1208.55 | Entry: 1184.38 | Target: 1506.26 | Risk: LOW       
  GANESHHOU.NS    | Price:  651.60 | Entry:  638.57 | Target:  822.78 | Risk: LOW       
  UTLSOLAR.NS     | Price:  256.16 | Entry:  251.04 | Target:  310.23 | Risk: LOW       
