NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-17 18:54:40

BUY SIGNALS (311):
  TMPV.NS         | Price:  360.10 | Entry:   352.9 | Target:  420.89 | Risk: LOW       
  ENRIN.NS        | Price: 3019.60 | Entry: 2959.21 | Target: 3542.74 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1259.80 | Entry:  1234.6 | Target: 1514.85 | Risk: LOW       
  JSWINFRA.NS     | Price:  274.26 | Entry:  268.77 | Target:  326.04 | Risk: LOW       
  PWL.NS          | Price:  108.32 | Entry:  106.15 | Target:  133.83 | Risk: LOW       
  COHANCE.NS      | Price:  390.55 | Entry:  382.74 | Target:  493.69 | Risk: LOW       
  TATATECH.NS     | Price:  589.30 | Entry:  577.51 | Target:  679.92 | Risk: LOW       
  AEGISLOG.NS     | Price:  709.30 | Entry:  695.11 | Target:  884.14 | Risk: LOW       
  EMCURE.NS       | Price: 1672.10 | Entry: 1638.66 | Target: 2014.31 | Risk: LOW       
  NUVAMA.NS       | Price: 1400.70 | Entry: 1372.69 | Target: 1657.84 | Risk: LOW       
  HBLENGINE.NS    | Price:  786.50 | Entry:  770.77 | Target:  952.25 | Risk: LOW       
  KPIL.NS         | Price: 1231.70 | Entry: 1207.07 | Target: 1451.56 | Risk: LOW       
  ABLBL.NS        | Price:  105.84 | Entry:  103.72 | Target:  126.59 | Risk: LOW       
  AKZOINDIA.NS    | Price: 2958.80 | Entry: 2899.62 | Target: 3461.44 | Risk: LOW       
  IGIL.NS         | Price:  372.85 | Entry:  365.39 | Target:  441.05 | Risk: LOW       
  LTFOODS.NS      | Price:  422.00 | Entry:  413.56 | Target:  492.38 | Risk: LOW       
  RRKABEL.NS      | Price: 1475.60 | Entry: 1446.09 | Target: 1730.71 | Risk: LOW       
  CEMPRO.NS       | Price:  648.25 | Entry:  635.28 | Target:  798.77 | Risk: LOW       
  TARIL.NS        | Price:  322.30 | Entry:  315.85 | Target:  398.32 | Risk: LOW       
  ACUTAAS.NS      | Price: 2361.70 | Entry: 2314.47 | Target: 3061.59 | Risk: LOW       
  TSFINV.NS       | Price:  405.40 | Entry:  397.29 | Target:  514.56 | Risk: LOW       
  SBFC.NS         | Price:   97.35 | Entry:    95.4 | Target:  116.84 | Risk: LOW       
  CANHLIFE.NS     | Price:  149.73 | Entry:  146.74 | Target:  174.89 | Risk: LOW       
  ALIVUS.NS       | Price: 1069.65 | Entry: 1048.26 | Target: 1262.06 | Risk: LOW       
  SANOFICONR.NS   | Price: 4720.00 | Entry:  4625.6 | Target: 5690.14 | Risk: LOW       
  WAAREERTL.NS    | Price: 1116.10 | Entry: 1093.78 | Target: 1380.06 | Risk: LOW       
  BLACKBUCK.NS    | Price:  623.40 | Entry:  610.93 | Target:  740.99 | Risk: LOW       
  IIFLCAPS.NS     | Price:  313.44 | Entry:  307.17 | Target:  394.71 | Risk: LOW       
  PNGJL.NS        | Price:  667.65 | Entry:   654.3 | Target:  796.77 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  432.55 | Entry:   423.9 | Target:  545.12 | Risk: LOW       
  MAXESTATES.NS   | Price:  388.60 | Entry:  380.83 | Target:  476.73 | Risk: LOW       
  AKUMS.NS        | Price:  545.75 | Entry:  534.84 | Target:  659.46 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   55.86 | Entry:   54.74 | Target:   71.56 | Risk: LOW       
  REDTAPE.NS      | Price:  122.30 | Entry:  119.85 | Target:  146.01 | Risk: LOW       
  EPIGRAL.NS      | Price: 1201.05 | Entry: 1177.03 | Target: 1491.76 | Risk: LOW       
  HNDFDS.NS       | Price:  508.55 | Entry:  498.38 | Target:  599.94 | Risk: LOW       
  UTLSOLAR.NS     | Price:  258.92 | Entry:  253.74 | Target:  312.13 | Risk: LOW       
  AVL.NS          | Price:  523.45 | Entry:  512.98 | Target:  619.83 | Risk: LOW       
  SAATVIKGL.NS    | Price:  472.25 | Entry:  462.81 | Target:  582.12 | Risk: LOW       
  TVSSCS.NS       | Price:  115.69 | Entry:  113.38 | Target:  141.29 | Risk: LOW       
  BANSALWIRE.NS   | Price:  305.90 | Entry:  299.78 | Target:  387.17 | Risk: LOW       
  ZAGGLE.NS       | Price:  260.88 | Entry:  255.66 | Target:  336.04 | Risk: LOW       
  ORIANA.NS       | Price: 2085.85 | Entry: 2044.13 | Target: 2659.78 | Risk: LOW       
  SMLMAH.NS       | Price: 4319.20 | Entry: 4232.82 | Target: 5392.31 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1347.00 | Entry: 1320.06 | Target: 1713.32 | Risk: LOW       
  CEIGALL.NS      | Price:  306.95 | Entry:  300.81 | Target:  360.49 | Risk: LOW       
  GUJTHEM.NS      | Price:  319.07 | Entry:  312.69 | Target:  405.08 | Risk: LOW       
  AVANTEL.NS      | Price:  160.30 | Entry:  157.09 | Target:  198.47 | Risk: LOW       
  RAYMONDREL.NS   | Price:  457.15 | Entry:  448.01 | Target:  578.92 | Risk: LOW       
  TRUALT.NS       | Price:  444.65 | Entry:  435.76 | Target:  533.63 | Risk: LOW       
  JUBLCPL.NS      | Price: 1880.10 | Entry:  1842.5 | Target: 2575.89 | Risk: LOW       
  SUNCLAY.NS      | Price: 1451.80 | Entry: 1422.76 | Target: 1813.90 | Risk: LOW       
  ARTEMISMED.NS   | Price:  234.37 | Entry:  229.68 | Target:  281.36 | Risk: LOW       
  SWANDEF.NS      | Price: 1899.50 | Entry: 1861.51 | Target: 2402.43 | Risk: LOW       
  PRABHA.NS       | Price:  162.73 | Entry:  159.48 | Target:  206.07 | Risk: LOW       
  SUNDROP.NS      | Price:  648.60 | Entry:  635.63 | Target:  782.74 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  176.78 | Entry:  173.24 | Target:  222.45 | Risk: LOW       
  KPEL.NS         | Price:  357.87 | Entry:  350.71 | Target:  444.99 | Risk: LOW       
  ALPEXSOLAR.NS   | Price: 1009.30 | Entry:  989.11 | Target: 1282.78 | Risk: LOW       
  EPACKPEB.NS     | Price:  192.34 | Entry:  188.49 | Target:  248.47 | Risk: LOW       
  JTLIND.NS       | Price:   66.76 | Entry:   65.42 | Target:   93.76 | Risk: LOW       
  DIGITIDE.NS     | Price:   97.28 | Entry:   95.33 | Target:  131.10 | Risk: LOW       
  SERVOTECH.NS    | Price:   85.77 | Entry:   84.05 | Target:  109.01 | Risk: LOW       
  KMEW.NS         | Price: 1771.30 | Entry: 1735.87 | Target: 2238.41 | Risk: LOW       
  ROSSTECH.NS     | Price:  969.45 | Entry:  950.06 | Target: 1225.79 | Risk: LOW       
  SCILAL.NS       | Price:   47.44 | Entry:   46.49 | Target:   60.19 | Risk: LOW       
  GVPIL.NS        | Price:  499.90 | Entry:   489.9 | Target:  607.13 | Risk: LOW       
  SGFIN.NS        | Price:  513.65 | Entry:  503.38 | Target:  659.76 | Risk: LOW       
  YASHO.NS        | Price: 1533.20 | Entry: 1502.54 | Target: 1910.77 | Risk: LOW       
  WAAREEINDO.NS   | Price:  515.10 | Entry:   504.8 | Target:  634.69 | Risk: LOW       
  ADOR.NS         | Price: 1002.35 | Entry:   982.3 | Target: 1240.76 | Risk: LOW       
  SOLEX.NS        | Price: 1272.05 | Entry: 1246.61 | Target: 1645.46 | Risk: LOW       
  TINNARUBR.NS    | Price:  729.20 | Entry:  714.62 | Target:  930.06 | Risk: LOW       
  PUNJABCHEM.NS   | Price: 1070.50 | Entry: 1049.09 | Target: 1330.77 | Risk: LOW       
  AIMTRON.NS      | Price:  982.90 | Entry:  963.24 | Target: 1248.97 | Risk: LOW       
  VINYAS.NS       | Price: 1080.25 | Entry: 1058.64 | Target: 1396.66 | Risk: LOW       
  FINKURVE.NS     | Price:   73.29 | Entry:   71.82 | Target:  100.57 | Risk: LOW       
  ALLDIGI.NS      | Price:  854.55 | Entry:  837.46 | Target: 1040.89 | Risk: LOW       
  VMARCIND.NS     | Price:  837.15 | Entry:  820.41 | Target: 1113.90 | Risk: LOW       
  TAC.NS          | Price:  562.55 | Entry:   551.3 | Target:  736.19 | Risk: LOW       
  BOROSCI.NS      | Price:  118.66 | Entry:  116.29 | Target:  144.00 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  292.48 | Entry:  286.63 | Target:  383.21 | Risk: LOW       
  STLNETWORK.NS   | Price:   25.15 | Entry:   24.65 | Target:   32.96 | Risk: LOW       
  VILAS.NS        | Price:  412.75 | Entry:   404.5 | Target:  530.46 | Risk: LOW       
  RACLGEAR.NS     | Price: 1399.40 | Entry: 1371.41 | Target: 1793.47 | Risk: LOW       
  BLUSPRING.NS    | Price:   67.12 | Entry:   65.78 | Target:   92.18 | Risk: LOW       
  ANTELOPUS.NS    | Price:  615.80 | Entry:  603.48 | Target:  811.37 | Risk: LOW       
  GGBL.NS         | Price:  338.25 | Entry:  331.49 | Target:  451.79 | Risk: LOW       
  AEROENTER.NS    | Price:   91.98 | Entry:   90.14 | Target:  115.75 | Risk: LOW       
  BHARATSE.NS     | Price:  183.46 | Entry:  179.79 | Target:  239.18 | Risk: LOW       
  KARNIKA.NS      | Price:  132.10 | Entry:  129.46 | Target:  163.28 | Risk: LOW       
  APS.NS          | Price:  369.75 | Entry:  362.36 | Target:  485.48 | Risk: LOW       
  BASILIC.NS      | Price:  233.70 | Entry:  229.03 | Target:  313.54 | Risk: LOW       
  COOLCAPS.NS     | Price:   31.55 | Entry:   30.92 | Target:   41.05 | Risk: LOW       
  UFBL.NS         | Price:  325.50 | Entry:  318.99 | Target:  440.16 | Risk: LOW       
  BESTAGRO.NS     | Price:   19.11 | Entry:   18.73 | Target:   23.88 | Risk: LOW       
  ANUHPHR.NS      | Price:   82.89 | Entry:   81.23 | Target:  100.86 | Risk: LOW       
  VIVIANA.NS      | Price:  765.25 | Entry:  749.94 | Target:  979.96 | Risk: LOW       
  ARFIN.NS        | Price:   94.73 | Entry:   92.84 | Target:  117.67 | Risk: LOW       
  ZTECH.NS        | Price:  552.45 | Entry:   541.4 | Target:  667.22 | Risk: LOW       
  TECHLABS.NS     | Price:  227.65 | Entry:   223.1 | Target:  290.56 | Risk: LOW       
  ATL.NS          | Price:   26.15 | Entry:   25.63 | Target:   34.75 | Risk: LOW       
  TREL.NS         | Price:   28.57 | Entry:    28.0 | Target:   34.50 | Risk: LOW       
  CELLECOR.NS     | Price:   31.85 | Entry:   31.21 | Target:   42.48 | Risk: LOW       
  ACCENTMIC.NS    | Price:  436.25 | Entry:  427.52 | Target:  540.98 | Risk: LOW       
  GPECO.NS        | Price:  369.10 | Entry:  361.72 | Target:  503.67 | Risk: LOW       
  OCCLLTD.NS      | Price:   96.32 | Entry:   94.39 | Target:  121.38 | Risk: LOW       
  SJLOGISTIC.NS   | Price:  328.75 | Entry:  322.18 | Target:  448.82 | Risk: LOW       
  ZODIAC.NS       | Price:  300.55 | Entry:  294.54 | Target:  412.17 | Risk: LOW       
