NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-25 18:59:52

BUY SIGNALS (1487):
  HINDUNILVR.NS   | Price: 2327.30 | Entry: 2280.75 | Target: 2654.94 | Risk: LOW       
  LT.NS           | Price: 4014.30 | Entry: 3934.01 | Target: 4587.59 | Risk: LOW       
  AXISBANK.NS     | Price: 1365.90 | Entry: 1338.58 | Target: 1540.36 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 11998.00 | Entry: 11758.04 | Target: 13523.71 | Risk: LOW       
  NTPC.NS         | Price:  401.85 | Entry:  393.81 | Target:  448.19 | Risk: LOW       
  HAL.NS          | Price: 4265.80 | Entry: 4180.48 | Target: 4827.73 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1585.10 | Entry:  1553.4 | Target: 1816.85 | Risk: LOW       
  ETERNAL.NS      | Price:  256.79 | Entry:  251.65 | Target:  298.00 | Risk: LOW       
  BEL.NS          | Price:  444.45 | Entry:  435.56 | Target:  496.04 | Risk: LOW       
  ADANIENT.NS     | Price: 2287.60 | Entry: 2241.85 | Target: 2714.67 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1255.70 | Entry: 1230.59 | Target: 1412.27 | Risk: LOW       
  ADANIPOWER.NS   | Price:  212.90 | Entry:  208.64 | Target:  254.68 | Risk: LOW       
  POWERGRID.NS    | Price:  316.40 | Entry:  310.07 | Target:  349.29 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2485.10 | Entry:  2435.4 | Target: 2843.99 | Risk: LOW       
  NESTLEIND.NS    | Price: 1421.30 | Entry: 1392.87 | Target: 1601.48 | Risk: LOW       
  TATASTEEL.NS    | Price:  210.07 | Entry:  205.87 | Target:  232.63 | Risk: LOW       
  TMPV.NS         | Price:  350.50 | Entry:  343.49 | Target:  406.86 | Risk: LOW       
  HINDZINC.NS     | Price:  588.50 | Entry:  576.73 | Target:  681.89 | Risk: LOW       
  DLF.NS          | Price:  587.05 | Entry:  575.31 | Target:  678.59 | Risk: LOW       
  TRENT.NS        | Price: 4297.30 | Entry: 4211.35 | Target: 5092.09 | Risk: LOW       
  HINDALCO.NS     | Price: 1048.35 | Entry: 1027.38 | Target: 1187.94 | Risk: LOW       
  DIVISLAB.NS     | Price: 6361.50 | Entry: 6234.27 | Target: 7048.29 | Risk: LOW       
  IRFC.NS         | Price:  103.92 | Entry:  101.84 | Target:  120.54 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1235.80 | Entry: 1211.08 | Target: 1515.23 | Risk: LOW       
  VBL.NS          | Price:  490.45 | Entry:  480.64 | Target:  569.55 | Risk: LOW       
  TATACAP.NS      | Price:  337.20 | Entry:  330.46 | Target:  376.65 | Risk: LOW       
  ICICIAMC.NS     | Price: 3293.40 | Entry: 3227.53 | Target: 4095.29 | Risk: LOW       
