NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-29 19:15:06

BUY SIGNALS (249):
  ETERNAL.NS      | Price:  254.03 | Entry:  248.95 | Target:  296.67 | Risk: LOW       
  JIOFIN.NS       | Price:  250.71 | Entry:   245.7 | Target:  288.44 | Risk: LOW       
  ENRIN.NS        | Price: 3310.00 | Entry:  3243.8 | Target: 3896.50 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1418.15 | Entry: 1389.79 | Target: 1733.20 | Risk: LOW       
  UNITDSPR.NS     | Price: 1363.40 | Entry: 1336.13 | Target: 1529.04 | Risk: LOW       
  AIIL.NS         | Price:  486.70 | Entry:  476.97 | Target:  589.56 | Risk: LOW       
  PWL.NS          | Price:  110.64 | Entry:  108.43 | Target:  133.05 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 2013.20 | Entry: 1972.94 | Target: 2421.70 | Risk: LOW       
  COHANCE.NS      | Price:  467.55 | Entry:   458.2 | Target:  631.96 | Risk: LOW       
  AEGISLOG.NS     | Price:  709.70 | Entry:  695.51 | Target:  881.50 | Risk: LOW       
  EMCURE.NS       | Price: 1729.90 | Entry:  1695.3 | Target: 2093.26 | Risk: LOW       
  HBLENGINE.NS    | Price:  810.90 | Entry:  794.68 | Target:  953.06 | Risk: LOW       
  KPIL.NS         | Price: 1264.30 | Entry: 1239.01 | Target: 1429.66 | Risk: LOW       
  ARE&M.NS        | Price:  890.45 | Entry:  872.64 | Target: 1078.56 | Risk: LOW       
  IGIL.NS         | Price:  354.70 | Entry:  347.61 | Target:  422.29 | Risk: LOW       
  LTFOODS.NS      | Price:  425.10 | Entry:   416.6 | Target:  477.90 | Risk: LOW       
  RRKABEL.NS      | Price: 1626.60 | Entry: 1594.07 | Target: 1914.42 | Risk: LOW       
  CEMPRO.NS       | Price:  679.40 | Entry:  665.81 | Target:  813.45 | Risk: LOW       
  JAINREC.NS      | Price:  460.35 | Entry:  451.14 | Target:  539.81 | Risk: LOW       
  TARIL.NS        | Price:  323.50 | Entry:  317.03 | Target:  416.05 | Risk: LOW       
  ACUTAAS.NS      | Price: 2502.40 | Entry: 2452.35 | Target: 2982.47 | Risk: LOW       
  TSFINV.NS       | Price:  406.40 | Entry:  398.27 | Target:  500.72 | Risk: LOW       
  SANOFICONR.NS   | Price: 4788.40 | Entry: 4692.63 | Target: 5514.11 | Risk: LOW       
  PVRINOX.NS      | Price: 1092.55 | Entry:  1070.7 | Target: 1238.73 | Risk: LOW       
  IIFLCAPS.NS     | Price:  314.01 | Entry:  307.73 | Target:  388.28 | Risk: LOW       
  PNGJL.NS        | Price:  668.65 | Entry:  655.28 | Target:  761.70 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  408.10 | Entry:  399.94 | Target:  509.31 | Risk: LOW       
  MAXESTATES.NS   | Price:  399.80 | Entry:   391.8 | Target:  467.10 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   57.86 | Entry:    56.7 | Target:   71.01 | Risk: LOW       
  REDTAPE.NS      | Price:  130.18 | Entry:  127.58 | Target:  148.30 | Risk: LOW       
  GANESHHOU.NS    | Price:  683.00 | Entry:  669.34 | Target:  820.32 | Risk: LOW       
  UTLSOLAR.NS     | Price:  300.16 | Entry:  294.16 | Target:  368.20 | Risk: LOW       
  AVL.NS          | Price:  534.95 | Entry:  524.25 | Target:  639.84 | Risk: LOW       
  SAATVIKGL.NS    | Price:  480.10 | Entry:   470.5 | Target:  599.74 | Risk: LOW       
  TVSSCS.NS       | Price:  115.06 | Entry:  112.76 | Target:  138.59 | Risk: LOW       
  ORIANA.NS       | Price: 2141.70 | Entry: 2098.87 | Target: 2618.68 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1429.00 | Entry: 1400.42 | Target: 1716.89 | Risk: LOW       
  CEIGALL.NS      | Price:  338.15 | Entry:  331.39 | Target:  398.70 | Risk: LOW       
  GUJTHEM.NS      | Price:  375.64 | Entry:  368.13 | Target:  470.33 | Risk: LOW       
  TRUALT.NS       | Price:  486.05 | Entry:  476.33 | Target:  590.66 | Risk: LOW       
  SUNCLAY.NS      | Price: 1368.40 | Entry: 1341.03 | Target: 1718.26 | Risk: LOW       
  ARTEMISMED.NS   | Price:  239.87 | Entry:  235.07 | Target:  276.19 | Risk: LOW       
  SUNDROP.NS      | Price:  650.95 | Entry:  637.93 | Target:  746.04 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  192.59 | Entry:  188.74 | Target:  236.21 | Risk: LOW       
  KPEL.NS         | Price:  364.24 | Entry:  356.96 | Target:  452.84 | Risk: LOW       
  ALPEXSOLAR.NS   | Price: 1125.35 | Entry: 1102.84 | Target: 1376.05 | Risk: LOW       
  EPACKPEB.NS     | Price:  197.28 | Entry:  193.33 | Target:  257.42 | Risk: LOW       
  JTLIND.NS       | Price:   80.60 | Entry:   78.99 | Target:  107.69 | Risk: LOW       
  RELTD.NS        | Price:  152.04 | Entry:   149.0 | Target:  185.25 | Risk: LOW       
  DIGITIDE.NS     | Price:   98.77 | Entry:   96.79 | Target:  123.72 | Risk: LOW       
  SERVOTECH.NS    | Price:   97.17 | Entry:   95.23 | Target:  122.13 | Risk: LOW       
  ROSSTECH.NS     | Price: 1006.15 | Entry:  986.03 | Target: 1349.40 | Risk: LOW       
  SCILAL.NS       | Price:   44.77 | Entry:   43.87 | Target:   54.16 | Risk: LOW       
  GVPIL.NS        | Price:  575.60 | Entry:  564.09 | Target:  705.21 | Risk: LOW       
  SGFIN.NS        | Price:  565.75 | Entry:  554.43 | Target:  715.00 | Risk: LOW       
  ADOR.NS         | Price: 1106.05 | Entry: 1083.93 | Target: 1383.73 | Risk: LOW       
  SOLEX.NS        | Price: 1309.95 | Entry: 1283.75 | Target: 1727.99 | Risk: LOW       
  TINNARUBR.NS    | Price:  713.00 | Entry:  698.74 | Target:  862.27 | Risk: LOW       
  PUNJABCHEM.NS   | Price: 1131.65 | Entry: 1109.02 | Target: 1331.69 | Risk: LOW       
  AIMTRON.NS      | Price: 1017.35 | Entry:   997.0 | Target: 1274.51 | Risk: LOW       
  MASTERTR.NS     | Price:   81.43 | Entry:    79.8 | Target:   99.57 | Risk: LOW       
  VINYAS.NS       | Price: 1123.50 | Entry: 1101.03 | Target: 1370.14 | Risk: LOW       
  FINKURVE.NS     | Price:   73.80 | Entry:   72.32 | Target:   96.56 | Risk: LOW       
  VMARCIND.NS     | Price:  980.05 | Entry:  960.45 | Target: 1272.51 | Risk: LOW       
  BAJAJINDEF.NS   | Price:  302.53 | Entry:  296.48 | Target:  394.76 | Risk: LOW       
  STLNETWORK.NS   | Price:   28.46 | Entry:   27.89 | Target:   41.15 | Risk: LOW       
  VILAS.NS        | Price:  431.80 | Entry:  423.16 | Target:  551.48 | Risk: LOW       
  ANTELOPUS.NS    | Price:  672.75 | Entry:  659.29 | Target:  837.71 | Risk: LOW       
  GGBL.NS         | Price:  340.50 | Entry:  333.69 | Target:  443.12 | Risk: LOW       
  AEROENTER.NS    | Price:   90.68 | Entry:   88.87 | Target:  114.35 | Risk: LOW       
  KARNIKA.NS      | Price:  138.35 | Entry:  135.58 | Target:  164.81 | Risk: LOW       
  APS.NS          | Price:  387.10 | Entry:  379.36 | Target:  465.81 | Risk: LOW       
  BASILIC.NS      | Price:  243.95 | Entry:  239.07 | Target:  320.63 | Risk: LOW       
  REMUS.NS        | Price:  658.00 | Entry:  644.84 | Target:  778.59 | Risk: LOW       
  UFBL.NS         | Price:  339.97 | Entry:  333.17 | Target:  439.58 | Risk: LOW       
  ANUHPHR.NS      | Price:   82.05 | Entry:   80.41 | Target:   94.61 | Risk: LOW       
  VIVIANA.NS      | Price:  816.70 | Entry:  800.37 | Target: 1099.33 | Risk: LOW       
  ARFIN.NS        | Price:   95.42 | Entry:   93.51 | Target:  118.27 | Risk: LOW       
  OWAIS.NS        | Price:  190.15 | Entry:  186.35 | Target:  238.08 | Risk: LOW       
  ZTECH.NS        | Price:  619.00 | Entry:  606.62 | Target:  723.21 | Risk: LOW       
  ATL.NS          | Price:   25.78 | Entry:   25.26 | Target:   31.01 | Risk: LOW       
  TREL.NS         | Price:   26.86 | Entry:   26.32 | Target:   33.23 | Risk: LOW       
  CELLECOR.NS     | Price:   36.30 | Entry:   35.57 | Target:   46.67 | Risk: LOW       
  DBEIL.NS        | Price:   86.72 | Entry:   84.99 | Target:  110.21 | Risk: LOW       
  GIRIRAJ.NS      | Price:  196.50 | Entry:  192.57 | Target:  253.36 | Risk: LOW       
  OCCLLTD.NS      | Price:   99.83 | Entry:   97.83 | Target:  124.00 | Risk: LOW       
  SJLOGISTIC.NS   | Price:  329.10 | Entry:  322.52 | Target:  417.40 | Risk: LOW       
  BAHETI.NS       | Price:  609.75 | Entry:  597.55 | Target:  717.54 | Risk: LOW       
  EMAMIPAP.NS     | Price:   77.83 | Entry:   76.27 | Target:   93.92 | Risk: LOW       
  ZODIAC.NS       | Price:  332.69 | Entry:  326.04 | Target:  457.66 | Risk: LOW       
  TRANSWORLD.NS   | Price:  164.81 | Entry:  161.51 | Target:  219.21 | Risk: LOW       
  DPEL.NS         | Price:  450.90 | Entry:  441.88 | Target:  536.44 | Risk: LOW       
  EFFWA.NS        | Price:  233.95 | Entry:  229.27 | Target:  286.54 | Risk: LOW       
  MEGATHERM.NS    | Price:  283.00 | Entry:  277.34 | Target:  365.77 | Risk: LOW       
  SUPREMEPWR.NS   | Price:  246.30 | Entry:  241.37 | Target:  313.23 | Risk: LOW       
  ABSMARINE.NS    | Price:  219.45 | Entry:  215.06 | Target:  286.25 | Risk: LOW       
  SAHAJSOLAR.NS   | Price:  153.35 | Entry:  150.28 | Target:  199.83 | Risk: LOW       
  SRGHFL.NS       | Price:  276.10 | Entry:  270.58 | Target:  360.55 | Risk: LOW       
  PCCL.NS         | Price:  280.75 | Entry:  275.13 | Target:  332.75 | Risk: LOW       
  TIGERLOGS.NS    | Price:   35.66 | Entry:   34.95 | Target:   46.75 | Risk: LOW       
  FILATFASH.NS    | Price:    0.27 | Entry:    0.26 | Target:    0.33 | Risk: LOW       
  RUBFILA.NS      | Price:   73.41 | Entry:   71.94 | Target:   88.69 | Risk: LOW       
  PHANTOMFX.NS    | Price:  203.80 | Entry:  199.72 | Target:  269.32 | Risk: LOW       
  SHREEKARNI.NS   | Price:  440.00 | Entry:   431.2 | Target:  519.07 | Risk: LOW       
  SYSTANGO.NS     | Price:  279.95 | Entry:  274.35 | Target:  349.61 | Risk: LOW       
  WTICAB.NS       | Price:  112.90 | Entry:  110.64 | Target:  149.83 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1500.80 | Entry: 1470.78 | Target: 1807.09 | Risk: LOW       
  EFACTOR.NS      | Price:  249.00 | Entry:  244.02 | Target:  304.84 | Risk: LOW       
  CMNL.NS         | Price:  130.60 | Entry:  127.99 | Target:  165.99 | Risk: LOW       
  SHERA.NS        | Price:  143.00 | Entry:  140.14 | Target:  169.45 | Risk: LOW       
  SAAKSHI.NS      | Price:  210.70 | Entry:  206.49 | Target:  238.57 | Risk: LOW       
  JAINAM.NS       | Price:  191.80 | Entry:  187.96 | Target:  198.16 | Risk: LOW       
  PRIZOR.NS       | Price:  654.00 | Entry:  640.92 | Target:  792.93 | Risk: LOW       
  UNIHEALTH.NS    | Price:  490.35 | Entry:  480.54 | Target:  633.83 | Risk: LOW       
  KRISHCA.NS      | Price:  187.00 | Entry:  183.26 | Target:  246.00 | Risk: LOW       
  GOYALSALT.NS    | Price:  126.95 | Entry:  124.41 | Target:  147.77 | Risk: LOW       
  KCEIL.NS        | Price:  129.55 | Entry:  126.96 | Target:  171.10 | Risk: LOW       
  GSMFOILS.NS     | Price:  214.15 | Entry:  209.87 | Target:  292.13 | Risk: LOW       
  CHAVDA.NS       | Price:  104.85 | Entry:  102.75 | Target:  123.14 | Risk: LOW       
  DUGLOBAL.NS     | Price:   43.25 | Entry:   42.38 | Target:   54.39 | Risk: LOW       
  RBS.NS          | Price:  105.00 | Entry:   102.9 | Target:  138.95 | Risk: LOW       
  MADHAVBAUG.NS   | Price:  254.70 | Entry:  249.61 | Target:  336.65 | Risk: LOW       
  KDL.NS          | Price:  155.85 | Entry:  152.73 | Target:  207.83 | Risk: LOW       
  PRATHAM.NS      | Price:  141.00 | Entry:  138.18 | Target:  190.36 | Risk: LOW       
  IPSL.NS         | Price:  245.00 | Entry:   240.1 | Target:  261.96 | Risk: LOW       
  TCL.NS          | Price:  102.35 | Entry:   100.3 | Target:  126.92 | Risk: LOW       
  FELIX.NS        | Price:  215.45 | Entry:  211.14 | Target:  275.65 | Risk: LOW       
  ANLON.NS        | Price:  442.00 | Entry:  433.16 | Target:  517.54 | Risk: LOW       
  COMMITTED.NS    | Price:  269.00 | Entry:  263.62 | Target:  335.23 | Risk: LOW       
  SPCL.NS         | Price:   83.65 | Entry:   81.98 | Target:  112.90 | Risk: LOW       
  SHAH.NS         | Price:    5.46 | Entry:    5.35 | Target:    6.30 | Risk: LOW       
  FIDEL.NS        | Price:  159.50 | Entry:  156.31 | Target:  199.27 | Risk: LOW       
  NEPHROCARE.NS   | Price:   86.65 | Entry:   84.92 | Target:  118.31 | Risk: LOW       
  PRITIKA.NS      | Price:   59.00 | Entry:   57.82 | Target:   67.46 | Risk: LOW       
  AKIKO.NS        | Price:  228.00 | Entry:  223.44 | Target:  282.25 | Risk: LOW       
  GOLDSTAR.NS     | Price:    7.55 | Entry:     7.4 | Target:    9.35 | Risk: LOW       
  WINSOL.NS       | Price:  136.55 | Entry:  133.82 | Target:  171.87 | Risk: LOW       
  IBULLSLTD.NS    | Price:   17.94 | Entry:   17.58 | Target:   24.49 | Risk: LOW       
  EMMIL.NS        | Price:  149.95 | Entry:  146.95 | Target:  190.95 | Risk: LOW       
  DRONE.NS        | Price:   52.90 | Entry:   51.84 | Target:   69.49 | Risk: LOW       
  PROPEQUITY.NS   | Price:  211.50 | Entry:  207.27 | Target:  242.16 | Risk: LOW       
  LLOYDS.NS       | Price:   95.05 | Entry:   93.15 | Target:  121.85 | Risk: LOW       
  ENFUSE.NS       | Price:  200.30 | Entry:  196.29 | Target:  228.09 | Risk: LOW       
  PRLIND.NS       | Price:   64.00 | Entry:   62.72 | Target:   81.27 | Risk: LOW       
  PURVFLEXI.NS    | Price:   65.35 | Entry:   64.04 | Target:   84.55 | Risk: LOW       
  SHRITECH.NS     | Price:   60.90 | Entry:   59.68 | Target:   65.51 | Risk: LOW       
  KORE.NS         | Price:  125.50 | Entry:  122.99 | Target:  157.75 | Risk: LOW       
  DYNAMIC.NS      | Price:  149.10 | Entry:  146.12 | Target:  200.89 | Risk: LOW       
  QMSMEDI.NS      | Price:   90.35 | Entry:   88.54 | Target:  102.80 | Risk: LOW       
  EMKAYTOOLS.NS   | Price:  117.00 | Entry:  114.66 | Target:  139.39 | Risk: LOW       
  IBLFL.NS        | Price:   56.25 | Entry:   55.12 | Target:   65.05 | Risk: LOW       
  GLOBALPET.NS    | Price:  113.00 | Entry:  110.74 | Target:  127.39 | Risk: LOW       
  MDL.NS          | Price:   52.95 | Entry:   51.89 | Target:   68.29 | Risk: LOW       
  SADHAV.NS       | Price:  114.90 | Entry:   112.6 | Target:  146.17 | Risk: LOW       
  QUESTLAB.NS     | Price:  138.45 | Entry:  135.68 | Target:  166.83 | Risk: LOW       
  VEEKAYEM.NS     | Price:  140.00 | Entry:   137.2 | Target:  177.34 | Risk: LOW       
  GREENCHEF.NS    | Price:   50.00 | Entry:    49.0 | Target:   58.11 | Risk: LOW       
  SOTAC.NS        | Price:  117.00 | Entry:  114.66 | Target:  124.71 | Risk: LOW       
  TRU.NS          | Price:    6.41 | Entry:    6.28 | Target:    8.01 | Risk: LOW       
  URBAN.NS        | Price:  140.80 | Entry:  137.98 | Target:  167.09 | Risk: LOW       
  SYLVANPLY.NS    | Price:   60.50 | Entry:   59.29 | Target:   82.34 | Risk: LOW       
  ISHANCH.NS      | Price:   62.26 | Entry:   61.01 | Target:   85.48 | Risk: LOW       
  SHIGAN.NS       | Price:   72.00 | Entry:   70.56 | Target:   85.80 | Risk: LOW       
  SURANI.NS       | Price:  126.50 | Entry:  123.97 | Target:  147.84 | Risk: LOW       
  DELAPLEX.NS     | Price:  117.95 | Entry:  115.59 | Target:  138.74 | Risk: LOW       
  SIDDHIKA.NS     | Price:  221.95 | Entry:  217.51 | Target:  239.13 | Risk: LOW       
  OMFURN.NS       | Price:   63.50 | Entry:   62.23 | Target:   84.36 | Risk: LOW       
  NEWJAISA.NS     | Price:   25.95 | Entry:   25.43 | Target:   31.88 | Risk: LOW       
  DCG.NS          | Price:   68.45 | Entry:   67.08 | Target:   86.00 | Risk: LOW       
  BEACON.NS       | Price:  103.00 | Entry:  100.94 | Target:  138.45 | Risk: LOW       
  DTL.NS          | Price:  115.00 | Entry:   112.7 | Target:  123.39 | Risk: LOW       
  MAHICKRA.NS     | Price:  230.00 | Entry:   225.4 | Target:  265.34 | Risk: LOW       
  ASCOM.NS        | Price:  273.50 | Entry:  268.03 | Target:  318.38 | Risk: LOW       
  ROCKINGDCE.NS   | Price:  202.00 | Entry:  197.96 | Target:  282.23 | Risk: LOW       
  KLL.NS          | Price:   44.90 | Entry:    44.0 | Target:   57.86 | Risk: LOW       
  HOLMARC.NS      | Price:   94.25 | Entry:   92.36 | Target:  115.18 | Risk: LOW       
  NAMAN.NS        | Price:   59.10 | Entry:   57.92 | Target:   70.65 | Risk: LOW       
  MARC.NS         | Price:   88.00 | Entry:   86.24 | Target:  108.66 | Risk: LOW       
  SONUINFRA.NS    | Price:   59.00 | Entry:   57.82 | Target:   74.23 | Risk: LOW       
  PATTECH.NS      | Price:  106.00 | Entry:  103.88 | Target:  117.12 | Risk: LOW       
  ROXHITECH.NS    | Price:   36.75 | Entry:   36.02 | Target:   48.43 | Risk: LOW       
  NIRMAN.NS       | Price:   54.45 | Entry:   53.36 | Target:   68.65 | Risk: LOW       
  AMBEY.NS        | Price:   34.85 | Entry:   34.15 | Target:   47.94 | Risk: LOW       
  SILKFLEX.NS     | Price:  206.00 | Entry:  201.88 | Target:  240.91 | Risk: LOW       
  KANDARP.NS      | Price:  149.90 | Entry:   146.9 | Target:  192.85 | Risk: LOW       
  EFORCE.NS       | Price:   28.00 | Entry:   27.44 | Target:   35.95 | Risk: LOW       
  SONAMAC.NS      | Price:   42.05 | Entry:   41.21 | Target:   56.98 | Risk: LOW       
