NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-04-30 19:06:47

BUY SIGNALS (215):
  JIOFIN.NS       | Price:  246.37 | Entry:  241.44 | Target:  283.18 | Risk: LOW       
  ENRIN.NS        | Price: 3278.80 | Entry: 3213.22 | Target: 3847.91 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1342.25 | Entry:  1315.4 | Target: 1685.14 | Risk: LOW       
  AIIL.NS         | Price:  471.80 | Entry:  462.36 | Target:  574.48 | Risk: LOW       
  PWL.NS          | Price:  108.58 | Entry:  106.41 | Target:  130.05 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1998.60 | Entry: 1958.63 | Target: 2425.10 | Risk: LOW       
  COHANCE.NS      | Price:  483.25 | Entry:  473.58 | Target:  660.95 | Risk: LOW       
  AEGISLOG.NS     | Price:  700.95 | Entry:  686.93 | Target:  871.33 | Risk: LOW       
  EMCURE.NS       | Price: 1680.10 | Entry:  1646.5 | Target: 2052.17 | Risk: LOW       
  HBLENGINE.NS    | Price:  798.50 | Entry:  782.53 | Target:  939.63 | Risk: LOW       
  KPIL.NS         | Price: 1250.30 | Entry: 1225.29 | Target: 1417.48 | Risk: LOW       
  ARE&M.NS        | Price:  874.55 | Entry:  857.06 | Target: 1059.75 | Risk: LOW       
  LTFOODS.NS      | Price:  430.65 | Entry:  422.04 | Target:  483.95 | Risk: LOW       
  RRKABEL.NS      | Price: 1571.00 | Entry: 1539.58 | Target: 1883.79 | Risk: LOW       
  CEMPRO.NS       | Price:  815.25 | Entry:  798.94 | Target:  986.39 | Risk: LOW       
  JAINREC.NS      | Price:  458.95 | Entry:  449.77 | Target:  533.61 | Risk: LOW       
  TARIL.NS        | Price:  334.20 | Entry:  327.52 | Target:  429.56 | Risk: LOW       
  ACUTAAS.NS      | Price: 2594.10 | Entry: 2542.22 | Target: 3120.64 | Risk: LOW       
  TSFINV.NS       | Price:  402.95 | Entry:  394.89 | Target:  495.15 | Risk: LOW       
  PVRINOX.NS      | Price: 1068.90 | Entry: 1047.52 | Target: 1215.28 | Risk: LOW       
  IIFLCAPS.NS     | Price:  312.33 | Entry:  306.08 | Target:  384.15 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  439.95 | Entry:  431.15 | Target:  502.31 | Risk: LOW       
  MAXESTATES.NS   | Price:  391.30 | Entry:  383.47 | Target:  457.62 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   57.77 | Entry:   56.61 | Target:   70.86 | Risk: LOW       
  REDTAPE.NS      | Price:  128.48 | Entry:  125.91 | Target:  145.45 | Risk: LOW       
  GANESHHOU.NS    | Price:  665.55 | Entry:  652.24 | Target:  801.34 | Risk: LOW       
  UTLSOLAR.NS     | Price:  296.41 | Entry:  290.48 | Target:  368.92 | Risk: LOW       
  AVL.NS          | Price:  524.60 | Entry:  514.11 | Target:  634.60 | Risk: LOW       
  TVSSCS.NS       | Price:  114.51 | Entry:  112.22 | Target:  137.00 | Risk: LOW       
  ORIANA.NS       | Price: 2114.60 | Entry: 2072.31 | Target: 2571.69 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1390.60 | Entry: 1362.79 | Target: 1667.92 | Risk: LOW       
  CEIGALL.NS      | Price:  338.60 | Entry:  331.83 | Target:  398.76 | Risk: LOW       
  GUJTHEM.NS      | Price:  363.58 | Entry:  356.31 | Target:  460.05 | Risk: LOW       
  TRUALT.NS       | Price:  492.45 | Entry:   482.6 | Target:  598.33 | Risk: LOW       
  ARTEMISMED.NS   | Price:  244.13 | Entry:  239.25 | Target:  281.53 | Risk: LOW       
  SUNDROP.NS      | Price:  662.50 | Entry:  649.25 | Target:  753.93 | Risk: LOW       
  MUTHOOTMF.NS    | Price:  192.38 | Entry:  188.53 | Target:  236.30 | Risk: LOW       
  KPEL.NS         | Price:  360.93 | Entry:  353.71 | Target:  448.00 | Risk: LOW       
  ALPEXSOLAR.NS   | Price: 1142.90 | Entry: 1120.04 | Target: 1399.54 | Risk: LOW       
  EPACKPEB.NS     | Price:  200.22 | Entry:  196.22 | Target:  260.47 | Risk: LOW       
  JTLIND.NS       | Price:   79.50 | Entry:   77.91 | Target:  105.29 | Risk: LOW       
  RELTD.NS        | Price:  142.91 | Entry:  140.05 | Target:  178.94 | Risk: LOW       
  SERVOTECH.NS    | Price:   94.93 | Entry:   93.03 | Target:  120.23 | Risk: LOW       
  ROSSTECH.NS     | Price:  989.70 | Entry:  969.91 | Target: 1350.40 | Risk: LOW       
  GVPIL.NS        | Price:  604.35 | Entry:  592.26 | Target:  738.96 | Risk: LOW       
  SGFIN.NS        | Price:  567.80 | Entry:  556.44 | Target:  717.25 | Risk: LOW       
