NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-07 19:14:39

BUY SIGNALS (225):
  JIOFIN.NS       | Price:  251.02 | Entry:   246.0 | Target:  286.32 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1387.10 | Entry: 1359.36 | Target: 1719.08 | Risk: LOW       
  JSWINFRA.NS     | Price:  281.20 | Entry:  275.58 | Target:  319.50 | Risk: LOW       
  AIIL.NS         | Price:  490.05 | Entry:  480.25 | Target:  594.14 | Risk: LOW       
  ITCHOTELS.NS    | Price:  166.18 | Entry:  162.86 | Target:  187.84 | Risk: LOW       
  HEXT.NS         | Price:  460.55 | Entry:  451.34 | Target:  536.86 | Risk: LOW       
  PWL.NS          | Price:  109.94 | Entry:  107.74 | Target:  129.77 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1915.60 | Entry: 1877.29 | Target: 2369.78 | Risk: LOW       
  COHANCE.NS      | Price:  484.85 | Entry:  475.15 | Target:  658.28 | Risk: LOW       
  TATATECH.NS     | Price:  629.25 | Entry:  616.66 | Target:  739.36 | Risk: LOW       
  AEGISLOG.NS     | Price:  739.65 | Entry:  724.86 | Target:  885.60 | Risk: LOW       
  EMCURE.NS       | Price: 1664.80 | Entry:  1631.5 | Target: 2096.62 | Risk: LOW       
  NUVAMA.NS       | Price: 1474.50 | Entry: 1445.01 | Target: 1695.64 | Risk: LOW       
  HBLENGINE.NS    | Price:  848.20 | Entry:  831.24 | Target:  989.50 | Risk: LOW       
  KPIL.NS         | Price: 1297.90 | Entry: 1271.94 | Target: 1478.94 | Risk: LOW       
  ABLBL.NS        | Price:  118.21 | Entry:  115.85 | Target:  136.17 | Risk: LOW       
  AKZOINDIA.NS    | Price: 2996.40 | Entry: 2936.47 | Target: 3356.72 | Risk: LOW       
  LTFOODS.NS      | Price:  432.20 | Entry:  423.56 | Target:  480.84 | Risk: LOW       
  RRKABEL.NS      | Price: 1927.00 | Entry: 1888.46 | Target: 2347.79 | Risk: LOW       
  CEMPRO.NS       | Price:  970.30 | Entry:  950.89 | Target: 1219.19 | Risk: LOW       
  JAINREC.NS      | Price:  504.20 | Entry:  494.12 | Target:  600.79 | Risk: LOW       
  TARIL.NS        | Price:  328.25 | Entry:  321.69 | Target:  420.14 | Risk: LOW       
  EMBDL.NS        | Price:   69.96 | Entry:   68.56 | Target:   89.89 | Risk: LOW       
  ACUTAAS.NS      | Price: 2725.70 | Entry: 2671.19 | Target: 3245.74 | Risk: LOW       
  TSFINV.NS       | Price:  427.60 | Entry:  419.05 | Target:  503.51 | Risk: LOW       
  ALIVUS.NS       | Price: 1121.10 | Entry: 1098.68 | Target: 1326.44 | Risk: LOW       
  SANOFICONR.NS   | Price: 4760.70 | Entry: 4665.49 | Target: 5495.45 | Risk: LOW       
  EUREKAFORB.NS   | Price:  517.40 | Entry:  507.05 | Target:  601.99 | Risk: LOW       
  PVRINOX.NS      | Price: 1066.10 | Entry: 1044.78 | Target: 1215.97 | Risk: LOW       
  IIFLCAPS.NS     | Price:  350.45 | Entry:  343.44 | Target:  423.44 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  455.20 | Entry:   446.1 | Target:  523.88 | Risk: LOW       
  PNGJL.NS        | Price:  711.35 | Entry:  697.12 | Target:  806.24 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  431.95 | Entry:  423.31 | Target:  518.81 | Risk: LOW       
  MAXESTATES.NS   | Price:  418.90 | Entry:  410.52 | Target:  488.08 | Risk: LOW       
  AKUMS.NS        | Price:  548.00 | Entry:  537.04 | Target:  628.48 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   61.27 | Entry:   60.04 | Target:   75.43 | Risk: LOW       
  REDTAPE.NS      | Price:  130.58 | Entry:  127.97 | Target:  148.25 | Risk: LOW       
