NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-08 19:05:47

BUY SIGNALS (217):
  JSWINFRA.NS     | Price:  283.65 | Entry:  277.98 | Target:  321.79 | Risk: LOW       
  ITCHOTELS.NS    | Price:  164.50 | Entry:  161.21 | Target:  186.29 | Risk: LOW       
  HEXT.NS         | Price:  485.70 | Entry:  475.99 | Target:  567.08 | Risk: LOW       
  PWL.NS          | Price:  108.53 | Entry:  106.36 | Target:  126.54 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 2017.60 | Entry: 1977.25 | Target: 2492.64 | Risk: LOW       
  COHANCE.NS      | Price:  488.20 | Entry:  478.44 | Target:  652.47 | Risk: LOW       
  TATATECH.NS     | Price:  630.95 | Entry:  618.33 | Target:  739.70 | Risk: LOW       
  AEGISLOG.NS     | Price:  720.90 | Entry:  706.48 | Target:  837.69 | Risk: LOW       
  EMCURE.NS       | Price: 1643.00 | Entry: 1610.14 | Target: 2070.61 | Risk: LOW       
  NUVAMA.NS       | Price: 1631.50 | Entry: 1598.87 | Target: 1901.11 | Risk: LOW       
  HBLENGINE.NS    | Price:  848.15 | Entry:  831.19 | Target:  990.03 | Risk: LOW       
  ABLBL.NS        | Price:  114.06 | Entry:  111.78 | Target:  136.07 | Risk: LOW       
  LTFOODS.NS      | Price:  429.90 | Entry:   421.3 | Target:  478.49 | Risk: LOW       
  RRKABEL.NS      | Price: 1942.40 | Entry: 1903.55 | Target: 2367.44 | Risk: LOW       
  CEMPRO.NS       | Price:  956.15 | Entry:  937.03 | Target: 1208.63 | Risk: LOW       
  JAINREC.NS      | Price:  571.50 | Entry:  560.07 | Target:  696.59 | Risk: LOW       
  TARIL.NS        | Price:  324.60 | Entry:  318.11 | Target:  415.80 | Risk: LOW       
  EMBDL.NS        | Price:   69.98 | Entry:   68.58 | Target:   91.33 | Risk: LOW       
  ACUTAAS.NS      | Price: 2734.30 | Entry: 2679.61 | Target: 3252.51 | Risk: LOW       
  TSFINV.NS       | Price:  421.00 | Entry:  412.58 | Target:  493.93 | Risk: LOW       
  SBFC.NS         | Price:   98.77 | Entry:   96.79 | Target:  114.09 | Risk: LOW       
  ALIVUS.NS       | Price: 1121.30 | Entry: 1098.87 | Target: 1326.53 | Risk: LOW       
  SANOFICONR.NS   | Price: 4767.70 | Entry: 4672.35 | Target: 5504.95 | Risk: LOW       
  EUREKAFORB.NS   | Price:  513.40 | Entry:  503.13 | Target:  594.67 | Risk: LOW       
  PVRINOX.NS      | Price: 1073.80 | Entry: 1052.32 | Target: 1220.53 | Risk: LOW       
  IIFLCAPS.NS     | Price:  356.30 | Entry:  349.17 | Target:  430.19 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  456.15 | Entry:  447.03 | Target:  520.92 | Risk: LOW       
  PNGJL.NS        | Price:  727.90 | Entry:  713.34 | Target:  823.76 | Risk: LOW       
  MAXESTATES.NS   | Price:  408.05 | Entry:  399.89 | Target:  480.39 | Risk: LOW       
  AKUMS.NS        | Price:  557.10 | Entry:  545.96 | Target:  638.06 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   62.87 | Entry:   61.61 | Target:   76.85 | Risk: LOW       
  REDTAPE.NS      | Price:  133.83 | Entry:  131.15 | Target:  152.72 | Risk: LOW       
  EPIGRAL.NS      | Price: 1327.10 | Entry: 1300.56 | Target: 1605.92 | Risk: LOW       
  GANESHHOU.NS    | Price:  714.35 | Entry:  700.06 | Target:  843.03 | Risk: LOW       
  HNDFDS.NS       | Price:  545.10 | Entry:   534.2 | Target:  625.21 | Risk: LOW       
  AVL.NS          | Price:  556.30 | Entry:  545.17 | Target:  665.00 | Risk: LOW       
  TVSSCS.NS       | Price:  125.29 | Entry:  122.78 | Target:  147.29 | Risk: LOW       
  BANSALWIRE.NS   | Price:  319.10 | Entry:  312.72 | Target:  385.55 | Risk: LOW       
  BOSCH-HCIL.NS   | Price: 1447.70 | Entry: 1418.75 | Target: 1681.77 | Risk: LOW       
  CEIGALL.NS      | Price:  376.80 | Entry:  369.26 | Target:  453.57 | Risk: LOW       
  GUJTHEM.NS      | Price:  398.50 | Entry:  390.53 | Target:  506.46 | Risk: LOW       
  AVANTEL.NS      | Price:  164.34 | Entry:  161.05 | Target:  195.69 | Risk: LOW       
  RAYMONDREL.NS   | Price:  629.60 | Entry:  617.01 | Target:  796.46 | Risk: LOW       
  JUBLCPL.NS      | Price: 1816.40 | Entry: 1780.07 | Target: 2208.83 | Risk: LOW       
  ARTEMISMED.NS   | Price:  265.67 | Entry:  260.36 | Target:  310.76 | Risk: LOW       
  SUNDROP.NS      | Price:  670.15 | Entry:  656.75 | Target:  772.85 | Risk: LOW       
