NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-11 19:21:45

BUY SIGNALS (230):
  JSWINFRA.NS     | Price:  287.35 | Entry:   281.6 | Target:  328.35 | Risk: LOW       
  AIIL.NS         | Price:  502.75 | Entry:  492.69 | Target:  611.46 | Risk: LOW       
  HEXT.NS         | Price:  502.25 | Entry:   492.2 | Target:  588.47 | Risk: LOW       
  PWL.NS          | Price:  110.33 | Entry:  108.12 | Target:  129.56 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1964.90 | Entry:  1925.6 | Target: 2444.01 | Risk: LOW       
  COHANCE.NS      | Price:  478.95 | Entry:  469.37 | Target:  642.91 | Risk: LOW       
  TATATECH.NS     | Price:  631.00 | Entry:  618.38 | Target:  741.02 | Risk: LOW       
  EMCURE.NS       | Price: 1678.00 | Entry: 1644.44 | Target: 2109.61 | Risk: LOW       
  NUVAMA.NS       | Price: 1598.80 | Entry: 1566.82 | Target: 1870.69 | Risk: LOW       
  HBLENGINE.NS    | Price:  829.70 | Entry:  813.11 | Target:  973.09 | Risk: LOW       
  KPIL.NS         | Price: 1262.10 | Entry: 1236.86 | Target: 1447.89 | Risk: LOW       
  ABLBL.NS        | Price:  107.66 | Entry:  105.51 | Target:  131.74 | Risk: LOW       
  RRKABEL.NS      | Price: 1922.00 | Entry: 1883.56 | Target: 2361.89 | Risk: LOW       
  CEMPRO.NS       | Price:  905.95 | Entry:  887.83 | Target: 1170.25 | Risk: LOW       
  JAINREC.NS      | Price:  559.40 | Entry:  548.21 | Target:  689.63 | Risk: LOW       
  EMBDL.NS        | Price:   72.81 | Entry:   71.35 | Target:   96.66 | Risk: LOW       
  ACUTAAS.NS      | Price: 2810.30 | Entry: 2754.09 | Target: 3334.05 | Risk: LOW       
  TSFINV.NS       | Price:  407.40 | Entry:  399.25 | Target:  474.97 | Risk: LOW       
  SBFC.NS         | Price:   97.40 | Entry:   95.45 | Target:  112.77 | Risk: LOW       
  ALIVUS.NS       | Price: 1126.00 | Entry: 1103.48 | Target: 1348.12 | Risk: LOW       
  SANOFICONR.NS   | Price: 4649.90 | Entry:  4556.9 | Target: 5391.36 | Risk: LOW       
  EUREKAFORB.NS   | Price:  533.25 | Entry:  522.59 | Target:  615.80 | Risk: LOW       
  PVRINOX.NS      | Price: 1026.00 | Entry: 1005.48 | Target: 1199.38 | Risk: LOW       
  IIFLCAPS.NS     | Price:  351.25 | Entry:  344.22 | Target:  421.45 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  439.90 | Entry:   431.1 | Target:  508.56 | Risk: LOW       
  OSWALPUMPS.NS   | Price:  420.80 | Entry:  412.38 | Target:  499.76 | Risk: LOW       
  MAXESTATES.NS   | Price:  409.20 | Entry:  401.02 | Target:  483.13 | Risk: LOW       
  AKUMS.NS        | Price:  538.75 | Entry:  527.98 | Target:  625.52 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   66.16 | Entry:   64.84 | Target:   81.01 | Risk: LOW       
  REDTAPE.NS      | Price:  135.03 | Entry:  132.33 | Target:  154.96 | Risk: LOW       
  EPIGRAL.NS      | Price: 1300.50 | Entry: 1274.49 | Target: 1584.70 | Risk: LOW       
  GANESHHOU.NS    | Price:  690.45 | Entry:  676.64 | Target:  823.99 | Risk: LOW       
  HNDFDS.NS       | Price:  534.60 | Entry:  523.91 | Target:  616.60 | Risk: LOW       
  AVL.NS          | Price:  543.75 | Entry:  532.88 | Target:  660.18 | Risk: LOW       
  SAATVIKGL.NS    | Price:  469.90 | Entry:   460.5 | Target:  583.17 | Risk: LOW       
  TVSSCS.NS       | Price:  119.08 | Entry:   116.7 | Target:  141.62 | Risk: LOW       
  BANSALWIRE.NS   | Price:  316.65 | Entry:  310.32 | Target:  384.25 | Risk: LOW       
