NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-13 19:27:45

BUY SIGNALS (170):
  HEXT.NS         | Price:  488.05 | Entry:  478.29 | Target:  565.89 | Risk: LOW       
  PWL.NS          | Price:  111.06 | Entry:  108.84 | Target:  131.39 | Risk: LOW       
  TATATECH.NS     | Price:  626.10 | Entry:  613.58 | Target:  739.10 | Risk: LOW       
  EMCURE.NS       | Price: 1657.00 | Entry: 1623.86 | Target: 2060.43 | Risk: LOW       
  NUVAMA.NS       | Price: 1519.30 | Entry: 1488.91 | Target: 1808.01 | Risk: LOW       
  RRKABEL.NS      | Price: 1957.30 | Entry: 1918.15 | Target: 2419.80 | Risk: LOW       
  CEMPRO.NS       | Price:  887.35 | Entry:   869.6 | Target: 1157.42 | Risk: LOW       
  JAINREC.NS      | Price:  567.65 | Entry:   556.3 | Target:  713.06 | Risk: LOW       
  EMBDL.NS        | Price:   73.34 | Entry:   71.87 | Target:   99.47 | Risk: LOW       
  ACUTAAS.NS      | Price: 2827.80 | Entry: 2771.24 | Target: 3352.55 | Risk: LOW       
  ALIVUS.NS       | Price: 1080.80 | Entry: 1059.18 | Target: 1301.23 | Risk: LOW       
  EUREKAFORB.NS   | Price:  516.40 | Entry:  506.07 | Target:  616.83 | Risk: LOW       
  IIFLCAPS.NS     | Price:  348.15 | Entry:  341.19 | Target:  412.04 | Risk: LOW       
  AKUMS.NS        | Price:  540.35 | Entry:  529.54 | Target:  636.69 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   70.53 | Entry:   69.12 | Target:   86.93 | Risk: LOW       
  REDTAPE.NS      | Price:  136.00 | Entry:  133.28 | Target:  157.83 | Risk: LOW       
  EPIGRAL.NS      | Price: 1239.90 | Entry:  1215.1 | Target: 1543.47 | Risk: LOW       
  HNDFDS.NS       | Price:  520.70 | Entry:  510.29 | Target:  609.66 | Risk: LOW       
  ZAGGLE.NS       | Price:  283.85 | Entry:  278.17 | Target:  353.87 | Risk: LOW       
  CEIGALL.NS      | Price:  349.20 | Entry:  342.22 | Target:  426.50 | Risk: LOW       
  GUJTHEM.NS      | Price:  377.50 | Entry:  369.95 | Target:  496.46 | Risk: LOW       
  AVANTEL.NS      | Price:  156.05 | Entry:  152.93 | Target:  193.13 | Risk: LOW       
