NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-14 19:27:37

BUY SIGNALS (167):
  AIIL.NS         | Price:  505.60 | Entry:  495.49 | Target:  613.96 | Risk: LOW       
  HEXT.NS         | Price:  483.05 | Entry:  473.39 | Target:  565.19 | Risk: LOW       
  PWL.NS          | Price:  112.60 | Entry:  110.35 | Target:  134.09 | Risk: LOW       
  TATATECH.NS     | Price:  622.85 | Entry:  610.39 | Target:  737.83 | Risk: LOW       
  NUVAMA.NS       | Price: 1477.90 | Entry: 1448.34 | Target: 1783.08 | Risk: LOW       
  RRKABEL.NS      | Price: 2037.30 | Entry: 1996.55 | Target: 2526.30 | Risk: LOW       
  CEMPRO.NS       | Price:  926.75 | Entry:  908.22 | Target: 1208.38 | Risk: LOW       
  JAINREC.NS      | Price:  565.00 | Entry:   553.7 | Target:  716.80 | Risk: LOW       
  EMBDL.NS        | Price:   72.26 | Entry:   70.81 | Target:   99.25 | Risk: LOW       
  ACUTAAS.NS      | Price: 2726.80 | Entry: 2672.26 | Target: 3282.66 | Risk: LOW       
  ALIVUS.NS       | Price: 1064.10 | Entry: 1042.82 | Target: 1288.83 | Risk: LOW       
  SANOFICONR.NS   | Price: 5026.80 | Entry: 4926.26 | Target: 5969.66 | Risk: LOW       
  EUREKAFORB.NS   | Price:  517.45 | Entry:   507.1 | Target:  618.15 | Risk: LOW       
  IIFLCAPS.NS     | Price:  344.30 | Entry:  337.41 | Target:  407.22 | Risk: LOW       
  ASKAUTOLTD.NS   | Price:  447.85 | Entry:  438.89 | Target:  526.19 | Risk: LOW       
  MAXESTATES.NS   | Price:  406.65 | Entry:  398.52 | Target:  481.83 | Risk: LOW       
  LLOYDSENGG.NS   | Price:   71.89 | Entry:   70.45 | Target:   88.86 | Risk: LOW       
  REDTAPE.NS      | Price:  133.38 | Entry:  130.71 | Target:  156.42 | Risk: LOW       
  EPIGRAL.NS      | Price: 1248.50 | Entry: 1223.53 | Target: 1554.00 | Risk: LOW       
  HNDFDS.NS       | Price:  520.35 | Entry:  509.94 | Target:  607.94 | Risk: LOW       
  AVL.NS          | Price:  552.00 | Entry:  540.96 | Target:  670.29 | Risk: LOW       
  CEIGALL.NS      | Price:  355.75 | Entry:  348.63 | Target:  433.91 | Risk: LOW       
  AVANTEL.NS      | Price:  155.87 | Entry:  152.75 | Target:  193.96 | Risk: LOW       
  RAYMONDREL.NS   | Price:  563.90 | Entry:  552.62 | Target:  762.61 | Risk: LOW       
  JUBLCPL.NS      | Price: 1781.60 | Entry: 1745.97 | Target: 2150.67 | Risk: LOW       
  SUNCLAY.NS      | Price: 1456.70 | Entry: 1427.57 | Target: 1753.41 | Risk: LOW       
  ARTEMISMED.NS   | Price:  277.42 | Entry:  271.87 | Target:  333.68 | Risk: LOW       
  PRABHA.NS       | Price:  178.66 | Entry:  175.09 | Target:  221.94 | Risk: LOW       
  SUNDROP.NS      | Price:  670.70 | Entry:  657.29 | Target:  796.63 | Risk: LOW       
  KMEW.NS         | Price: 1945.70 | Entry: 1906.79 | Target: 2682.74 | Risk: LOW       
  SCILAL.NS       | Price:   48.59 | Entry:   47.62 | Target:   61.35 | Risk: LOW       
  GVPIL.NS        | Price:  732.70 | Entry:  718.05 | Target:  939.52 | Risk: LOW       
  SGFIN.NS        | Price:  578.25 | Entry:  566.68 | Target:  718.07 | Risk: LOW       
  YASHO.NS        | Price: 1653.20 | Entry: 1620.14 | Target: 2036.59 | Risk: LOW       
  TINNARUBR.NS    | Price:  733.45 | Entry:  718.78 | Target:  951.47 | Risk: LOW       
  AIMTRON.NS      | Price: 1134.35 | Entry: 1111.66 | Target: 1500.19 | Risk: LOW       
  MASTERTR.NS     | Price:   86.41 | Entry:   84.68 | Target:  109.51 | Risk: LOW       
  BIRLANU.NS      | Price: 1413.90 | Entry: 1385.62 | Target: 1889.29 | Risk: LOW       
  VMARCIND.NS     | Price: 1193.60 | Entry: 1169.73 | Target: 1496.26 | Risk: LOW       
  TAC.NS          | Price:  508.60 | Entry:  498.43 | Target:  640.87 | Risk: LOW       
  BOROSCI.NS      | Price:  118.11 | Entry:  115.75 | Target:  142.34 | Risk: LOW       
  BLUSPRING.NS    | Price:   66.30 | Entry:   64.97 | Target:   81.84 | Risk: LOW       
  ANTELOPUS.NS    | Price:  749.35 | Entry:  734.36 | Target:  963.53 | Risk: LOW       
  AEROENTER.NS    | Price:  101.83 | Entry:   99.79 | Target:  134.66 | Risk: LOW       
  BHARATSE.NS     | Price:  184.37 | Entry:  180.68 | Target:  243.60 | Risk: LOW       
  CNL.NS          | Price:  670.20 | Entry:   656.8 | Target:  849.99 | Risk: LOW       
  KODYTECH.NS     | Price:  818.20 | Entry:  801.84 | Target:  886.88 | Risk: LOW       
  SASTASUNDR.NS   | Price:  278.10 | Entry:  272.54 | Target:  339.33 | Risk: LOW       
  REMUS.NS        | Price:  722.20 | Entry:  707.76 | Target:  886.75 | Risk: LOW       
  UFBL.NS         | Price:  360.25 | Entry:  353.05 | Target:  471.14 | Risk: LOW       
  TECHLABS.NS     | Price:  241.70 | Entry:  236.87 | Target:  307.84 | Risk: LOW       
  CELLECOR.NS     | Price:   41.05 | Entry:   40.23 | Target:   52.53 | Risk: LOW       
  ACCENTMIC.NS    | Price:  476.50 | Entry:  466.97 | Target:  581.82 | Risk: LOW       
  TIRUPATI.NS     | Price:  489.50 | Entry:  479.71 | Target:  502.50 | Risk: LOW       
  BAHETI.NS       | Price:  605.80 | Entry:  593.68 | Target:  722.75 | Risk: LOW       
  VINSYS.NS       | Price:  316.90 | Entry:  310.56 | Target:  377.86 | Risk: LOW       
  DPEL.NS         | Price:  535.45 | Entry:  524.74 | Target:  619.20 | Risk: LOW       
  EFFWA.NS        | Price:  262.80 | Entry:  257.54 | Target:  349.92 | Risk: LOW       
  ATMASTCO.NS     | Price:  205.30 | Entry:  201.19 | Target:  258.10 | Risk: LOW       
  ABSMARINE.NS    | Price:  226.45 | Entry:  221.92 | Target:  292.84 | Risk: LOW       
  HIGREEN.NS      | Price:  152.70 | Entry:  149.65 | Target:  186.84 | Risk: LOW       
  ORIENTCER.NS    | Price:   41.69 | Entry:   40.86 | Target:   50.46 | Risk: LOW       
  SRGHFL.NS       | Price:  288.45 | Entry:  282.68 | Target:  391.71 | Risk: LOW       
  PCCL.NS         | Price:  289.00 | Entry:  283.22 | Target:  339.96 | Risk: LOW       
  TIGERLOGS.NS    | Price:   38.04 | Entry:   37.28 | Target:   55.36 | Risk: LOW       
  INFINIUM.NS     | Price:  218.00 | Entry:  213.64 | Target:  254.84 | Risk: LOW       
  VGL.NS          | Price:   66.24 | Entry:   64.92 | Target:   90.50 | Risk: LOW       
  PROV.NS         | Price: 1519.95 | Entry: 1489.55 | Target: 1734.86 | Risk: LOW       
  HALEOSLABS.NS   | Price: 1611.00 | Entry: 1578.78 | Target: 2183.04 | Risk: LOW       
  SKP.NS          | Price:  159.85 | Entry:  156.65 | Target:  186.51 | Risk: LOW       
  FROG.NS         | Price:  199.20 | Entry:  195.22 | Target:  262.36 | Risk: LOW       
  SHERA.NS        | Price:  172.35 | Entry:   168.9 | Target:  218.64 | Risk: LOW       
  DIAMINESQ.NS    | Price:  283.80 | Entry:  278.12 | Target:  351.55 | Risk: LOW       
  SAAKSHI.NS      | Price:  246.20 | Entry:  241.28 | Target:  316.38 | Risk: LOW       
  JAINAM.NS       | Price:  286.00 | Entry:  280.28 | Target:  336.00 | Risk: LOW       
  UCAL.NS         | Price:  103.60 | Entry:  101.53 | Target:  122.56 | Risk: LOW       
  YASHOPTICS.NS   | Price:  134.95 | Entry:  132.25 | Target:  161.02 | Risk: LOW       
  RVTH.NS         | Price:  681.30 | Entry:  667.67 | Target:  891.35 | Risk: LOW       
  DUGLOBAL.NS     | Price:   44.45 | Entry:   43.56 | Target:   53.07 | Risk: LOW       
  MADHAVBAUG.NS   | Price:  262.65 | Entry:   257.4 | Target:  375.90 | Risk: LOW       
  PRATHAM.NS      | Price:  143.20 | Entry:  140.34 | Target:  179.16 | Risk: LOW       
  ANLON.NS        | Price:  564.00 | Entry:  552.72 | Target:  718.77 | Risk: LOW       
  ESCONET.NS      | Price:  135.05 | Entry:  132.35 | Target:  174.41 | Risk: LOW       
  COMMITTED.NS    | Price:  277.35 | Entry:   271.8 | Target:  339.90 | Risk: LOW       
  SHAH.NS         | Price:    5.61 | Entry:     5.5 | Target:    6.67 | Risk: LOW       
  FIDEL.NS        | Price:  176.50 | Entry:  172.97 | Target:  231.18 | Risk: LOW       
  PRITIKA.NS      | Price:   73.35 | Entry:   71.88 | Target:   87.46 | Risk: LOW       
  GRCL.NS         | Price:  587.65 | Entry:   575.9 | Target:  720.69 | Risk: LOW       
  AKIKO.NS        | Price:  285.05 | Entry:  279.35 | Target:  344.16 | Risk: LOW       
  WINSOL.NS       | Price:  140.00 | Entry:   137.2 | Target:  166.64 | Risk: LOW       
