NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-16 18:59:16

BUY SIGNALS (820):
  SUNPHARMA.NS    | Price: 1878.20 | Entry: 1840.64 | Target: 2066.63 | Risk: LOW       
  HAL.NS          | Price: 4386.20 | Entry: 4298.48 | Target: 5063.99 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1795.10 | Entry:  1759.2 | Target: 2054.89 | Risk: LOW       
  ADANIENT.NS     | Price: 2716.00 | Entry: 2661.68 | Target: 3175.57 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1278.80 | Entry: 1253.22 | Target: 1407.51 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2605.60 | Entry: 2553.49 | Target: 2909.71 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 10377.50 | Entry: 10169.95 | Target: 11808.93 | Risk: LOW       
  TATASTEEL.NS    | Price:  216.84 | Entry:   212.5 | Target:  240.19 | Risk: LOW       
  TMPV.NS         | Price:  356.55 | Entry:  349.42 | Target:  408.94 | Risk: LOW       
  HINDZINC.NS     | Price:  637.80 | Entry:  625.04 | Target:  730.78 | Risk: LOW       
  GRASIM.NS       | Price: 2933.80 | Entry: 2875.12 | Target: 3236.34 | Risk: LOW       
  HINDALCO.NS     | Price: 1067.50 | Entry: 1046.15 | Target: 1203.73 | Risk: LOW       
  DIVISLAB.NS     | Price: 6760.50 | Entry: 6625.29 | Target: 7453.71 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1379.00 | Entry: 1351.42 | Target: 1652.54 | Risk: LOW       
  PIDILITIND.NS   | Price: 1467.70 | Entry: 1438.35 | Target: 1641.95 | Risk: LOW       
  SOLARINDS.NS    | Price: 17314.00 | Entry: 16967.72 | Target: 19681.86 | Risk: LOW       
  CIPLA.NS        | Price: 1432.10 | Entry: 1403.46 | Target: 1607.10 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4405.70 | Entry: 4317.59 | Target: 4908.95 | Risk: LOW       
  MAXHEALTH.NS    | Price: 1050.10 | Entry:  1029.1 | Target: 1180.05 | Risk: LOW       
  BOSCHLTD.NS     | Price: 37740.00 | Entry: 36985.2 | Target: 42736.43 | Risk: LOW       
  MOTHERSON.NS    | Price:  129.92 | Entry:  127.32 | Target:  149.94 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5392.00 | Entry: 5284.16 | Target: 5957.00 | Risk: LOW       
  TATACONSUM.NS   | Price: 1234.00 | Entry: 1209.32 | Target: 1394.89 | Risk: LOW       
  POLYCAB.NS      | Price: 9152.50 | Entry: 8969.45 | Target: 10349.82 | Risk: LOW       
  CGPOWER.NS      | Price:  838.20 | Entry:  821.44 | Target:  966.32 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8082.50 | Entry: 7920.85 | Target: 8736.61 | Risk: LOW       
  INDHOTEL.NS     | Price:  656.25 | Entry:  643.12 | Target:  739.75 | Risk: LOW       
  DRREDDY.NS      | Price: 1336.70 | Entry: 1309.97 | Target: 1516.27 | Risk: LOW       
  SHREECEM.NS     | Price: 24970.00 | Entry: 24470.6 | Target: 27775.36 | Risk: LOW       
  BSE.NS          | Price: 4000.60 | Entry: 3920.59 | Target: 4531.81 | Risk: LOW       
  MANKIND.NS      | Price: 2503.00 | Entry: 2452.94 | Target: 2867.39 | Risk: LOW       
  INDUSTOWER.NS   | Price:  430.15 | Entry:  421.55 | Target:  492.15 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1011.70 | Entry:  991.47 | Target: 1133.00 | Risk: LOW       
  ICICIGI.NS      | Price: 1835.20 | Entry:  1798.5 | Target: 2045.45 | Risk: LOW       
  IDEA.NS         | Price:   12.95 | Entry:   12.69 | Target:   15.90 | Risk: LOW       
  MARICO.NS       | Price:  841.15 | Entry:  824.33 | Target:  931.92 | Risk: LOW       
  DABUR.NS        | Price:  467.70 | Entry:  458.35 | Target:  526.47 | Risk: LOW       
