NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-05-27 19:27:34

BUY SIGNALS (1061):
  BAJFINANCE.NS   | Price:  930.20 | Entry:   911.6 | Target: 1043.47 | Risk: LOW       
  LICI.NS         | Price:  854.90 | Entry:   837.8 | Target:  951.90 | Risk: LOW       
  LT.NS           | Price: 4037.80 | Entry: 3957.04 | Target: 4401.23 | Risk: LOW       
  KOTAKBANK.NS    | Price:  388.65 | Entry:  380.88 | Target:  434.69 | Risk: LOW       
  AXISBANK.NS     | Price: 1299.30 | Entry: 1273.31 | Target: 1428.76 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 1800.70 | Entry: 1764.69 | Target: 1981.81 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1811.20 | Entry: 1774.98 | Target: 2040.56 | Risk: LOW       
  ETERNAL.NS      | Price:  250.17 | Entry:  245.17 | Target:  285.43 | Risk: LOW       
  ADANIENT.NS     | Price: 2969.30 | Entry: 2909.91 | Target: 3458.87 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1293.60 | Entry: 1267.73 | Target: 1417.17 | Risk: LOW       
  ADANIPOWER.NS   | Price:  244.53 | Entry:  239.64 | Target:  290.08 | Risk: LOW       
  WIPRO.NS        | Price:  203.73 | Entry:  199.66 | Target:  225.43 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2647.00 | Entry: 2594.06 | Target: 2953.32 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 10593.00 | Entry: 10381.14 | Target: 11924.96 | Risk: LOW       
  INDIGO.NS       | Price: 4480.80 | Entry: 4391.18 | Target: 5051.76 | Risk: LOW       
  TMPV.NS         | Price:  385.60 | Entry:  377.89 | Target:  435.76 | Risk: LOW       
  GRASIM.NS       | Price: 3165.00 | Entry:  3101.7 | Target: 3536.93 | Risk: LOW       
  SBILIFE.NS      | Price: 1883.20 | Entry: 1845.54 | Target: 2053.70 | Risk: LOW       
  DLF.NS          | Price:  589.80 | Entry:   578.0 | Target:  673.84 | Risk: LOW       
  EICHERMOT.NS    | Price: 7376.00 | Entry: 7228.48 | Target: 8290.46 | Risk: LOW       
  TRENT.NS        | Price: 4239.60 | Entry: 4154.81 | Target: 4755.56 | Risk: LOW       
  HINDALCO.NS     | Price: 1103.80 | Entry: 1081.72 | Target: 1253.80 | Risk: LOW       
  DIVISLAB.NS     | Price: 6753.00 | Entry: 6617.94 | Target: 7532.29 | Risk: LOW       
  HDFCLIFE.NS     | Price:  618.85 | Entry:  606.47 | Target:  680.94 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1457.40 | Entry: 1428.25 | Target: 1755.54 | Risk: LOW       
  VBL.NS          | Price:  531.30 | Entry:  520.67 | Target:  597.14 | Risk: LOW       
  PIDILITIND.NS   | Price: 1478.50 | Entry: 1448.93 | Target: 1659.54 | Risk: LOW       
  BPCL.NS         | Price:  304.60 | Entry:  298.51 | Target:  351.06 | Risk: LOW       
  TECHM.NS        | Price: 1458.70 | Entry: 1429.53 | Target: 1664.09 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 10705.00 | Entry: 10490.9 | Target: 12373.93 | Risk: LOW       
  AMBUJACEM.NS    | Price:  449.70 | Entry:  440.71 | Target:  508.75 | Risk: LOW       
  ICICIAMC.NS     | Price: 3360.60 | Entry: 3293.39 | Target: 3843.81 | Risk: LOW       
  SOLARINDS.NS    | Price: 18479.00 | Entry: 18109.42 | Target: 21307.93 | Risk: LOW       
  CIPLA.NS        | Price: 1417.50 | Entry: 1389.15 | Target: 1588.43 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4452.10 | Entry: 4363.06 | Target: 5095.53 | Risk: LOW       
  LODHA.NS        | Price:  903.70 | Entry:  885.63 | Target: 1062.25 | Risk: LOW       
  HDFCAMC.NS      | Price: 2739.80 | Entry:  2685.0 | Target: 3141.55 | Risk: LOW       
  GAIL.NS         | Price:  167.63 | Entry:  164.28 | Target:  192.16 | Risk: LOW       
  ENRIN.NS        | Price: 3462.60 | Entry: 3393.35 | Target: 4195.67 | Risk: LOW       
  SIEMENS.NS      | Price: 3677.20 | Entry: 3603.66 | Target: 4394.13 | Risk: LOW       
  ABB.NS          | Price: 6804.00 | Entry: 6667.92 | Target: 7954.00 | Risk: LOW       
  MOTHERSON.NS    | Price:  135.82 | Entry:   133.1 | Target:  158.04 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5418.50 | Entry: 5310.13 | Target: 6057.43 | Risk: LOW       
  POLYCAB.NS      | Price: 9613.50 | Entry: 9421.23 | Target: 10814.04 | Risk: LOW       
  CGPOWER.NS      | Price:  879.15 | Entry:  861.57 | Target: 1014.01 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1463.30 | Entry: 1434.03 | Target: 1798.34 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8258.50 | Entry: 8093.33 | Target: 9118.32 | Risk: LOW       
  INDHOTEL.NS     | Price:  657.15 | Entry:  644.01 | Target:  747.58 | Risk: LOW       
  DRREDDY.NS      | Price: 1327.90 | Entry: 1301.34 | Target: 1479.01 | Risk: LOW       
