NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-01 20:19:45

BUY SIGNALS (941):
  LICI.NS         | Price:  411.35 | Entry:  403.12 | Target:  464.18 | Risk: LOW       
  LT.NS           | Price: 4076.50 | Entry: 3994.97 | Target: 4408.14 | Risk: LOW       
  AXISBANK.NS     | Price: 1286.60 | Entry: 1260.87 | Target: 1416.64 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 1783.60 | Entry: 1747.93 | Target: 1954.60 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1804.60 | Entry: 1768.51 | Target: 2021.46 | Risk: LOW       
  ETERNAL.NS      | Price:  250.58 | Entry:  245.57 | Target:  284.31 | Risk: LOW       
  ADANIENT.NS     | Price: 2937.40 | Entry: 2878.65 | Target: 3429.79 | Risk: LOW       
  ADANIPOWER.NS   | Price:  243.37 | Entry:   238.5 | Target:  289.22 | Risk: LOW       
  WIPRO.NS        | Price:  204.25 | Entry:  200.16 | Target:  228.73 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2671.60 | Entry: 2618.17 | Target: 2968.92 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 10460.00 | Entry: 10250.8 | Target: 11686.87 | Risk: LOW       
  INDIGO.NS       | Price: 4405.00 | Entry:  4316.9 | Target: 5035.64 | Risk: LOW       
  TMPV.NS         | Price:  393.90 | Entry:  386.02 | Target:  450.27 | Risk: LOW       
  HYUNDAI.NS      | Price: 1924.00 | Entry: 1885.52 | Target: 2194.93 | Risk: LOW       
  GRASIM.NS       | Price: 3122.40 | Entry: 3059.95 | Target: 3492.58 | Risk: LOW       
  DLF.NS          | Price:  590.60 | Entry:  578.79 | Target:  669.76 | Risk: LOW       
  EICHERMOT.NS    | Price: 7177.00 | Entry: 7033.46 | Target: 8134.32 | Risk: LOW       
  TRENT.NS        | Price: 4224.00 | Entry: 4139.52 | Target: 4757.18 | Risk: LOW       
  HINDALCO.NS     | Price: 1126.70 | Entry: 1104.17 | Target: 1289.16 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1475.40 | Entry: 1445.89 | Target: 1774.94 | Risk: LOW       
  VBL.NS          | Price:  528.00 | Entry:  517.44 | Target:  595.04 | Risk: LOW       
  TECHM.NS        | Price: 1483.90 | Entry: 1454.22 | Target: 1694.79 | Risk: LOW       
  AMBUJACEM.NS    | Price:  447.85 | Entry:  438.89 | Target:  504.17 | Risk: LOW       
  ICICIAMC.NS     | Price: 3538.50 | Entry: 3467.73 | Target: 4098.89 | Risk: LOW       
  SOLARINDS.NS    | Price: 18247.00 | Entry: 17882.06 | Target: 21085.21 | Risk: LOW       
  TATAPOWER.NS    | Price:  420.75 | Entry:  412.33 | Target:  475.02 | Risk: LOW       
  LODHA.NS        | Price:  938.10 | Entry:  919.34 | Target: 1103.49 | Risk: LOW       
  GAIL.NS         | Price:  164.51 | Entry:  161.22 | Target:  189.18 | Risk: LOW       
  ENRIN.NS        | Price: 3872.10 | Entry: 3794.66 | Target: 4736.35 | Risk: LOW       
  SIEMENS.NS      | Price: 3844.00 | Entry: 3767.12 | Target: 4680.86 | Risk: LOW       
  ABB.NS          | Price: 7253.00 | Entry: 7107.94 | Target: 8214.43 | Risk: LOW       
  MOTHERSON.NS    | Price:  145.74 | Entry:  142.83 | Target:  172.86 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5881.00 | Entry: 5763.38 | Target: 6786.00 | Risk: LOW       
  POLYCAB.NS      | Price: 9477.50 | Entry: 9287.95 | Target: 10540.54 | Risk: LOW       
  CGPOWER.NS      | Price:  917.45 | Entry:   899.1 | Target: 1049.79 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1513.30 | Entry: 1483.03 | Target: 1855.12 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8176.50 | Entry: 8012.97 | Target: 8957.39 | Risk: LOW       
  IDBI.NS         | Price:   73.83 | Entry:   72.35 | Target:   83.98 | Risk: LOW       
  BSE.NS          | Price: 4146.10 | Entry: 4063.18 | Target: 4766.56 | Risk: LOW       
  INDUSTOWER.NS   | Price:  442.05 | Entry:  433.21 | Target:  502.55 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  100.37 | Entry:   98.36 | Target:  113.35 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1077.70 | Entry: 1056.15 | Target: 1247.91 | Risk: LOW       
  DIXON.NS        | Price: 11524.00 | Entry: 11293.52 | Target: 13707.93 | Risk: LOW       
  IDEA.NS         | Price:   13.99 | Entry:   13.71 | Target:   16.40 | Risk: LOW       
  HINDPETRO.NS    | Price:  393.85 | Entry:  385.97 | Target:  460.78 | Risk: LOW       
  JSWENERGY.NS    | Price:  595.05 | Entry:  583.15 | Target:  685.76 | Risk: LOW       
  PERSISTENT.NS   | Price: 5194.30 | Entry: 5090.41 | Target: 6021.73 | Risk: LOW       
  NAUKRI.NS       | Price:  995.00 | Entry:   975.1 | Target: 1176.13 | Risk: LOW       
  BHEL.NS         | Price:  416.75 | Entry:  408.42 | Target:  473.57 | Risk: LOW       
  POWERINDIA.NS   | Price: 38445.00 | Entry: 37676.1 | Target: 45907.50 | Risk: LOW       
  SUZLON.NS       | Price:   56.99 | Entry:   55.85 | Target:   65.80 | Risk: LOW       
  ABCAPITAL.NS    | Price:  363.30 | Entry:  356.03 | Target:  410.12 | Risk: LOW       
  OFSS.NS         | Price: 9964.00 | Entry: 9764.72 | Target: 11675.96 | Risk: LOW       
  LENSKART.NS     | Price:  523.85 | Entry:  513.37 | Target:  604.78 | Risk: LOW       
  GVT&D.NS        | Price: 5148.60 | Entry: 5045.63 | Target: 6235.46 | Risk: LOW       
  PRESTIGE.NS     | Price: 1369.20 | Entry: 1341.82 | Target: 1613.66 | Risk: LOW       
  LLOYDSME.NS     | Price: 1802.10 | Entry: 1766.06 | Target: 2096.74 | Risk: LOW       
  ATGL.NS         | Price:  773.30 | Entry:  757.83 | Target:  977.71 | Risk: LOW       
  YESBANK.NS      | Price:   23.15 | Entry:   22.69 | Target:   26.17 | Risk: LOW       
  VMM.NS          | Price:  121.77 | Entry:  119.33 | Target:  138.91 | Risk: LOW       
  GODREJPROP.NS   | Price: 1762.70 | Entry: 1727.45 | Target: 2057.31 | Risk: LOW       
  LTF.NS          | Price:  286.60 | Entry:  280.87 | Target:  328.04 | Risk: LOW       
  JSWINFRA.NS     | Price:  275.30 | Entry:  269.79 | Target:  316.87 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4128.70 | Entry: 4046.13 | Target: 4705.66 | Risk: LOW       
  INDUSINDBK.NS   | Price:  914.35 | Entry:  896.06 | Target: 1014.65 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1707.10 | Entry: 1672.96 | Target: 1959.33 | Risk: LOW       
  BHARATFORG.NS   | Price: 1957.20 | Entry: 1918.06 | Target: 2199.91 | Risk: LOW       
  COFORGE.NS      | Price: 1421.80 | Entry: 1393.36 | Target: 1668.51 | Risk: LOW       
  TIINDIA.NS      | Price: 3141.40 | Entry: 3078.57 | Target: 3749.04 | Risk: LOW       
  UPL.NS          | Price:  644.80 | Entry:   631.9 | Target:  739.89 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   71.32 | Entry:   69.89 | Target:   78.81 | Risk: LOW       
  MOTILALOFS.NS   | Price:  879.50 | Entry:  861.91 | Target:  998.66 | Risk: LOW       
  MFSL.NS         | Price: 1674.00 | Entry: 1640.52 | Target: 1921.04 | Risk: LOW       
  SAIL.NS         | Price:  204.37 | Entry:  200.28 | Target:  243.31 | Risk: LOW       
  FEDERALBNK.NS   | Price:  288.95 | Entry:  283.17 | Target:  321.25 | Risk: LOW       
  MPHASIS.NS      | Price: 2271.40 | Entry: 2225.97 | Target: 2608.79 | Risk: LOW       
  BIOCON.NS       | Price:  428.65 | Entry:  420.08 | Target:  490.54 | Risk: LOW       
