NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-05 19:24:54

BUY SIGNALS (848):
  LT.NS           | Price: 3942.10 | Entry: 3863.26 | Target: 4285.30 | Risk: LOW       
  ETERNAL.NS      | Price:  254.35 | Entry:  249.26 | Target:  291.27 | Risk: LOW       
  ADANIENT.NS     | Price: 2972.80 | Entry: 2913.34 | Target: 3363.30 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1301.10 | Entry: 1275.08 | Target: 1416.35 | Risk: LOW       
  ADANIPOWER.NS   | Price:  230.03 | Entry:  225.43 | Target:  270.42 | Risk: LOW       
  WIPRO.NS        | Price:  204.32 | Entry:  200.23 | Target:  228.71 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2661.60 | Entry: 2608.37 | Target: 2964.49 | Risk: LOW       
  COALINDIA.NS    | Price:  481.65 | Entry:  472.02 | Target:  547.61 | Risk: LOW       
  INDIGO.NS       | Price: 4508.80 | Entry: 4418.62 | Target: 5091.23 | Risk: LOW       
  TMPV.NS         | Price:  399.70 | Entry:  391.71 | Target:  456.50 | Risk: LOW       
  HYUNDAI.NS      | Price: 1932.40 | Entry: 1893.75 | Target: 2217.11 | Risk: LOW       
  HINDALCO.NS     | Price: 1125.60 | Entry: 1103.09 | Target: 1269.85 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1423.30 | Entry: 1394.83 | Target: 1665.12 | Risk: LOW       
  VBL.NS          | Price:  528.40 | Entry:  517.83 | Target:  592.99 | Risk: LOW       
  TECHM.NS        | Price: 1487.30 | Entry: 1457.55 | Target: 1720.48 | Risk: LOW       
  BANKBARODA.NS   | Price:  262.80 | Entry:  257.54 | Target:  289.68 | Risk: LOW       
  ICICIAMC.NS     | Price: 3314.20 | Entry: 3247.92 | Target: 3917.99 | Risk: LOW       
  GAIL.NS         | Price:  167.55 | Entry:   164.2 | Target:  191.58 | Risk: LOW       
  ENRIN.NS        | Price: 3700.90 | Entry: 3626.88 | Target: 4577.69 | Risk: LOW       
  BOSCHLTD.NS     | Price: 37000.00 | Entry: 36260.0 | Target: 42908.93 | Risk: LOW       
  ABB.NS          | Price: 7156.00 | Entry: 7012.88 | Target: 8142.79 | Risk: LOW       
  MOTHERSON.NS    | Price:  144.31 | Entry:  141.42 | Target:  171.11 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5787.50 | Entry: 5671.75 | Target: 6707.68 | Risk: LOW       
  POLYCAB.NS      | Price: 9717.50 | Entry: 9523.15 | Target: 10678.04 | Risk: LOW       
  CGPOWER.NS      | Price:  937.90 | Entry:  919.14 | Target: 1082.15 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1520.00 | Entry:  1489.6 | Target: 1822.29 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  101.99 | Entry:   99.95 | Target:  117.65 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1084.60 | Entry: 1062.91 | Target: 1240.55 | Risk: LOW       
  DIXON.NS        | Price: 11488.00 | Entry: 11258.24 | Target: 13121.57 | Risk: LOW       
  IDEA.NS         | Price:   14.93 | Entry:   14.63 | Target:   17.15 | Risk: LOW       
  JSWENERGY.NS    | Price:  588.05 | Entry:  576.29 | Target:  677.85 | Risk: LOW       
  PERSISTENT.NS   | Price: 5121.50 | Entry: 5019.07 | Target: 6031.75 | Risk: LOW       
  NAUKRI.NS       | Price: 1008.85 | Entry:  988.67 | Target: 1193.85 | Risk: LOW       
  SRF.NS          | Price: 2726.60 | Entry: 2672.07 | Target: 3012.10 | Risk: LOW       
  SUZLON.NS       | Price:   55.62 | Entry:   54.51 | Target:   64.95 | Risk: LOW       
  ABCAPITAL.NS    | Price:  353.65 | Entry:  346.58 | Target:  399.51 | Risk: LOW       
  OFSS.NS         | Price: 10098.00 | Entry: 9896.04 | Target: 11962.46 | Risk: LOW       
  GVT&D.NS        | Price: 5086.50 | Entry: 4984.77 | Target: 6303.14 | Risk: LOW       
  LLOYDSME.NS     | Price: 1775.50 | Entry: 1739.99 | Target: 2021.64 | Risk: LOW       
  ATGL.NS         | Price:  744.05 | Entry:  729.17 | Target:  971.73 | Risk: LOW       
  YESBANK.NS      | Price:   22.77 | Entry:   22.31 | Target:   25.78 | Risk: LOW       
  NMDC.NS         | Price:   94.70 | Entry:   92.81 | Target:  108.56 | Risk: LOW       
  JSWINFRA.NS     | Price:  272.80 | Entry:  267.34 | Target:  311.93 | Risk: LOW       
  BHARATFORG.NS   | Price: 1937.50 | Entry: 1898.75 | Target: 2165.79 | Risk: LOW       
  COFORGE.NS      | Price: 1436.50 | Entry: 1407.77 | Target: 1731.07 | Risk: LOW       
  TIINDIA.NS      | Price: 3098.40 | Entry: 3036.43 | Target: 3601.08 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   72.16 | Entry:   70.72 | Target:   79.72 | Risk: LOW       
  MOTILALOFS.NS   | Price:  861.20 | Entry:  843.98 | Target:  984.50 | Risk: LOW       
  FEDERALBNK.NS   | Price:  300.10 | Entry:   294.1 | Target:  334.62 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1129.10 | Entry: 1106.52 | Target: 1317.74 | Risk: LOW       
  MPHASIS.NS      | Price: 2315.90 | Entry: 2269.58 | Target: 2689.97 | Risk: LOW       
  TATACOMM.NS     | Price: 1985.90 | Entry: 1946.18 | Target: 2438.97 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1427.20 | Entry: 1398.66 | Target: 1564.49 | Risk: LOW       
  PAGEIND.NS      | Price: 38835.00 | Entry: 38058.3 | Target: 44712.15 | Risk: LOW       
  PREMIERENE.NS   | Price: 1077.80 | Entry: 1056.24 | Target: 1248.91 | Risk: LOW       
  HEXT.NS         | Price:  528.65 | Entry:  518.08 | Target:  622.47 | Risk: LOW       
  NATIONALUM.NS   | Price:  414.00 | Entry:  405.72 | Target:  479.64 | Risk: LOW       
  KEI.NS          | Price: 5296.00 | Entry: 5190.08 | Target: 5998.21 | Risk: LOW       
  THERMAX.NS      | Price: 4875.90 | Entry: 4778.38 | Target: 5836.47 | Risk: LOW       
  KPRMILL.NS      | Price: 1103.20 | Entry: 1081.14 | Target: 1290.84 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1965.40 | Entry: 1926.09 | Target: 2201.94 | Risk: LOW       
  APARINDS.NS     | Price: 13709.00 | Entry: 13434.82 | Target: 16605.07 | Risk: LOW       
  KPITTECH.NS     | Price:  773.00 | Entry:  757.54 | Target:  908.30 | Risk: LOW       
  EXIDEIND.NS     | Price:  403.40 | Entry:  395.33 | Target:  465.20 | Risk: LOW       
  AIAENG.NS       | Price: 4596.50 | Entry: 4504.57 | Target: 5310.50 | Risk: LOW       
  COHANCE.NS      | Price:  425.30 | Entry:  416.79 | Target:  503.89 | Risk: LOW       
  LICHSGFIN.NS    | Price:  545.55 | Entry:  534.64 | Target:  608.80 | Risk: LOW       
  NBCC.NS         | Price:  104.08 | Entry:   102.0 | Target:  121.88 | Risk: LOW       
  ITI.NS          | Price:  301.80 | Entry:  295.76 | Target:  346.14 | Risk: LOW       
  GUJGASLTD.NS    | Price:  402.80 | Entry:  394.74 | Target:  481.57 | Risk: LOW       
  IGL.NS          | Price:  162.05 | Entry:  158.81 | Target:  186.92 | Risk: LOW       
  SONACOMS.NS     | Price:  601.15 | Entry:  589.13 | Target:  680.83 | Risk: LOW       
  TATATECH.NS     | Price:  748.35 | Entry:  733.38 | Target:  870.44 | Risk: LOW       
  IKS.NS          | Price: 1690.70 | Entry: 1656.89 | Target: 1954.81 | Risk: LOW       
  AFFLE.NS        | Price: 1482.10 | Entry: 1452.46 | Target: 1726.10 | Risk: LOW       
  AEGISLOG.NS     | Price:  755.80 | Entry:  740.68 | Target:  876.55 | Risk: LOW       
  BANDHANBNK.NS   | Price:  205.44 | Entry:  201.33 | Target:  232.87 | Risk: LOW       
  AMBER.NS        | Price: 7617.00 | Entry: 7464.66 | Target: 9323.07 | Risk: LOW       
  NUVAMA.NS       | Price: 1566.60 | Entry: 1535.27 | Target: 1776.92 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1002.00 | Entry:  981.96 | Target: 1127.16 | Risk: LOW       
  FSL.NS          | Price:  265.60 | Entry:  260.29 | Target:  322.27 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 2072.90 | Entry: 2031.44 | Target: 2710.33 | Risk: LOW       
  PTCIL.NS        | Price: 18688.00 | Entry: 18314.24 | Target: 22369.79 | Risk: LOW       
  KIOCL.NS        | Price:  395.30 | Entry:  387.39 | Target:  477.64 | Risk: LOW       
  ABSLAMC.NS      | Price: 1034.20 | Entry: 1013.52 | Target: 1220.45 | Risk: LOW       
  HSCL.NS         | Price:  642.00 | Entry:  629.16 | Target:  782.10 | Risk: LOW       
  WELCORP.NS      | Price: 1402.70 | Entry: 1374.65 | Target: 1628.74 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  891.40 | Entry:  873.57 | Target: 1050.58 | Risk: LOW       
  HBLENGINE.NS    | Price:  796.65 | Entry:  780.72 | Target:  953.61 | Risk: LOW       
  IIFL.NS         | Price:  530.30 | Entry:  519.69 | Target:  618.80 | Risk: LOW       
  REDINGTON.NS    | Price:  247.06 | Entry:  242.12 | Target:  285.13 | Risk: LOW       
  KPIL.NS         | Price: 1291.20 | Entry: 1265.38 | Target: 1490.88 | Risk: LOW       
  ATHERENERG.NS   | Price:  988.15 | Entry:  968.39 | Target: 1198.83 | Risk: LOW       
  OLAELEC.NS      | Price:   43.32 | Entry:   42.45 | Target:   54.36 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  462.70 | Entry:  453.45 | Target:  523.09 | Risk: LOW       
  ANANTRAJ.NS     | Price:  589.35 | Entry:  577.56 | Target:  689.65 | Risk: LOW       
  NEULANDLAB.NS   | Price: 16860.00 | Entry: 16522.8 | Target: 19491.79 | Risk: LOW       
  KAJARIACER.NS   | Price: 1095.20 | Entry:  1073.3 | Target: 1211.84 | Risk: LOW       
  DEEPAKFERT.NS   | Price: 1420.60 | Entry: 1392.19 | Target: 1705.56 | Risk: LOW       
  SAILIFE.NS      | Price: 1159.30 | Entry: 1136.11 | Target: 1377.23 | Risk: LOW       
  CGCL.NS         | Price:  202.53 | Entry:  198.48 | Target:  233.17 | Risk: LOW       
  ARE&M.NS        | Price:  859.40 | Entry:  842.21 | Target: 1003.51 | Risk: LOW       
  RBLBANK.NS      | Price:  353.75 | Entry:  346.68 | Target:  402.86 | Risk: LOW       
  RATNAMANI.NS    | Price: 2640.40 | Entry: 2587.59 | Target: 3110.47 | Risk: LOW       
  VENTIVE.NS      | Price:  639.60 | Entry:  626.81 | Target:  725.64 | Risk: LOW       
  NETWEB.NS       | Price: 4934.20 | Entry: 4835.52 | Target: 6098.74 | Risk: LOW       
  TBOTEK.NS       | Price: 1221.60 | Entry: 1197.17 | Target: 1464.24 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1238.20 | Entry: 1213.44 | Target: 1522.81 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1286.10 | Entry: 1260.38 | Target: 1513.89 | Risk: LOW       
  CPPLUS.NS       | Price: 3537.60 | Entry: 3466.85 | Target: 4319.46 | Risk: LOW       
  LMW.NS          | Price: 15799.00 | Entry: 15483.02 | Target: 18694.71 | Risk: LOW       
  ACMESOLAR.NS    | Price:  345.85 | Entry:  338.93 | Target:  413.05 | Risk: LOW       
  GMDCLTD.NS      | Price:  676.85 | Entry:  663.31 | Target:  786.71 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 9174.00 | Entry: 8990.52 | Target: 10702.57 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  622.15 | Entry:  609.71 | Target:  742.17 | Risk: LOW       
  AFCONS.NS       | Price:  326.30 | Entry:  319.77 | Target:  395.76 | Risk: LOW       
  AKZOINDIA.NS    | Price: 3078.10 | Entry: 3016.54 | Target: 3512.39 | Risk: LOW       
  ABDL.NS         | Price:  571.85 | Entry:  560.41 | Target:  671.89 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4192.40 | Entry: 4108.55 | Target: 5104.26 | Risk: LOW       
  JBMA.NS         | Price:  692.80 | Entry:  678.94 | Target:  823.89 | Risk: LOW       
  RRKABEL.NS      | Price: 2223.00 | Entry: 2178.54 | Target: 2649.11 | Risk: LOW       
  IFCI.NS         | Price:   81.98 | Entry:   80.34 | Target:   98.41 | Risk: LOW       
  PARADEEP.NS     | Price:  126.04 | Entry:  123.52 | Target:  145.59 | Risk: LOW       
