NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-06 19:04:20

BUY SIGNALS (841):
  ADANIPORTS.NS   | Price: 1824.20 | Entry: 1787.72 | Target: 2002.63 | Risk: LOW       
  ETERNAL.NS      | Price:  256.50 | Entry:  251.37 | Target:  292.44 | Risk: LOW       
  ADANIENT.NS     | Price: 3048.20 | Entry: 2987.24 | Target: 3463.52 | Risk: LOW       
  ADANIPOWER.NS   | Price:  232.60 | Entry:  227.95 | Target:  273.26 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2686.70 | Entry: 2632.97 | Target: 2980.59 | Risk: LOW       
  COALINDIA.NS    | Price:  472.30 | Entry:  462.85 | Target:  539.35 | Risk: LOW       
  TMPV.NS         | Price:  397.80 | Entry:  389.84 | Target:  455.42 | Risk: LOW       
  HYUNDAI.NS      | Price: 1913.60 | Entry: 1875.33 | Target: 2192.56 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1525.70 | Entry: 1495.19 | Target: 1781.84 | Risk: LOW       
  TECHM.NS        | Price: 1483.50 | Entry: 1453.83 | Target: 1710.29 | Risk: LOW       
  BANKBARODA.NS   | Price:  263.70 | Entry:  258.43 | Target:  290.83 | Risk: LOW       
  SOLARINDS.NS    | Price: 18441.00 | Entry: 18072.18 | Target: 20674.93 | Risk: LOW       
  CIPLA.NS        | Price: 1401.30 | Entry: 1373.27 | Target: 1519.84 | Risk: LOW       
  GAIL.NS         | Price:  167.40 | Entry:  164.05 | Target:  191.09 | Risk: LOW       
  CANBK.NS        | Price:  135.81 | Entry:  133.09 | Target:  152.41 | Risk: LOW       
  ENRIN.NS        | Price: 3647.90 | Entry: 3574.94 | Target: 4545.29 | Risk: LOW       
  BOSCHLTD.NS     | Price: 37240.00 | Entry: 36495.2 | Target: 43172.14 | Risk: LOW       
  ABB.NS          | Price: 7167.50 | Entry: 7024.15 | Target: 8114.46 | Risk: LOW       
  MOTHERSON.NS    | Price:  143.56 | Entry:  140.69 | Target:  169.78 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5784.00 | Entry: 5668.32 | Target: 6688.29 | Risk: LOW       
  POLYCAB.NS      | Price: 9699.00 | Entry: 9505.02 | Target: 10641.86 | Risk: LOW       
  CGPOWER.NS      | Price:  937.85 | Entry:  919.09 | Target: 1078.46 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1579.00 | Entry: 1547.42 | Target: 1875.96 | Risk: LOW       
  INDHOTEL.NS     | Price:  657.60 | Entry:  644.45 | Target:  733.96 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  102.03 | Entry:   99.99 | Target:  117.01 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1089.00 | Entry: 1067.22 | Target: 1241.71 | Risk: LOW       
  GROWW.NS        | Price:  196.09 | Entry:  192.17 | Target:  222.01 | Risk: LOW       
  IDEA.NS         | Price:   14.95 | Entry:   14.65 | Target:   17.07 | Risk: LOW       
  JSWENERGY.NS    | Price:  584.20 | Entry:  572.52 | Target:  671.98 | Risk: LOW       
  SRF.NS          | Price: 2704.90 | Entry:  2650.8 | Target: 2979.94 | Risk: LOW       
  POWERINDIA.NS   | Price: 36870.00 | Entry: 36132.6 | Target: 44686.07 | Risk: LOW       
  SUZLON.NS       | Price:   55.31 | Entry:    54.2 | Target:   64.40 | Risk: LOW       
  OFSS.NS         | Price: 9936.50 | Entry: 9737.77 | Target: 11720.43 | Risk: LOW       
  GVT&D.NS        | Price: 5067.00 | Entry: 4965.66 | Target: 6248.75 | Risk: LOW       
  LLOYDSME.NS     | Price: 1778.60 | Entry: 1743.03 | Target: 2017.21 | Risk: LOW       
  ATGL.NS         | Price:  762.25 | Entry:   747.0 | Target:  993.11 | Risk: LOW       
  GICRE.NS        | Price:  392.95 | Entry:  385.09 | Target:  440.24 | Risk: LOW       
  YESBANK.NS      | Price:   23.30 | Entry:   22.83 | Target:   26.28 | Risk: LOW       
  NMDC.NS         | Price:   92.90 | Entry:   91.04 | Target:  106.86 | Risk: LOW       
  JSWINFRA.NS     | Price:  278.10 | Entry:  272.54 | Target:  314.74 | Risk: LOW       
  BHARATFORG.NS   | Price: 1929.80 | Entry:  1891.2 | Target: 2153.51 | Risk: LOW       
  COFORGE.NS      | Price: 1435.50 | Entry: 1406.79 | Target: 1719.89 | Risk: LOW       
  BANKINDIA.NS    | Price:  141.46 | Entry:  138.63 | Target:  157.60 | Risk: LOW       
  TIINDIA.NS      | Price: 3129.00 | Entry: 3066.42 | Target: 3621.54 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   72.35 | Entry:    70.9 | Target:   79.70 | Risk: LOW       
  FEDERALBNK.NS   | Price:  304.15 | Entry:  298.07 | Target:  339.22 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1113.10 | Entry: 1090.84 | Target: 1303.74 | Risk: LOW       
  MPHASIS.NS      | Price: 2330.00 | Entry:  2283.4 | Target: 2687.57 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1446.80 | Entry: 1417.86 | Target: 1583.01 | Risk: LOW       
  PREMIERENE.NS   | Price: 1080.10 | Entry:  1058.5 | Target: 1242.49 | Risk: LOW       
  HEXT.NS         | Price:  526.00 | Entry:  515.48 | Target:  618.54 | Risk: LOW       
  KEI.NS          | Price: 5335.50 | Entry: 5228.79 | Target: 6017.54 | Risk: LOW       
  THERMAX.NS      | Price: 4832.10 | Entry: 4735.46 | Target: 5803.03 | Risk: LOW       
  NH.NS           | Price: 1969.20 | Entry: 1929.82 | Target: 2261.77 | Risk: LOW       
  KPRMILL.NS      | Price: 1086.55 | Entry: 1064.82 | Target: 1276.59 | Risk: LOW       
  IPCALAB.NS      | Price: 1641.90 | Entry: 1609.06 | Target: 1906.01 | Risk: LOW       
  APARINDS.NS     | Price: 13878.00 | Entry: 13600.44 | Target: 16695.50 | Risk: LOW       
  KPITTECH.NS     | Price:  777.80 | Entry:  762.24 | Target:  911.60 | Risk: LOW       
  EXIDEIND.NS     | Price:  399.55 | Entry:  391.56 | Target:  459.80 | Risk: LOW       
  AIAENG.NS       | Price: 4630.70 | Entry: 4538.09 | Target: 5361.16 | Risk: LOW       
  COHANCE.NS      | Price:  431.10 | Entry:  422.48 | Target:  502.46 | Risk: LOW       
  LICHSGFIN.NS    | Price:  549.75 | Entry:  538.75 | Target:  611.66 | Risk: LOW       
  NBCC.NS         | Price:  106.36 | Entry:  104.23 | Target:  124.04 | Risk: LOW       
  ITI.NS          | Price:  302.00 | Entry:  295.96 | Target:  346.73 | Risk: LOW       
  GUJGASLTD.NS    | Price:  400.50 | Entry:  392.49 | Target:  479.09 | Risk: LOW       
  IGL.NS          | Price:  164.32 | Entry:  161.03 | Target:  189.42 | Risk: LOW       
  SONACOMS.NS     | Price:  602.30 | Entry:  590.25 | Target:  679.09 | Risk: LOW       
  KIMS.NS         | Price:  788.95 | Entry:  773.17 | Target:  920.50 | Risk: LOW       
  TATATECH.NS     | Price:  771.20 | Entry:  755.78 | Target:  894.59 | Risk: LOW       
  IKS.NS          | Price: 1659.10 | Entry: 1625.92 | Target: 1932.31 | Risk: LOW       
  AFFLE.NS        | Price: 1476.10 | Entry: 1446.58 | Target: 1717.64 | Risk: LOW       
  AEGISLOG.NS     | Price:  770.40 | Entry:  754.99 | Target:  890.45 | Risk: LOW       
  BANDHANBNK.NS   | Price:  205.87 | Entry:  201.75 | Target:  232.47 | Risk: LOW       
  EMCURE.NS       | Price: 1756.80 | Entry: 1721.66 | Target: 1994.19 | Risk: LOW       
  AMBER.NS        | Price: 7822.00 | Entry: 7665.56 | Target: 9098.96 | Risk: LOW       
  NUVAMA.NS       | Price: 1574.40 | Entry: 1542.91 | Target: 1781.29 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1001.30 | Entry:  981.27 | Target: 1120.37 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 1920.90 | Entry: 1882.48 | Target: 2593.83 | Risk: LOW       
  PTCIL.NS        | Price: 18523.00 | Entry: 18152.54 | Target: 22269.07 | Risk: LOW       
  KIOCL.NS        | Price:  405.45 | Entry:  397.34 | Target:  491.54 | Risk: LOW       
  ABSLAMC.NS      | Price: 1048.80 | Entry: 1027.82 | Target: 1225.16 | Risk: LOW       
  HSCL.NS         | Price:  685.05 | Entry:  671.35 | Target:  833.80 | Risk: LOW       
  WELCORP.NS      | Price: 1388.80 | Entry: 1361.02 | Target: 1612.55 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  901.90 | Entry:  883.86 | Target: 1059.97 | Risk: LOW       
  ERIS.NS         | Price: 1365.20 | Entry:  1337.9 | Target: 1635.83 | Risk: LOW       
  HBLENGINE.NS    | Price:  794.95 | Entry:  779.05 | Target:  946.79 | Risk: LOW       
  IIFL.NS         | Price:  516.90 | Entry:  506.56 | Target:  606.72 | Risk: LOW       
  REDINGTON.NS    | Price:  239.01 | Entry:  234.23 | Target:  278.22 | Risk: LOW       
  KPIL.NS         | Price: 1290.30 | Entry: 1264.49 | Target: 1493.41 | Risk: LOW       
  ATHERENERG.NS   | Price: 1033.60 | Entry: 1012.93 | Target: 1253.69 | Risk: LOW       
  OLAELEC.NS      | Price:   44.88 | Entry:   43.98 | Target:   56.30 | Risk: LOW       
  CHAMBLFERT.NS   | Price:  467.70 | Entry:  458.35 | Target:  523.95 | Risk: LOW       
  ANANTRAJ.NS     | Price:  570.05 | Entry:  558.65 | Target:  673.25 | Risk: LOW       
  RPOWER.NS       | Price:   28.59 | Entry:   28.02 | Target:   33.84 | Risk: LOW       
  SAILIFE.NS      | Price: 1186.40 | Entry: 1162.67 | Target: 1388.01 | Risk: LOW       
  CGCL.NS         | Price:  202.77 | Entry:  198.71 | Target:  233.01 | Risk: LOW       
  ARE&M.NS        | Price:  850.25 | Entry:  833.25 | Target:  991.43 | Risk: LOW       
  RBLBANK.NS      | Price:  351.35 | Entry:  344.32 | Target:  398.65 | Risk: LOW       
  RATNAMANI.NS    | Price: 2614.90 | Entry:  2562.6 | Target: 3019.29 | Risk: LOW       
  VENTIVE.NS      | Price:  640.95 | Entry:  628.13 | Target:  724.02 | Risk: LOW       
  NETWEB.NS       | Price: 4666.00 | Entry: 4572.68 | Target: 5884.61 | Risk: LOW       
  TBOTEK.NS       | Price: 1225.20 | Entry:  1200.7 | Target: 1456.13 | Risk: LOW       
  CONCORDBIO.NS   | Price: 1209.90 | Entry:  1185.7 | Target: 1499.11 | Risk: LOW       
  TRAVELFOOD.NS   | Price: 1283.80 | Entry: 1258.12 | Target: 1507.87 | Risk: LOW       
  CPPLUS.NS       | Price: 3501.90 | Entry: 3431.86 | Target: 4347.40 | Risk: LOW       
  LMW.NS          | Price: 15679.00 | Entry: 15365.42 | Target: 18419.71 | Risk: LOW       
  ACMESOLAR.NS    | Price:  356.65 | Entry:  349.52 | Target:  427.81 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 9065.00 | Entry:  8883.7 | Target: 10593.21 | Risk: LOW       
  ELGIEQUIP.NS    | Price:  610.30 | Entry:  598.09 | Target:  728.73 | Risk: LOW       
  APTUS.NS        | Price:  265.30 | Entry:  259.99 | Target:  306.30 | Risk: LOW       
  AKZOINDIA.NS    | Price: 3110.90 | Entry: 3048.68 | Target: 3539.51 | Risk: LOW       
  ABDL.NS         | Price:  580.70 | Entry:  569.09 | Target:  676.25 | Risk: LOW       
  DATAPATTNS.NS   | Price: 4212.60 | Entry: 4128.35 | Target: 5113.42 | Risk: LOW       
  KIRLOSBROS.NS   | Price: 1711.10 | Entry: 1676.88 | Target: 1987.14 | Risk: LOW       
  JBMA.NS         | Price:  679.70 | Entry:  666.11 | Target:  807.45 | Risk: LOW       
  RRKABEL.NS      | Price: 2223.40 | Entry: 2178.93 | Target: 2641.94 | Risk: LOW       
  IFCI.NS         | Price:   79.60 | Entry:   78.01 | Target:   96.72 | Risk: LOW       
  INTELLECT.NS    | Price:  745.95 | Entry:  731.03 | Target:  861.90 | Risk: LOW       
  SYRMA.NS        | Price: 1226.80 | Entry: 1202.26 | Target: 1417.50 | Risk: LOW       
  FINEORG.NS      | Price: 4754.40 | Entry: 4659.31 | Target: 5451.04 | Risk: LOW       
  KIRLOSENG.NS    | Price: 1913.30 | Entry: 1875.03 | Target: 2287.30 | Risk: LOW       
  EMMVEE.NS       | Price:  334.35 | Entry:  327.66 | Target:  411.96 | Risk: LOW       
  ZYDUSWELL.NS    | Price:  504.60 | Entry:  494.51 | Target:  589.42 | Risk: LOW       
  CEMPRO.NS       | Price: 1112.80 | Entry: 1090.54 | Target: 1383.48 | Risk: LOW       
  ZENTEC.NS       | Price: 1815.30 | Entry: 1778.99 | Target: 2140.51 | Risk: LOW       
  INDGN.NS        | Price:  523.00 | Entry:  512.54 | Target:  589.46 | Risk: LOW       
  MINDACORP.NS    | Price:  643.40 | Entry:  630.53 | Target:  771.04 | Risk: LOW       
  JPPOWER.NS      | Price:   19.03 | Entry:   18.65 | Target:   25.24 | Risk: LOW       
  TARIL.NS        | Price:  321.10 | Entry:  314.68 | Target:  376.56 | Risk: LOW       
  NEWGEN.NS       | Price:  489.05 | Entry:  479.27 | Target:  595.07 | Risk: LOW       
  GRANULES.NS     | Price:  789.85 | Entry:  774.05 | Target:  899.85 | Risk: LOW       
  MGL.NS          | Price: 1089.10 | Entry: 1067.32 | Target: 1242.14 | Risk: LOW       
  USHAMART.NS     | Price:  513.10 | Entry:  502.84 | Target:  598.01 | Risk: LOW       
