NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-09 19:27:05

BUY SIGNALS (610):
  ADANIENT.NS     | Price: 2970.00 | Entry:  2910.6 | Target: 3388.32 | Risk: LOW       
  COALINDIA.NS    | Price:  464.90 | Entry:   455.6 | Target:  531.63 | Risk: LOW       
  TMPV.NS         | Price:  389.00 | Entry:  381.22 | Target:  445.87 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1490.50 | Entry: 1460.69 | Target: 1737.39 | Risk: LOW       
  TECHM.NS        | Price: 1503.40 | Entry: 1473.33 | Target: 1721.36 | Risk: LOW       
  ABB.NS          | Price: 6958.00 | Entry: 6818.84 | Target: 7948.18 | Risk: LOW       
  MOTHERSON.NS    | Price:  139.01 | Entry:  136.23 | Target:  165.79 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5610.50 | Entry: 5498.29 | Target: 6552.11 | Risk: LOW       
  POLYCAB.NS      | Price: 9495.00 | Entry:  9305.1 | Target: 10460.36 | Risk: LOW       
  CGPOWER.NS      | Price:  903.40 | Entry:  885.33 | Target: 1051.95 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1570.40 | Entry: 1538.99 | Target: 1878.04 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  100.32 | Entry:   98.31 | Target:  115.84 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1087.60 | Entry: 1065.85 | Target: 1228.49 | Risk: LOW       
  IDEA.NS         | Price:   14.40 | Entry:   14.11 | Target:   16.51 | Risk: LOW       
  JSWENERGY.NS    | Price:  570.95 | Entry:  559.53 | Target:  662.67 | Risk: LOW       
  NAUKRI.NS       | Price:  999.20 | Entry:  979.22 | Target: 1190.50 | Risk: LOW       
  FORTIS.NS       | Price:  989.10 | Entry:  969.32 | Target: 1119.89 | Risk: LOW       
  ATGL.NS         | Price:  734.20 | Entry:  719.52 | Target:  969.27 | Risk: LOW       
  YESBANK.NS      | Price:   23.00 | Entry:   22.54 | Target:   26.06 | Risk: LOW       
  COFORGE.NS      | Price: 1421.10 | Entry: 1392.68 | Target: 1685.89 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   71.43 | Entry:    70.0 | Target:   79.00 | Risk: LOW       
  FEDERALBNK.NS   | Price:  304.60 | Entry:  298.51 | Target:  341.33 | Risk: LOW       
  MPHASIS.NS      | Price: 2334.10 | Entry: 2287.42 | Target: 2675.56 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1404.70 | Entry: 1376.61 | Target: 1552.63 | Risk: LOW       
  PREMIERENE.NS   | Price: 1090.50 | Entry: 1068.69 | Target: 1257.00 | Risk: LOW       
  HEXT.NS         | Price:  520.25 | Entry:  509.84 | Target:  607.75 | Risk: LOW       
  ANTHEM.NS       | Price:  773.10 | Entry:  757.64 | Target:  889.03 | Risk: LOW       
  THERMAX.NS      | Price: 4696.40 | Entry: 4602.47 | Target: 5685.51 | Risk: LOW       
  KPRMILL.NS      | Price: 1037.85 | Entry: 1017.09 | Target: 1234.60 | Risk: LOW       
  IPCALAB.NS      | Price: 1649.40 | Entry: 1616.41 | Target: 1924.15 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1964.40 | Entry: 1925.11 | Target: 2224.15 | Risk: LOW       
  APARINDS.NS     | Price: 13276.00 | Entry: 13010.48 | Target: 16143.86 | Risk: LOW       
  ASTERDM.NS      | Price:  766.15 | Entry:  750.83 | Target:  878.67 | Risk: LOW       
  EXIDEIND.NS     | Price:  385.90 | Entry:  378.18 | Target:  449.72 | Risk: LOW       
  AIAENG.NS       | Price: 4545.50 | Entry: 4454.59 | Target: 5249.93 | Risk: LOW       
  NBCC.NS         | Price:  103.46 | Entry:  101.39 | Target:  121.85 | Risk: LOW       
  ITI.NS          | Price:  296.30 | Entry:  290.37 | Target:  343.85 | Risk: LOW       
  GUJGASLTD.NS    | Price:  400.00 | Entry:   392.0 | Target:  477.02 | Risk: LOW       
  IGL.NS          | Price:  163.62 | Entry:  160.35 | Target:  187.51 | Risk: LOW       
  KIMS.NS         | Price:  801.20 | Entry:  785.18 | Target:  933.83 | Risk: LOW       
  TATATECH.NS     | Price:  779.60 | Entry:  764.01 | Target:  894.94 | Risk: LOW       
  AFFLE.NS        | Price: 1496.30 | Entry: 1466.37 | Target: 1745.41 | Risk: LOW       
  AEGISLOG.NS     | Price:  755.55 | Entry:  740.44 | Target:  880.64 | Risk: LOW       
