NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-10 19:33:43

BUY SIGNALS (696):
  ASIANPAINT.NS   | Price: 2708.10 | Entry: 2653.94 | Target: 3006.81 | Risk: LOW       
  COALINDIA.NS    | Price:  466.90 | Entry:  457.56 | Target:  534.27 | Risk: LOW       
  INDIGO.NS       | Price: 4537.60 | Entry: 4446.85 | Target: 5157.64 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1534.50 | Entry: 1503.81 | Target: 1790.25 | Risk: LOW       
  TECHM.NS        | Price: 1483.80 | Entry: 1454.12 | Target: 1702.98 | Risk: LOW       
  TATACAP.NS      | Price:  322.85 | Entry:  316.39 | Target:  363.35 | Risk: LOW       
  BANKBARODA.NS   | Price:  273.75 | Entry:  268.27 | Target:  305.67 | Risk: LOW       
  PNB.NS          | Price:  109.65 | Entry:  107.46 | Target:  121.45 | Risk: LOW       
  CANBK.NS        | Price:  137.51 | Entry:  134.76 | Target:  156.01 | Risk: LOW       
  ENRIN.NS        | Price: 3547.50 | Entry: 3476.55 | Target: 4376.04 | Risk: LOW       
  BOSCHLTD.NS     | Price: 37820.00 | Entry: 37063.6 | Target: 43946.79 | Risk: LOW       
  ABB.NS          | Price: 6931.00 | Entry: 6792.38 | Target: 7846.54 | Risk: LOW       
  MOTHERSON.NS    | Price:  144.06 | Entry:  141.18 | Target:  170.45 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5625.50 | Entry: 5512.99 | Target: 6529.25 | Risk: LOW       
  LGEINDIA.NS     | Price: 1541.50 | Entry: 1510.67 | Target: 1723.46 | Risk: LOW       
  CGPOWER.NS      | Price:  911.20 | Entry:  892.98 | Target: 1049.91 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1579.20 | Entry: 1547.62 | Target: 1882.81 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8524.00 | Entry: 8353.52 | Target: 9402.39 | Risk: LOW       
  INDHOTEL.NS     | Price:  666.70 | Entry:  653.37 | Target:  741.41 | Risk: LOW       
  IDBI.NS         | Price:   75.37 | Entry:   73.86 | Target:   84.80 | Risk: LOW       
  INDIANB.NS      | Price:  856.70 | Entry:  839.57 | Target:  966.73 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  102.61 | Entry:  100.56 | Target:  118.40 | Risk: LOW       
  RECLTD.NS       | Price:  352.10 | Entry:  345.06 | Target:  389.42 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1105.60 | Entry: 1083.49 | Target: 1228.90 | Risk: LOW       
  GROWW.NS        | Price:  195.25 | Entry:  191.34 | Target:  222.99 | Risk: LOW       
  SUZLON.NS       | Price:   55.23 | Entry:   54.13 | Target:   64.61 | Risk: LOW       
  GVT&D.NS        | Price: 4931.00 | Entry: 4832.38 | Target: 6114.89 | Risk: LOW       
  FORTIS.NS       | Price:  989.75 | Entry:  969.95 | Target: 1116.30 | Risk: LOW       
  ATGL.NS         | Price:  752.15 | Entry:  737.11 | Target:  987.88 | Risk: LOW       
  YESBANK.NS      | Price:   23.37 | Entry:    22.9 | Target:   26.46 | Risk: LOW       
  JSWINFRA.NS     | Price:  282.80 | Entry:  277.14 | Target:  325.16 | Risk: LOW       
  BANKINDIA.NS    | Price:  147.72 | Entry:  144.77 | Target:  166.70 | Risk: LOW       
  TIINDIA.NS      | Price: 3105.50 | Entry: 3043.39 | Target: 3596.93 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   73.69 | Entry:   72.22 | Target:   81.75 | Risk: LOW       
  FEDERALBNK.NS   | Price:  315.10 | Entry:   308.8 | Target:  353.21 | Risk: LOW       
  MPHASIS.NS      | Price: 2340.50 | Entry: 2293.69 | Target: 2679.36 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1424.40 | Entry: 1395.91 | Target: 1576.76 | Risk: LOW       
  PAGEIND.NS      | Price: 38905.00 | Entry: 38126.9 | Target: 44435.29 | Risk: LOW       
  PREMIERENE.NS   | Price: 1086.70 | Entry: 1064.97 | Target: 1255.41 | Risk: LOW       
  HEXT.NS         | Price:  521.60 | Entry:  511.17 | Target:  608.81 | Risk: LOW       
