NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-06-19 19:17:58

BUY SIGNALS (1008):
  HDFCBANK.NS     | Price:  786.00 | Entry:  770.28 | Target:  864.38 | Risk: LOW       
  BHARTIARTL.NS   | Price: 1874.80 | Entry:  1837.3 | Target: 2055.05 | Risk: LOW       
  ICICIBANK.NS    | Price: 1342.30 | Entry: 1315.45 | Target: 1470.30 | Risk: LOW       
  SBIN.NS         | Price: 1042.70 | Entry: 1021.85 | Target: 1147.99 | Risk: LOW       
  BAJFINANCE.NS   | Price:  958.85 | Entry:  939.67 | Target: 1079.14 | Risk: LOW       
  LICI.NS         | Price:  430.00 | Entry:   421.4 | Target:  475.62 | Risk: LOW       
  LT.NS           | Price: 4190.00 | Entry:  4106.2 | Target: 4628.04 | Risk: LOW       
  MARUTI.NS       | Price: 13484.00 | Entry: 13214.32 | Target: 14942.21 | Risk: LOW       
  KOTAKBANK.NS    | Price:  402.95 | Entry:  394.89 | Target:  444.59 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1824.80 | Entry:  1788.3 | Target: 1956.87 | Risk: LOW       
  AXISBANK.NS     | Price: 1360.10 | Entry:  1332.9 | Target: 1494.60 | Risk: LOW       
  TITAN.NS        | Price: 4387.90 | Entry: 4300.14 | Target: 4917.22 | Risk: LOW       
  HAL.NS          | Price: 4411.50 | Entry: 4323.27 | Target: 4955.39 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1842.10 | Entry: 1805.26 | Target: 2048.95 | Risk: LOW       
  ETERNAL.NS      | Price:  258.55 | Entry:  253.38 | Target:  299.12 | Risk: LOW       
  ADANIENT.NS     | Price: 3013.40 | Entry: 2953.13 | Target: 3413.71 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2755.00 | Entry:  2699.9 | Target: 3054.36 | Risk: LOW       
  INDIGO.NS       | Price: 5011.80 | Entry: 4911.56 | Target: 5685.05 | Risk: LOW       
  IOC.NS          | Price:  146.11 | Entry:  143.19 | Target:  162.48 | Risk: LOW       
  JIOFIN.NS       | Price:  244.10 | Entry:  239.22 | Target:  271.39 | Risk: LOW       
  HYUNDAI.NS      | Price: 1976.60 | Entry: 1937.07 | Target: 2256.85 | Risk: LOW       
  GRASIM.NS       | Price: 3145.10 | Entry:  3082.2 | Target: 3446.85 | Risk: LOW       
  DLF.NS          | Price:  640.70 | Entry:  627.89 | Target:  736.52 | Risk: LOW       
  EICHERMOT.NS    | Price: 7601.00 | Entry: 7448.98 | Target: 8445.29 | Risk: LOW       
  TRENT.NS        | Price: 3179.70 | Entry: 3116.11 | Target: 3690.50 | Risk: LOW       
  DIVISLAB.NS     | Price: 6767.00 | Entry: 6631.66 | Target: 7503.43 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1506.80 | Entry: 1476.66 | Target: 1751.37 | Risk: LOW       
  PIDILITIND.NS   | Price: 1581.10 | Entry: 1549.48 | Target: 1739.24 | Risk: LOW       
  BPCL.NS         | Price:  316.30 | Entry:  309.97 | Target:  353.57 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 10676.00 | Entry: 10462.48 | Target: 12047.79 | Risk: LOW       
  TATACAP.NS      | Price:  345.45 | Entry:  338.54 | Target:  392.43 | Risk: LOW       
  BANKBARODA.NS   | Price:  283.00 | Entry:  277.34 | Target:  321.11 | Risk: LOW       
  CHOLAFIN.NS     | Price: 1688.90 | Entry: 1655.12 | Target: 1952.61 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1002.70 | Entry:  982.65 | Target: 1144.07 | Risk: LOW       
  TMCV.NS         | Price:  407.05 | Entry:  398.91 | Target:  481.51 | Risk: LOW       
  PNB.NS          | Price:  109.58 | Entry:  107.39 | Target:  122.83 | Risk: LOW       
  ICICIAMC.NS     | Price: 3431.70 | Entry: 3363.07 | Target: 4011.61 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4445.50 | Entry: 4356.59 | Target: 5007.25 | Risk: LOW       
  LODHA.NS        | Price:  924.00 | Entry:  905.52 | Target: 1090.57 | Risk: LOW       
  HDFCAMC.NS      | Price: 2728.20 | Entry: 2673.64 | Target: 3115.30 | Risk: LOW       
  GAIL.NS         | Price:  176.44 | Entry:  172.91 | Target:  196.32 | Risk: LOW       
  CANBK.NS        | Price:  134.97 | Entry:  132.27 | Target:  154.76 | Risk: LOW       
  MAXHEALTH.NS    | Price: 1090.45 | Entry: 1068.64 | Target: 1224.63 | Risk: LOW       
  ENRIN.NS        | Price: 3783.40 | Entry: 3707.73 | Target: 4544.29 | Risk: LOW       
  SIEMENS.NS      | Price: 3746.20 | Entry: 3671.28 | Target: 4214.38 | Risk: LOW       
  BOSCHLTD.NS     | Price: 40035.00 | Entry: 39234.3 | Target: 45649.29 | Risk: LOW       
  ABB.NS          | Price: 7229.00 | Entry: 7084.42 | Target: 8152.39 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5858.00 | Entry: 5740.84 | Target: 6621.75 | Risk: LOW       
  LGEINDIA.NS     | Price: 1607.60 | Entry: 1575.45 | Target: 1798.53 | Risk: LOW       
  POLYCAB.NS      | Price: 9905.50 | Entry: 9707.39 | Target: 10970.45 | Risk: LOW       
  CGPOWER.NS      | Price:  954.45 | Entry:  935.36 | Target: 1093.68 | Risk: LOW       
  UNIONBANK.NS    | Price:  176.12 | Entry:   172.6 | Target:  200.48 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8411.50 | Entry: 8243.27 | Target: 9179.18 | Risk: LOW       
  INDHOTEL.NS     | Price:  710.45 | Entry:  696.24 | Target:  791.33 | Risk: LOW       
  SHREECEM.NS     | Price: 25410.00 | Entry: 24901.8 | Target: 28306.43 | Risk: LOW       
  IDBI.NS         | Price:   84.62 | Entry:   82.93 | Target:  103.79 | Risk: LOW       
  MANKIND.NS      | Price: 2406.00 | Entry: 2357.88 | Target: 2691.54 | Risk: LOW       
  INDIANB.NS      | Price:  875.70 | Entry:  858.19 | Target:  993.57 | Risk: LOW       
  UNITDSPR.NS     | Price: 1350.30 | Entry: 1323.29 | Target: 1487.30 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  110.55 | Entry:  108.34 | Target:  128.39 | Risk: LOW       
  RECLTD.NS       | Price:  358.70 | Entry:  351.53 | Target:  404.07 | Risk: LOW       
  ICICIGI.NS      | Price: 1839.00 | Entry: 1802.22 | Target: 2056.54 | Risk: LOW       
  GROWW.NS        | Price:  200.54 | Entry:  196.53 | Target:  235.13 | Risk: LOW       
  DIXON.NS        | Price: 12666.00 | Entry: 12412.68 | Target: 14541.00 | Risk: LOW       
  HINDPETRO.NS    | Price:  401.60 | Entry:  393.57 | Target:  459.90 | Risk: LOW       
  LUPIN.NS        | Price: 2327.10 | Entry: 2280.56 | Target: 2525.06 | Risk: LOW       
  ICICIPRULI.NS   | Price:  522.10 | Entry:  511.66 | Target:  588.80 | Risk: LOW       
  BHEL.NS         | Price:  405.90 | Entry:  397.78 | Target:  479.01 | Risk: LOW       
  SUZLON.NS       | Price:   58.44 | Entry:   57.27 | Target:   68.61 | Risk: LOW       
  ABCAPITAL.NS    | Price:  370.60 | Entry:  363.19 | Target:  429.53 | Risk: LOW       
  IOB.NS          | Price:   35.23 | Entry:   34.53 | Target:   39.60 | Risk: LOW       
  GVT&D.NS        | Price: 5250.00 | Entry:  5145.0 | Target: 6492.54 | Risk: LOW       
  PRESTIGE.NS     | Price: 1527.70 | Entry: 1497.15 | Target: 1786.06 | Risk: LOW       
  FORTIS.NS       | Price:  958.75 | Entry:  939.57 | Target: 1087.23 | Risk: LOW       
  NYKAA.NS        | Price:  298.10 | Entry:  292.14 | Target:  340.14 | Risk: LOW       
  COROMANDEL.NS   | Price: 2068.20 | Entry: 2026.84 | Target: 2419.70 | Risk: LOW       
  YESBANK.NS      | Price:   25.48 | Entry:   24.97 | Target:   29.45 | Risk: LOW       
  BERGEPAINT.NS   | Price:  505.05 | Entry:  494.95 | Target:  583.32 | Risk: LOW       
  MRF.NS          | Price: 130085.00 | Entry: 127483.3 | Target: 140531.43 | Risk: LOW       
  GODREJPROP.NS   | Price: 1810.20 | Entry:  1774.0 | Target: 2098.02 | Risk: LOW       
  HDBFS.NS        | Price:  695.45 | Entry:  681.54 | Target:  793.67 | Risk: LOW       
  LTF.NS          | Price:  286.90 | Entry:  281.16 | Target:  334.88 | Risk: LOW       
  JSWINFRA.NS     | Price:  307.95 | Entry:  301.79 | Target:  358.38 | Risk: LOW       
  SCHAEFFLER.NS   | Price: 4186.00 | Entry: 4102.28 | Target: 4810.64 | Risk: LOW       
  INDUSINDBK.NS   | Price:  938.75 | Entry:  919.98 | Target: 1062.71 | Risk: LOW       
  AUBANK.NS       | Price: 1025.35 | Entry: 1004.84 | Target: 1164.12 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1694.20 | Entry: 1660.32 | Target: 1934.41 | Risk: LOW       
  BHARATFORG.NS   | Price: 2019.90 | Entry:  1979.5 | Target: 2296.97 | Risk: LOW       
  FACT.NS         | Price:  953.45 | Entry:  934.38 | Target: 1133.88 | Risk: LOW       
  COFORGE.NS      | Price: 1483.00 | Entry: 1453.34 | Target: 1774.14 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1853.70 | Entry: 1816.63 | Target: 2129.91 | Risk: LOW       
  BANKINDIA.NS    | Price:  147.67 | Entry:  144.72 | Target:  169.82 | Risk: LOW       
  TIINDIA.NS      | Price: 3256.50 | Entry: 3191.37 | Target: 3791.43 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   78.09 | Entry:   76.53 | Target:   87.82 | Risk: LOW       
  MOTILALOFS.NS   | Price:  948.15 | Entry:  929.19 | Target: 1110.22 | Risk: LOW       
  MFSL.NS         | Price: 1688.20 | Entry: 1654.44 | Target: 1928.02 | Risk: LOW       
  FEDERALBNK.NS   | Price:  320.45 | Entry:  314.04 | Target:  358.72 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1167.40 | Entry: 1144.05 | Target: 1382.33 | Risk: LOW       
  LINDEINDIA.NS   | Price: 7275.50 | Entry: 7129.99 | Target: 8251.57 | Risk: LOW       
  AIIL.NS         | Price:  551.55 | Entry:  540.52 | Target:  674.17 | Risk: LOW       
  GODFRYPHLP.NS   | Price: 2271.20 | Entry: 2225.78 | Target: 2590.02 | Risk: LOW       
  JKCEMENT.NS     | Price: 5540.00 | Entry:  5429.2 | Target: 6472.14 | Risk: LOW       
  PAGEIND.NS      | Price: 40180.00 | Entry: 39376.4 | Target: 45306.79 | Risk: LOW       
  BALKRISIND.NS   | Price: 2234.20 | Entry: 2189.52 | Target: 2629.20 | Risk: LOW       
  ITCHOTELS.NS    | Price:  161.13 | Entry:  157.91 | Target:  179.49 | Risk: LOW       
  VOLTAS.NS       | Price: 1357.60 | Entry: 1330.45 | Target: 1563.18 | Risk: LOW       
  HUDCO.NS        | Price:  211.55 | Entry:  207.32 | Target:  239.30 | Risk: LOW       
  360ONE.NS       | Price: 1141.30 | Entry: 1118.47 | Target: 1315.55 | Risk: LOW       
  MAHABANK.NS     | Price:   89.50 | Entry:   87.71 | Target:  103.61 | Risk: LOW       
  PETRONET.NS     | Price:  288.25 | Entry:  282.49 | Target:  321.82 | Risk: LOW       
  ANTHEM.NS       | Price:  798.10 | Entry:  782.14 | Target:  909.47 | Risk: LOW       
  RADICO.NS       | Price: 3690.00 | Entry:  3616.2 | Target: 4099.68 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 3837.50 | Entry: 3760.75 | Target: 4386.61 | Risk: LOW       
  ENDURANCE.NS    | Price: 2623.30 | Entry: 2570.83 | Target: 3021.59 | Risk: LOW       
  KEI.NS          | Price: 5630.50 | Entry: 5517.89 | Target: 6505.68 | Risk: LOW       
  ASTRAL.NS       | Price: 1565.70 | Entry: 1534.39 | Target: 1770.02 | Risk: LOW       
  PWL.NS          | Price:  115.02 | Entry:  112.72 | Target:  146.32 | Risk: LOW       
  UCOBANK.NS      | Price:   27.99 | Entry:   27.43 | Target:   32.55 | Risk: LOW       
  TATAINVEST.NS   | Price:  694.15 | Entry:  680.27 | Target:  793.69 | Risk: LOW       
  GODREJIND.NS    | Price: 1111.20 | Entry: 1088.98 | Target: 1313.70 | Risk: LOW       
  CRISIL.NS       | Price: 4121.40 | Entry: 4038.97 | Target: 4674.47 | Risk: LOW       
  KPRMILL.NS      | Price: 1186.40 | Entry: 1162.67 | Target: 1450.17 | Risk: LOW       
  3MINDIA.NS      | Price: 33250.00 | Entry: 32585.0 | Target: 36767.86 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 1998.40 | Entry: 1958.43 | Target: 2306.99 | Risk: LOW       
  APARINDS.NS     | Price: 15812.00 | Entry: 15495.76 | Target: 19444.50 | Risk: LOW       
  MEDANTA.NS      | Price: 1258.20 | Entry: 1233.04 | Target: 1442.81 | Risk: LOW       
  CDSL.NS         | Price: 1350.40 | Entry: 1323.39 | Target: 1528.40 | Risk: LOW       
  ASTERDM.NS      | Price:  788.50 | Entry:  772.73 | Target:  928.54 | Risk: LOW       
  HONAUT.NS       | Price: 37170.00 | Entry: 36426.6 | Target: 42887.86 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3073.60 | Entry: 3012.13 | Target: 3555.17 | Risk: LOW       
  APOLLOTYRE.NS   | Price:  428.00 | Entry:  419.44 | Target:  488.95 | Risk: LOW       
  NIACL.NS        | Price:  178.67 | Entry:   175.1 | Target:  214.54 | Risk: LOW       
  NBCC.NS         | Price:  110.15 | Entry:  107.95 | Target:  131.63 | Risk: LOW       
  ITI.NS          | Price:  311.15 | Entry:  304.93 | Target:  360.36 | Risk: LOW       
  GRSE.NS         | Price: 2825.30 | Entry: 2768.79 | Target: 3259.76 | Risk: LOW       
  IGL.NS          | Price:  169.99 | Entry:  166.59 | Target:  190.96 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  243.10 | Entry:  238.24 | Target:  298.66 | Risk: LOW       
  KIMS.NS         | Price:  789.75 | Entry:  773.96 | Target:  923.57 | Risk: LOW       
  TATATECH.NS     | Price:  753.70 | Entry:  738.63 | Target:  881.35 | Risk: LOW       
  STARHEALTH.NS   | Price:  565.65 | Entry:  554.34 | Target:  648.13 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2198.50 | Entry: 2154.53 | Target: 2474.61 | Risk: LOW       
  AEGISLOG.NS     | Price: 1006.90 | Entry:  986.76 | Target: 1237.17 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 7303.50 | Entry: 7157.43 | Target: 8328.76 | Risk: LOW       
  BANDHANBNK.NS   | Price:  214.28 | Entry:  209.99 | Target:  249.73 | Risk: LOW       
