NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-07-10 20:09:41

BUY SIGNALS (704):
  HDFCBANK.NS     | Price:  817.55 | Entry:   801.2 | Target:  891.30 | Risk: LOW       
  BHARTIARTL.NS   | Price: 1931.10 | Entry: 1892.48 | Target: 2102.78 | Risk: LOW       
  BAJFINANCE.NS   | Price: 1003.80 | Entry:  983.72 | Target: 1122.12 | Risk: LOW       
  LICI.NS         | Price:  438.45 | Entry:  429.68 | Target:  481.70 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1938.70 | Entry: 1899.93 | Target: 2099.81 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 1895.00 | Entry:  1857.1 | Target: 2104.20 | Risk: LOW       
  TITAN.NS        | Price: 4555.80 | Entry: 4464.68 | Target: 5012.46 | Risk: LOW       
  ETERNAL.NS      | Price:  292.45 | Entry:   286.6 | Target:  331.97 | Risk: LOW       
  ADANIENT.NS     | Price: 3083.60 | Entry: 3021.93 | Target: 3545.78 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2673.80 | Entry: 2620.32 | Target: 2926.64 | Risk: LOW       
  NESTLEIND.NS    | Price: 1456.20 | Entry: 1427.08 | Target: 1595.96 | Risk: LOW       
  GRASIM.NS       | Price: 3191.90 | Entry: 3128.06 | Target: 3452.08 | Risk: LOW       
  SBILIFE.NS      | Price: 1821.70 | Entry: 1785.27 | Target: 2008.70 | Risk: LOW       
  DLF.NS          | Price:  659.60 | Entry:  646.41 | Target:  754.28 | Risk: LOW       
  DIVISLAB.NS     | Price: 6813.00 | Entry: 6676.74 | Target: 7485.86 | Risk: LOW       
  TVSMOTOR.NS     | Price: 3626.10 | Entry: 3553.58 | Target: 4084.81 | Risk: LOW       
  TECHM.NS        | Price: 1426.30 | Entry: 1397.77 | Target: 1624.01 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 10581.00 | Entry: 10369.38 | Target: 11929.97 | Risk: LOW       
  BRITANNIA.NS    | Price: 5361.50 | Entry: 5254.27 | Target: 5843.64 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4898.20 | Entry: 4800.24 | Target: 5375.34 | Risk: LOW       
  GODREJCP.NS     | Price: 1087.40 | Entry: 1065.65 | Target: 1211.11 | Risk: LOW       
  LODHA.NS        | Price: 1192.15 | Entry: 1168.31 | Target: 1396.70 | Risk: LOW       
  HDFCAMC.NS      | Price: 2737.10 | Entry: 2682.36 | Target: 3078.78 | Risk: LOW       
  BOSCHLTD.NS     | Price: 42225.00 | Entry: 41380.5 | Target: 46325.00 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1618.50 | Entry: 1586.13 | Target: 1888.43 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8845.50 | Entry: 8668.59 | Target: 9504.96 | Risk: LOW       
  INDHOTEL.NS     | Price:  731.45 | Entry:  716.82 | Target:  800.00 | Risk: LOW       
  SHREECEM.NS     | Price: 26295.00 | Entry: 25769.1 | Target: 29198.57 | Risk: LOW       
  SWIGGY.NS       | Price:  280.95 | Entry:  275.33 | Target:  324.45 | Risk: LOW       
  MANKIND.NS      | Price: 2532.00 | Entry: 2481.36 | Target: 2887.71 | Risk: LOW       
  GMRAIRPORT.NS   | Price:  111.83 | Entry:  109.59 | Target:  124.72 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1159.00 | Entry: 1135.82 | Target: 1283.32 | Risk: LOW       
  DIXON.NS        | Price: 13477.00 | Entry: 13207.46 | Target: 15527.36 | Risk: LOW       
  MARICO.NS       | Price:  860.05 | Entry:  842.85 | Target:  941.89 | Risk: LOW       
  LUPIN.NS        | Price: 2503.30 | Entry: 2453.23 | Target: 2752.23 | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1571.50 | Entry: 1540.07 | Target: 1798.89 | Risk: LOW       
  NAUKRI.NS       | Price: 1201.85 | Entry: 1177.81 | Target: 1398.37 | Risk: LOW       
  MEESHO.NS       | Price:  190.69 | Entry:  186.88 | Target:  228.52 | Risk: LOW       
  ABCAPITAL.NS    | Price:  397.35 | Entry:   389.4 | Target:  452.19 | Risk: LOW       
  PAYTM.NS        | Price: 1262.90 | Entry: 1237.64 | Target: 1424.01 | Risk: LOW       
  OFSS.NS         | Price: 11134.00 | Entry: 10911.32 | Target: 12877.04 | Risk: LOW       
  LENSKART.NS     | Price:  545.95 | Entry:  535.03 | Target:  632.36 | Risk: LOW       
  PRESTIGE.NS     | Price: 1673.90 | Entry: 1640.42 | Target: 1919.76 | Risk: LOW       
  UNOMINDA.NS     | Price: 1154.50 | Entry: 1131.41 | Target: 1323.39 | Risk: LOW       
  NYKAA.NS        | Price:  324.05 | Entry:  317.57 | Target:  362.09 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1587.40 | Entry: 1555.65 | Target: 1784.33 | Risk: LOW       
  ALKEM.NS        | Price: 5648.50 | Entry: 5535.53 | Target: 6197.79 | Risk: LOW       
  MRF.NS          | Price: 133870.00 | Entry: 131192.6 | Target: 149946.79 | Risk: LOW       
  GODREJPROP.NS   | Price: 2029.90 | Entry:  1989.3 | Target: 2293.79 | Risk: LOW       
  LTF.NS          | Price:  321.10 | Entry:  314.68 | Target:  370.12 | Risk: LOW       
  INDUSINDBK.NS   | Price: 1015.15 | Entry:  994.85 | Target: 1147.71 | Risk: LOW       
  AUBANK.NS       | Price: 1047.40 | Entry: 1026.45 | Target: 1178.38 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1873.20 | Entry: 1835.74 | Target: 2147.52 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 2088.00 | Entry: 2046.24 | Target: 2380.68 | Risk: LOW       
  FEDERALBNK.NS   | Price:  327.75 | Entry:  321.19 | Target:  355.82 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1218.20 | Entry: 1193.84 | Target: 1381.50 | Risk: LOW       
  MPHASIS.NS      | Price: 2261.30 | Entry: 2216.07 | Target: 2589.06 | Risk: LOW       
  KALYANKJIL.NS   | Price:  443.00 | Entry:  434.14 | Target:  533.88 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1507.40 | Entry: 1477.25 | Target: 1731.65 | Risk: LOW       
  GLAXO.NS        | Price: 2440.40 | Entry: 2391.59 | Target: 2708.29 | Risk: LOW       
  ITCHOTELS.NS    | Price:  182.31 | Entry:  178.66 | Target:  210.85 | Risk: LOW       
  PREMIERENE.NS   | Price: 1089.20 | Entry: 1067.42 | Target: 1240.49 | Risk: LOW       
  HEXT.NS         | Price:  539.25 | Entry:  528.47 | Target:  650.75 | Risk: LOW       
  M&MFIN.NS       | Price:  336.75 | Entry:  330.01 | Target:  396.07 | Risk: LOW       
  RADICO.NS       | Price: 4089.00 | Entry: 4007.22 | Target: 4546.61 | Risk: LOW       
  KAYNES.NS       | Price: 3429.10 | Entry: 3360.52 | Target: 4016.03 | Risk: LOW       
  PWL.NS          | Price:  151.38 | Entry:  148.35 | Target:  190.06 | Risk: LOW       
  NH.NS           | Price: 1993.20 | Entry: 1953.34 | Target: 2246.88 | Risk: LOW       
  GODREJIND.NS    | Price: 1219.20 | Entry: 1194.82 | Target: 1380.49 | Risk: LOW       
  POONAWALLA.NS   | Price:  463.85 | Entry:  454.57 | Target:  533.21 | Risk: LOW       
  3MINDIA.NS      | Price: 34745.00 | Entry: 34050.1 | Target: 39362.86 | Risk: LOW       
  IPCALAB.NS      | Price: 1770.40 | Entry: 1734.99 | Target: 2011.01 | Risk: LOW       
  MEDANTA.NS      | Price: 1348.30 | Entry: 1321.33 | Target: 1507.98 | Risk: LOW       
  CDSL.NS         | Price: 1346.50 | Entry: 1319.57 | Target: 1489.71 | Risk: LOW       
  DELHIVERY.NS    | Price:  515.65 | Entry:  505.34 | Target:  602.86 | Risk: LOW       
  ASTERDM.NS      | Price:  807.15 | Entry:  791.01 | Target:  931.11 | Risk: LOW       
  EXIDEIND.NS     | Price:  425.20 | Entry:   416.7 | Target:  487.34 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3307.60 | Entry: 3241.45 | Target: 3933.92 | Risk: LOW       
  METROBRAND.NS   | Price: 1064.50 | Entry: 1043.21 | Target: 1188.11 | Risk: LOW       
  GLAND.NS        | Price: 2469.50 | Entry: 2420.11 | Target: 2856.79 | Risk: LOW       
  APOLLOTYRE.NS   | Price:  437.15 | Entry:  428.41 | Target:  497.48 | Risk: LOW       
  SONACOMS.NS     | Price:  670.75 | Entry:  657.34 | Target:  752.73 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  275.33 | Entry:  269.82 | Target:  343.12 | Risk: LOW       
  KIMS.NS         | Price:  813.75 | Entry:  797.48 | Target:  923.23 | Risk: LOW       
  IKS.NS          | Price: 1862.90 | Entry: 1825.64 | Target: 2148.58 | Risk: LOW       
  STARHEALTH.NS   | Price:  603.25 | Entry:  591.18 | Target:  681.16 | Risk: LOW       
  JBCHEPHARM.NS   | Price: 2444.50 | Entry: 2395.61 | Target: 2678.96 | Risk: LOW       
  TVSHLTD.NS      | Price: 13954.00 | Entry: 13674.92 | Target: 15693.29 | Risk: LOW       
  SUMICHEM.NS     | Price:  481.15 | Entry:  471.53 | Target:  580.17 | Risk: LOW       
  AEGISLOG.NS     | Price: 1257.40 | Entry: 1232.25 | Target: 1676.04 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 7689.00 | Entry: 7535.22 | Target: 8821.68 | Risk: LOW       
  PPLPHARMA.NS    | Price:  171.99 | Entry:  168.55 | Target:  207.85 | Risk: LOW       
  NUVAMA.NS       | Price: 1934.60 | Entry: 1895.91 | Target: 2224.10 | Risk: LOW       
  EMAMILTD.NS     | Price:  415.10 | Entry:   406.8 | Target:  474.99 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2095.60 | Entry: 2053.69 | Target: 2429.85 | Risk: LOW       
  MANAPPURAM.NS   | Price:  332.45 | Entry:   325.8 | Target:  384.97 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1084.00 | Entry: 1062.32 | Target: 1235.21 | Risk: LOW       
