NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-07-22 05:06:10

BUY SIGNALS (681):
  BHARTIARTL.NS   | Price: 1944.80 | Entry:  1905.9 | Target: 2114.16 | Risk: LOW       
  TCS.NS          | Price: 2212.90 | Entry: 2168.64 | Target: 2505.55 | Risk: LOW       
  ICICIBANK.NS    | Price: 1450.70 | Entry: 1421.69 | Target: 1579.49 | Risk: LOW       
  SBIN.NS         | Price: 1027.60 | Entry: 1007.05 | Target: 1127.92 | Risk: LOW       
  BAJFINANCE.NS   | Price: 1063.50 | Entry: 1042.23 | Target: 1178.93 | Risk: LOW       
  M&M.NS          | Price: 3196.00 | Entry: 3132.08 | Target: 3519.36 | Risk: LOW       
  HCLTECH.NS      | Price: 1236.40 | Entry: 1211.67 | Target: 1441.22 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1937.30 | Entry: 1898.55 | Target: 2103.06 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 11974.00 | Entry: 11734.52 | Target: 13079.36 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 1887.80 | Entry: 1850.04 | Target: 2095.05 | Risk: LOW       
  TITAN.NS        | Price: 4721.00 | Entry: 4626.58 | Target: 5075.71 | Risk: LOW       
  HAL.NS          | Price: 4577.00 | Entry: 4485.46 | Target: 5014.00 | Risk: LOW       
  ADANIENT.NS     | Price: 3173.20 | Entry: 3109.74 | Target: 3558.06 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1268.30 | Entry: 1242.93 | Target: 1391.57 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2692.80 | Entry: 2638.94 | Target: 2917.30 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 10705.00 | Entry: 10490.9 | Target: 11818.75 | Risk: LOW       
  IOC.NS          | Price:  142.39 | Entry:  139.54 | Target:  156.79 | Risk: LOW       
  EICHERMOT.NS    | Price: 7640.00 | Entry:  7487.2 | Target: 8370.18 | Risk: LOW       
  DIVISLAB.NS     | Price: 7270.50 | Entry: 7125.09 | Target: 8083.00 | Risk: LOW       
  ADANIGREEN.NS   | Price: 1521.30 | Entry: 1490.87 | Target: 1786.59 | Risk: LOW       
  TVSMOTOR.NS     | Price: 3932.00 | Entry: 3853.36 | Target: 4448.00 | Risk: LOW       
  TECHM.NS        | Price: 1567.00 | Entry: 1535.66 | Target: 1803.64 | Risk: LOW       
  BRITANNIA.NS    | Price: 5458.50 | Entry: 5349.33 | Target: 5901.54 | Risk: LOW       
  AMBUJACEM.NS    | Price:  434.45 | Entry:  425.76 | Target:  484.50 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1052.20 | Entry: 1031.16 | Target: 1195.45 | Risk: LOW       
  PNB.NS          | Price:  111.08 | Entry:  108.86 | Target:  123.83 | Risk: LOW       
  SOLARINDS.NS    | Price: 18956.00 | Entry: 18576.88 | Target: 21836.00 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4977.70 | Entry: 4878.15 | Target: 5672.09 | Risk: LOW       
  LODHA.NS        | Price: 1158.55 | Entry: 1135.38 | Target: 1403.01 | Risk: LOW       
  SIEMENS.NS      | Price: 3673.60 | Entry: 3600.13 | Target: 4158.14 | Risk: LOW       
  ABB.NS          | Price: 7516.50 | Entry: 7366.17 | Target: 8659.54 | Risk: LOW       
  MOTHERSON.NS    | Price:  146.81 | Entry:  143.87 | Target:  164.87 | Risk: LOW       
  CUMMINSIND.NS   | Price: 5602.00 | Entry: 5489.96 | Target: 6312.82 | Risk: LOW       
  UNIONBANK.NS    | Price:  172.75 | Entry:  169.29 | Target:  201.53 | Risk: LOW       
  ADANIENSOL.NS   | Price: 1745.50 | Entry: 1710.59 | Target: 2046.43 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8877.50 | Entry: 8699.95 | Target: 9577.14 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5047.70 | Entry: 4946.75 | Target: 5482.13 | Risk: LOW       
  IDBI.NS         | Price:   84.94 | Entry:   83.24 | Target:   97.73 | Risk: LOW       
  SWIGGY.NS       | Price:  268.00 | Entry:  262.64 | Target:  322.00 | Risk: LOW       
  INDIANB.NS      | Price:  836.90 | Entry:  820.16 | Target:  976.90 | Risk: LOW       
  RECLTD.NS       | Price:  359.60 | Entry:  352.41 | Target:  398.64 | Risk: LOW       
  GROWW.NS        | Price:  205.40 | Entry:  201.29 | Target:  246.79 | Risk: LOW       
  DIXON.NS        | Price: 14046.00 | Entry: 13765.08 | Target: 16535.29 | Risk: LOW       
  HINDPETRO.NS    | Price:  398.80 | Entry:  390.82 | Target:  447.46 | Risk: LOW       
  JSWENERGY.NS    | Price:  564.90 | Entry:   553.6 | Target:  638.81 | Risk: LOW       
  PERSISTENT.NS   | Price: 5133.80 | Entry: 5031.12 | Target: 5948.76 | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1630.40 | Entry: 1597.79 | Target: 1874.04 | Risk: LOW       
  NAUKRI.NS       | Price: 1193.75 | Entry: 1169.88 | Target: 1396.50 | Risk: LOW       
  SRF.NS          | Price: 2934.90 | Entry:  2876.2 | Target: 3283.33 | Risk: LOW       
  BHEL.NS         | Price:  417.45 | Entry:   409.1 | Target:  497.20 | Risk: LOW       
  NHPC.NS         | Price:   80.35 | Entry:   78.74 | Target:   88.39 | Risk: LOW       
  SBICARD.NS      | Price:  633.95 | Entry:  621.27 | Target:  719.16 | Risk: LOW       
  ABCAPITAL.NS    | Price:  407.50 | Entry:  399.35 | Target:  460.23 | Risk: LOW       
  PAYTM.NS        | Price: 1293.50 | Entry: 1267.63 | Target: 1538.29 | Risk: LOW       
