NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-02 05:07:08

BUY SIGNALS (694):
  BHARTIARTL.NS   | Price: 1972.00 | Entry: 1932.56 | Target: 2115.45 | Risk: LOW       
  TCS.NS          | Price: 2365.60 | Entry: 2318.29 | Target: 2680.83 | Risk: LOW       
  INFY.NS         | Price: 1130.10 | Entry:  1107.5 | Target: 1293.49 | Risk: LOW       
  BAJFINANCE.NS   | Price: 1141.20 | Entry: 1118.38 | Target: 1290.88 | Risk: LOW       
  MARUTI.NS       | Price: 14234.00 | Entry: 13949.32 | Target: 15567.21 | Risk: LOW       
  M&M.NS          | Price: 3398.50 | Entry: 3330.53 | Target: 3827.61 | Risk: LOW       
  HCLTECH.NS      | Price: 1346.90 | Entry: 1319.96 | Target: 1525.72 | Risk: LOW       
  SUNPHARMA.NS    | Price: 1990.50 | Entry: 1950.69 | Target: 2155.82 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 11903.00 | Entry: 11664.94 | Target: 13007.23 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 2029.10 | Entry: 1988.52 | Target: 2256.24 | Risk: LOW       
  TITAN.NS        | Price: 4875.20 | Entry:  4777.7 | Target: 5190.06 | Risk: LOW       
  HAL.NS          | Price: 4646.50 | Entry: 4553.57 | Target: 5064.14 | Risk: LOW       
  ETERNAL.NS      | Price:  302.45 | Entry:   296.4 | Target:  357.13 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1270.00 | Entry:  1244.6 | Target: 1396.00 | Risk: LOW       
  WIPRO.NS        | Price:  183.65 | Entry:  179.98 | Target:  202.37 | Risk: LOW       
  ASIANPAINT.NS   | Price: 2747.30 | Entry: 2692.35 | Target: 3035.87 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 11520.50 | Entry: 11290.09 | Target: 12741.57 | Risk: LOW       
  NESTLEIND.NS    | Price: 1509.60 | Entry: 1479.41 | Target: 1684.03 | Risk: LOW       
  JIOFIN.NS       | Price:  256.46 | Entry:  251.33 | Target:  288.62 | Risk: LOW       
  HYUNDAI.NS      | Price: 2180.70 | Entry: 2137.09 | Target: 2478.31 | Risk: LOW       
  SBILIFE.NS      | Price: 1882.00 | Entry: 1844.36 | Target: 2073.14 | Risk: LOW       
  EICHERMOT.NS    | Price: 7833.50 | Entry: 7676.83 | Target: 8586.54 | Risk: LOW       
  TRENT.NS        | Price: 3005.90 | Entry: 2945.78 | Target: 3293.36 | Risk: LOW       
  DIVISLAB.NS     | Price: 8056.00 | Entry: 7894.88 | Target: 8951.86 | Risk: LOW       
  TVSMOTOR.NS     | Price: 4313.10 | Entry: 4226.84 | Target: 4856.92 | Risk: LOW       
  PIDILITIND.NS   | Price: 1611.40 | Entry: 1579.17 | Target: 1778.73 | Risk: LOW       
  BPCL.NS         | Price:  319.75 | Entry:  313.36 | Target:  356.61 | Risk: LOW       
  TECHM.NS        | Price: 1651.30 | Entry: 1618.27 | Target: 1880.66 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 11343.00 | Entry: 11116.14 | Target: 12434.07 | Risk: LOW       
  BRITANNIA.NS    | Price: 5416.50 | Entry: 5308.17 | Target: 5913.09 | Risk: LOW       
  TATACAP.NS      | Price:  365.40 | Entry:  358.09 | Target:  410.19 | Risk: LOW       
  CHOLAFIN.NS     | Price: 1849.90 | Entry:  1812.9 | Target: 2149.44 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1046.70 | Entry: 1025.77 | Target: 1201.45 | Risk: LOW       
  TMCV.NS         | Price:  436.80 | Entry:  428.06 | Target:  493.16 | Risk: LOW       
  PNB.NS          | Price:  112.71 | Entry:  110.46 | Target:  122.69 | Risk: LOW       
  PFC.NS          | Price:  424.35 | Entry:  415.86 | Target:  465.89 | Risk: LOW       
  MUTHOOTFIN.NS   | Price: 3119.60 | Entry: 3057.21 | Target: 3508.92 | Risk: LOW       
  CIPLA.NS        | Price: 1473.20 | Entry: 1443.74 | Target: 1643.13 | Risk: LOW       
  TORNTPHARM.NS   | Price: 5122.80 | Entry: 5020.34 | Target: 5929.98 | Risk: LOW       
  LODHA.NS        | Price: 1243.95 | Entry: 1219.07 | Target: 1491.41 | Risk: LOW       
  GAIL.NS         | Price:  181.44 | Entry:  177.81 | Target:  200.85 | Risk: LOW       
  SIEMENS.NS      | Price: 3760.00 | Entry:  3684.8 | Target: 4278.37 | Risk: LOW       
  MOTHERSON.NS    | Price:  150.75 | Entry:  147.73 | Target:  168.93 | Risk: LOW       
  UNIONBANK.NS    | Price:  171.24 | Entry:  167.82 | Target:  196.93 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8957.00 | Entry: 8777.86 | Target: 9538.07 | Risk: LOW       
  INDHOTEL.NS     | Price:  738.55 | Entry:  723.78 | Target:  814.05 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5386.00 | Entry: 5278.28 | Target: 5929.60 | Risk: LOW       
  SWIGGY.NS       | Price:  284.86 | Entry:  279.16 | Target:  350.58 | Risk: LOW       
  UNITDSPR.NS     | Price: 1515.90 | Entry: 1485.58 | Target: 1690.01 | Risk: LOW       
  RECLTD.NS       | Price:  372.95 | Entry:  365.49 | Target:  411.01 | Risk: LOW       
  HAVELLS.NS      | Price: 1260.70 | Entry: 1235.49 | Target: 1399.27 | Risk: LOW       
  MARICO.NS       | Price:  870.65 | Entry:  853.24 | Target:  955.18 | Risk: LOW       
  ICICIPRULI.NS   | Price:  515.40 | Entry:  505.09 | Target:  577.38 | Risk: LOW       
  PERSISTENT.NS   | Price: 5549.00 | Entry: 5438.02 | Target: 6423.70 | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1607.50 | Entry: 1575.35 | Target: 1818.65 | Risk: LOW       
  NAUKRI.NS       | Price: 1226.25 | Entry: 1201.72 | Target: 1393.97 | Risk: LOW       
  ASHOKLEY.NS     | Price:  166.18 | Entry:  162.86 | Target:  185.65 | Risk: LOW       
  LENSKART.NS     | Price:  561.40 | Entry:  550.17 | Target:  638.94 | Risk: LOW       
  LLOYDSME.NS     | Price: 2047.00 | Entry: 2006.06 | Target: 2402.07 | Risk: LOW       
  UNOMINDA.NS     | Price: 1180.50 | Entry: 1156.89 | Target: 1320.43 | Risk: LOW       
  NYKAA.NS        | Price:  333.40 | Entry:  326.73 | Target:  368.58 | Risk: LOW       
  OIL.NS          | Price:  458.60 | Entry:  449.43 | Target:  519.65 | Risk: LOW       
  COROMANDEL.NS   | Price: 2073.60 | Entry: 2032.13 | Target: 2314.89 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1580.20 | Entry:  1548.6 | Target: 1748.45 | Risk: LOW       
  ALKEM.NS        | Price: 5751.50 | Entry: 5636.47 | Target: 6350.25 | Risk: LOW       
  BERGEPAINT.NS   | Price:  520.45 | Entry:  510.04 | Target:  586.91 | Risk: LOW       
  MRF.NS          | Price: 132770.00 | Entry: 130114.6 | Target: 142736.00 | Risk: LOW       
  AUBANK.NS       | Price: 1047.30 | Entry: 1026.35 | Target: 1189.81 | Risk: LOW       
  COLPAL.NS       | Price: 2076.10 | Entry: 2034.58 | Target: 2368.42 | Risk: LOW       
  COFORGE.NS      | Price: 1721.00 | Entry: 1686.58 | Target: 2011.74 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   84.68 | Entry:   82.99 | Target:   95.04 | Risk: LOW       
  PIIND.NS        | Price: 2751.20 | Entry: 2696.18 | Target: 3035.13 | Risk: LOW       
  FEDERALBNK.NS   | Price:  358.85 | Entry:  351.67 | Target:  394.48 | Risk: LOW       
  KALYANKJIL.NS   | Price:  612.60 | Entry:  600.35 | Target:  743.90 | Risk: LOW       
