NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-13 03:57:40

BUY SIGNALS (904):
  RELIANCE.NS     | Price: 1329.00 | Entry: 1302.42 | Target: 1424.43 | Risk: LOW       
  SBIN.NS         | Price: 1082.00 | Entry: 1060.36 | Target: 1181.21 | Risk: LOW       
  INFY.NS         | Price: 1176.10 | Entry: 1152.58 | Target: 1329.81 | Risk: LOW       
  BAJFINANCE.NS   | Price: 1094.20 | Entry: 1072.32 | Target: 1248.63 | Risk: LOW       
  LT.NS           | Price: 4020.00 | Entry:  3939.6 | Target: 4309.68 | Risk: LOW       
  M&M.NS          | Price: 3403.60 | Entry: 3335.53 | Target: 3799.67 | Risk: LOW       
  HCLTECH.NS      | Price: 1365.40 | Entry: 1338.09 | Target: 1527.22 | Risk: LOW       
  ULTRACEMCO.NS   | Price: 11891.00 | Entry: 11653.18 | Target: 12850.81 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 2020.50 | Entry: 1980.09 | Target: 2263.50 | Risk: LOW       
  TITAN.NS        | Price: 5099.00 | Entry: 4997.02 | Target: 5609.07 | Risk: LOW       
  HAL.NS          | Price: 4995.00 | Entry:  4895.1 | Target: 5529.54 | Risk: LOW       
  ETERNAL.NS      | Price:  314.05 | Entry:  307.77 | Target:  357.53 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 11700.00 | Entry: 11466.0 | Target: 12786.61 | Risk: LOW       
  INDIGO.NS       | Price: 5333.00 | Entry: 5226.34 | Target: 5944.79 | Risk: LOW       
  HINDZINC.NS     | Price:  584.60 | Entry:  572.91 | Target:  660.49 | Risk: LOW       
  JIOFIN.NS       | Price:  256.05 | Entry:  250.93 | Target:  289.16 | Risk: LOW       
  HYUNDAI.NS      | Price: 2240.00 | Entry:  2195.2 | Target: 2500.84 | Risk: LOW       
  GRASIM.NS       | Price: 3307.80 | Entry: 3241.64 | Target: 3715.50 | Risk: LOW       
  EICHERMOT.NS    | Price: 8049.00 | Entry: 7888.02 | Target: 8760.23 | Risk: LOW       
  HINDALCO.NS     | Price: 1078.50 | Entry: 1056.93 | Target: 1193.27 | Risk: LOW       
  DIVISLAB.NS     | Price: 8600.00 | Entry:  8428.0 | Target: 9703.75 | Risk: LOW       
  TVSMOTOR.NS     | Price: 4375.00 | Entry:  4287.5 | Target: 4836.29 | Risk: LOW       
  PIDILITIND.NS   | Price: 1701.50 | Entry: 1667.47 | Target: 1860.54 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 11579.00 | Entry: 11347.42 | Target: 12678.64 | Risk: LOW       
  BRITANNIA.NS    | Price: 5645.50 | Entry: 5532.59 | Target: 6201.81 | Risk: LOW       
  TATACAP.NS      | Price:  367.05 | Entry:  359.71 | Target:  420.99 | Risk: LOW       
  CHOLAFIN.NS     | Price: 1917.60 | Entry: 1879.25 | Target: 2234.99 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1117.20 | Entry: 1094.86 | Target: 1253.13 | Risk: LOW       
  TMCV.NS         | Price:  457.05 | Entry:  447.91 | Target:  523.17 | Risk: LOW       
  PNB.NS          | Price:  118.98 | Entry:   116.6 | Target:  128.26 | Risk: LOW       
  SOLARINDS.NS    | Price: 18730.00 | Entry: 18355.4 | Target: 20912.25 | Risk: LOW       
  GAIL.NS         | Price:  177.95 | Entry:  174.39 | Target:  200.59 | Risk: LOW       
  CANBK.NS        | Price:  132.00 | Entry:  129.36 | Target:  144.20 | Risk: LOW       
  ENRIN.NS        | Price: 3562.10 | Entry: 3490.86 | Target: 4211.67 | Risk: LOW       
  SIEMENS.NS      | Price: 4019.00 | Entry: 3938.62 | Target: 4555.73 | Risk: LOW       
  MAZDOCK.NS      | Price: 2552.00 | Entry: 2500.96 | Target: 2864.11 | Risk: LOW       
