NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-14 03:49:38

BUY SIGNALS (917):
  SBIN.NS         | Price: 1083.00 | Entry: 1061.34 | Target: 1184.04 | Risk: LOW       
  INFY.NS         | Price: 1175.00 | Entry:  1151.5 | Target: 1320.32 | Risk: LOW       
  LT.NS           | Price: 4070.70 | Entry: 3989.29 | Target: 4367.88 | Risk: LOW       
  HCLTECH.NS      | Price: 1370.00 | Entry:  1342.6 | Target: 1523.75 | Risk: LOW       
  BAJAJFINSV.NS   | Price: 2025.00 | Entry:  1984.5 | Target: 2264.64 | Risk: LOW       
  TITAN.NS        | Price: 5063.70 | Entry: 4962.43 | Target: 5569.38 | Risk: LOW       
  HAL.NS          | Price: 4945.00 | Entry:  4846.1 | Target: 5493.46 | Risk: LOW       
  ETERNAL.NS      | Price:  318.00 | Entry:  311.64 | Target:  357.30 | Risk: LOW       
  BEL.NS          | Price:  410.50 | Entry:  402.29 | Target:  446.17 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 11661.00 | Entry: 11427.78 | Target: 12753.32 | Risk: LOW       
  INDIGO.NS       | Price: 5370.00 | Entry:  5262.6 | Target: 5891.96 | Risk: LOW       
  IOC.NS          | Price:  141.50 | Entry:  138.67 | Target:  152.60 | Risk: LOW       
  HINDZINC.NS     | Price:  578.35 | Entry:  566.78 | Target:  657.96 | Risk: LOW       
  HYUNDAI.NS      | Price: 2237.10 | Entry: 2192.36 | Target: 2506.43 | Risk: LOW       
  GRASIM.NS       | Price: 3257.00 | Entry: 3191.86 | Target: 3686.00 | Risk: LOW       
  EICHERMOT.NS    | Price: 8100.00 | Entry:  7938.0 | Target: 8829.09 | Risk: LOW       
  HINDALCO.NS     | Price: 1046.25 | Entry: 1025.33 | Target: 1170.59 | Risk: LOW       
  DIVISLAB.NS     | Price: 8500.00 | Entry:  8330.0 | Target: 9618.04 | Risk: LOW       
  TVSMOTOR.NS     | Price: 4342.20 | Entry: 4255.36 | Target: 4804.66 | Risk: LOW       
  PIDILITIND.NS   | Price: 1696.10 | Entry: 1662.18 | Target: 1846.17 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 11500.00 | Entry: 11270.0 | Target: 12566.79 | Risk: LOW       
  BRITANNIA.NS    | Price: 5615.00 | Entry:  5502.7 | Target: 6148.87 | Risk: LOW       
  CHOLAFIN.NS     | Price: 1927.90 | Entry: 1889.34 | Target: 2219.65 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1132.30 | Entry: 1109.65 | Target: 1260.55 | Risk: LOW       
  TMCV.NS         | Price:  474.80 | Entry:   465.3 | Target:  542.44 | Risk: LOW       
  PNB.NS          | Price:  117.59 | Entry:  115.24 | Target:  126.91 | Risk: LOW       
  SOLARINDS.NS    | Price: 20324.00 | Entry: 19917.52 | Target: 22895.35 | Risk: LOW       
  CANBK.NS        | Price:  131.80 | Entry:  129.16 | Target:  143.31 | Risk: LOW       
  ENRIN.NS        | Price: 3561.20 | Entry: 3489.98 | Target: 4225.74 | Risk: LOW       
  SIEMENS.NS      | Price: 3987.00 | Entry: 3907.26 | Target: 4541.55 | Risk: LOW       
  MAZDOCK.NS      | Price: 2571.00 | Entry: 2519.58 | Target: 2880.43 | Risk: LOW       
  BOSCHLTD.NS     | Price: 46750.00 | Entry: 45815.0 | Target: 52416.94 | Risk: LOW       
  ABB.NS          | Price: 7710.00 | Entry:  7555.8 | Target: 8675.56 | Risk: LOW       
  MOTHERSON.NS    | Price:  167.40 | Entry:  164.05 | Target:  192.44 | Risk: LOW       
  LGEINDIA.NS     | Price: 1578.30 | Entry: 1546.73 | Target: 1749.80 | Risk: LOW       
  UNIONBANK.NS    | Price:  186.50 | Entry:  182.77 | Target:  207.24 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5850.00 | Entry:  5733.0 | Target: 6535.57 | Risk: LOW       
  INDIANB.NS      | Price:  897.00 | Entry:  879.06 | Target:  983.34 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1167.30 | Entry: 1143.95 | Target: 1312.19 | Risk: LOW       
  HINDPETRO.NS    | Price:  392.90 | Entry:  385.04 | Target:  423.63 | Risk: LOW       
  NAUKRI.NS       | Price: 1357.30 | Entry: 1330.15 | Target: 1565.00 | Risk: LOW       
  BHEL.NS         | Price:  420.00 | Entry:   411.6 | Target:  467.96 | Risk: LOW       
  POWERINDIA.NS   | Price: 35360.00 | Entry: 34652.8 | Target: 41268.93 | Risk: LOW       
  MEESHO.NS       | Price:  193.62 | Entry:  189.75 | Target:  224.73 | Risk: LOW       
  POLICYBZR.NS    | Price: 1744.00 | Entry: 1709.12 | Target: 1984.54 | Risk: LOW       
  ASHOKLEY.NS     | Price:  176.23 | Entry:  172.71 | Target:  198.73 | Risk: LOW       
  ABCAPITAL.NS    | Price:  407.70 | Entry:  399.55 | Target:  463.29 | Risk: LOW       
  PAYTM.NS        | Price: 1649.50 | Entry: 1616.51 | Target: 1905.71 | Risk: LOW       
  OFSS.NS         | Price: 11420.00 | Entry: 11191.6 | Target: 13111.43 | Risk: LOW       
  LENSKART.NS     | Price:  596.90 | Entry:  584.96 | Target:  671.38 | Risk: LOW       
  PRESTIGE.NS     | Price: 1618.90 | Entry: 1586.52 | Target: 1882.65 | Risk: LOW       
  UNOMINDA.NS     | Price: 1240.00 | Entry:  1215.2 | Target: 1391.54 | Risk: LOW       
  OIL.NS          | Price:  479.80 | Entry:   470.2 | Target:  544.41 | Risk: LOW       
  COROMANDEL.NS   | Price: 2088.80 | Entry: 2047.02 | Target: 2315.55 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1663.40 | Entry: 1630.13 | Target: 1857.97 | Risk: LOW       
  BERGEPAINT.NS   | Price:  546.35 | Entry:  535.42 | Target:  631.99 | Risk: LOW       
  LTF.NS          | Price:  315.35 | Entry:  309.04 | Target:  357.03 | Risk: LOW       
  JSWINFRA.NS     | Price:  341.35 | Entry:  334.52 | Target:  392.05 | Risk: LOW       
  INDUSINDBK.NS   | Price: 1024.70 | Entry: 1004.21 | Target: 1112.95 | Risk: LOW       
  AUBANK.NS       | Price: 1098.00 | Entry: 1076.04 | Target: 1212.37 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1846.00 | Entry: 1809.08 | Target: 2044.57 | Risk: LOW       
  COFORGE.NS      | Price: 1829.00 | Entry: 1792.42 | Target: 2099.70 | Risk: LOW       
  BANKINDIA.NS    | Price:  144.87 | Entry:  141.97 | Target:  158.07 | Risk: LOW       
  BDL.NS          | Price: 1375.50 | Entry: 1347.99 | Target: 1533.29 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   86.55 | Entry:   84.82 | Target:   95.70 | Risk: LOW       
  GLENMARK.NS     | Price: 2320.00 | Entry:  2273.6 | Target: 2574.71 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1177.00 | Entry: 1153.46 | Target: 1314.64 | Risk: LOW       
  MPHASIS.NS      | Price: 2541.00 | Entry: 2490.18 | Target: 2936.75 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 4546.00 | Entry: 4455.08 | Target: 5256.50 | Risk: LOW       
  SUPREMEIND.NS   | Price: 3497.00 | Entry: 3427.06 | Target: 3968.82 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1851.70 | Entry: 1814.67 | Target: 2051.52 | Risk: LOW       
  AIIL.NS         | Price:  579.10 | Entry:  567.52 | Target:  691.60 | Risk: LOW       
  APLAPOLLO.NS    | Price: 2064.30 | Entry: 2023.01 | Target: 2338.51 | Risk: LOW       
  BALKRISIND.NS   | Price: 2410.00 | Entry:  2361.8 | Target: 2929.66 | Risk: LOW       
  COCHINSHIP.NS   | Price: 1507.00 | Entry: 1476.86 | Target: 1660.50 | Risk: LOW       
  LTTS.NS         | Price: 3604.70 | Entry: 3532.61 | Target: 4103.02 | Risk: LOW       
  360ONE.NS       | Price: 1183.00 | Entry: 1159.34 | Target: 1339.79 | Risk: LOW       
  ANTHEM.NS       | Price:  874.90 | Entry:   857.4 | Target: 1001.70 | Risk: LOW       
  CONCOR.NS       | Price:  533.65 | Entry:  522.98 | Target:  589.86 | Risk: LOW       
  NATIONALUM.NS   | Price:  400.50 | Entry:  392.49 | Target:  467.46 | Risk: LOW       
  DALBHARAT.NS    | Price: 1834.60 | Entry: 1797.91 | Target: 2043.17 | Risk: LOW       
  JUBLFOOD.NS     | Price:  491.55 | Entry:  481.72 | Target:  569.14 | Risk: LOW       
  RADICO.NS       | Price: 4675.20 | Entry:  4581.7 | Target: 5258.02 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4714.70 | Entry: 4620.41 | Target: 5572.77 | Risk: LOW       
  ENDURANCE.NS    | Price: 2975.30 | Entry: 2915.79 | Target: 3397.84 | Risk: LOW       
  KEI.NS          | Price: 5789.00 | Entry: 5673.22 | Target: 6510.96 | Risk: LOW       
  ASTRAL.NS       | Price: 1592.00 | Entry: 1560.16 | Target: 1764.27 | Risk: LOW       
  POONAWALLA.NS   | Price:  502.70 | Entry:  492.65 | Target:  575.81 | Risk: LOW       
  CRISIL.NS       | Price: 4466.40 | Entry: 4377.07 | Target: 5068.29 | Risk: LOW       
  3MINDIA.NS      | Price: 36165.00 | Entry: 35441.7 | Target: 40247.14 | Risk: LOW       
