NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-21 02:57:57

BUY SIGNALS (706):
  TITAN.NS        | Price: 5068.00 | Entry: 4966.64 | Target: 5556.46 | Risk: LOW       
  HAL.NS          | Price: 4998.00 | Entry: 4898.04 | Target: 5593.97 | Risk: LOW       
  ETERNAL.NS      | Price:  327.95 | Entry:  321.39 | Target:  363.54 | Risk: LOW       
  GRASIM.NS       | Price: 3270.00 | Entry:  3204.6 | Target: 3729.44 | Risk: LOW       
  DLF.NS          | Price:  676.15 | Entry:  662.63 | Target:  760.56 | Risk: LOW       
  DIVISLAB.NS     | Price: 8560.00 | Entry:  8388.8 | Target: 9537.86 | Risk: LOW       
  BRITANNIA.NS    | Price: 5548.00 | Entry: 5437.04 | Target: 6097.11 | Risk: LOW       
  SHRIRAMFIN.NS   | Price: 1106.00 | Entry: 1083.88 | Target: 1243.79 | Risk: LOW       
  TMCV.NS         | Price:  477.60 | Entry:  468.05 | Target:  548.62 | Risk: LOW       
  PNB.NS          | Price:  118.00 | Entry:  115.64 | Target:  128.45 | Risk: LOW       
  ICICIAMC.NS     | Price: 3260.90 | Entry: 3195.68 | Target: 3604.83 | Risk: LOW       
  SOLARINDS.NS    | Price: 19721.00 | Entry: 19326.58 | Target: 22658.50 | Risk: LOW       
  MAZDOCK.NS      | Price: 2570.00 | Entry:  2518.6 | Target: 2901.17 | Risk: LOW       
  BOSCHLTD.NS     | Price: 48460.00 | Entry: 47490.8 | Target: 54350.08 | Risk: LOW       
  MOTHERSON.NS    | Price:  169.58 | Entry:  166.19 | Target:  193.62 | Risk: LOW       
  LGEINDIA.NS     | Price: 1632.80 | Entry: 1600.14 | Target: 1894.73 | Risk: LOW       
  UNIONBANK.NS    | Price:  184.68 | Entry:  180.99 | Target:  208.37 | Risk: LOW       
  HEROMOTOCO.NS   | Price: 5709.50 | Entry: 5595.31 | Target: 6430.82 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1116.90 | Entry: 1094.56 | Target: 1237.18 | Risk: LOW       
  GROWW.NS        | Price:  200.72 | Entry:  196.71 | Target:  224.10 | Risk: LOW       
  DIXON.NS        | Price: 14850.00 | Entry: 14553.0 | Target: 16606.43 | Risk: LOW       
  IDEA.NS         | Price:   14.03 | Entry:   13.75 | Target:   16.23 | Risk: LOW       
  PERSISTENT.NS   | Price: 5674.00 | Entry: 5560.52 | Target: 6374.36 | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1615.60 | Entry: 1583.29 | Target: 1892.60 | Risk: LOW       
  NAUKRI.NS       | Price: 1378.40 | Entry: 1350.83 | Target: 1580.31 | Risk: LOW       
  BHEL.NS         | Price:  413.50 | Entry:  405.23 | Target:  468.96 | Risk: LOW       
  MEESHO.NS       | Price:  209.51 | Entry:  205.32 | Target:  240.37 | Risk: LOW       
  POLICYBZR.NS    | Price: 1779.60 | Entry: 1744.01 | Target: 2048.53 | Risk: LOW       
  PAYTM.NS        | Price: 1603.60 | Entry: 1571.53 | Target: 1892.81 | Risk: LOW       
  LENSKART.NS     | Price:  654.80 | Entry:   641.7 | Target:  745.60 | Risk: LOW       
  UNOMINDA.NS     | Price: 1272.00 | Entry: 1246.56 | Target: 1426.32 | Risk: LOW       
  OIL.NS          | Price:  480.90 | Entry:  471.28 | Target:  548.31 | Risk: LOW       
  BERGEPAINT.NS   | Price:  535.90 | Entry:  525.18 | Target:  627.87 | Risk: LOW       
  OBEROIRLTY.NS   | Price: 1869.70 | Entry: 1832.31 | Target: 2137.84 | Risk: LOW       
  COFORGE.NS      | Price: 1882.00 | Entry: 1844.36 | Target: 2112.73 | Risk: LOW       
  MOTILALOFS.NS   | Price:  973.40 | Entry:  953.93 | Target: 1104.42 | Risk: LOW       
  GLENMARK.NS     | Price: 2332.90 | Entry: 2286.24 | Target: 2594.61 | Risk: LOW       
  NAM-INDIA.NS    | Price: 1232.50 | Entry: 1207.85 | Target: 1394.25 | Risk: LOW       
  SUPREMEIND.NS   | Price: 3650.00 | Entry:  3577.0 | Target: 4051.21 | Risk: LOW       
  APLAPOLLO.NS    | Price: 2121.80 | Entry: 2079.36 | Target: 2417.09 | Risk: LOW       
  GLAXO.NS        | Price: 3032.40 | Entry: 2971.75 | Target: 3466.86 | Risk: LOW       
  360ONE.NS       | Price: 1203.00 | Entry: 1178.94 | Target: 1354.89 | Risk: LOW       
  PETRONET.NS     | Price:  291.40 | Entry:  285.57 | Target:  323.28 | Risk: LOW       
  ANTHEM.NS       | Price:  881.90 | Entry:  864.26 | Target: 1012.45 | Risk: LOW       
  NATIONALUM.NS   | Price:  385.60 | Entry:  377.89 | Target:  452.01 | Risk: LOW       
  DALBHARAT.NS    | Price: 1897.00 | Entry: 1859.06 | Target: 2083.86 | Risk: LOW       
  JUBLFOOD.NS     | Price:  498.30 | Entry:  488.33 | Target:  588.67 | Risk: LOW       
  RADICO.NS       | Price: 4696.00 | Entry: 4602.08 | Target: 5260.82 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4689.10 | Entry: 4595.32 | Target: 5573.49 | Risk: LOW       
  ENDURANCE.NS    | Price: 2988.60 | Entry: 2928.83 | Target: 3422.49 | Risk: LOW       
  KEI.NS          | Price: 5681.10 | Entry: 5567.48 | Target: 6535.24 | Risk: LOW       
  ASTRAL.NS       | Price: 1544.90 | Entry:  1514.0 | Target: 1745.35 | Risk: LOW       
  POONAWALLA.NS   | Price:  493.30 | Entry:  483.43 | Target:  566.55 | Risk: LOW       
  KPRMILL.NS      | Price: 1126.20 | Entry: 1103.68 | Target: 1284.45 | Risk: LOW       
  IPCALAB.NS      | Price: 1903.70 | Entry: 1865.63 | Target: 2288.83 | Risk: LOW       
  APARINDS.NS     | Price: 16784.00 | Entry: 16448.32 | Target: 20892.93 | Risk: LOW       
  CDSL.NS         | Price: 1345.90 | Entry: 1318.98 | Target: 1473.19 | Risk: LOW       
  AJANTPHARM.NS   | Price: 3658.60 | Entry: 3585.43 | Target: 4116.64 | Risk: LOW       
  COHANCE.NS      | Price:  475.55 | Entry:  466.04 | Target:  575.28 | Risk: LOW       
  GLAND.NS        | Price: 2841.30 | Entry: 2784.47 | Target: 3365.97 | Risk: LOW       
  NIACL.NS        | Price:  183.08 | Entry:  179.42 | Target:  213.19 | Risk: LOW       
  HINDCOPPER.NS   | Price:  560.10 | Entry:   548.9 | Target:  687.78 | Risk: LOW       
  SONACOMS.NS     | Price:  821.90 | Entry:  805.46 | Target:  936.33 | Risk: LOW       
  TATATECH.NS     | Price:  823.95 | Entry:  807.47 | Target:  989.34 | Risk: LOW       
  PINELABS.NS     | Price:  157.62 | Entry:  154.47 | Target:  193.82 | Risk: LOW       
  SUMICHEM.NS     | Price:  551.80 | Entry:  540.76 | Target:  642.39 | Risk: LOW       
  AFFLE.NS        | Price: 1693.80 | Entry: 1659.92 | Target: 2001.09 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 8277.50 | Entry: 8111.95 | Target: 9689.64 | Risk: LOW       
  PPLPHARMA.NS    | Price:  216.66 | Entry:  212.33 | Target:  256.42 | Risk: LOW       
  ZFCVINDIA.NS    | Price: 2616.90 | Entry: 2564.56 | Target: 2930.76 | Risk: LOW       
  MRPL.NS         | Price:  173.98 | Entry:   170.5 | Target:  212.11 | Risk: LOW       
  PTCIL.NS        | Price: 19475.00 | Entry: 19085.5 | Target: 22554.29 | Risk: LOW       
  ANANDRATHI.NS   | Price: 2189.20 | Entry: 2145.42 | Target: 2420.20 | Risk: LOW       
  PNBHOUSING.NS   | Price: 1174.00 | Entry: 1150.52 | Target: 1360.47 | Risk: LOW       
  BRIGADE.NS      | Price:  625.75 | Entry:  613.24 | Target:  728.69 | Risk: LOW       
  WELCORP.NS      | Price: 1973.90 | Entry: 1934.42 | Target: 2215.61 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  951.55 | Entry:  932.52 | Target: 1088.60 | Risk: LOW       
  JYOTICNC.NS     | Price:  949.75 | Entry:  930.75 | Target: 1160.00 | Risk: LOW       
  IIFL.NS         | Price:  636.70 | Entry:  623.97 | Target:  713.58 | Risk: LOW       
  HATSUN.NS       | Price:  930.30 | Entry:  911.69 | Target: 1083.50 | Risk: LOW       
  URBANCO.NS      | Price:  145.49 | Entry:  142.58 | Target:  178.45 | Risk: LOW       
  KPIL.NS         | Price: 1376.60 | Entry: 1349.07 | Target: 1599.42 | Risk: LOW       
  SUNDRMFAST.NS   | Price: 1242.20 | Entry: 1217.36 | Target: 1438.97 | Risk: LOW       
  ABREL.NS        | Price: 1445.50 | Entry: 1416.59 | Target: 1673.50 | Risk: LOW       
  CHALET.NS       | Price:  848.05 | Entry:  831.09 | Target:  976.42 | Risk: LOW       
  ANANTRAJ.NS     | Price:  633.85 | Entry:  621.17 | Target:  721.83 | Risk: LOW       
  POLYMED.NS      | Price: 1770.30 | Entry: 1734.89 | Target: 2100.09 | Risk: LOW       
  DCMSHRIRAM.NS   | Price: 1049.40 | Entry: 1028.41 | Target: 1182.28 | Risk: LOW       
  DEVYANI.NS      | Price:  147.79 | Entry:  144.83 | Target:  177.62 | Risk: LOW       
  NEULANDLAB.NS   | Price: 23290.00 | Entry: 22824.2 | Target: 28074.29 | Risk: LOW       
  KFINTECH.NS     | Price:  961.00 | Entry:  941.78 | Target: 1086.64 | Risk: LOW       
  KAJARIACER.NS   | Price: 1208.90 | Entry: 1184.72 | Target: 1379.58 | Risk: LOW       
  SARDAEN.NS      | Price:  512.05 | Entry:  501.81 | Target:  594.29 | Risk: LOW       
  SAILIFE.NS      | Price: 1422.20 | Entry: 1393.76 | Target: 1674.02 | Risk: LOW       
  SKFINDIA.NS     | Price: 1629.70 | Entry: 1597.11 | Target: 1905.59 | Risk: LOW       
  CUB.NS          | Price:  219.35 | Entry:  214.96 | Target:  253.10 | Risk: LOW       
