NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-08-25 02:57:23

BUY SIGNALS (722):
  KOTAKBANK.NS    | Price:  402.80 | Entry:  394.74 | Target:  434.89 | Risk: LOW       
  TITAN.NS        | Price: 5086.10 | Entry: 4984.38 | Target: 5549.99 | Risk: LOW       
  ETERNAL.NS      | Price:  327.15 | Entry:  320.61 | Target:  362.58 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1327.00 | Entry: 1300.46 | Target: 1457.54 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 11800.00 | Entry: 11564.0 | Target: 12663.57 | Risk: LOW       
  HINDZINC.NS     | Price:  604.00 | Entry:  591.92 | Target:  701.61 | Risk: LOW       
  DLF.NS          | Price:  689.00 | Entry:  675.22 | Target:  767.46 | Risk: LOW       
  DIVISLAB.NS     | Price: 8597.00 | Entry: 8425.06 | Target: 9355.57 | Risk: LOW       
  TMCV.NS         | Price:  475.05 | Entry:  465.55 | Target:  542.51 | Risk: LOW       
  PNB.NS          | Price:  115.86 | Entry:  113.54 | Target:  126.82 | Risk: LOW       
  ICICIAMC.NS     | Price: 3230.00 | Entry:  3165.4 | Target: 3601.57 | Risk: LOW       
  SOLARINDS.NS    | Price: 19925.00 | Entry: 19526.5 | Target: 22971.43 | Risk: LOW       
  MUTHOOTFIN.NS   | Price: 3209.00 | Entry: 3144.82 | Target: 3588.86 | Risk: LOW       
  LODHA.NS        | Price: 1258.40 | Entry: 1233.23 | Target: 1428.13 | Risk: LOW       
  SIEMENS.NS      | Price: 4114.00 | Entry: 4031.72 | Target: 4609.82 | Risk: LOW       
  MAZDOCK.NS      | Price: 2552.00 | Entry: 2500.96 | Target: 2889.45 | Risk: LOW       
  BOSCHLTD.NS     | Price: 48200.00 | Entry: 47236.0 | Target: 54217.86 | Risk: LOW       
  LGEINDIA.NS     | Price: 1664.20 | Entry: 1630.92 | Target: 1912.24 | Risk: LOW       
  UNIONBANK.NS    | Price:  183.60 | Entry:  179.93 | Target:  206.27 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1149.00 | Entry: 1126.02 | Target: 1262.93 | Risk: LOW       
  IDBI.NS         | Price:   87.93 | Entry:   86.17 | Target:   96.64 | Risk: LOW       
  SWIGGY.NS       | Price:  284.25 | Entry:  278.56 | Target:  326.89 | Risk: LOW       
  UNITDSPR.NS     | Price: 1556.00 | Entry: 1524.88 | Target: 1689.86 | Risk: LOW       
  DIXON.NS        | Price: 14570.00 | Entry: 14278.6 | Target: 16340.71 | Risk: LOW       
  IDEA.NS         | Price:   14.07 | Entry:   13.79 | Target:   16.19 | Risk: LOW       
  ICICIPRULI.NS   | Price:  511.25 | Entry:  501.02 | Target:  566.95 | Risk: LOW       
  PERSISTENT.NS   | Price: 5694.00 | Entry: 5580.12 | Target: 6325.43 | Risk: LOW       
  BHARTIHEXA.NS   | Price: 1591.20 | Entry: 1559.38 | Target: 1862.91 | Risk: LOW       
  NAUKRI.NS       | Price: 1350.10 | Entry:  1323.1 | Target: 1548.78 | Risk: LOW       
  MEESHO.NS       | Price:  205.07 | Entry:  200.97 | Target:  235.91 | Risk: LOW       
  POLICYBZR.NS    | Price: 1795.20 | Entry:  1759.3 | Target: 2058.95 | Risk: LOW       
  ABCAPITAL.NS    | Price:  412.90 | Entry:  404.64 | Target:  457.92 | Risk: LOW       
  PAYTM.NS        | Price: 1623.50 | Entry: 1591.03 | Target: 1886.21 | Risk: LOW       
  LENSKART.NS     | Price:  661.40 | Entry:  648.17 | Target:  757.04 | Risk: LOW       
  PRESTIGE.NS     | Price: 1631.00 | Entry: 1598.38 | Target: 1870.26 | Risk: LOW       
  NYKAA.NS        | Price:  330.30 | Entry:  323.69 | Target:  369.84 | Risk: LOW       
  OIL.NS          | Price:  477.00 | Entry:  467.46 | Target:  543.96 | Risk: LOW       
  VMM.NS          | Price:  113.50 | Entry:  111.23 | Target:  129.81 | Risk: LOW       
  LTF.NS          | Price:  317.15 | Entry:  310.81 | Target:  361.15 | Risk: LOW       
  AUBANK.NS       | Price: 1114.00 | Entry: 1091.72 | Target: 1224.46 | Risk: LOW       
