NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-02 06:28:13

BUY SIGNALS (628):
  TCS.NS          | Price: 2337.40 | Entry: 2290.65 | Target: 2616.40 | Risk: LOW       
  ICICIBANK.NS    | Price: 1426.40 | Entry: 1397.87 | Target: 1528.04 | Risk: LOW       
  INFY.NS         | Price: 1136.10 | Entry: 1113.38 | Target: 1270.39 | Risk: LOW       
  KOTAKBANK.NS    | Price:  419.25 | Entry:  410.87 | Target:  458.25 | Risk: LOW       
  ETERNAL.NS      | Price:  323.30 | Entry:  316.83 | Target:  360.43 | Risk: LOW       
  JSWSTEEL.NS     | Price: 1302.60 | Entry: 1276.55 | Target: 1422.14 | Risk: LOW       
  BAJAJ-AUTO.NS   | Price: 11942.00 | Entry: 11703.16 | Target: 13019.86 | Risk: LOW       
  COALINDIA.NS    | Price:  418.80 | Entry:  410.42 | Target:  455.71 | Risk: LOW       
  HINDZINC.NS     | Price:  587.30 | Entry:  575.55 | Target:  686.89 | Risk: LOW       
  DIVISLAB.NS     | Price: 9200.00 | Entry:  9016.0 | Target: 10109.46 | Risk: LOW       
  TECHM.NS        | Price: 1620.80 | Entry: 1588.38 | Target: 1793.16 | Risk: LOW       
  SIEMENS.NS      | Price: 4010.10 | Entry:  3929.9 | Target: 4445.60 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1159.10 | Entry: 1135.92 | Target: 1297.77 | Risk: LOW       
  IDBI.NS         | Price:   91.61 | Entry:   89.78 | Target:  107.61 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1155.60 | Entry: 1132.49 | Target: 1308.60 | Risk: LOW       
  IDEA.NS         | Price:   14.42 | Entry:   14.13 | Target:   17.09 | Risk: LOW       
  PERSISTENT.NS   | Price: 5665.50 | Entry: 5552.19 | Target: 6453.18 | Risk: LOW       
  MEESHO.NS       | Price:  206.27 | Entry:  202.14 | Target:  241.91 | Risk: LOW       
  POLICYBZR.NS    | Price: 1839.70 | Entry: 1802.91 | Target: 2071.56 | Risk: LOW       
  OFSS.NS         | Price: 12107.00 | Entry: 11864.86 | Target: 13851.29 | Risk: LOW       
  LENSKART.NS     | Price:  667.55 | Entry:   654.2 | Target:  785.98 | Risk: LOW       
  NYKAA.NS        | Price:  331.35 | Entry:  324.72 | Target:  369.56 | Risk: LOW       
  OIL.NS          | Price:  486.65 | Entry:  476.92 | Target:  549.40 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1690.30 | Entry: 1656.49 | Target: 1867.62 | Risk: LOW       
  COFORGE.NS      | Price: 1966.80 | Entry: 1927.46 | Target: 2201.34 | Risk: LOW       
  MOTILALOFS.NS   | Price:  998.60 | Entry:  978.63 | Target: 1156.28 | Risk: LOW       
  GLENMARK.NS     | Price: 2436.10 | Entry: 2387.38 | Target: 2751.02 | Risk: LOW       
  SAIL.NS         | Price:  192.87 | Entry:  189.01 | Target:  229.45 | Risk: LOW       
  MPHASIS.NS      | Price: 2475.70 | Entry: 2426.19 | Target: 2802.59 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1831.30 | Entry: 1794.67 | Target: 2082.41 | Risk: LOW       
  APLAPOLLO.NS    | Price: 2199.50 | Entry: 2155.51 | Target: 2440.46 | Risk: LOW       
  ANTHEM.NS       | Price:  942.15 | Entry:  923.31 | Target: 1081.38 | Risk: LOW       
