NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-10 06:37:09

BUY SIGNALS (727):
  HAL.NS          | Price: 4971.20 | Entry: 4871.78 | Target: 5499.06 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1769.90 | Entry:  1734.5 | Target: 1978.40 | Risk: LOW       
  COALINDIA.NS    | Price:  433.20 | Entry:  424.54 | Target:  475.26 | Risk: LOW       
  DIVISLAB.NS     | Price: 9423.00 | Entry: 9234.54 | Target: 10560.86 | Risk: LOW       
  PNB.NS          | Price:  118.02 | Entry:  115.66 | Target:  128.43 | Risk: LOW       
  SOLARINDS.NS    | Price: 22435.00 | Entry: 21986.3 | Target: 24985.71 | Risk: LOW       
  GAIL.NS         | Price:  175.41 | Entry:   171.9 | Target:  191.80 | Risk: LOW       
  CGPOWER.NS      | Price:  915.75 | Entry:  897.43 | Target: 1026.46 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8933.50 | Entry: 8754.83 | Target: 9615.29 | Risk: LOW       
  MEESHO.NS       | Price:  214.08 | Entry:   209.8 | Target:  251.52 | Risk: LOW       
  PAYTM.NS        | Price: 1743.00 | Entry: 1708.14 | Target: 2028.46 | Risk: LOW       
  LENSKART.NS     | Price:  693.90 | Entry:  680.02 | Target:  797.20 | Risk: LOW       
  GVT&D.NS        | Price: 4532.40 | Entry: 4441.75 | Target: 5385.76 | Risk: LOW       
  NYKAA.NS        | Price:  343.75 | Entry:  336.88 | Target:  381.82 | Risk: LOW       
  OIL.NS          | Price:  501.35 | Entry:  491.32 | Target:  563.73 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1667.90 | Entry: 1634.54 | Target: 1866.94 | Risk: LOW       
  JSL.NS          | Price:  772.65 | Entry:   757.2 | Target:  873.97 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   86.54 | Entry:   84.81 | Target:   94.88 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 4704.40 | Entry: 4610.31 | Target: 5105.94 | Risk: LOW       
  LAURUSLABS.NS   | Price: 1941.00 | Entry: 1902.18 | Target: 2201.18 | Risk: LOW       
  APLAPOLLO.NS    | Price: 2179.00 | Entry: 2135.42 | Target: 2471.25 | Risk: LOW       
  ANTHEM.NS       | Price:  949.80 | Entry:   930.8 | Target: 1108.80 | Risk: LOW       
  CONCOR.NS       | Price:  507.30 | Entry:  497.15 | Target:  567.76 | Risk: LOW       
  FLUOROCHEM.NS   | Price: 4814.50 | Entry: 4718.21 | Target: 5575.93 | Risk: LOW       
  IPCALAB.NS      | Price: 1972.80 | Entry: 1933.34 | Target: 2183.41 | Risk: LOW       
  PIRAMALFIN.NS   | Price: 2294.00 | Entry: 2248.12 | Target: 2636.61 | Risk: LOW       
  APARINDS.NS     | Price: 17375.00 | Entry: 17027.5 | Target: 20392.86 | Risk: LOW       
  LICHSGFIN.NS    | Price:  548.75 | Entry:  537.77 | Target:  629.29 | Risk: LOW       
  GLAND.NS        | Price: 2974.30 | Entry: 2914.81 | Target: 3404.51 | Risk: LOW       
  NIACL.NS        | Price:  199.30 | Entry:  195.31 | Target:  265.55 | Risk: LOW       
  IGL.NS          | Price:  153.47 | Entry:   150.4 | Target:  169.99 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  297.00 | Entry:  291.06 | Target:  351.38 | Risk: LOW       
  PINELABS.NS     | Price:  174.24 | Entry:  170.76 | Target:  209.89 | Risk: LOW       
  NAVINFLUOR.NS   | Price: 8658.00 | Entry: 8484.84 | Target: 9729.25 | Risk: LOW       
  EMCURE.NS       | Price: 1976.80 | Entry: 1937.26 | Target: 2215.82 | Risk: LOW       
  PPLPHARMA.NS    | Price:  214.39 | Entry:   210.1 | Target:  251.03 | Risk: LOW       
  MRPL.NS         | Price:  177.16 | Entry:  173.62 | Target:  209.70 | Risk: LOW       
  SHYAMMETL.NS    | Price: 1085.00 | Entry:  1063.3 | Target: 1243.82 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 2232.30 | Entry: 2187.65 | Target: 2655.80 | Risk: LOW       
  PTCIL.NS        | Price: 22455.00 | Entry: 22005.9 | Target: 27398.93 | Risk: LOW       
  ABSLAMC.NS      | Price: 1068.00 | Entry: 1046.64 | Target: 1211.11 | Risk: LOW       
  WELCORP.NS      | Price: 2763.00 | Entry: 2707.74 | Target: 3475.11 | Risk: LOW       
  ASAHIINDIA.NS   | Price:  976.75 | Entry:  957.22 | Target: 1076.88 | Risk: LOW       
  HBLENGINE.NS    | Price:  724.00 | Entry:  709.52 | Target:  842.93 | Risk: LOW       
  REDINGTON.NS    | Price:  397.55 | Entry:   389.6 | Target:  469.96 | Risk: LOW       
  HATSUN.NS       | Price: 1189.00 | Entry: 1165.22 | Target: 1483.02 | Risk: LOW       
  KPIL.NS         | Price: 1423.70 | Entry: 1395.23 | Target: 1584.84 | Risk: LOW       
  ATHERENERG.NS   | Price: 1641.70 | Entry: 1608.87 | Target: 1972.02 | Risk: LOW       
  SUNDRMFAST.NS   | Price: 1250.80 | Entry: 1225.78 | Target: 1449.14 | Risk: LOW       
  OLAELEC.NS      | Price:   39.81 | Entry:   39.01 | Target:   49.17 | Risk: LOW       
  CASTROLIND.NS   | Price:  188.52 | Entry:  184.75 | Target:  200.27 | Risk: LOW       
  POLYMED.NS      | Price: 1753.90 | Entry: 1718.82 | Target: 2081.16 | Risk: LOW       
  NEULANDLAB.NS   | Price: 23785.00 | Entry: 23309.3 | Target: 27046.07 | Risk: LOW       
  KAJARIACER.NS   | Price: 1250.60 | Entry: 1225.59 | Target: 1416.14 | Risk: LOW       
  SARDAEN.NS      | Price:  540.35 | Entry:  529.54 | Target:  609.33 | Risk: LOW       
  APLLTD.NS       | Price:  831.55 | Entry:  814.92 | Target:  948.35 | Risk: LOW       
  SAILIFE.NS      | Price: 1617.70 | Entry: 1585.35 | Target: 1882.49 | Risk: LOW       
  CGCL.NS         | Price:  268.35 | Entry:  262.98 | Target:  335.20 | Risk: LOW       
  JUBLPHARMA.NS   | Price: 1016.55 | Entry:  996.22 | Target: 1175.57 | Risk: LOW       
  RBLBANK.NS      | Price:  412.50 | Entry:  404.25 | Target:  457.68 | Risk: LOW       
  RATNAMANI.NS    | Price: 2837.60 | Entry: 2780.85 | Target: 3539.85 | Risk: LOW       
  BEML.NS         | Price: 2055.80 | Entry: 2014.68 | Target: 2393.41 | Risk: LOW       
  MANYAVAR.NS     | Price:  577.30 | Entry:  565.75 | Target:  672.69 | Risk: LOW       
  CPPLUS.NS       | Price: 3800.00 | Entry:  3724.0 | Target: 4548.57 | Risk: LOW       
  GMDCLTD.NS      | Price:  582.95 | Entry:  571.29 | Target:  652.33 | Risk: LOW       
  CRAFTSMAN.NS    | Price: 11890.00 | Entry: 11652.2 | Target: 13691.96 | Risk: LOW       
  WHIRLPOOL.NS    | Price:  795.45 | Entry:  779.54 | Target:  917.68 | Risk: LOW       
  GPIL.NS         | Price:  249.14 | Entry:  244.16 | Target:  283.14 | Risk: LOW       
  CAPLIPOINT.NS   | Price: 2799.60 | Entry: 2743.61 | Target: 3307.46 | Risk: LOW       
  LTFOODS.NS      | Price:  447.85 | Entry:  438.89 | Target:  535.46 | Risk: LOW       
  AGARWALEYE.NS   | Price:  509.85 | Entry:  499.65 | Target:  570.67 | Risk: LOW       
  IFCI.NS         | Price:   86.23 | Entry:   84.51 | Target:  118.83 | Risk: LOW       
  GESHIP.NS       | Price: 1396.80 | Entry: 1368.86 | Target: 1575.01 | Risk: LOW       
  SYRMA.NS        | Price: 1607.80 | Entry: 1575.64 | Target: 1856.66 | Risk: LOW       
  KIRLOSENG.NS    | Price: 2227.80 | Entry: 2183.24 | Target: 2663.09 | Risk: LOW       
  SPLPETRO.NS     | Price:  822.25 | Entry:   805.8 | Target:  950.04 | Risk: LOW       
  ZYDUSWELL.NS    | Price:  566.05 | Entry:  554.73 | Target:  651.84 | Risk: LOW       
  PCBL.NS         | Price:  339.50 | Entry:  332.71 | Target:  385.46 | Risk: LOW       
  GODREJAGRO.NS   | Price:  670.55 | Entry:  657.14 | Target:  799.62 | Risk: LOW       
  CYIENT.NS       | Price: 1082.10 | Entry: 1060.46 | Target: 1344.46 | Risk: LOW       
  INDGN.NS        | Price:  578.70 | Entry:  567.13 | Target:  661.49 | Risk: LOW       
  GRANULES.NS     | Price:  885.50 | Entry:  867.79 | Target: 1008.75 | Risk: LOW       
  TEGA.NS         | Price: 1744.00 | Entry: 1709.12 | Target: 2075.75 | Risk: LOW       
  FINCABLES.NS    | Price: 1383.20 | Entry: 1355.54 | Target: 1653.30 | Risk: LOW       
  SKFINDUS.NS     | Price: 2975.50 | Entry: 2915.99 | Target: 3525.07 | Risk: LOW       
  WELSPUNLIV.NS   | Price:  211.05 | Entry:  206.83 | Target:  244.65 | Risk: LOW       
  NSLNISP.NS      | Price:   44.14 | Entry:   43.26 | Target:   53.81 | Risk: LOW       
  ACUTAAS.NS      | Price: 3449.80 | Entry:  3380.8 | Target: 4048.34 | Risk: LOW       
  CHENNPETRO.NS   | Price: 1582.50 | Entry: 1550.85 | Target: 1882.61 | Risk: LOW       
  SBFC.NS         | Price:   97.72 | Entry:   95.77 | Target:  115.50 | Risk: LOW       
  CLEAN.NS        | Price:  835.70 | Entry:  818.99 | Target:  956.28 | Risk: LOW       
  TITAGARH.NS     | Price:  879.65 | Entry:  862.06 | Target: 1017.35 | Risk: LOW       
  ALIVUS.NS       | Price: 1393.90 | Entry: 1366.02 | Target: 1673.05 | Risk: LOW       
  ENGINERSIN.NS   | Price:  275.65 | Entry:  270.14 | Target:  330.01 | Risk: LOW       
  GRAPHITE.NS     | Price:  860.55 | Entry:  843.34 | Target: 1030.57 | Risk: LOW       
  INOXINDIA.NS    | Price: 2249.70 | Entry: 2204.71 | Target: 2786.24 | Risk: LOW       
  VIJAYA.NS       | Price: 1506.50 | Entry: 1476.37 | Target: 1723.68 | Risk: LOW       
  AETHER.NS       | Price: 1655.20 | Entry:  1622.1 | Target: 1918.13 | Risk: LOW       
  EDELWEISS.NS    | Price:  132.39 | Entry:  129.74 | Target:  162.47 | Risk: LOW       
  NAZARA.NS       | Price:  378.65 | Entry:  371.08 | Target:  431.79 | Risk: LOW       
