NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-12 06:44:04

BUY SIGNALS (678):
  HAL.NS          | Price: 4950.00 | Entry:  4851.0 | Target: 5486.21 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1764.60 | Entry: 1729.31 | Target: 1974.53 | Risk: LOW       
  COALINDIA.NS    | Price:  426.40 | Entry:  417.87 | Target:  470.54 | Risk: LOW       
  DIVISLAB.NS     | Price: 9438.50 | Entry: 9249.73 | Target: 10583.50 | Risk: LOW       
  PNB.NS          | Price:  116.75 | Entry:  114.41 | Target:  127.60 | Risk: LOW       
  SOLARINDS.NS    | Price: 22370.00 | Entry: 21922.6 | Target: 24920.71 | Risk: LOW       
  CGPOWER.NS      | Price:  909.00 | Entry:  890.82 | Target: 1027.00 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 8900.00 | Entry:  8722.0 | Target: 9598.04 | Risk: LOW       
  GROWW.NS        | Price:  200.24 | Entry:  196.24 | Target:  226.82 | Risk: LOW       
  IDEA.NS         | Price:   14.97 | Entry:   14.67 | Target:   17.91 | Risk: LOW       
  MEESHO.NS       | Price:  217.08 | Entry:  212.74 | Target:  254.65 | Risk: LOW       
  SBICARD.NS      | Price:  655.20 | Entry:   642.1 | Target:  750.52 | Risk: LOW       
  PAYTM.NS        | Price: 1807.50 | Entry: 1771.35 | Target: 2123.21 | Risk: LOW       
  LENSKART.NS     | Price:  681.75 | Entry:  668.12 | Target:  781.98 | Risk: LOW       
  GVT&D.NS        | Price: 4548.10 | Entry: 4457.14 | Target: 5365.85 | Risk: LOW       
  OIL.NS          | Price:  489.80 | Entry:   480.0 | Target:  559.51 | Risk: LOW       
  GICRE.NS        | Price:  349.40 | Entry:  342.41 | Target:  389.57 | Risk: LOW       
  YESBANK.NS      | Price:   23.48 | Entry:   23.01 | Target:   25.93 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1679.80 | Entry:  1646.2 | Target: 1881.09 | Risk: LOW       
  JSL.NS          | Price:  762.15 | Entry:  746.91 | Target:  867.40 | Risk: LOW       
  IDFCFIRSTB.NS   | Price:   86.21 | Entry:   84.49 | Target:   94.52 | Risk: LOW       
