NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-16 06:41:33

BUY SIGNALS (432):
  COALINDIA.NS    | Price:  421.15 | Entry:  412.73 | Target:  463.80 | Risk: LOW       
  PAYTM.NS        | Price: 1751.50 | Entry: 1716.47 | Target: 2084.00 | Risk: LOW       
  LENSKART.NS     | Price:  679.30 | Entry:  665.71 | Target:  766.57 | Risk: LOW       
  YESBANK.NS      | Price:   23.31 | Entry:   22.84 | Target:   26.10 | Risk: LOW       
  PATANJALI.NS    | Price:  353.40 | Entry:  346.33 | Target:  384.83 | Risk: LOW       
  SUNDARMFIN.NS   | Price: 4653.10 | Entry: 4560.04 | Target: 5105.14 | Risk: LOW       
  TATACOMM.NS     | Price: 1774.80 | Entry:  1739.3 | Target: 1993.91 | Risk: LOW       
  ANTHEM.NS       | Price:  931.70 | Entry:  913.07 | Target: 1100.11 | Risk: LOW       
  TATAINVEST.NS   | Price:  685.60 | Entry:  671.89 | Target:  803.48 | Risk: LOW       
  LICHSGFIN.NS    | Price:  540.85 | Entry:  530.03 | Target:  634.01 | Risk: LOW       
  AEGISVOPAK.NS   | Price:  299.30 | Entry:  293.31 | Target:  360.03 | Risk: LOW       
  PINELABS.NS     | Price:  177.90 | Entry:  174.34 | Target:  229.82 | Risk: LOW       
  AEGISLOG.NS     | Price: 1378.30 | Entry: 1350.73 | Target: 1669.73 | Risk: LOW       
  EMCURE.NS       | Price: 1932.90 | Entry: 1894.24 | Target: 2186.68 | Risk: LOW       
  FSL.NS          | Price:  274.15 | Entry:  268.67 | Target:  324.08 | Risk: LOW       
  WOCKPHARMA.NS   | Price: 2022.00 | Entry: 1981.56 | Target: 2472.36 | Risk: LOW       
  TATACHEM.NS     | Price:  751.15 | Entry:  736.13 | Target:  890.92 | Risk: LOW       
  REDINGTON.NS    | Price:  386.40 | Entry:  378.67 | Target:  458.35 | Risk: LOW       
  HATSUN.NS       | Price: 1228.80 | Entry: 1204.22 | Target: 1514.62 | Risk: LOW       
  CASTROLIND.NS   | Price:  188.74 | Entry:  184.97 | Target:  201.05 | Risk: LOW       
  APLLTD.NS       | Price:  827.80 | Entry:  811.24 | Target:  953.18 | Risk: LOW       
  JUBLPHARMA.NS   | Price: 1003.35 | Entry:  983.28 | Target: 1161.35 | Risk: LOW       
  FIVESTAR.NS     | Price:  547.65 | Entry:   536.7 | Target:  631.01 | Risk: LOW       
  RBLBANK.NS      | Price:  398.55 | Entry:  390.58 | Target:  442.50 | Risk: LOW       
  RATNAMANI.NS    | Price: 2679.70 | Entry: 2626.11 | Target: 3359.45 | Risk: LOW       
