Ticker,Signal,Current_Price,Trend_Percent,Momentum_Percent,Volatility_Percent,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence
RELIANCE.NS,SELL,1240.4,-4.09,-4.21,1.17,,,1277.99,1146.44,2.5,LOW,100
HDFCBANK.NS,BUY,738.6,0.8,5.06,1.37,723.83,753.37,713.31,801.83,2.5,LOW,80
BHARTIARTL.NS,SELL,1817.2,-4.43,-1.45,1.8,,,1873.83,1675.63,2.5,LOW,80
TCS.NS,SELL,2105.0,-8.38,-6.67,1.83,,,2225.7,1803.25,2.5,LOW,100
ICICIBANK.NS,SELL,1339.6,-5.27,-4.27,1.01,,,1376.56,1247.21,2.5,LOW,100
SBIN.NS,SELL,987.0,-4.44,-2.08,1.22,,,1017.79,910.04,2.5,LOW,100
INFY.NS,SELL,1029.4,-7.32,-4.86,1.91,,,1082.21,897.36,2.5,LOW,100
BAJFINANCE.NS,SELL,1008.8,-5.49,-4.3,1.14,,,1045.29,917.59,2.5,LOW,100
HINDUNILVR.NS,SELL,1933.8,-5.16,-2.33,0.95,,,1987.33,1799.98,2.5,LOW,100
LICI.NS,SELL,404.55,-2.21,-1.51,1.41,,,419.98,365.98,2.5,LOW,80
LT.NS,SELL,3866.4,-2.28,-2.02,0.96,,,3983.31,3574.11,2.5,LOW,100
ITC.NS,HOLD,265.8,-2.72,0.87,1.65,,,259.58,274.09,1.33,LOW,80
MARUTI.NS,SELL,12190.0,-8.51,-3.57,1.26,,,12568.14,11244.64,2.5,LOW,100
M&M.NS,SELL,3044.5,-6.82,-3.66,0.97,,,3149.99,2780.79,2.5,LOW,100
HCLTECH.NS,HOLD,1270.4,-1.82,-0.52,1.88,,,1215.04,1344.21,1.33,LOW,80
KOTAKBANK.NS,HOLD,412.65,2.73,-1.57,1.3,,,403.56,424.77,1.33,LOW,80
SUNPHARMA.NS,SELL,1846.4,-3.8,-2.09,1.33,,,1902.04,1707.29,2.5,LOW,100
AXISBANK.NS,HOLD,1242.7,-0.53,-0.18,1.35,,,1212.72,1282.67,1.33,LOW,60
ULTRACEMCO.NS,HOLD,11000.0,-4.44,-0.08,1.24,,,10715.21,11379.71,1.33,LOW,80
BAJAJFINSV.NS,SELL,1823.4,-6.82,-5.92,1.12,,,1884.17,1671.47,2.5,LOW,100
TITAN.NS,HOLD,4928.5,-0.28,-1.17,1.07,,,4812.84,5082.71,1.33,LOW,60
NTPC.NS,HOLD,327.8,-2.34,-0.91,0.92,,,321.34,336.41,1.33,LOW,80
HAL.NS,HOLD,4800.0,0.22,-4.59,1.54,,,4628.03,5029.3,1.33,LOW,80
