NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-23 22:47:48

BUY SIGNALS (533):
  HDFCBANK.NS     | Price:  738.60 | Entry:  723.83 | Target:  801.83 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1795.00 | Entry:  1759.1 | Target: 1989.54 | Risk: LOW       
  ETERNAL.NS      | Price:  342.00 | Entry:  335.16 | Target:  377.13 | Risk: LOW       
  COALINDIA.NS    | Price:  428.00 | Entry:  419.44 | Target:  468.88 | Risk: LOW       
  HDFCLIFE.NS     | Price:  559.20 | Entry:  548.02 | Target:  633.77 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 11185.00 | Entry: 10961.3 | Target: 12162.21 | Risk: LOW       
  ICICIAMC.NS     | Price: 3151.20 | Entry: 3088.18 | Target: 3538.49 | Risk: LOW       
  MAXHEALTH.NS    | Price: 1056.50 | Entry: 1035.37 | Target: 1154.21 | Risk: LOW       
  INDHOTEL.NS     | Price:  736.25 | Entry:  721.52 | Target:  806.02 | Risk: LOW       
  DRREDDY.NS      | Price: 1211.00 | Entry: 1186.78 | Target: 1322.54 | Risk: LOW       
  SWIGGY.NS       | Price:  284.05 | Entry:  278.37 | Target:  326.41 | Risk: LOW       
  MANKIND.NS      | Price: 2480.00 | Entry:  2430.4 | Target: 2747.79 | Risk: LOW       
  INDUSTOWER.NS   | Price:  382.10 | Entry:  374.46 | Target:  421.76 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1162.30 | Entry: 1139.05 | Target: 1298.98 | Risk: LOW       
  MEESHO.NS       | Price:  240.19 | Entry:  235.39 | Target:  283.49 | Risk: LOW       
  NTPCGREEN.NS    | Price:   93.31 | Entry:   91.44 | Target:  101.48 | Risk: LOW       
  PAYTM.NS        | Price: 1814.40 | Entry: 1778.11 | Target: 2117.58 | Risk: LOW       
  YESBANK.NS      | Price:   23.20 | Entry:   22.74 | Target:   25.82 | Risk: LOW       
  PATANJALI.NS    | Price:  404.00 | Entry:  395.92 | Target:  457.96 | Risk: LOW       
  JSWINFRA.NS     | Price:  367.60 | Entry:  360.25 | Target:  425.31 | Risk: LOW       
  PHOENIXLTD.NS   | Price: 1953.40 | Entry: 1914.33 | Target: 2169.04 | Risk: LOW       
  MFSL.NS         | Price: 1554.20 | Entry: 1523.12 | Target: 1764.38 | Risk: LOW       
  LAURUSLABS.NS   | Price: 2006.50 | Entry: 1966.37 | Target: 2245.89 | Risk: LOW       
  JUBLFOOD.NS     | Price:  491.10 | Entry:  481.28 | Target:  547.31 | Risk: LOW       
  PWL.NS          | Price:  136.35 | Entry:  133.62 | Target:  164.27 | Risk: LOW       
  TATAINVEST.NS   | Price:  682.25 | Entry:  668.61 | Target:  831.79 | Risk: LOW       
