NIFTY50 WEEKLY TRADING ANALYSIS
Generated: 2026-09-24 23:09:38

BUY SIGNALS (653):
  HDFCBANK.NS     | Price:  737.25 | Entry:   722.5 | Target:  799.41 | Risk: LOW       
  ADANIPORTS.NS   | Price: 1807.30 | Entry: 1771.15 | Target: 1995.23 | Risk: LOW       
  ETERNAL.NS      | Price:  342.65 | Entry:   335.8 | Target:  376.70 | Risk: LOW       
  TATASTEEL.NS    | Price:  190.82 | Entry:   187.0 | Target:  213.49 | Risk: LOW       
  DLF.NS          | Price:  675.00 | Entry:   661.5 | Target:  750.55 | Risk: LOW       
  DIVISLAB.NS     | Price: 9624.00 | Entry: 9431.52 | Target: 10590.96 | Risk: LOW       
  HDFCLIFE.NS     | Price:  561.50 | Entry:  550.27 | Target:  636.05 | Risk: LOW       
  VBL.NS          | Price:  436.15 | Entry:  427.43 | Target:  477.08 | Risk: LOW       
  BAJAJHLDNG.NS   | Price: 11449.00 | Entry: 11220.02 | Target: 12438.11 | Risk: LOW       
  TMCV.NS         | Price:  450.20 | Entry:   441.2 | Target:  509.15 | Risk: LOW       
  PNB.NS          | Price:  118.30 | Entry:  115.93 | Target:  128.50 | Risk: LOW       
  ICICIAMC.NS     | Price: 3179.00 | Entry: 3115.42 | Target: 3558.96 | Risk: LOW       
  TORNTPHARM.NS   | Price: 4985.00 | Entry:  4885.3 | Target: 5457.50 | Risk: LOW       
  MAXHEALTH.NS    | Price: 1059.90 | Entry:  1038.7 | Target: 1157.26 | Risk: LOW       
  LGEINDIA.NS     | Price: 1694.20 | Entry: 1660.32 | Target: 1880.09 | Risk: LOW       
  APOLLOHOSP.NS   | Price: 9069.00 | Entry: 8887.62 | Target: 9806.14 | Risk: LOW       
  INDHOTEL.NS     | Price:  743.70 | Entry:  728.83 | Target:  811.33 | Risk: LOW       
  DRREDDY.NS      | Price: 1211.20 | Entry: 1186.98 | Target: 1324.63 | Risk: LOW       
  JINDALSTEL.NS   | Price: 1175.30 | Entry: 1151.79 | Target: 1324.34 | Risk: LOW       
  MANKIND.NS      | Price: 2465.00 | Entry:  2415.7 | Target: 2732.36 | Risk: LOW       
  INDUSTOWER.NS   | Price:  384.80 | Entry:   377.1 | Target:  424.25 | Risk: LOW       
  ZYDUSLIFE.NS    | Price: 1170.10 | Entry:  1146.7 | Target: 1303.81 | Risk: LOW       
  MEESHO.NS       | Price:  236.37 | Entry:  231.64 | Target:  281.50 | Risk: LOW       
  NTPCGREEN.NS    | Price:   95.42 | Entry:   93.51 | Target:  103.88 | Risk: LOW       
  POLICYBZR.NS    | Price: 1886.30 | Entry: 1848.57 | Target: 2207.51 | Risk: LOW       
  PAYTM.NS        | Price: 1775.00 | Entry:  1739.5 | Target: 2087.54 | Risk: LOW       
  YESBANK.NS      | Price:   23.24 | Entry:   22.78 | Target:   25.78 | Risk: LOW       
  AUROPHARMA.NS   | Price: 1721.50 | Entry: 1687.07 | Target: 1900.04 | Risk: LOW       
  PATANJALI.NS    | Price:  409.45 | Entry:  401.26 | Target:  464.84 | Risk: LOW       
  JSWINFRA.NS     | Price:  363.60 | Entry:  356.33 | Target:  421.98 | Risk: LOW       
