Ticker,Signal,Current_Price,Trend_Assessment,RSI,MACD,MA20,MA50,MA200,ATR,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence,Rules_Passed,Rules_Failed
RELIANCE.NS,SELL,nan,downtrend,37.37,-1.69,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,76,0,3
HDFCBANK.NS,SELL,nan,downtrend,43.67,-10.5,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,73,0,3
BHARTIARTL.NS,SELL,nan,downtrend,57.79,-2.55,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,66,2,1
TCS.NS,SELL,nan,downtrend,19.15,-62.11,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,85,0,3
ICICIBANK.NS,SELL,nan,downtrend,33.36,-16.76,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,78,0,3
SBIN.NS,SELL,nan,downtrend,23.1,-25.29,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,83,0,3
INFY.NS,SELL,nan,downtrend,41.42,-41.36,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,74,0,3
BAJFINANCE.NS,SELL,nan,downtrend,45.86,2.86,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,72,0,3
HINDUNILVR.NS,SELL,nan,downtrend,47.51,15.73,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,71,0,3
LICI.NS,SELL,nan,downtrend,40.64,-1.83,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,74,0,3
LT.NS,SELL,nan,downtrend,39.55,3.83,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,75,0,3
ITC.NS,HOLD,nan,weak_trend,56.78,0.53,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
MARUTI.NS,HOLD,nan,weak_trend,58.12,-16.9,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
M&M.NS,HOLD,nan,weak_trend,52.29,3.91,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
HCLTECH.NS,SELL,nan,downtrend,23.97,-54.42,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,83,0,3
KOTAKBANK.NS,SELL,nan,downtrend,60.56,1.01,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,64,1,2
SUNPHARMA.NS,HOLD,nan,weak_trend,74.82,37.84,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
AXISBANK.NS,SELL,nan,downtrend,35.23,-12.75,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,77,0,3
ULTRACEMCO.NS,SELL,nan,downtrend,41.0,2.44,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,74,0,3
BAJAJFINSV.NS,SELL,nan,downtrend,39.87,-11.81,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,75,0,3
TITAN.NS,SELL,nan,downtrend,36.89,-41.91,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,76,0,3
NTPC.NS,SELL,nan,downtrend,35.39,2.42,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,77,0,3
HAL.NS,HOLD,nan,weak_trend,52.32,130.55,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,1,2
ADANIPORTS.NS,HOLD,nan,weak_trend,70.22,71.74,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
ONGC.NS,HOLD,nan,weak_trend,48.12,3.56,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
ETERNAL.NS,SELL,241.4,downtrend,38.28,-1.12,251.3,,288.76,8.59,,,258.58,198.45,2.5,LOW,75,0,3
BEL.NS,SELL,nan,downtrend,39.5,-3.08,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,75,0,3
ADANIENT.NS,HOLD,nan,weak_trend,73.13,131.01,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
DMART.NS,SELL,nan,downtrend,32.0,16.19,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,78,0,3
JSWSTEEL.NS,SELL,nan,downtrend,49.12,17.16,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,70,1,2
ADANIPOWER.NS,SELL,nan,downtrend,48.17,10.88,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,70,0,3
WIPRO.NS,SELL,nan,downtrend,16.49,-3.08,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,86,0,3
POWERGRID.NS,SELL,nan,downtrend,25.69,-0.17,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,82,1,2
ASIANPAINT.NS,SELL,nan,downtrend,66.35,61.15,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,61,1,2
BAJAJ-AUTO.NS,HOLD,nan,weak_trend,71.0,259.24,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
COALINDIA.NS,SELL,nan,downtrend,46.37,3.2,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,71,0,3
NESTLEIND.NS,SELL,nan,downtrend,46.4,45.51,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,71,0,3
INDIGO.NS,SELL,nan,downtrend,38.47,-43.42,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,75,0,3
IOC.NS,SELL,nan,downtrend,32.49,-2.05,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,78,1,2
TATASTEEL.NS,SELL,nan,downtrend,52.85,3.5,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,68,2,1
TMPV.NS,SELL,353.15,downtrend,49.3,2.0,349.98,,0.0,10.52,,,374.19,300.54,2.5,LOW,70,1,2
HINDZINC.NS,SELL,nan,downtrend,62.72,23.89,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,63,1,2
JIOFIN.NS,SELL,232.63,downtrend,28.58,-2.38,243.12,,284.06,6.28,,,245.19,201.23,2.5,LOW,80,0,3
HYUNDAI.NS,HOLD,nan,weak_trend,50.0,-6.11,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,1,2
GRASIM.NS,HOLD,nan,weak_trend,71.29,60.8,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,40,0,3
SBILIFE.NS,SELL,nan,downtrend,67.37,-8.81,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,61,1,2
VEDL.NS,SELL,nan,downtrend,18.67,-103.71,0.0,,0.0,nan,,,nan,nan,0,ELEVATED,85,0,3
