Ticker,Signal,Current_Price,Trend_Assessment,RSI,MACD,MA20,MA50,MA200,ATR,ATR_Percent,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence,Rules_Passed,Rules_Failed
RELIANCE.NS,SELL,1323.9,downtrend,54.87,4.48,1300.72,1301.17,1401.88,22.54,1.7,,,1368.97,1211.22,2.5,LOW,67,1,2
HDFCBANK.NS,SELL,729.0,downtrend,29.53,-14.9,758.12,770.81,852.71,10.53,1.44,,,750.06,676.34,2.5,LOW,80,0,3
BHARTIARTL.NS,SELL,1915.2,downtrend,47.79,20.99,1928.41,1872.54,1927.74,33.99,1.77,,,1983.17,1745.27,2.5,LOW,71,0,3
TCS.NS,SELL,2445.7,downtrend,67.49,73.7,2339.93,2210.28,2611.41,70.28,2.87,,,2586.26,2094.31,2.5,NORMAL,61,1,2
ICICIBANK.NS,HOLD,1429.6,weak_trend,43.86,17.23,1430.47,1372.5,1338.81,24.77,1.73,,,1392.45,1479.14,1.33,LOW,40,0,3
SBIN.NS,HOLD,1066.0,weak_trend,56.47,12.42,1040.75,1028.51,1018.39,22.3,2.09,,,1032.55,1110.6,1.33,NORMAL,40,2,1
INFY.NS,HOLD,1190.7,weak_trend,71.2,27.09,1122.9,1106.09,1318.58,33.71,2.83,,,1140.14,1258.11,1.33,NORMAL,40,0,3
BAJFINANCE.NS,HOLD,1093.3,weak_trend,53.7,32.24,1074.56,1000.72,968.83,34.86,3.19,,,1041.0,1163.03,1.33,NORMAL,40,1,2
HINDUNILVR.NS,SELL,2064.9,downtrend,41.78,-18.86,2110.83,2131.68,2249.42,47.88,2.32,,,2160.66,1825.51,2.5,NORMAL,74,0,3
LICI.NS,SELL,406.0,downtrend,36.69,-7.48,418.41,416.87,411.79,10.37,2.55,,,426.74,354.14,2.5,NORMAL,76,1,2
LT.NS,HOLD,4037.4,weak_trend,74.42,27.52,3910.4,3992.82,3949.77,62.99,1.56,,,3942.91,4163.39,1.33,LOW,40,1,2
ITC.NS,SELL,279.0,downtrend,46.81,-0.48,283.01,284.93,318.94,4.94,1.77,,,288.89,254.29,2.5,LOW,71,0,3
MARUTI.NS,SELL,13990.0,downtrend,69.87,132.69,13747.29,13591.42,14356.41,257.12,1.84,,,14504.25,12704.38,2.5,LOW,60,1,2
M&M.NS,HOLD,3460.1,weak_trend,69.43,95.95,3296.47,3159.31,3327.03,87.71,2.54,,,3328.53,3635.53,1.33,NORMAL,40,2,1
HCLTECH.NS,HOLD,1365.4,weak_trend,78.42,54.02,1291.82,1191.8,1372.45,33.61,2.46,,,1314.98,1432.63,1.33,NORMAL,40,0,3
KOTAKBANK.NS,SELL,393.5,downtrend,53.96,1.84,387.13,389.78,402.07,6.91,1.76,,,407.31,358.96,2.5,LOW,68,1,2
SUNPHARMA.NS,HOLD,1942.0,weak_trend,49.7,14.69,1957.93,1888.72,1776.5,34.93,1.8,,,1889.61,2011.86,1.33,LOW,40,0,3
AXISBANK.NS,HOLD,1229.8,weak_trend,41.66,-18.47,1256.71,1301.13,1287.27,21.24,1.73,,,1197.95,1272.27,1.33,LOW,40,0,3
ULTRACEMCO.NS,SELL,11780.0,downtrend,47.29,177.11,11778.89,11367.91,11569.9,210.86,1.79,,,12201.71,10725.72,2.5,LOW,71,1,2
BAJAJFINSV.NS,HOLD,2021.3,weak_trend,64.24,59.99,1946.15,1845.34,1910.7,49.79,2.46,,,1946.61,2120.89,1.33,NORMAL,40,2,1
TITAN.NS,HOLD,5128.0,weak_trend,76.86,150.84,4821.55,4531.98,4193.38,99.71,1.94,,,4978.44,5327.41,1.33,LOW,40,2,1
NTPC.NS,SELL,338.45,downtrend,37.06,-3.29,345.59,351.89,356.88,5.86,1.73,,,350.16,309.16,2.5,LOW,76,0,3
HAL.NS,HOLD,4909.0,weak_trend,77.14,117.92,4639.79,4467.96,4347.4,96.81,1.97,,,4763.79,5102.61,1.33,LOW,40,1,2
ADANIPORTS.NS,HOLD,1668.2,weak_trend,19.66,-34.96,1751.02,1790.61,1583.14,38.21,2.29,,,1610.89,1744.61,1.33,NORMAL,40,0,3
ONGC.NS,SELL,239.45,downtrend,26.61,-2.39,243.69,245.43,256.49,4.5,1.88,,,248.44,216.96,2.5,LOW,81,1,2
ETERNAL.NS,HOLD,318.0,weak_trend,70.34,10.46,300.74,278.79,272.76,9.89,3.11,,,303.17,337.78,1.33,NORMAL,40,1,2
BEL.NS,HOLD,405.85,weak_trend,46.16,-3.17,400.33,408.2,419.13,7.31,1.8,,,394.89,420.46,1.33,LOW,40,0,3
ADANIENT.NS,HOLD,2995.5,weak_trend,29.25,-8.46,3069.48,3042.09,2457.57,66.51,2.22,,,2895.73,3128.53,1.33,NORMAL,40,1,2
DMART.NS,HOLD,4054.9,weak_trend,55.51,-31.0,3964.62,4089.3,4042.54,107.79,2.66,,,3893.22,4270.47,1.33,NORMAL,40,2,1
JSWSTEEL.NS,HOLD,1302.0,weak_trend,60.68,16.14,1267.62,1259.14,1207.87,26.66,2.05,,,1262.0,1355.33,1.33,NORMAL,40,2,1
ADANIPOWER.NS,HOLD,209.0,weak_trend,32.12,-3.19,213.19,220.28,178.42,4.66,2.23,,,202.01,218.31,1.33,NORMAL,40,0,3
WIPRO.NS,HOLD,184.6,weak_trend,70.35,2.58,180.46,178.72,210.03,4.04,2.19,,,178.54,192.67,1.33,NORMAL,40,0,3
POWERGRID.NS,SELL,267.95,downtrend,26.05,-4.02,282.2,284.62,284.51,5.25,1.96,,,278.46,241.68,2.5,LOW,81,0,3
ASIANPAINT.NS,HOLD,2750.0,weak_trend,58.43,22.38,2717.06,2696.76,2583.36,62.34,2.27,,,2656.5,2874.67,1.33,NORMAL,40,2,1
BAJAJ-AUTO.NS,HOLD,11677.0,weak_trend,71.84,404.71,11076.25,10461.03,9623.01,274.21,2.35,,,11265.68,12225.43,1.33,NORMAL,40,1,2
COALINDIA.NS,HOLD,412.6,weak_trend,34.98,-4.89,417.19,431.48,419.87,6.16,1.49,,,403.35,424.93,1.33,LOW,40,1,2
NESTLEIND.NS,HOLD,1528.6,weak_trend,77.67,29.41,1478.64,1435.41,1325.41,38.91,2.55,,,1470.23,1606.43,1.33,NORMAL,40,1,2
INDIGO.NS,HOLD,5333.5,weak_trend,53.59,67.39,5248.48,5065.25,4939.71,140.75,2.64,,,5122.38,5615.0,1.33,NORMAL,40,1,2
IOC.NS,HOLD,140.0,weak_trend,42.88,0.27,141.26,141.02,151.69,2.67,1.91,,,135.99,145.34,1.33,LOW,40,0,3
TATASTEEL.NS,SELL,188.25,downtrend,51.74,-0.37,187.33,191.63,189.1,3.89,2.07,,,196.04,168.78,2.5,NORMAL,69,1,2
TMPV.NS,SELL,347.6,downtrend,63.61,0.38,337.13,352.53,355.22,6.76,1.94,,,361.12,313.8,2.5,LOW,63,1,2
HINDZINC.NS,HOLD,586.65,weak_trend,72.32,12.37,548.8,552.6,563.48,15.31,2.61,,,563.68,617.27,1.33,NORMAL,40,2,1
JIOFIN.NS,SELL,252.75,downtrend,67.66,5.29,246.46,240.95,260.54,6.25,2.47,,,265.24,221.52,2.5,NORMAL,61,1,2
HYUNDAI.NS,HOLD,2200.0,weak_trend,86.26,74.42,2058.82,1982.94,2070.87,55.12,2.51,,,2117.32,2310.23,1.33,NORMAL,40,1,2
GRASIM.NS,BUY,3322.2,uptrend,61.55,49.29,3160.51,3138.91,2888.0,81.35,2.45,3255.76,3388.64,3159.49,3728.97,2.5,NORMAL,75,3,0
SBILIFE.NS,HOLD,1855.0,weak_trend,56.04,15.1,1860.28,1812.78,1923.11,38.03,2.05,,,1797.96,1931.06,1.33,NORMAL,40,0,3
VEDL.NS,SELL,275.0,downtrend,62.43,-1.92,266.79,281.44,503.02,7.05,2.56,,,289.1,239.75,2.5,NORMAL,63,1,2
DLF.NS,HOLD,650.1,weak_trend,45.31,5.1,653.82,627.2,633.75,17.86,2.75,,,623.31,685.82,1.33,NORMAL,40,0,3
EICHERMOT.NS,HOLD,8000.0,weak_trend,70.27,171.72,7736.65,7471.27,7214.72,157.54,1.97,,,7763.69,8315.08,1.33,LOW,40,1,2
TRENT.NS,SELL,3000.0,downtrend,61.77,16.71,2966.93,3000.56,3129.99,74.08,2.47,,,3148.16,2629.61,2.5,NORMAL,64,1,2
HINDALCO.NS,HOLD,1049.1,weak_trend,76.86,17.31,983.84,1001.36,939.98,22.0,2.1,,,1016.09,1093.11,1.33,NORMAL,40,1,2
DIVISLAB.NS,HOLD,8578.5,weak_trend,79.42,408.37,7779.12,7124.96,6547.95,217.75,2.54,,,8251.87,9014.0,1.33,NORMAL,40,1,2
HDFCLIFE.NS,SELL,536.0,downtrend,34.08,-8.67,552.52,564.9,659.56,9.9,1.85,,,555.8,486.5,2.5,LOW,77,0,3
IRFC.NS,HOLD,87.91,weak_trend,48.0,-0.8,88.59,91.82,105.24,1.45,1.65,,,85.74,90.81,1.33,LOW,40,0,3
ADANIGREEN.NS,HOLD,1366.0,weak_trend,25.87,-33.95,1423.12,1475.08,1158.05,40.67,2.98,,,1304.99,1447.34,1.33,NORMAL,40,1,2
VBL.NS,HOLD,437.0,weak_trend,38.16,-13.34,451.54,488.37,472.82,12.75,2.92,,,417.87,462.51,1.33,NORMAL,40,0,3
TVSMOTOR.NS,HOLD,4400.0,weak_trend,76.12,222.69,4061.36,3718.55,3629.49,95.23,2.16,,,4257.16,4590.46,1.33,NORMAL,40,1,2
PIDILITIND.NS,HOLD,1685.8,weak_trend,65.37,31.63,1613.7,1574.89,1466.94,36.84,2.19,,,1630.54,1759.49,1.33,NORMAL,40,2,1
BPCL.NS,SELL,318.5,downtrend,49.21,3.79,317.31,309.36,329.08,7.2,2.26,,,332.9,282.5,2.5,NORMAL,70,0,3
TECHM.NS,HOLD,1643.0,weak_trend,74.44,47.37,1604.15,1492.89,1468.15,39.66,2.41,,,1583.51,1722.31,1.33,NORMAL,40,1,2
BAJAJHLDNG.NS,HOLD,11550.0,weak_trend,79.68,261.19,10928.55,10599.98,10698.87,235.64,2.04,,,11196.54,12021.29,1.33,NORMAL,40,1,2
BRITANNIA.NS,HOLD,5623.5,weak_trend,65.87,74.42,5384.06,5239.32,5597.36,122.69,2.18,,,5439.47,5868.88,1.33,NORMAL,40,2,1
