Ticker,Signal,Current_Price,Trend_Assessment,RSI,MACD,MA20,MA50,MA200,ATR,ATR_Percent,Buy_Range_Low,Buy_Range_High,Stop_Loss,Target,RR_Ratio,Risk_Context,Confidence,Rules_Passed,Rules_Failed
RELIANCE.NS,HOLD,1248.0,downtrend,33.77,-17.41,1272.33,1292.4,1366.44,18.76,1.5,,,1219.85,1285.53,1.33,LOW,40,0,3
HDFCBANK.NS,HOLD,737.25,downtrend,64.99,0.9,714.0,731.19,810.98,12.43,1.69,,,718.6,762.11,1.33,LOW,40,1,2
BHARTIARTL.NS,HOLD,1833.2,weak_trend,43.38,-18.8,1845.54,1900.16,1897.34,28.75,1.57,,,1790.07,1890.7,1.33,LOW,40,0,3
TCS.NS,HOLD,2089.6,downtrend,19.73,-52.18,2236.41,2295.51,2494.51,59.63,2.85,,,2000.16,2208.86,1.33,NORMAL,40,0,3
ICICIBANK.NS,HOLD,1340.0,downtrend,14.95,-21.39,1390.85,1412.78,1345.67,17.44,1.3,,,1313.84,1374.89,1.33,LOW,40,0,3
SBIN.NS,HOLD,994.1,downtrend,38.55,-13.93,1009.11,1032.17,1032.16,15.03,1.51,,,971.56,1024.16,1.33,LOW,40,0,3
INFY.NS,HOLD,1020.5,downtrend,21.67,-24.93,1079.84,1109.55,1254.99,25.89,2.54,,,981.66,1072.29,1.33,NORMAL,40,0,3
BAJFINANCE.NS,HOLD,1043.2,downtrend,48.34,-12.79,1042.46,1067.78,973.45,19.52,1.87,,,1013.92,1082.24,1.33,LOW,40,2,1
HINDUNILVR.NS,HOLD,1950.0,weak_trend,47.1,-27.56,1958.92,2035.94,2180.15,26.85,1.38,,,1909.72,2003.7,1.33,LOW,40,0,3
LICI.NS,HOLD,407.5,weak_trend,41.73,-3.19,407.85,413.03,407.41,7.51,1.84,,,396.24,422.51,1.33,LOW,40,0,3
LT.NS,HOLD,3929.9,downtrend,45.5,-34.19,3939.13,3959.36,3954.85,60.31,1.53,,,3839.44,4050.51,1.33,LOW,40,0,3
ITC.NS,HOLD,270.15,downtrend,61.66,-1.82,263.54,273.1,299.41,4.19,1.55,,,263.86,278.54,1.33,LOW,40,1,2
MARUTI.NS,HOLD,12230.0,downtrend,26.9,-355.71,12626.65,13299.56,13929.08,189.21,1.55,,,11946.18,12608.43,1.33,LOW,40,0,3
M&M.NS,HOLD,3035.0,downtrend,27.5,-72.19,3144.28,3266.23,3267.13,50.57,1.67,,,2959.14,3136.14,1.33,LOW,40,1,2
HCLTECH.NS,HOLD,1256.7,weak_trend,36.54,-11.1,1271.84,1296.0,1333.38,36.39,2.9,,,1202.11,1329.49,1.33,NORMAL,40,0,3
KOTAKBANK.NS,HOLD,413.25,weak_trend,40.98,2.7,418.29,402.41,399.5,6.07,1.47,,,404.14,425.39,1.33,LOW,40,0,3
SUNPHARMA.NS,HOLD,1865.0,weak_trend,38.19,-17.97,1882.7,1917.52,1802.12,27.95,1.5,,,1823.07,1920.9,1.33,LOW,40,0,3
AXISBANK.NS,HOLD,1243.2,downtrend,40.25,-3.02,1252.85,1247.94,1286.19,19.14,1.54,,,1214.5,1281.47,1.33,LOW,40,0,3
ULTRACEMCO.NS,HOLD,11155.0,weak_trend,46.47,-150.9,11136.25,11502.32,11533.26,191.5,1.72,,,10867.75,11538.0,1.33,LOW,40,0,3
BAJAJFINSV.NS,HOLD,1846.5,downtrend,22.34,-37.87,1922.66,1956.71,1890.94,31.34,1.7,,,1799.49,1909.19,1.33,LOW,40,1,2
TITAN.NS,HOLD,4880.0,weak_trend,37.33,-27.67,4984.82,4948.2,4380.41,75.43,1.55,,,4766.86,5030.86,1.33,LOW,40,1,2
NTPC.NS,HOLD,326.0,downtrend,41.83,-2.46,329.21,335.35,354.4,4.36,1.34,,,319.46,334.72,1.33,LOW,40,1,2
HAL.NS,HOLD,4836.0,weak_trend,54.42,-4.71,4842.93,4797.96,4384.86,113.86,2.35,,,4665.2,5063.73,1.33,NORMAL,40,0,3
ADANIPORTS.NS,HOLD,1807.3,weak_trend,65.6,22.72,1730.72,1726.93,1620.65,37.59,2.08,,,1750.92,1882.47,1.33,NORMAL,40,2,1
ONGC.NS,HOLD,236.9,downtrend,53.55,-0.48,234.37,237.84,254.75,4.07,1.72,,,230.8,245.03,1.33,LOW,40,1,2
ETERNAL.NS,HOLD,342.65,weak_trend,70.12,5.25,326.06,315.74,275.32,6.81,1.99,,,332.43,356.27,1.33,LOW,40,1,2
BEL.NS,HOLD,396.05,downtrend,39.74,-3.24,402.62,402.94,417.36,7.47,1.89,,,384.84,410.99,1.33,LOW,40,0,3
ADANIENT.NS,HOLD,2993.2,weak_trend,58.24,-8.91,2987.67,3023.11,2560.51,74.06,2.47,,,2882.1,3141.33,1.33,NORMAL,40,2,1
DMART.NS,HOLD,3834.8,downtrend,59.8,-37.87,3762.64,3885.12,4005.42,61.7,1.61,,,3742.25,3958.2,1.33,LOW,40,1,2
JSWSTEEL.NS,HOLD,1297.8,downtrend,47.72,-6.03,1290.82,1284.09,1229.2,24.2,1.86,,,1261.5,1346.2,1.33,LOW,40,1,2
ADANIPOWER.NS,HOLD,204.8,weak_trend,44.92,-0.9,207.48,208.87,187.17,4.7,2.29,,,197.75,214.2,1.33,NORMAL,40,0,3
WIPRO.NS,HOLD,164.9,downtrend,26.82,-3.82,171.54,177.17,200.4,3.19,1.93,,,160.12,171.27,1.33,LOW,40,0,3
POWERGRID.NS,HOLD,270.2,downtrend,57.06,-1.15,266.37,272.77,283.86,4.23,1.57,,,263.85,278.66,1.33,LOW,40,1,2
ASIANPAINT.NS,HOLD,2455.0,weak_trend,32.78,-54.4,2502.42,2622.5,2557.37,35.16,1.43,,,2402.25,2525.33,1.33,LOW,40,0,3
BAJAJ-AUTO.NS,HOLD,11400.0,weak_trend,28.04,-51.29,11741.9,11553.01,10098.79,167.14,1.47,,,11149.29,11734.29,1.33,LOW,40,0,3
COALINDIA.NS,HOLD,424.55,weak_trend,57.29,3.67,415.93,410.96,421.97,7.91,1.86,,,412.68,440.37,1.33,LOW,40,2,1
NESTLEIND.NS,HOLD,1387.2,weak_trend,40.66,-23.33,1403.03,1451.61,1355.8,25.59,1.84,,,1348.82,1438.37,1.33,LOW,40,0,3
INDIGO.NS,HOLD,5028.5,weak_trend,53.74,-59.13,4987.95,5141.96,4825.12,96.18,1.91,,,4884.23,5220.86,1.33,LOW,40,2,1
IOC.NS,HOLD,138.15,downtrend,51.05,-0.41,136.18,138.2,147.18,2.19,1.58,,,134.87,142.52,1.33,LOW,40,1,2
TATASTEEL.NS,HOLD,190.82,downtrend,59.07,-0.03,185.43,186.12,191.48,4.53,2.38,,,184.02,199.89,1.33,NORMAL,40,2,1
TMPV.NS,HOLD,300.5,weak_trend,37.39,-6.29,306.74,322.4,344.63,7.4,2.46,,,289.39,315.31,1.33,NORMAL,40,0,3
HINDZINC.NS,HOLD,595.45,weak_trend,52.86,2.19,590.65,573.16,581.88,14.6,2.45,,,573.55,624.65,1.33,NORMAL,40,1,2
JIOFIN.NS,HOLD,232.15,weak_trend,38.97,-3.59,232.93,241.32,250.19,3.4,1.46,,,227.05,238.94,1.33,LOW,40,0,3
HYUNDAI.NS,HOLD,2095.0,weak_trend,42.42,-9.03,2179.27,2142.79,2049.23,51.27,2.45,,,2018.09,2197.54,1.33,NORMAL,40,0,3
GRASIM.NS,HOLD,3188.5,weak_trend,35.44,-23.46,3258.29,3227.96,2963.86,48.83,1.53,,,3115.26,3286.16,1.33,LOW,40,0,3
SBILIFE.NS,HOLD,1760.0,downtrend,55.74,-11.32,1726.44,1790.22,1886.75,39.47,2.24,,,1700.79,1838.94,1.33,NORMAL,40,1,2
VEDL.NS,HOLD,271.0,downtrend,50.45,-2.74,268.8,268.95,466.39,6.67,2.46,,,261.0,284.34,1.33,NORMAL,40,2,1
DLF.NS,HOLD,675.0,weak_trend,47.27,-2.08,661.99,660.59,621.65,15.11,2.24,,,652.33,705.22,1.33,NORMAL,40,1,2
EICHERMOT.NS,HOLD,7470.0,weak_trend,33.82,-106.89,7669.85,7785.31,7351.86,98.93,1.32,,,7321.61,7667.86,1.33,LOW,40,0,3
TRENT.NS,HOLD,2774.0,weak_trend,44.18,-38.7,2818.45,2905.46,2888.63,54.76,1.97,,,2691.85,2883.53,1.33,LOW,40,1,2
HINDALCO.NS,HOLD,1003.8,downtrend,48.15,-9.55,999.86,1003.86,974.94,20.41,2.03,,,973.19,1044.61,1.33,NORMAL,40,2,1
DIVISLAB.NS,HOLD,9624.0,weak_trend,61.51,239.22,9320.1,8587.6,6943.5,193.39,2.01,,,9333.91,10010.79,1.33,NORMAL,40,1,2
HDFCLIFE.NS,HOLD,561.5,downtrend,60.42,2.68,539.7,544.85,624.39,14.91,2.66,,,539.13,591.32,1.33,NORMAL,40,1,2
IRFC.NS,HOLD,81.0,weak_trend,41.97,-1.61,81.63,85.34,99.61,1.39,1.71,,,78.92,83.78,1.33,LOW,40,0,3
ADANIGREEN.NS,HOLD,1300.9,weak_trend,53.77,-11.18,1289.96,1343.94,1196.4,31.01,2.38,,,1254.39,1362.91,1.33,NORMAL,40,2,1
VBL.NS,HOLD,436.15,weak_trend,81.12,-1.76,413.98,432.23,465.94,8.19,1.88,,,423.87,452.52,1.33,LOW,40,0,3
TVSMOTOR.NS,HOLD,4135.0,weak_trend,41.6,-24.56,4168.26,4182.71,3743.13,81.08,1.96,,,4013.38,4297.16,1.33,LOW,40,0,3
PIDILITIND.NS,HOLD,1588.1,weak_trend,38.65,-18.11,1594.34,1619.14,1491.28,28.49,1.79,,,1545.36,1645.09,1.33,LOW,40,0,3
BPCL.NS,HOLD,315.75,weak_trend,45.11,-0.88,311.58,314.67,323.34,6.56,2.08,,,305.9,328.88,1.33,NORMAL,40,0,3
TECHM.NS,HOLD,1557.0,weak_trend,41.33,-10.34,1572.39,1593.03,1491.49,39.15,2.51,,,1498.28,1635.3,1.33,NORMAL,40,0,3
BAJAJHLDNG.NS,HOLD,11449.0,weak_trend,59.74,32.98,11136.58,11089.17,10531.73,197.82,1.73,,,11152.27,11844.64,1.33,LOW,40,2,1
BRITANNIA.NS,HOLD,4929.0,downtrend,30.06,-103.55,5067.77,5288.27,5505.81,74.89,1.52,,,4816.66,5078.79,1.33,LOW,40,0,3
AMBUJACEM.NS,HOLD,392.75,weak_trend,35.87,-7.66,395.85,414.32,458.09,6.74,1.72,,,382.64,406.23,1.33,LOW,40,0,3
TATACAP.NS,HOLD,350.05,weak_trend,32.45,-5.08,360.79,360.83,340.16,8.01,2.29,,,338.03,366.08,1.33,NORMAL,40,1,2
BANKBARODA.NS,HOLD,236.87,weak_trend,43.61,-2.61,237.06,242.36,265.95,3.57,1.51,,,231.51,244.02,1.33,LOW,40,0,3
CHOLAFIN.NS,HOLD,1774.0,weak_trend,35.83,-20.67,1819.74,1833.05,1684.31,40.31,2.27,,,1713.54,1854.61,1.33,NORMAL,40,0,3
SHRIRAMFIN.NS,HOLD,1010.8,weak_trend,36.81,-21.35,1033.58,1065.6,1000.86,21.31,2.11,,,978.83,1053.43,1.33,NORMAL,40,0,3
TMCV.NS,HOLD,450.2,downtrend,43.12,-3.66,448.75,446.13,426.34,11.79,2.62,,,432.52,473.78,1.33,NORMAL,40,2,1
PNB.NS,HOLD,118.3,weak_trend,57.91,0.77,116.33,114.75,112.34,2.04,1.72,,,115.24,122.38,1.33,LOW,40,2,1
PFC.NS,HOLD,346.0,downtrend,50.62,-7.68,348.58,374.59,392.68,5.67,1.64,,,337.49,357.34,1.33,LOW,40,2,1
SOLARINDS.NS,HOLD,19730.0,weak_trend,36.36,-110.89,20640.4,19680.55,16119.26,778.57,3.95,,,18562.14,21287.14,1.33,NORMAL,40,1,2
MUTHOOTFIN.NS,HOLD,2856.5,weak_trend,42.69,-41.98,2875.24,2937.5,3319.17,60.75,2.13,,,2765.38,2978.0,1.33,NORMAL,40,0,3
TATAPOWER.NS,HOLD,369.0,downtrend,53.84,-0.95,363.35,372.17,385.55,6.99,1.89,,,358.52,382.98,1.33,LOW,40,1,2
CIPLA.NS,HOLD,1383.0,weak_trend,45.79,-12.47,1387.43,1420.23,1375.01,20.86,1.51,,,1351.71,1424.71,1.33,LOW,40,0,3
TORNTPHARM.NS,HOLD,4985.0,weak_trend,55.82,-1.24,4939.38,4946.8,4407.51,94.5,1.9,,,4843.25,5174.0,1.33,LOW,40,2,1
GODREJCP.NS,HOLD,879.75,weak_trend,49.86,-22.52,879.59,958.01,1062.36,15.17,1.72,,,857.0,910.09,1.33,LOW,40,0,3
LODHA.NS,HOLD,1162.5,weak_trend,38.25,-20.67,1169.84,1202.12,1016.28,39.86,3.43,,,1102.71,1242.21,1.33,NORMAL,40,0,3
HDFCAMC.NS,HOLD,2448.3,weak_trend,38.58,-37.22,2463.99,2525.52,2566.22,40.51,1.65,,,2387.53,2529.33,1.33,LOW,40,0,3
GAIL.NS,HOLD,172.95,weak_trend,44.5,-0.29,173.27,173.48,164.7,2.55,1.48,,,169.12,178.06,1.33,LOW,40,0,3
CANBK.NS,HOLD,126.0,downtrend,50.87,-1.03,124.89,126.89,134.03,1.89,1.5,,,123.16,129.79,1.33,LOW,40,2,1
MAXHEALTH.NS,HOLD,1059.9,weak_trend,74.51,6.36,1025.13,1045.12,1034.19,19.47,1.84,,,1030.69,1098.84,1.33,LOW,40,1,2
ENRIN.NS,HOLD,3214.4,weak_trend,55.07,-42.89,3169.1,3303.03,3080.06,97.27,3.03,,,3068.49,3408.94,1.33,NORMAL,40,2,1
SIEMENS.NS,HOLD,3886.0,weak_trend,38.16,-17.83,3939.3,3885.43,3486.1,93.26,2.4,,,3746.11,4072.51,1.33,NORMAL,40,0,3
MAZDOCK.NS,HOLD,2211.5,downtrend,20.43,-74.71,2375.6,2419.92,2437.61,63.44,2.87,,,2116.34,2338.39,1.33,NORMAL,40,0,3
BOSCHLTD.NS,HOLD,47955.0,weak_trend,54.54,511.08,48108.75,45454.58,38541.23,1039.64,2.17,,,46395.54,50034.29,1.33,NORMAL,40,0,3
ABB.NS,HOLD,7120.0,weak_trend,33.93,-82.69,7316.0,7419.02,6464.59,146.68,2.06,,,6899.98,7413.36,1.33,NORMAL,40,0,3
MOTHERSON.NS,HOLD,164.4,weak_trend,55.67,0.22,163.27,159.82,134.9,3.51,2.14,,,159.13,171.42,1.33,NORMAL,40,1,2
CUMMINSIND.NS,HOLD,5010.0,weak_trend,46.57,-73.95,5064.8,5275.68,4972.73,121.71,2.43,,,4827.43,5253.43,1.33,NORMAL,40,0,3
TATACONSUM.NS,HOLD,994.3,weak_trend,39.6,-17.98,1008.92,1052.99,1113.14,16.1,1.62,,,970.15,1026.5,1.33,LOW,40,0,3
LGEINDIA.NS,HOLD,1694.2,uptrend,56.41,12.22,1661.23,1615.46,1546.05,37.18,2.19,,,1638.43,1768.56,1.33,NORMAL,40,3,0
POLYCAB.NS,HOLD,8417.0,weak_trend,35.15,-190.99,8512.88,8867.16,8362.33,169.39,2.01,,,8162.91,8755.79,1.33,NORMAL,40,0,3
CGPOWER.NS,HOLD,895.0,weak_trend,50.0,1.37,895.0,885.22,791.2,24.55,2.74,,,858.17,944.11,1.33,NORMAL,40,0,3
UNIONBANK.NS,HOLD,180.0,weak_trend,31.09,-1.03,181.98,179.83,170.43,3.65,2.03,,,174.53,187.29,1.33,NORMAL,40,0,3
ADANIENSOL.NS,HOLD,1380.0,weak_trend,49.04,-44.3,1411.39,1546.54,1282.4,36.67,2.66,,,1324.99,1453.34,1.33,NORMAL,40,0,3
APOLLOHOSP.NS,HOLD,9069.0,uptrend,65.45,33.27,8821.48,8832.96,7990.34,147.43,1.63,,,8847.86,9363.86,1.33,LOW,40,3,0
INDHOTEL.NS,HOLD,743.7,weak_trend,56.88,2.93,724.25,728.17,686.29,13.53,1.82,,,723.41,770.75,1.33,LOW,40,2,1
HEROMOTOCO.NS,HOLD,5394.0,weak_trend,55.39,-32.23,5340.27,5406.1,5264.89,95.29,1.77,,,5251.07,5584.57,1.33,LOW,40,2,1
DRREDDY.NS,HOLD,1211.2,downtrend,69.41,3.76,1166.13,1174.24,1243.01,22.69,1.87,,,1177.17,1256.57,1.33,LOW,40,1,2
SHREECEM.NS,HOLD,22500.0,weak_trend,30.52,-679.65,22976.25,24724.0,25280.68,448.57,1.99,,,21827.14,23397.14,1.33,LOW,40,0,3
JINDALSTEL.NS,HOLD,1175.3,uptrend,57.27,4.42,1143.65,1112.18,1133.32,29.81,2.54,,,1130.59,1234.91,1.33,NORMAL,40,3,0
IDBI.NS,HOLD,83.39,downtrend,24.49,-0.93,86.2,85.21,87.59,3.16,3.79,,,78.65,89.71,1.33,NORMAL,40,0,3
SWIGGY.NS,HOLD,278.5,downtrend,58.53,0.03,276.79,277.52,294.33,8.41,3.02,,,265.89,295.31,1.33,NORMAL,40,1,2
